cycle,agent_count,self_state,stability,adaptive_score,rigidity,agent_consensus,agent_dissent,agent_dominance,agent_contradiction,truth_load,shadow_load,correction,reputations,hash
1,2,0.004133,0.987504,0.831968,0.487831,0.073067,0.035231,0.533927,0.023487,0.004871,0.004567,0.01651,"{'agent_logic': 0.734634, 'agent_skeptic': 0.730407}",bb80ed78d539341634054355902523efc76fe2125e2448523f526d727854d33b
2,2,0.00787,0.989041,0.831743,0.485566,0.064018,0.028063,0.525528,0.018709,0.008554,0.007565,0.014923,"{'agent_logic': 0.74559, 'agent_skeptic': 0.744983}",eda80d61035f8f747d1f499ec5583027b3daf28eceae108ca9327b1d4b72d72f
3,2,0.008218,0.991915,0.831309,0.480039,0.034545,0.036041,0.517799,0.024027,0.009831,0.011178,0.00139,"{'agent_logic': 0.760348, 'agent_skeptic': 0.756465}",ad8e779cff96cf660c008acc40092a0e15006fbe00818b4912d6a14dc09d3b8e
4,2,0.010102,0.990172,0.831574,0.487588,0.049371,0.032496,0.529276,0.021664,0.011943,0.013826,0.007523,"{'agent_logic': 0.770536, 'agent_skeptic': 0.770785}",cdb25a6959e1003e67072fe26f9a3d7d5b870b82d92f05362f3cf86e1eeceb1a
5,2,0.012957,0.987464,0.831974,0.482631,0.064067,0.038405,0.521122,0.025604,0.014781,0.016869,0.011404,"{'agent_logic': 0.77903, 'agent_skeptic': 0.783873}",82691359779e59396ab4877172af668bc87bee22a6004b624f69b1ffb4b40929
6,2,0.013601,0.989558,0.831666,0.48085,0.050775,0.041994,0.518456,0.027996,0.016392,0.019951,0.002574,"{'agent_logic': 0.787631, 'agent_skeptic': 0.796458}",9e603ad2185d38598c8e2831fb0f1ce0803e1ac388948fa05e4fb596657cc70d
7,2,0.015601,0.985906,0.832197,0.472129,0.064429,0.049863,0.504402,0.033242,0.01872,0.023621,0.007988,"{'agent_logic': 0.794478, 'agent_skeptic': 0.808582}",25f1dc33139c548d810ac3cde40c4f8fe6530a3d06dfc747ecab207aec204bd3
8,2,0.020861,0.984345,0.832416,0.474631,0.112007,0.033039,0.500461,0.022026,0.023941,0.024597,0.021001,"{'agent_logic': 0.79936, 'agent_skeptic': 0.816583}",a41845d69f45b3404b21d0b8c097bd19a5765d93ea2bb3372445a5d049737a36
9,2,0.027112,0.982587,0.832657,0.481764,0.134597,0.034634,0.511238,0.023089,0.030041,0.025643,0.024961,"{'agent_logic': 0.802918, 'agent_skeptic': 0.823264}",11a2b6405b6d4dc73b021105349964e619680bb641cdf4fdbb1f07770b21c967
10,2,0.034907,0.96552,0.834673,0.464233,0.166178,0.111512,0.503921,0.074341,0.037515,0.036508,0.031178,"{'agent_logic': 0.800124, 'agent_skeptic': 0.83263}",c63d1040ce3ee1fb32b58b873b09117d1c27bd1da0fd0c52d2ca1cf394b3aeaa
11,2,0.041393,0.971234,0.834063,0.469157,0.170596,0.086442,0.500635,0.057628,0.044386,0.042603,0.025926,"{'agent_logic': 0.799184, 'agent_skeptic': 0.840113}",9a16a2c84c093f21918869bf2076c5671f1ee8ebaf6d3a83620b4b52c1711ebf
12,2,0.043566,0.978301,0.833218,0.478048,0.115596,0.07793,0.512622,0.051953,0.046766,0.04674,0.008686,"{'agent_logic': 0.802117, 'agent_skeptic': 0.84947}",1ea2842423d6e86d916b671bf09ac53e4759a329239e3444faad23cd2cffde16
