cycle,agent_count,stream_count,self_state,stability,adaptive_score,rigidity,dissent,dominance,ambiguity,queen_pressure,queen_throne,queen_whisper,field_spread,visible_shadow_gap,truth_load,shadow_load,correction,rep_A,rep_B,rep_C,rep_D,hash
1,4,8,0.000587,0.970951,0.834095,0.469556,0.142782,0.192287,0.128832,0.010253,0.00543,0.014375,0.142782,0.025493,0.001393,0.009112,0.002346,0.700032,0.694083,0.697931,0.694916,8c82b8943f7db14af453fa647eb61b4d858833b65d32382a49a85b1ac063c3ed
2,4,8,-0.002097,0.968759,0.834335,0.469521,0.135566,0.195658,0.132276,0.022141,0.010929,0.008045,0.135566,0.091544,0.000955,0.01743,-0.010735,0.700235,0.691197,0.696716,0.688584,d7412e66a113ceaafceb67f1b291af2cb2483f9139957ee777cc7cba669de997
3,4,8,-0.002642,0.970023,0.834197,0.470547,0.136222,0.199146,0.1233,0.029599,0.015786,0.015819,0.136222,0.052293,0.000908,0.023547,-0.00218,0.700495,0.686962,0.69429,0.683345,812a8e572ffd052ed8340644728cab1f206920074a83e97d585133dd94e77ca2
4,4,8,-0.002173,0.966375,0.834586,0.463893,0.153381,0.19274,0.130636,0.033945,0.019342,0.017586,0.153381,0.004832,0.000776,0.026424,0.001878,0.699798,0.68231,0.693926,0.679464,e27e7e0072583cfc83c474c9dc91ed9e67875cfb06ca837b0f53e34a3b800e6e
5,4,8,-0.004879,0.967368,0.834483,0.469861,0.133814,0.195422,0.108628,0.038331,0.021875,0.009249,0.133814,0.03884,0.000438,0.02753,-0.01083,0.697194,0.678909,0.693109,0.672401,39f03d75f3d0fc5d25003d0c2c2f68cbe97797bc6e7295162ae6305a1f5792c1
6,4,8,-0.010399,0.96071,0.835136,0.462334,0.150784,0.192051,0.13584,0.044891,0.023625,0.001936,0.150784,0.071239,0.004024,0.028237,-0.022115,0.697664,0.677213,0.692953,0.665283,6e8185d2ff65d177c64a5d2e2240129cf341a4b2ebd63d23ce97e010ea412a45
7,4,8,-0.011506,0.966008,0.834623,0.467919,0.147892,0.198485,0.10898,0.046085,0.024596,0.010809,0.147892,0.003756,0.002892,0.027155,-0.004432,0.693191,0.674035,0.693726,0.660039,fc4cba76fbd7a5953c7e432abb5d91db0c8afdbc82e4adc6b1bf4f91c70045d9
8,4,8,-0.011505,0.965938,0.83463,0.464786,0.154927,0.197232,0.117423,0.048426,0.024793,0.001952,0.154927,0.019435,0.002047,0.024532,1e-06,0.68869,0.67061,0.692071,0.656722,7d5515a317ad721eb657bd8e01fc957675d505f7cbfd41673bb90e1975ed3e82
9,4,8,-0.012478,0.970544,0.83414,0.470118,0.123996,0.19635,0.110952,0.049889,0.024998,0.012628,0.123996,0.04362,0.002838,0.026389,-0.003895,0.685493,0.667805,0.689334,0.654295,ebed51f2456c4de856552e52d4c7c6d99f2843913e6837bebd02d52f5b5e59dd
10,4,8,-0.013421,0.966712,0.834551,0.467126,0.143074,0.195482,0.106497,0.052612,0.025113,0.008629,0.143074,0.049609,0.004211,0.027507,-0.003774,0.6812,0.666175,0.688187,0.648291,31c94e53a42c9409a7342b5e784f89f53870e5bc7770772cc5ae701a4bd48f39
