cycle,agent_count,stream_count,self_state,stability,adaptive_score,rigidity,dissent,dominance,ambiguity,queen_pressure,queen_throne,queen_whisper,field_spread,visible_shadow_gap,truth_load,shadow_load,correction,rep_A,rep_B,rep_C,rep_D,hash
1,4,8,0.000553,0.970941,0.834096,0.469473,0.143013,0.192231,0.129024,0.010272,0.005433,0.014373,0.143013,0.025574,0.00139,0.009124,0.002212,0.700038,0.694068,0.697932,0.694911,e014a365db0c936d84f10435f163f0002c14d54d458a5002c91a21a97b9aba4c
2,4,8,-0.002166,0.968685,0.834343,0.469456,0.135716,0.195633,0.132528,0.022223,0.010945,0.007927,0.135716,0.092499,0.001009,0.017462,-0.010876,0.700263,0.691209,0.696688,0.68856,ef4a6a7c48df9d585a38231de0c105aa2397f5eec38a76519cc1c7353d9a8eb5
3,4,8,-0.00269,0.970042,0.834195,0.470558,0.136211,0.199168,0.123276,0.029662,0.015808,0.015833,0.136211,0.052232,0.000953,0.02357,-0.002098,0.700527,0.68697,0.694263,0.683325,6c93a1d466620126e5c273c8946b6dd6c81eaa34ca3af4d7fbbc63c6452ba7e6
4,4,8,-0.002277,0.966455,0.834577,0.463886,0.153223,0.192789,0.130754,0.034049,0.019373,0.017474,0.153223,0.005886,0.000682,0.026463,0.001656,0.699844,0.682344,0.693937,0.679417,129833966d89adb7e9e18cccc9a49aa994c1f4cf5a746ce40c2433f4dc4def0b
5,4,8,-0.004929,0.967427,0.834476,0.469867,0.133761,0.195486,0.108839,0.038414,0.021919,0.009364,0.133761,0.038846,0.000504,0.027588,-0.010611,0.697255,0.678939,0.693131,0.672401,832b8a057f4695fd88c61ed13cb2c3c0721d788edd91e007e86fbe2d404dc68d
6,4,8,-0.010269,0.961022,0.835107,0.462589,0.150165,0.19222,0.135014,0.044774,0.023679,0.002502,0.150165,0.068753,0.003907,0.028283,-0.021398,0.697841,0.677165,0.692998,0.665392,18e0971da157fa1dbfedd02f73002f8ce7a0c30d9c1da5f54f4ecf6f7be1f7a2
7,4,8,-0.011398,0.966072,0.834617,0.468032,0.147448,0.198674,0.109359,0.045884,0.02467,0.011381,0.147448,0.002462,0.002829,0.027268,-0.004518,0.693417,0.674006,0.693766,0.660186,f13b06692ea1a26fbbf85cb8c62141da702dc4c0f318ff3526d19ca3798cb18f
8,4,8,-0.011644,0.965841,0.83464,0.464995,0.154065,0.197369,0.118145,0.047922,0.024909,0.003672,0.154065,0.014606,0.002186,0.024837,-0.000986,0.689061,0.670702,0.69208,0.656771,1efc5bc9fc1cec61c2ae457e153bc77f73ba7c2f5473c62a2da1189c0ab52ecc
9,4,8,-0.012634,0.970403,0.834156,0.470114,0.124646,0.196518,0.111343,0.049536,0.025143,0.012543,0.124646,0.043971,0.002991,0.026622,-0.003963,0.685848,0.667955,0.689413,0.654262,8e42d741267cf580b7bc461a25fba00f1f3661d162bc01b884116258b726c441
10,4,8,-0.013653,0.96674,0.834548,0.46727,0.142497,0.19566,0.107275,0.052337,0.025281,0.008589,0.142497,0.050445,0.004395,0.027689,-0.004082,0.681646,0.666364,0.688193,0.648407,b8062259cdb350e7b4b813bebb22ec9211fe504261bbe9e9a2c37193fd6ada25
11,4,8,-0.014863,0.975012,0.833624,0.477539,0.099728,0.193271,0.07518,0.049324,0.025102,0.009051,0.099728,0.005127,0.004159,0.02541,-0.004835,0.676589,0.665267,0.68502,0.64763,a6364edd8d9762c4dd14e5de0897c5c923831dee994aa853d11fb0278e7d3dd2
12,4,8,-0.015529,0.964181,0.834806,0.459647,0.155835,0.189034,0.13099,0.054681,0.025289,0.016941,0.155835,0.0791,0.00498,0.031116,-0.002669,0.673383,0.662934,0.683508,0.64431,86f7a2efa31478f7c317d61285db44e38c8baf057467a983d53f5cc486c83d97
13,4,8,-0.018884,0.962416,0.834977,0.462755,0.149092,0.190806,0.119673,0.058024,0.025349,0.002778,0.149092,0.068358,0.007822,0.030875,-0.013447,0.671176,0.66388,0.680402,0.641896,91fb8099bc6e1d81e6fa8b8e2a25d22959e83b0009b0f573f040c5a0de4ea06f
14,4,8,-0.018963,0.972659,0.8339,0.470914,0.114166,0.185378,0.08374,0.056556,0.025345,0.01125,0.114166,0.0335,0.007711,0.03068,-0.000314,0.666749,0.664875,0.680491,0.640795,df3aed3eab477fae8db8a7180e1e1aab99dd9e7de635333dabec378eeffc0f87
15,4,8,-0.020356,0.965286,0.834696,0.462542,0.147819,0.185606,0.112049,0.055547,0.024896,-0.001519,0.147819,0.002093,0.00854,0.026008,-0.005584,0.663842,0.666436,0.679632,0.639581,b0f20bd5cc4a2e6facf2fd180346f8fc8bafc0b97659b43cf0b2dd31e55d310c
16,4,8,-0.020139,0.970299,0.834167,0.469275,0.128213,0.189269,0.09315,0.054593,0.024422,0.01044,0.128213,0.020164,0.007827,0.026323,0.000869,0.65945,0.666415,0.678569,0.63923,55e19af2472dc9b1dff74c12e1e3f3774ba7d4006cbe1476fb8282cc9122a645
17,4,8,-0.02152,0.964569,0.834768,0.464704,0.152737,0.187405,0.094227,0.054654,0.023728,0.001198,0.152737,0.009096,0.008638,0.024075,-0.00553,0.654583,0.669162,0.676858,0.638596,c9e93cd1fb1c5b38da26af5cb307f9b76f4228499c347453d3b64f4f727c5518
18,4,8,-0.023748,0.968036,0.834412,0.473338,0.129004,0.192179,0.070328,0.056495,0.02304,-0.000339,0.129004,0.063692,0.011362,0.024509,-0.008917,0.652955,0.670694,0.674943,0.637218,400693859d48bbb123c7813f3fdd88655e7b7652fdd67e0cbe442d65fbea4617
19,4,8,-0.02687,0.964164,0.834808,0.46763,0.145337,0.19059,0.09406,0.056497,0.022169,-0.004187,0.145337,0.021494,0.012992,0.022136,-0.012504,0.650141,0.672266,0.67462,0.634507,50f39bd62e41bea3a4d7078fd1719679b132656ec74a1b874f2bb202882ac418
20,4,8,-0.027338,0.968869,0.834323,0.46818,0.136592,0.186236,0.090534,0.055452,0.021199,-0.00051,0.136592,0.012888,0.013633,0.020338,-0.001874,0.647375,0.673139,0.67415,0.637547,38907a071e8089f57d87070eddfa8b16b0880bb9706b567128f0fdfcd554e585
21,4,8,-0.030273,0.967247,0.834495,0.470665,0.13381,0.19241,0.098496,0.05453,0.01996,-0.01491,0.13381,0.014639,0.016756,0.014842,-0.01175,0.645811,0.67462,0.670708,0.638044,769936e8df079ac510f89cccdd14ba5409fb2f38fa625bc86056174998cc93a4
22,4,8,-0.02893,0.970137,0.834185,0.469827,0.128784,0.193108,0.113795,0.053773,0.018628,-0.00874,0.128784,0.019813,0.015865,0.012488,0.005376,0.644673,0.675672,0.669935,0.641036,671262f9a88765325be5afcfd26b58e478ba95811ab851d4e42fc132af45d2a2
23,4,8,-0.026303,0.967722,0.834445,0.46611,0.134345,0.185721,0.109983,0.05437,0.017304,-0.007397,0.134345,0.034587,0.013214,0.011852,0.010522,0.642774,0.676178,0.67058,0.641229,651cb752e2b74812efe3460a410e5328fd4b28f213e6979a3d30d710eebb853e
24,4,8,-0.022449,0.968466,0.834366,0.470917,0.123091,0.195557,0.112566,0.05289,0.016105,0.004459,0.123091,0.013016,0.010904,0.013898,0.015425,0.63998,0.676673,0.668474,0.641392,56dfc27886801b014cb849a490d15596ed2f84f2fff229192dec0f87fa8f2fc4
