cycle,agent_count,stream_count,self_state,stability,adaptive_score,rigidity,dissent,dominance,ambiguity,queen_pressure,queen_throne,queen_whisper,field_spread,visible_shadow_gap,truth_load,shadow_load,correction,rep_A,rep_B,rep_C,rep_D,hash
1,4,8,0.000584,0.970961,0.834093,0.469569,0.142747,0.192296,0.128803,0.01025,0.005429,0.014376,0.142747,0.025481,0.001393,0.00911,0.002334,0.700031,0.694085,0.697931,0.694917,e42d8c557b1fa590ba445694298152cc461a3a3c4b5df4d8366aa7b3b8e40c07
2,4,8,-0.002065,0.968818,0.834329,0.469562,0.135469,0.19567,0.132109,0.022096,0.010921,0.008123,0.135469,0.090912,0.00092,0.017414,-0.010595,0.700219,0.691181,0.696735,0.688599,313f30492c91f5e42acf2474dc32b6e2604dda721a708b723652e0e58c1072d6
3,4,8,-0.002595,0.970061,0.834193,0.470586,0.136143,0.199171,0.123155,0.029524,0.015769,0.015865,0.136143,0.051741,0.000851,0.023514,-0.002121,0.700505,0.686937,0.694312,0.68337,14132196de13851414e4a6f9176a4142b3a3412ac6ee9cccb1eddd54f03604be
4,4,8,-0.002187,0.966471,0.834576,0.46392,0.153223,0.192775,0.130738,0.033933,0.019325,0.017461,0.153223,0.005829,0.000774,0.026415,0.001634,0.699825,0.682314,0.693984,0.679458,422f4f30685d961b6ce877b946e6c1a3b9f511790acb5f3f8f7ca149cb56063d
5,4,8,-0.004868,0.967403,0.834479,0.469876,0.133776,0.19549,0.108758,0.038317,0.021863,0.009314,0.133776,0.038805,0.000426,0.027538,-0.010726,0.697231,0.678912,0.693171,0.672424,0fb57a643f9a9a1d5208e18e090560e32f345167c0fb13ef80f27d1f95daa828
6,4,8,-0.010289,0.960886,0.835119,0.462474,0.150442,0.192142,0.135382,0.044776,0.023618,0.002233,0.150442,0.069856,0.003917,0.028241,-0.021721,0.697763,0.677176,0.693023,0.665363,624bdf35c0c197b4888ebd016d4926689fc0777d9a38c80ec504d820d4dad217
7,4,8,-0.01141,0.966039,0.83462,0.467974,0.147677,0.19858,0.109155,0.045942,0.024598,0.011065,0.147677,0.003158,0.002816,0.027192,-0.004488,0.693314,0.674009,0.693822,0.660134,df10f07ad89fa0baa4a94618abe117c140f4b953b88aaafe6438fd8b00ae818d
8,4,8,-0.011524,0.965894,0.834635,0.464892,0.154539,0.19733,0.117736,0.048159,0.024816,0.002697,0.154539,0.017316,0.002066,0.024655,-0.000457,0.688877,0.670639,0.692148,0.656771,185397ff997c86849def48c45a07251b0ff770cf2f58c9f51823611e750d81f1
9,4,8,-0.012509,0.970484,0.834147,0.470131,0.124264,0.196454,0.111109,0.049694,0.025035,0.012586,0.124264,0.043743,0.002867,0.02648,-0.003942,0.685671,0.66786,0.689435,0.654308,f5d789e342f2c601432b8f8ba260a2bee240abb033bb17cf5a598921ee8da69a
10,4,8,-0.013484,0.966726,0.834549,0.467198,0.142837,0.195584,0.106803,0.052456,0.025161,0.008608,0.142837,0.049924,0.004255,0.027576,-0.003904,0.681413,0.666246,0.688254,0.648361,1cf25c08ee7ebcee69b3648e9a64019bcca52de0a0cdd2ed48af54cc1fe71a0d
11,4,8,-0.014758,0.9752,0.833601,0.477815,0.098464,0.193199,0.074152,0.049281,0.024969,0.009016,0.098464,0.004059,0.004005,0.025246,-0.005091,0.676338,0.665173,0.685003,0.64769,467ba33af723963f358652452bfe002c67213b28e22fe187b9d5a49562a7c5d0
12,4,8,-0.015433,0.96397,0.834827,0.459205,0.156801,0.188814,0.132299,0.054824,0.025168,0.017298,0.156801,0.08111,0.004838,0.031234,-0.002705,0.673183,0.662744,0.683498,0.644317,3b5579606412160bf6fedc64fdd7212cbcb72edd7b0b01977384ecf9ad163e06
13,4,8,-0.018944,0.962078,0.835009,0.462303,0.149811,0.190452,0.121041,0.058385,0.025245,0.002319,0.149811,0.071726,0.007879,0.031057,-0.014073,0.671147,0.663792,0.680284,0.641855,3f3e5c3cb29c9cc1889da484658b4b331fb32a62d70dcbe166bd6150bd57fa5a
14,4,8,-0.018835,0.972835,0.83388,0.471108,0.112921,0.185131,0.082717,0.056759,0.025264,0.011634,0.112921,0.033199,0.007678,0.030902,0.000434,0.666689,0.664859,0.680538,0.640807,53608ac7dcf11c689948772a342fe2556cc0d986005d767dda1c7f7fa3878ab5
