cycle,use_jester,stability,adaptive_score,rigidity,dissent,queen_pressure,jester_active,jester_pressure,jester_fatigue,jester_cooldown
1,True,0.948427,0.836108,0.447724,0.166403,0.080974,True,0.37016,0.075,0
2,True,0.945741,0.83628,0.4421,0.173003,0.080953,True,0.329977,0.15,0
3,True,0.936156,0.836777,0.434724,0.179168,0.080937,True,0.308253,0.225,0
4,True,0.932576,0.836916,0.429694,0.184588,0.080926,True,0.271012,0.3,0
5,True,0.931299,0.836959,0.430826,0.183405,0.080919,False,0.0,0.275,0
6,True,0.932654,0.836913,0.431913,0.182268,0.080917,False,0.0,0.25,0
7,True,0.933945,0.836866,0.432956,0.181178,0.080919,False,0.0,0.225,0
8,True,0.929513,0.837014,0.433958,0.180131,0.080925,False,0.0,0.2,0
9,True,0.929248,0.837022,0.43492,0.179125,0.080935,False,0.0,0.175,0
10,True,0.926883,0.837084,0.435843,0.17816,0.080949,False,0.0,0.15,0
11,True,0.935201,0.836817,0.436729,0.177234,0.080967,False,0.0,0.125,0
12,True,0.934413,0.836848,0.432436,0.182791,0.080988,True,0.277842,0.2,0
13,True,0.936028,0.836783,0.433459,0.181679,0.081013,False,0.0,0.175,0
14,True,0.939138,0.836642,0.430387,0.187165,0.081041,True,0.274306,0.25,0
15,True,0.938358,0.836679,0.426031,0.192812,0.081073,True,0.28233,0.325,0
16,True,0.927827,0.83706,0.418769,0.198432,0.081108,True,0.281019,0.4,0
17,True,0.919577,0.837204,0.420338,0.196695,0.081146,False,0.0,0.375,0
18,True,0.917542,0.837219,0.421844,0.195027,0.081187,False,0.0,0.35,0
19,True,0.924668,0.837132,0.423291,0.193426,0.081232,False,0.0,0.325,0
20,True,0.922808,0.837164,0.424679,0.191889,0.081279,False,0.0,0.3,0
21,True,0.922268,0.837172,0.426012,0.190413,0.081329,False,0.0,0.275,0
22,True,0.924911,0.837127,0.427291,0.188997,0.081381,False,0.0,0.25,0
23,True,0.932321,0.836925,0.42852,0.187637,0.081436,False,0.0,0.225,0
24,True,0.936025,0.836783,0.429699,0.186332,0.081494,False,0.0,0.2,0
25,True,0.92867,0.837038,0.423398,0.191941,0.081554,True,0.280461,0.275,0
26,True,0.931549,0.836951,0.424782,0.190463,0.081617,False,0.0,0.25,0
27,True,0.933916,0.836867,0.426111,0.189045,0.081682,False,0.0,0.225,0
28,True,0.927372,0.837072,0.427386,0.187683,0.081749,False,0.0,0.2,0
29,True,0.930077,0.836998,0.428611,0.186375,0.081818,False,0.0,0.175,0
30,True,0.926198,0.8371,0.429786,0.18512,0.08189,False,0.0,0.15,0
31,True,0.932742,0.83691,0.430915,0.183916,0.081963,False,0.0,0.125,0
32,True,0.933867,0.836869,0.431998,0.182759,0.082039,False,0.0,0.1,0
33,True,0.931615,0.836949,0.433038,0.181649,0.082116,False,0.0,0.075,0
34,True,0.93306,0.836899,0.434037,0.180583,0.082195,False,0.0,0.05,0
35,True,0.932996,0.836901,0.434995,0.179559,0.082276,False,0.0,0.025,0
36,True,0.929106,0.837026,0.435915,0.178577,0.082359,False,0.0,0,0
37,True,0.931524,0.836952,0.436799,0.177634,0.082444,False,0.0,0,0
38,True,0.929578,0.837012,0.437647,0.176729,0.08253,False,0.0,0,0
39,True,0.931406,0.836956,0.438461,0.175859,0.082618,False,0.0,0,0
40,True,0.923842,0.837147,0.431991,0.181614,0.082708,True,0.287711,0.075,0
41,True,0.922528,0.837168,0.433032,0.180549,0.082799,False,0.0,0.05,0
42,True,0.924542,0.837134,0.43403,0.179527,0.082891,False,0.0,0.025,0
43,True,0.932499,0.836919,0.434989,0.178546,0.082985,False,0.0,0,0
44,True,0.927294,0.837074,0.43591,0.177604,0.08308,False,0.0,0,0
45,True,0.927398,0.837071,0.436793,0.1767,0.083177,False,0.0,0,0
46,True,0.933444,0.836885,0.437641,0.175832,0.083275,False,0.0,0,0
47,True,0.920092,0.837199,0.429306,0.181764,0.083374,True,0.296589,0.075,0
48,True,0.922458,0.837169,0.430453,0.180693,0.083474,False,0.0,0.05,0
49,True,0.933965,0.836865,0.431555,0.179666,0.083576,False,0.0,0.025,0
50,True,0.933079,0.836898,0.432613,0.178679,0.083679,False,0.0,0,0
51,True,0.935658,0.836798,0.433628,0.177732,0.083782,False,0.0,0,0
52,True,0.922252,0.837172,0.425224,0.183735,0.083887,True,0.300143,0.075,0
53,True,0.92821,0.837051,0.426536,0.182585,0.083993,False,0.0,0.05,0
54,True,0.926878,0.837084,0.427794,0.181482,0.0841,False,0.0,0.025,0
55,True,0.932827,0.836907,0.429002,0.180423,0.084208,False,0.0,0,0
56,True,0.934791,0.836833,0.430162,0.179406,0.084317,False,0.0,0,0
57,True,0.923182,0.837158,0.422345,0.185343,0.084427,True,0.296846,0.075,0
58,True,0.921247,0.837186,0.423772,0.184129,0.084538,False,0.0,0.05,0
59,True,0.922122,0.837174,0.425141,0.182964,0.08465,False,0.0,0.025,0
60,True,0.923813,0.837147,0.426455,0.181845,0.084762,False,0.0,0,0
61,True,0.920368,0.837196,0.427717,0.180771,0.084875,False,0.0,0,0
62,True,0.916635,0.837222,0.428928,0.179741,0.08499,False,0.0,0,0
63,True,0.917166,0.83722,0.430091,0.178751,0.085104,False,0.0,0,0
64,True,0.925057,0.837124,0.431208,0.177801,0.08522,False,0.0,0,0
65,True,0.920925,0.83719,0.432279,0.176889,0.085337,False,0.0,0,0
66,True,0.916637,0.837222,0.433308,0.176013,0.085454,False,0.0,0,0
67,True,0.919409,0.837206,0.434296,0.175173,0.085571,False,0.0,0,0
68,True,0.927031,0.83708,0.435244,0.174366,0.08569,False,0.0,0,0
69,True,0.925991,0.837104,0.436154,0.173591,0.085809,False,0.0,0,0
70,True,0.933281,0.836891,0.437028,0.172848,0.085929,False,0.0,0,0
71,True,0.921198,0.837187,0.428778,0.179184,0.086049,True,0.316799,0.075,0
72,True,0.925659,0.837111,0.429947,0.178216,0.08617,False,0.0,0.05,0
73,True,0.930306,0.836991,0.431069,0.177288,0.086291,False,0.0,0.025,0
74,True,0.923231,0.837157,0.432146,0.176396,0.086414,False,0.0,0,0
75,True,0.929889,0.837003,0.43318,0.17554,0.086536,False,0.0,0,0
76,True,0.920663,0.837193,0.434173,0.174719,0.086659,False,0.0,0,0
77,True,0.920861,0.837191,0.435126,0.17393,0.086783,False,0.0,0,0
78,True,0.913055,0.837221,0.436041,0.173173,0.086907,False,0.0,0,0
79,True,0.913124,0.837221,0.436919,0.172446,0.087032,False,0.0,0,0
80,True,0.917321,0.83722,0.437763,0.171748,0.087157,False,0.0,0,0
81,True,0.924912,0.837127,0.438572,0.171078,0.087282,False,0.0,0,0
82,True,0.931906,0.836939,0.439349,0.170435,0.087408,False,0.0,0,0
83,True,0.928449,0.837044,0.433553,0.176955,0.087534,True,0.32601,0.075,0
84,True,0.933744,0.836874,0.434531,0.176077,0.087661,False,0.0,0.05,0
85,True,0.922948,0.837162,0.426649,0.182437,0.087788,True,0.318001,0.125,0
86,True,0.932835,0.836907,0.427903,0.181339,0.087916,False,0.0,0.1,0
87,True,0.933354,0.836888,0.429107,0.180286,0.088044,False,0.0,0.075,0
88,True,0.933197,0.836894,0.430263,0.179274,0.088172,False,0.0,0.05,0
89,True,0.926953,0.837082,0.431372,0.178303,0.088301,False,0.0,0.025,0
90,True,0.937614,0.836714,0.432437,0.177371,0.08843,False,0.0,0.0,0
91,True,0.927928,0.837058,0.42475,0.183922,0.088559,True,0.327542,0.075,0
92,True,0.930519,0.836984,0.42608,0.182765,0.088689,False,0.0,0.05,0
