cycle,use_jester,stability,adaptive_score,rigidity,dissent,queen_pressure,jester_active,jester_pressure,jester_fatigue,jester_cooldown
1,True,0.951087,0.835923,0.450344,0.161784,0.077093,True,0.3892,0.075,0
2,True,0.948086,0.83613,0.444376,0.168727,0.077186,True,0.347128,0.15,0
3,True,0.938236,0.836685,0.436695,0.1752,0.07728,True,0.323663,0.225,0
4,True,0.934401,0.836849,0.431385,0.180898,0.077373,True,0.284886,0.3,0
5,True,0.93307,0.836898,0.43245,0.179862,0.077467,False,0.0,0.275,0
6,True,0.934361,0.83685,0.433472,0.178867,0.077561,False,0.0,0.25,0
7,True,0.92987,0.837004,0.428212,0.184227,0.077655,True,0.267986,0.325,0
8,True,0.925622,0.837112,0.429403,0.183058,0.07775,False,0.0,0.3,0
9,True,0.925505,0.837115,0.430547,0.181936,0.077844,False,0.0,0.275,0
10,True,0.923304,0.837156,0.431645,0.180858,0.077939,False,0.0,0.25,0
11,True,0.931672,0.836947,0.432699,0.179824,0.078034,False,0.0,0.225,0
12,True,0.936827,0.836749,0.433711,0.178831,0.078129,False,0.0,0.2,0
13,True,0.932562,0.836917,0.428397,0.184359,0.078224,True,0.276391,0.275,0
14,True,0.941463,0.836525,0.429581,0.183184,0.078319,False,0.0,0.25,0
15,True,0.940565,0.836571,0.425143,0.188895,0.078414,True,0.285511,0.325,0
16,True,0.930068,0.836998,0.417851,0.19457,0.07851,True,0.283755,0.4,0
17,True,0.92189,0.837178,0.419457,0.192987,0.078606,False,0.0,0.375,0
18,True,0.919832,0.837202,0.420999,0.191467,0.078702,False,0.0,0.35,0
19,True,0.926778,0.837086,0.422479,0.190009,0.078797,False,0.0,0.325,0
20,True,0.924901,0.837127,0.4239,0.188608,0.078894,False,0.0,0.3,0
21,True,0.924324,0.837138,0.425264,0.187264,0.07899,False,0.0,0.275,0
22,True,0.926868,0.837084,0.426573,0.185973,0.079086,False,0.0,0.25,0
23,True,0.934078,0.836861,0.42783,0.184734,0.079182,False,0.0,0.225,0
24,True,0.937661,0.836712,0.429037,0.183545,0.079279,False,0.0,0.2,0
25,True,0.93036,0.836989,0.422753,0.189153,0.079376,True,0.280385,0.275,0
26,True,0.933136,0.836896,0.424163,0.187787,0.079472,False,0.0,0.25,0
27,True,0.935415,0.836808,0.425516,0.186475,0.079569,False,0.0,0.225,0
28,True,0.923176,0.837158,0.417812,0.191999,0.079666,True,0.276195,0.3,0
29,True,0.925987,0.837104,0.41942,0.190519,0.079763,False,0.0,0.275,0
30,True,0.922385,0.83717,0.420963,0.189098,0.07986,False,0.0,0.25,0
31,True,0.928912,0.837031,0.422445,0.187734,0.079957,False,0.0,0.225,0
32,True,0.930166,0.836995,0.423867,0.186425,0.080055,False,0.0,0.2,0
33,True,0.928137,0.837052,0.425232,0.185168,0.080152,False,0.0,0.175,0
34,True,0.929691,0.837009,0.426543,0.183961,0.08025,False,0.0,0.15,0
35,True,0.929775,0.837007,0.427801,0.182803,0.080347,False,0.0,0.125,0
36,True,0.926153,0.837101,0.429009,0.181691,0.080445,False,0.0,0.1,0
37,True,0.928631,0.837039,0.430169,0.180623,0.080542,False,0.0,0.075,0
38,True,0.926885,0.837084,0.431282,0.179598,0.08064,False,0.0,0.05,0
39,True,0.928781,0.837035,0.432351,0.178614,0.080738,False,0.0,0.025,0
40,True,0.927572,0.837067,0.433377,0.17767,0.080836,False,0.0,0,0
41,True,0.92622,0.837099,0.434362,0.176763,0.080934,False,0.0,0,0
42,True,0.928079,0.837054,0.435307,0.175892,0.081032,False,0.0,0,0
43,True,0.935661,0.836798,0.436215,0.175057,0.08113,False,0.0,0,0
44,True,0.924418,0.837136,0.428534,0.180958,0.081228,True,0.295051,0.075,0
45,True,0.924663,0.837132,0.429713,0.179919,0.081326,False,0.0,0.05,0
46,True,0.93061,0.836981,0.430844,0.178923,0.081424,False,0.0,0.025,0
47,True,0.923949,0.837145,0.43193,0.177966,0.081522,False,0.0,0,0
