cycle,use_jester,stability,adaptive_score,rigidity,dissent,queen_pressure,jester_active,jester_pressure,jester_fatigue,jester_cooldown
1,False,0.95516,0.835612,0.45608,0.15884,0.080974,False,0.0,0,0
2,False,0.958583,0.835326,0.456157,0.158686,0.080953,False,0.0,0,0
3,False,0.954596,0.835657,0.456231,0.158539,0.080937,False,0.0,0,0
4,False,0.956084,0.835537,0.456301,0.158397,0.080926,False,0.0,0,0
5,False,0.953983,0.835705,0.456369,0.158261,0.080919,False,0.0,0,0
6,False,0.954544,0.835661,0.456434,0.158131,0.080917,False,0.0,0,0
7,False,0.95507,0.835619,0.456497,0.158006,0.080919,False,0.0,0,0
8,False,0.949898,0.836007,0.456557,0.157886,0.080925,False,0.0,0,0
9,False,0.94892,0.836074,0.456615,0.15777,0.080935,False,0.0,0,0
10,False,0.945866,0.836272,0.45667,0.157659,0.080949,False,0.0,0,0
11,False,0.95352,0.835741,0.456724,0.157553,0.080967,False,0.0,0,0
12,False,0.957959,0.83538,0.456775,0.157451,0.080988,False,0.0,0,0
13,False,0.95875,0.835311,0.456824,0.157353,0.081013,False,0.0,0,0
14,False,0.966841,0.834537,0.456871,0.157259,0.081041,False,0.0,0,0
15,False,0.970904,0.8341,0.456916,0.157168,0.081073,False,0.0,0,0
16,False,0.96505,0.83472,0.456959,0.157082,0.081108,False,0.0,0,0
17,False,0.955497,0.835585,0.457001,0.156998,0.081146,False,0.0,0,0
18,False,0.952205,0.835841,0.457041,0.156918,0.081187,False,0.0,0,0
19,False,0.958118,0.835366,0.457079,0.156842,0.081232,False,0.0,0,0
20,False,0.955087,0.835618,0.457116,0.156768,0.081279,False,0.0,0,0
21,False,0.953417,0.835749,0.457151,0.156697,0.081329,False,0.0,0,0
22,False,0.95497,0.835627,0.457185,0.156629,0.081381,False,0.0,0,0
23,False,0.961328,0.835079,0.457218,0.156564,0.081436,False,0.0,0,0
24,False,0.964017,0.834822,0.457249,0.156502,0.081494,False,0.0,0,0
25,False,0.96157,0.835056,0.457279,0.156442,0.081554,False,0.0,0,0
26,False,0.963297,0.834892,0.457308,0.156384,0.081617,False,0.0,0,0
27,False,0.964553,0.834769,0.457336,0.156329,0.081682,False,0.0,0,0
28,False,0.956937,0.835466,0.457362,0.156275,0.081749,False,0.0,0,0
29,False,0.958607,0.835323,0.457388,0.156224,0.081818,False,0.0,0,0
30,False,0.953729,0.835725,0.457412,0.156175,0.08189,False,0.0,0,0
31,False,0.959309,0.835262,0.457436,0.156128,0.081963,False,0.0,0,0
32,False,0.959505,0.835244,0.457458,0.156083,0.082039,False,0.0,0,0
33,False,0.956355,0.835515,0.45748,0.15604,0.082116,False,0.0,0,0
34,False,0.956935,0.835466,0.457501,0.155998,0.082195,False,0.0,0,0
35,False,0.956034,0.835541,0.457521,0.155958,0.082276,False,0.0,0,0
36,False,0.951338,0.835905,0.45754,0.15592,0.082359,False,0.0,0,0
37,False,0.952978,0.835783,0.457558,0.155883,0.082444,False,0.0,0,0
38,False,0.950282,0.83598,0.457576,0.155848,0.08253,False,0.0,0,0
39,False,0.951385,0.835901,0.457593,0.155814,0.082618,False,0.0,0,0
40,False,0.949301,0.836048,0.457609,0.155781,0.082708,False,0.0,0,0
41,False,0.947097,0.836195,0.457625,0.15575,0.082799,False,0.0,0,0
42,False,0.948251,0.836119,0.45764,0.15572,0.082891,False,0.0,0,0
