cycle,use_judge,stability,adaptive_score,rigidity,dissent,identity_drift,archive_warning,jester_active,jester_pressure,judge_confidence,judge_closure,closure_cycle
1,True,0.904929,0.837124,0.426708,0.189805,0.05278,0.087,True,0.22,0.108412,False,
2,True,0.895368,0.83684,0.42379,0.19371,0.052744,0.087,True,0.22,0.203598,False,
3,True,0.891424,0.836669,0.420945,0.197517,0.049492,0.087,True,0.22,0.287758,False,
4,True,0.889486,0.836574,0.421171,0.197229,0.049714,0.087,False,0.0,0.361686,False,
5,True,0.8932,0.83675,0.421392,0.196948,0.050505,0.087,False,0.0,0.426778,False,
6,True,0.894142,0.83679,0.421607,0.196675,0.052403,0.087,False,0.0,0.483763,False,
7,True,0.893145,0.836747,0.421817,0.196408,0.048008,0.087,False,0.0,0.534653,False,
8,True,0.894458,0.836803,0.422022,0.196148,0.048344,0.087,False,0.0,0.579439,False,
9,True,0.894674,0.836812,0.422221,0.195894,0.047566,0.087,False,0.0,0.619001,False,
10,True,0.896482,0.836882,0.422416,0.195647,0.044025,0.087,False,0.0,0.654539,False,
11,True,0.896029,0.836865,0.422605,0.195405,0.044754,0.087,False,0.0,0.68566,False,
12,True,0.895757,0.836855,0.42279,0.19517,0.045001,0.087,False,0.0,0.712989,False,
13,True,0.896702,0.83689,0.42297,0.194941,0.042831,0.087,False,0.0,0.737475,False,
14,True,0.894987,0.836824,0.423146,0.194718,0.041042,0.087,False,0.0,0.759261,False,
15,True,0.894013,0.836785,0.423317,0.1945,0.043127,0.087,False,0.0,0.778012,False,
16,True,0.891747,0.836684,0.423485,0.194287,0.038879,0.087,False,0.0,0.795168,False,
17,True,0.88786,0.836488,0.420647,0.19808,0.037219,0.087,True,0.22,0.810378,False,
18,True,0.880803,0.836056,0.417881,0.201778,0.034711,0.087,True,0.22,0.823875,False,
19,True,0.879768,0.835984,0.415184,0.205384,0.033203,0.087,True,0.22,0.835974,False,
20,True,0.876013,0.835705,0.412555,0.208899,0.033612,0.087,True,0.22,0.846368,False,
21,True,0.876437,0.835738,0.412991,0.208326,0.035886,0.087,False,0.0,0.855125,False,
22,True,0.877132,0.835791,0.413416,0.207768,0.037101,0.087,False,0.0,0.862647,False,
23,True,0.87913,0.835938,0.413831,0.207224,0.035568,0.087,False,0.0,0.869637,False,
24,True,0.879667,0.835977,0.414235,0.206693,0.034527,0.087,False,0.0,0.876002,False,
25,True,0.875138,0.835636,0.414629,0.206176,0.036963,0.087,False,0.0,0.880947,False,
26,True,0.875175,0.835639,0.415013,0.205672,0.038359,0.087,False,0.0,0.885049,False,
27,True,0.879402,0.835958,0.415388,0.20518,0.032588,0.087,False,0.0,0.8899,False,
28,True,0.881325,0.836091,0.415753,0.2047,0.03226,0.087,False,0.0,0.894321,False,
29,True,0.88626,0.836399,0.416109,0.204233,0.033761,0.087,False,0.0,0.898178,False,
30,True,0.890693,0.836634,0.416457,0.203777,0.034946,0.087,False,0.0,0.901572,False,
31,True,0.893485,0.836762,0.416795,0.203333,0.033664,0.087,False,0.0,0.904923,False,
32,True,0.893242,0.836752,0.417125,0.202899,0.03246,0.087,False,0.0,0.908077,False,
33,True,0.893111,0.836746,0.417447,0.202477,0.035149,0.087,False,0.0,0.910362,False,
34,True,0.889223,0.836561,0.414761,0.206065,0.032038,0.087,True,0.22,0.912747,False,
35,True,0.888714,0.836534,0.412142,0.209563,0.033757,0.087,True,0.22,0.914511,False,
36,True,0.887632,0.836476,0.409588,0.212974,0.033488,0.087,True,0.22,0.91606,False,
37,True,0.885826,0.836374,0.407099,0.2163,0.033041,0.087,True,0.22,0.917417,False,
38,True,0.883168,0.836212,0.407671,0.215542,0.035322,0.087,False,0.0,0.918074,False,
39,True,0.884573,0.836299,0.408229,0.214804,0.0382,0.087,False,0.0,0.9182,False,
40,True,0.884421,0.83629,0.408774,0.214084,0.036376,0.087,False,0.0,0.918633,False,
41,True,0.882377,0.836161,0.409304,0.213382,0.037184,0.087,False,0.0,0.91877,False,
42,True,0.88308,0.836206,0.409822,0.212697,0.040028,0.087,False,0.0,0.918412,False,
43,True,0.884537,0.836297,0.410326,0.21203,0.037922,0.087,False,0.0,0.918546,False,
44,True,0.887693,0.836479,0.410818,0.211379,0.036871,0.087,False,0.0,0.919005,False,
45,True,0.883625,0.836241,0.411298,0.210744,0.034577,0.087,False,0.0,0.919627,False,
46,True,0.883794,0.836251,0.411765,0.210126,0.03169,0.087,False,0.0,0.920701,False,
47,True,0.882053,0.83614,0.412221,0.209523,0.030265,0.087,False,0.0,0.92182,False,
48,True,0.883898,0.836258,0.412666,0.208935,0.031241,0.087,False,0.0,0.922717,False,
49,True,0.889707,0.836585,0.413756,0.207027,0.028919,0.087,False,0.0,0.924108,True,49
50,True,0.891238,0.83666,0.414787,0.205241,0.028482,0.087,False,0.0,0.92549,True,49
51,True,0.889606,0.83658,0.412852,0.20741,0.026897,0.087,True,0.22,0.926913,True,49
52,True,0.891194,0.836658,0.411023,0.209439,0.028517,0.087,True,0.22,0.92795,True,49
53,True,0.887224,0.836453,0.409292,0.211339,0.029891,0.087,True,0.22,0.928408,True,49
54,True,0.887047,0.836444,0.407656,0.213118,0.028972,0.087,True,0.22,0.928971,True,49
55,True,0.8928,0.836732,0.409018,0.210942,0.02872,0.087,False,0.0,0.929806,True,49
56,True,0.89478,0.836816,0.410306,0.208906,0.030768,0.087,False,0.0,0.930267,True,49
57,True,0.8981,0.836939,0.411524,0.207,0.030488,0.087,False,0.0,0.930894,True,49
58,True,0.897534,0.83692,0.412677,0.205216,0.02928,0.087,False,0.0,0.931637,True,49
59,True,0.901943,0.837055,0.413767,0.203546,0.031615,0.087,False,0.0,0.931976,True,49
60,True,0.900997,0.837029,0.414797,0.201983,0.030637,0.087,False,0.0,0.932452,True,49
61,True,0.904333,0.837111,0.415772,0.20052,0.032249,0.087,False,0.0,0.932576,True,49
62,True,0.902677,0.837073,0.416694,0.199151,0.030358,0.087,False,0.0,0.933032,True,49
