cycle,use_judge,stability,adaptive_score,rigidity,dissent,identity_drift,archive_warning,jester_active,jester_pressure,judge_confidence,judge_closure,closure_cycle
1,True,0.910389,0.837204,0.425928,0.188928,0.041669,0.061,True,0.22,0.111036,False,
2,True,0.900698,0.83702,0.423029,0.192854,0.041722,0.061,True,0.22,0.208737,False,
3,True,0.896621,0.836887,0.420204,0.196683,0.038564,0.061,True,0.22,0.295121,False,
4,True,0.894558,0.836807,0.420448,0.196416,0.038871,0.061,False,0.0,0.370985,False,
5,True,0.898136,0.836941,0.420687,0.196155,0.039745,0.061,False,0.0,0.437759,False,
6,True,0.898953,0.836967,0.42092,0.195902,0.04172,0.061,False,0.0,0.496204,False,
7,True,0.897841,0.836931,0.421147,0.195654,0.037429,0.061,False,0.0,0.548355,False,
8,True,0.899031,0.83697,0.421368,0.195413,0.037846,0.061,False,0.0,0.594229,False,
9,True,0.899133,0.836973,0.421584,0.195177,0.037154,0.061,False,0.0,0.634728,False,
10,True,0.90082,0.837024,0.421795,0.194948,0.033718,0.061,False,0.0,0.671028,False,
11,True,0.900264,0.837008,0.422,0.194724,0.034522,0.061,False,0.0,0.702827,False,
12,True,0.899889,0.836997,0.4222,0.194506,0.034845,0.061,False,0.0,0.730746,False,
13,True,0.900726,0.837021,0.422395,0.194293,0.032773,0.061,False,0.0,0.755693,False,
14,True,0.898925,0.836967,0.422585,0.194086,0.031078,0.061,False,0.0,0.7779,False,
15,True,0.897862,0.836931,0.42277,0.193884,0.033218,0.061,False,0.0,0.797006,False,
16,True,0.895523,0.836846,0.422951,0.193687,0.029091,0.061,False,0.0,0.81445,False,
17,True,0.891544,0.836675,0.420127,0.197495,0.027525,0.061,True,0.22,0.829892,False,
18,True,0.884429,0.83629,0.417374,0.201207,0.025121,0.061,True,0.22,0.843572,False,
19,True,0.883278,0.836219,0.41469,0.204827,0.023706,0.061,True,0.22,0.855809,False,
20,True,0.87944,0.83596,0.412072,0.208356,0.024182,0.061,True,0.22,0.866309,False,
21,True,0.879782,0.835985,0.412521,0.207798,0.026495,0.061,False,0.0,0.875148,False,
22,True,0.880394,0.836027,0.412958,0.207253,0.027764,0.061,False,0.0,0.882728,False,
23,True,0.882293,0.836155,0.413384,0.206721,0.026325,0.061,False,0.0,0.889748,False,
24,True,0.882753,0.836185,0.413799,0.206203,0.025369,0.061,False,0.0,0.89612,False,
25,True,0.878217,0.835872,0.414204,0.205698,0.027834,0.061,False,0.0,0.901066,False,
26,True,0.878187,0.83587,0.414599,0.205206,0.029274,0.061,False,0.0,0.905158,False,
27,True,0.882288,0.836155,0.414984,0.204726,0.023672,0.061,False,0.0,0.909963,False,
28,True,0.88412,0.836271,0.415359,0.204257,0.023417,0.061,False,0.0,0.914327,False,
29,True,0.888916,0.836545,0.415725,0.203801,0.024955,0.061,False,0.0,0.918119,False,
30,True,0.893219,0.836751,0.416082,0.203356,0.026183,0.061,False,0.0,0.921443,False,
31,True,0.895908,0.83686,0.41643,0.202922,0.024991,0.061,False,0.0,0.924711,False,
32,True,0.895613,0.836849,0.416769,0.202499,0.023875,0.061,False,0.0,0.927773,False,
33,True,0.89543,0.836842,0.4171,0.202087,0.02657,0.061,False,0.0,0.929975,False,
34,True,0.891487,0.836672,0.414423,0.205684,0.02359,0.061,True,0.22,0.932259,False,
35,True,0.890864,0.836642,0.411812,0.209192,0.025332,0.061,True,0.22,0.933925,False,
36,True,0.88968,0.836584,0.409267,0.212612,0.02513,0.061,True,0.22,0.935372,False,
37,True,0.887788,0.836485,0.406785,0.215947,0.024754,0.061,True,0.22,0.936621,False,
38,True,0.885144,0.836334,0.407366,0.215199,0.02704,0.061,False,0.0,0.937182,False,
39,True,0.886483,0.836412,0.407931,0.214469,0.029906,0.061,False,0.0,0.937225,False,
40,True,0.886296,0.836401,0.408483,0.213757,0.028187,0.061,False,0.0,0.937562,False,
41,True,0.884261,0.83628,0.409021,0.213063,0.029032,0.061,False,0.0,0.93761,False,
42,True,0.884913,0.83632,0.409546,0.212386,0.031857,0.061,False,0.0,0.937174,False,
43,True,0.886305,0.836402,0.410057,0.211727,0.029865,0.061,False,0.0,0.937216,False,
44,True,0.889355,0.836567,0.410555,0.211084,0.028899,0.061,False,0.0,0.937573,False,
45,True,0.885352,0.836346,0.411042,0.210456,0.026725,0.061,False,0.0,0.938087,False,
46,True,0.885486,0.836354,0.411516,0.209845,0.023977,0.061,False,0.0,0.93904,False,
47,True,0.883759,0.836249,0.411978,0.209249,0.022649,0.061,False,0.0,0.940035,False,
48,True,0.88553,0.836357,0.412428,0.208668,0.023648,0.061,False,0.0,0.940815,False,
49,True,0.891083,0.836653,0.413531,0.206777,0.02155,0.061,False,0.0,0.942076,True,49
50,True,0.892477,0.836718,0.414575,0.205007,0.021274,0.061,False,0.0,0.943306,True,49
51,True,0.8907,0.836635,0.412652,0.207191,0.019884,0.061,True,0.22,0.944552,True,49
52,True,0.892072,0.836699,0.410833,0.209235,0.021592,0.061,True,0.22,0.945407,True,49
53,True,0.888049,0.836499,0.409113,0.211148,0.023058,0.061,True,0.22,0.945685,True,49
54,True,0.887728,0.836481,0.407486,0.212938,0.022303,0.061,True,0.22,0.946052,True,49
55,True,0.893287,0.836754,0.408857,0.210774,0.022189,0.061,False,0.0,0.946679,True,49
56,True,0.895181,0.836832,0.410154,0.208749,0.024294,0.061,False,0.0,0.946944,True,49
57,True,0.898378,0.836949,0.411381,0.206853,0.024147,0.061,False,0.0,0.947366,True,49
58,True,0.897805,0.836929,0.412541,0.205078,0.023102,0.061,False,0.0,0.9479,True,49
59,True,0.902059,0.837058,0.413638,0.203417,0.025471,0.061,False,0.0,0.948033,True,49
60,True,0.901122,0.837032,0.414676,0.201862,0.024642,0.061,False,0.0,0.948302,True,49
61,True,0.904335,0.837111,0.415657,0.200407,0.026305,0.061,False,0.0,0.948235,True,49
62,True,0.902715,0.837074,0.416585,0.199045,0.024593,0.061,False,0.0,0.948489,True,49
63,True,0.901959,0.837055,0.417463,0.19777,0.019201,0.061,False,0.0,0.949697,True,49
64,True,0.900351,0.83701,0.418293,0.196577,0.016023,0.061,False,0.0,0.951341,True,49
65,True,0.901992,0.837056,0.419078,0.19546,0.013675,0.061,False,0.0,0.953217,True,49
66,True,0.907079,0.837162,0.419821,0.194415,0.00753,0.061,False,0.0,0.955991,True,49
67,True,0.910086,0.837201,0.420523,0.193436,0.006457,0.061,False,0.0,0.958628,True,49
68,True,0.903073,0.837083,0.418277,0.19636,0.009589,0.061,True,0.22,0.960377,True,49
69,True,0.896688,0.83689,0.416153,0.199097,0.011538,0.061,True,0.22,0.961405,True,49
70,True,0.888421,0.836519,0.414144,0.201659,0.013633,0.061,True,0.22,0.961505,True,49
71,True,0.891514,0.836673,0.412244,0.204057,0.01529,0.061,True,0.22,0.961449,True,49
72,True,0.891533,0.836674,0.413358,0.202461,0.013882,0.061,False,0.0,0.961657,True,49
73,True,0.884887,0.836318,0.41441,0.200968,0.013902,0.061,False,0.0,0.961497,True,49
74,True,0.890162,0.836608,0.415406,0.19957,0.009439,0.061,False,0.0,0.962441,True,49
75,True,0.896011,0.836864,0.416348,0.198261,0.011233,0.061,False,0.0,0.963243,True,49
76,True,0.903069,0.837083,0.417239,0.197036,0.008352,0.061,False,0.0,0.964664,True,49
77,True,0.905165,0.837128,0.418081,0.19589,0.007007,0.061,False,0.0,0.96616,True,49
78,True,0.90692,0.83716,0.418877,0.194817,0.008508,0.061,False,0.0,0.967202,True,49
79,True,0.902689,0.837073,0.419631,0.193813,0.008876,0.061,False,0.0,0.968051,True,49
80,True,0.899637,0.836989,0.420343,0.192873,0.005459,0.061,False,0.0,0.969421,True,49
81,True,0.898862,0.836965,0.421017,0.191993,0.006742,0.061,False,0.0,0.970351,True,49
82,True,0.89992,0.836998,0.421655,0.191169,0.010564,0.061,False,0.0,0.970515,True,49
