cycle,use_judge,stability,adaptive_score,rigidity,dissent,identity_drift,archive_warning,jester_active,jester_pressure,judge_confidence,judge_closure,closure_cycle
1,False,0.904929,0.837124,0.426708,0.189805,0.05278,0.087,True,0.22,0.0,False,
2,False,0.895368,0.83684,0.42379,0.19371,0.052744,0.087,True,0.22,0.0,False,
3,False,0.891424,0.836669,0.420945,0.197517,0.049492,0.087,True,0.22,0.0,False,
4,False,0.889486,0.836574,0.421171,0.197229,0.049714,0.087,False,0.0,0.0,False,
5,False,0.8932,0.83675,0.421392,0.196948,0.050505,0.087,False,0.0,0.0,False,
6,False,0.894142,0.83679,0.421607,0.196675,0.052403,0.087,False,0.0,0.0,False,
7,False,0.893145,0.836747,0.421817,0.196408,0.048008,0.087,False,0.0,0.0,False,
8,False,0.894458,0.836803,0.422022,0.196148,0.048344,0.087,False,0.0,0.0,False,
9,False,0.894674,0.836812,0.422221,0.195894,0.047566,0.087,False,0.0,0.0,False,
10,False,0.896482,0.836882,0.422416,0.195647,0.044025,0.087,False,0.0,0.0,False,
11,False,0.896029,0.836865,0.422605,0.195405,0.044754,0.087,False,0.0,0.0,False,
12,False,0.895757,0.836855,0.42279,0.19517,0.045001,0.087,False,0.0,0.0,False,
13,False,0.896702,0.83689,0.42297,0.194941,0.042831,0.087,False,0.0,0.0,False,
14,False,0.894987,0.836824,0.423146,0.194718,0.041042,0.087,False,0.0,0.0,False,
15,False,0.894013,0.836785,0.423317,0.1945,0.043127,0.087,False,0.0,0.0,False,
16,False,0.891747,0.836684,0.423485,0.194287,0.038879,0.087,False,0.0,0.0,False,
17,False,0.88786,0.836488,0.420647,0.19808,0.037219,0.087,True,0.22,0.0,False,
18,False,0.880803,0.836056,0.417881,0.201778,0.034711,0.087,True,0.22,0.0,False,
19,False,0.879768,0.835984,0.415184,0.205384,0.033203,0.087,True,0.22,0.0,False,
20,False,0.876013,0.835705,0.412555,0.208899,0.033612,0.087,True,0.22,0.0,False,
21,False,0.876437,0.835738,0.412991,0.208326,0.035886,0.087,False,0.0,0.0,False,
22,False,0.877132,0.835791,0.413416,0.207768,0.037101,0.087,False,0.0,0.0,False,
23,False,0.87913,0.835938,0.413831,0.207224,0.035568,0.087,False,0.0,0.0,False,
24,False,0.879667,0.835977,0.414235,0.206693,0.034527,0.087,False,0.0,0.0,False,
25,False,0.875138,0.835636,0.414629,0.206176,0.036963,0.087,False,0.0,0.0,False,
26,False,0.875175,0.835639,0.415013,0.205672,0.038359,0.087,False,0.0,0.0,False,
27,False,0.879402,0.835958,0.415388,0.20518,0.032588,0.087,False,0.0,0.0,False,
28,False,0.881325,0.836091,0.415753,0.2047,0.03226,0.087,False,0.0,0.0,False,
29,False,0.88626,0.836399,0.416109,0.204233,0.033761,0.087,False,0.0,0.0,False,
30,False,0.890693,0.836634,0.416457,0.203777,0.034946,0.087,False,0.0,0.0,False,
31,False,0.893485,0.836762,0.416795,0.203333,0.033664,0.087,False,0.0,0.0,False,
32,False,0.893242,0.836752,0.417125,0.202899,0.03246,0.087,False,0.0,0.0,False,
33,False,0.893111,0.836746,0.417447,0.202477,0.035149,0.087,False,0.0,0.0,False,
34,False,0.889223,0.836561,0.414761,0.206065,0.032038,0.087,True,0.22,0.0,False,
35,False,0.888714,0.836534,0.412142,0.209563,0.033757,0.087,True,0.22,0.0,False,
36,False,0.887632,0.836476,0.409588,0.212974,0.033488,0.087,True,0.22,0.0,False,
37,False,0.885826,0.836374,0.407099,0.2163,0.033041,0.087,True,0.22,0.0,False,
