cycle,use_judge,stability,adaptive_score,rigidity,dissent,identity_drift,archive_warning,jester_active,jester_pressure,judge_confidence,judge_closure,closure_cycle
1,False,0.910389,0.837204,0.425928,0.188928,0.041669,0.061,True,0.22,0.0,False,
2,False,0.900698,0.83702,0.423029,0.192854,0.041722,0.061,True,0.22,0.0,False,
3,False,0.896621,0.836887,0.420204,0.196683,0.038564,0.061,True,0.22,0.0,False,
4,False,0.894558,0.836807,0.420448,0.196416,0.038871,0.061,False,0.0,0.0,False,
5,False,0.898136,0.836941,0.420687,0.196155,0.039745,0.061,False,0.0,0.0,False,
6,False,0.898953,0.836967,0.42092,0.195902,0.04172,0.061,False,0.0,0.0,False,
7,False,0.897841,0.836931,0.421147,0.195654,0.037429,0.061,False,0.0,0.0,False,
8,False,0.899031,0.83697,0.421368,0.195413,0.037846,0.061,False,0.0,0.0,False,
9,False,0.899133,0.836973,0.421584,0.195177,0.037154,0.061,False,0.0,0.0,False,
10,False,0.90082,0.837024,0.421795,0.194948,0.033718,0.061,False,0.0,0.0,False,
11,False,0.900264,0.837008,0.422,0.194724,0.034522,0.061,False,0.0,0.0,False,
12,False,0.899889,0.836997,0.4222,0.194506,0.034845,0.061,False,0.0,0.0,False,
13,False,0.900726,0.837021,0.422395,0.194293,0.032773,0.061,False,0.0,0.0,False,
14,False,0.898925,0.836967,0.422585,0.194086,0.031078,0.061,False,0.0,0.0,False,
15,False,0.897862,0.836931,0.42277,0.193884,0.033218,0.061,False,0.0,0.0,False,
16,False,0.895523,0.836846,0.422951,0.193687,0.029091,0.061,False,0.0,0.0,False,
17,False,0.891544,0.836675,0.420127,0.197495,0.027525,0.061,True,0.22,0.0,False,
18,False,0.884429,0.83629,0.417374,0.201207,0.025121,0.061,True,0.22,0.0,False,
19,False,0.883278,0.836219,0.41469,0.204827,0.023706,0.061,True,0.22,0.0,False,
20,False,0.87944,0.83596,0.412072,0.208356,0.024182,0.061,True,0.22,0.0,False,
21,False,0.879782,0.835985,0.412521,0.207798,0.026495,0.061,False,0.0,0.0,False,
22,False,0.880394,0.836027,0.412958,0.207253,0.027764,0.061,False,0.0,0.0,False,
23,False,0.882293,0.836155,0.413384,0.206721,0.026325,0.061,False,0.0,0.0,False,
24,False,0.882753,0.836185,0.413799,0.206203,0.025369,0.061,False,0.0,0.0,False,
25,False,0.878217,0.835872,0.414204,0.205698,0.027834,0.061,False,0.0,0.0,False,
26,False,0.878187,0.83587,0.414599,0.205206,0.029274,0.061,False,0.0,0.0,False,
27,False,0.882288,0.836155,0.414984,0.204726,0.023672,0.061,False,0.0,0.0,False,
28,False,0.88412,0.836271,0.415359,0.204257,0.023417,0.061,False,0.0,0.0,False,
29,False,0.888916,0.836545,0.415725,0.203801,0.024955,0.061,False,0.0,0.0,False,
30,False,0.893219,0.836751,0.416082,0.203356,0.026183,0.061,False,0.0,0.0,False,
31,False,0.895908,0.83686,0.41643,0.202922,0.024991,0.061,False,0.0,0.0,False,
32,False,0.895613,0.836849,0.416769,0.202499,0.023875,0.061,False,0.0,0.0,False,
33,False,0.89543,0.836842,0.4171,0.202087,0.02657,0.061,False,0.0,0.0,False,
34,False,0.891487,0.836672,0.414423,0.205684,0.02359,0.061,True,0.22,0.0,False,
35,False,0.890864,0.836642,0.411812,0.209192,0.025332,0.061,True,0.22,0.0,False,
36,False,0.88968,0.836584,0.409267,0.212612,0.02513,0.061,True,0.22,0.0,False,
37,False,0.887788,0.836485,0.406785,0.215947,0.024754,0.061,True,0.22,0.0,False,
38,False,0.885144,0.836334,0.407366,0.215199,0.02704,0.061,False,0.0,0.0,False,
39,False,0.886483,0.836412,0.407931,0.214469,0.029906,0.061,False,0.0,0.0,False,
40,False,0.886296,0.836401,0.408483,0.213757,0.028187,0.061,False,0.0,0.0,False,
41,False,0.884261,0.83628,0.409021,0.213063,0.029032,0.061,False,0.0,0.0,False,
42,False,0.884913,0.83632,0.409546,0.212386,0.031857,0.061,False,0.0,0.0,False,
43,False,0.886305,0.836402,0.410057,0.211727,0.029865,0.061,False,0.0,0.0,False,
44,False,0.889355,0.836567,0.410555,0.211084,0.028899,0.061,False,0.0,0.0,False,
45,False,0.885352,0.836346,0.411042,0.210456,0.026725,0.061,False,0.0,0.0,False,
46,False,0.885486,0.836354,0.411516,0.209845,0.023977,0.061,False,0.0,0.0,False,
47,False,0.883759,0.836249,0.411978,0.209249,0.022649,0.061,False,0.0,0.0,False,
48,False,0.88553,0.836357,0.412428,0.208668,0.023648,0.061,False,0.0,0.0,False,
49,False,0.890833,0.836641,0.412868,0.208101,0.021878,0.061,False,0.0,0.0,False,
50,False,0.892072,0.836699,0.413296,0.207548,0.021924,0.061,False,0.0,0.0,False,
51,False,0.890031,0.836602,0.410713,0.21101,0.020831,0.061,True,0.22,0.0,False,
52,False,0.891232,0.83666,0.408196,0.214384,0.022861,0.061,True,0.22,0.0,False,
53,False,0.886787,0.836429,0.405741,0.217675,0.024667,0.061,True,0.22,0.0,False,
54,False,0.886033,0.836386,0.403347,0.220883,0.024239,0.061,True,0.22,0.0,False,
55,False,0.891525,0.836674,0.404014,0.220011,0.024448,0.061,False,0.0,0.0,False,
56,False,0.893475,0.836762,0.404663,0.219161,0.026905,0.061,False,0.0,0.0,False,
57,False,0.89693,0.836898,0.405297,0.218332,0.027104,0.061,False,0.0,0.0,False,
58,False,0.896573,0.836885,0.405914,0.217523,0.026388,0.061,False,0.0,0.0,False,
59,False,0.901308,0.837038,0.406516,0.216735,0.029118,0.061,False,0.0,0.0,False,
60,False,0.90078,0.837023,0.407103,0.215967,0.028635,0.061,False,0.0,0.0,False,
61,False,0.904598,0.837117,0.407676,0.215218,0.030667,0.061,False,0.0,0.0,False,
62,False,0.903463,0.837092,0.408234,0.214487,0.029295,0.061,False,0.0,0.0,False,
63,False,0.903133,0.837084,0.408778,0.213775,0.024157,0.061,False,0.0,0.0,False,
64,False,0.901837,0.837052,0.409309,0.213081,0.021184,0.061,False,0.0,0.0,False,
65,False,0.903887,0.837101,0.409826,0.212404,0.019002,0.061,False,0.0,0.0,False,
66,False,0.909698,0.837197,0.41033,0.211744,0.012929,0.061,False,0.0,0.0,False,
67,False,0.913602,0.837223,0.410822,0.2111,0.011912,0.061,False,0.0,0.0,False,
68,False,0.907017,0.837161,0.408301,0.214473,0.015146,0.061,True,0.22,0.0,False,
69,False,0.900641,0.837019,0.405844,0.217761,0.017226,0.061,True,0.22,0.0,False,
70,False,0.891856,0.836689,0.403448,0.220967,0.019483,0.061,True,0.22,0.0,False,
71,False,0.89464,0.83681,0.401112,0.224093,0.021327,0.061,True,0.22,0.0,False,
72,False,0.89436,0.836799,0.401834,0.22314,0.020082,0.061,False,0.0,0.0,False,
73,False,0.886997,0.836441,0.402538,0.222212,0.020264,0.061,False,0.0,0.0,False,
74,False,0.891911,0.836692,0.403225,0.221306,0.015894,0.061,False,0.0,0.0,False,
75,False,0.897781,0.836928,0.403894,0.220424,0.017807,0.061,False,0.0,0.0,False,
76,False,0.90531,0.837131,0.404547,0.219563,0.015001,0.061,False,0.0,0.0,False,
77,False,0.907998,0.837176,0.405183,0.218724,0.013709,0.061,False,0.0,0.0,False,
78,False,0.910443,0.837204,0.405803,0.217906,0.015286,0.061,False,0.0,0.0,False,
79,False,0.906615,0.837155,0.406408,0.217108,0.015735,0.061,False,0.0,0.0,False,
80,False,0.90376,0.837099,0.406998,0.216331,0.012346,0.061,False,0.0,0.0,False,
81,False,0.903129,0.837084,0.407573,0.215572,0.013677,0.061,False,0.0,0.0,False,
82,False,0.904394,0.837113,0.408134,0.214833,0.017605,0.061,False,0.0,0.0,False,
83,False,0.901225,0.837035,0.40868,0.214112,0.019179,0.061,False,0.0,0.0,False,
84,False,0.901355,0.837039,0.409213,0.213409,0.019363,0.061,False,0.0,0.0,False,
85,False,0.895633,0.83685,0.406733,0.216724,0.016121,0.061,True,0.22,0.0,False,
86,False,0.8895,0.836575,0.404315,0.219956,0.017187,0.061,True,0.22,0.0,False,
87,False,0.881701,0.836116,0.401957,0.223107,0.016566,0.061,True,0.22,0.0,False,
88,False,0.877534,0.835821,0.399658,0.226179,0.015839,0.061,True,0.22,0.0,False,
89,False,0.874817,0.83561,0.400417,0.225175,0.017044,0.061,False,0.0,0.0,False,
90,False,0.868968,0.835106,0.401156,0.224196,0.017659,0.061,False,0.0,0.0,False,
91,False,0.869878,0.835189,0.401877,0.223241,0.015503,0.061,False,0.0,0.0,False,
92,False,0.87536,0.835654,0.40258,0.22231,0.01419,0.061,False,0.0,0.0,False,
93,False,0.875907,0.835697,0.403266,0.221402,0.012107,0.061,False,0.0,0.0,False,
94,False,0.880186,0.836013,0.403934,0.220517,0.012997,0.061,False,0.0,0.0,False,
95,False,0.877525,0.835821,0.404586,0.219654,0.014682,0.061,False,0.0,0.0,False,
96,False,0.876438,0.835738,0.405221,0.218813,0.012908,0.061,False,0.0,0.0,False,
97,False,0.879018,0.83593,0.405841,0.217992,0.013217,0.061,False,0.0,0.0,False,
98,False,0.879497,0.835965,0.406445,0.217193,0.015337,0.061,False,0.0,0.0,False,
99,False,0.880646,0.836045,0.407033,0.216413,0.016344,0.061,False,0.0,0.0,False,
100,False,0.879192,0.835943,0.407608,0.215652,0.01678,0.061,False,0.0,0.0,False,
101,False,0.872907,0.835453,0.408167,0.214911,0.016314,0.061,False,0.0,0.0,False,
