cycle,stability,adaptive_score,rigidity,dissent,identity_drift,light_king_power,shadow_queen_power,light_pool,shadow_pool,light_order,shadow_correction,bridge_tension,faction_balance,emergence,jester_pulse,judge_closure
1,0.906349,0.83715,0.388247,0.231478,0.01117,0.51,0.51,0.490009,0.509767,0.493173,0.505255,0.001692,0.966169,0.890067,0.18,0
2,0.932837,0.836907,0.381706,0.233535,0.009769,0.51,0.51,0.490222,0.509805,0.502013,0.498753,0.001911,0.990872,0.900442,0.18,0
3,0.95574,0.835565,0.375298,0.234745,0.009252,0.51,0.51,0.490013,0.509883,0.510232,0.512287,0.001931,0.994246,0.909902,0.18,0
4,0.981949,0.832743,0.368981,0.235349,0.008114,0.51,0.51,0.490217,0.50978,0.509435,0.515173,0.002464,0.983933,0.917942,0.0,0
5,1,0.83,0.362852,0.235392,0.007998,0.51,0.51,0.490259,0.509292,0.510514,0.510721,0.002148,0.999421,0.92594,0.0,0
6,1,0.83,0.356741,0.236947,0.006449,0.51,0.51,0.489667,0.509416,0.503802,0.516916,0.003683,0.963282,0.930861,0.0,0
7,1,0.83,0.35083,0.236745,0.004937,0.51,0.51,0.489694,0.509158,0.505938,0.497084,0.004407,0.975207,0.935991,0.0,0
8,1,0.83,0.345124,0.236975,0.002978,0.51,0.51,0.490249,0.509424,0.502314,0.505587,0.004249,0.990835,0.941409,0.0,0
9,1,0.83,0.339498,0.238066,0.005484,0.51,0.51,0.490183,0.509522,0.498415,0.508644,0.005086,0.971359,0.945302,0.0,0
10,1,0.83,0.334049,0.239389,0.007018,0.51,0.51,0.490376,0.510009,0.501721,0.509472,0.005459,0.978296,0.949267,0.0,0
11,1,0.83,0.328678,0.238856,0.0078,0.51,0.51,0.490346,0.510073,0.517509,0.501886,0.006882,0.956256,0.951687,0.0,0
12,1,0.83,0.323609,0.239605,0.007966,0.51,0.51,0.490149,0.510095,0.507935,0.507852,0.00593,0.999767,0.956337,0.0,0
13,1,0.83,0.318625,0.239722,0.009401,0.51,0.51,0.489872,0.509944,0.513175,0.508263,0.005788,0.986246,0.95982,0.0,0
14,1,0.83,0.313733,0.240411,0.010037,0.51,0.51,0.489664,0.509976,0.507274,0.517336,0.006386,0.971827,0.962155,0.0,0
15,1,0.83,0.309031,0.240201,0.011237,0.51,0.51,0.489829,0.509746,0.508895,0.503666,0.006224,0.985358,0.964958,0.0,0
16,1,0.83,0.304474,0.24031,0.009138,0.51,0.51,0.489435,0.509641,0.505319,0.509551,0.005945,0.98815,0.967615,0.0,0
17,1,0.83,0.300047,0.240388,0.011375,0.51,0.51,0.489351,0.509099,0.501519,0.496759,0.005779,0.986672,0.969722,0.0,0
18,1,0.83,0.295758,0.239162,0.009727,0.51,0.51,0.489133,0.508904,0.507767,0.503317,0.005593,0.987541,0.971418,0.0,0
19,1,0.83,0.291605,0.240395,0.007351,0.51,0.51,0.489008,0.509182,0.511036,0.515348,0.005414,0.987928,0.972801,0.18,0
20,1,0.83,0.287432,0.243384,0.006324,0.51,0.51,0.489127,0.509516,0.504047,0.525107,0.007604,0.941033,0.971428,0.18,0
21,1,0.83,0.283438,0.246294,0.006054,0.51,0.51,0.488993,0.50984,0.496801,0.515594,0.009171,0.947381,0.970735,0.18,0
22,1,0.83,0.279651,0.247707,0.005764,0.51,0.51,0.488761,0.509865,0.509904,0.498005,0.009553,0.966681,0.971291,0.18,0
23,1,0.83,0.276064,0.247456,0.002566,0.51,0.51,0.489027,0.509684,0.507704,0.503836,0.008757,0.98917,0.972994,0.0,0
24,1,0.83,0.272574,0.246247,0.00294,0.51,0.51,0.489253,0.509545,0.515607,0.510558,0.008238,0.985862,0.974371,0.0,0
