cycle,use_mercury,stability,adaptive_score,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
1,True,0.893431,0.83676,0.388734,0.260626,0.017436,0.519401,0.522396,0.501182,0.043546,0.00276,0.007288,0.900651,0.2,0
2,True,0.902105,0.837059,0.387545,0.270926,0.019463,0.52179,0.511127,0.502537,0.038018,0.004323,0.009266,0.901297,0.2,0
3,True,0.91138,0.837212,0.386448,0.280842,0.019278,0.51229,0.51381,0.504289,0.032317,0.004944,0.010613,0.901935,0.2,0
4,True,0.927161,0.837077,0.385439,0.290407,0.017617,0.512854,0.514854,0.519828,0.027337,0.005088,0.01048,0.902564,0.0,0
5,True,0.939888,0.836606,0.384517,0.29965,0.017356,0.527005,0.526176,0.530523,0.022938,0.004927,0.009791,0.903168,0.0,0
6,True,0.952539,0.835816,0.383634,0.308809,0.017048,0.519758,0.507365,0.525155,0.020944,0.00586,0.009992,0.903772,0.0,0
7,True,0.961462,0.835066,0.382764,0.31799,0.019135,0.520104,0.521557,0.540939,0.019674,0.007855,0.015746,0.904382,0.0,0
8,True,0.974987,0.833627,0.381862,0.327435,0.023202,0.521311,0.504986,0.54386,0.020798,0.011055,0.021616,0.905011,0.0,0
9,True,0.989619,0.831657,0.380991,0.336889,0.024844,0.528141,0.509521,0.535209,0.020137,0.0118,0.02012,0.905622,0.0,0
10,True,0.997871,0.830357,0.380098,0.346592,0.022977,0.526124,0.501569,0.543358,0.021527,0.014279,0.022989,0.906273,0.0,0
11,True,1,0.83,0.379157,0.356659,0.023096,0.526578,0.505944,0.556284,0.023693,0.017884,0.030274,0.906973,0.0,0
12,True,1,0.83,0.378198,0.367028,0.022519,0.53805,0.490956,0.546379,0.026079,0.019842,0.027551,0.90769,0.0,0
13,True,1,0.83,0.377211,0.377733,0.021977,0.540303,0.492839,0.55347,0.02866,0.02223,0.027307,0.908434,0.0,0
14,True,1,0.83,0.376193,0.388761,0.024106,0.532498,0.496423,0.557038,0.030775,0.025079,0.031661,0.909196,0.0,0
15,True,1,0.83,0.375233,0.399777,0.02226,0.538307,0.490568,0.531926,0.030964,0.024016,0.025329,0.909921,0.0,0
16,True,1,0.83,0.374243,0.411132,0.023851,0.538742,0.490539,0.557435,0.033418,0.026645,0.02774,0.910663,0.0,0
17,True,1,0.83,0.373295,0.422493,0.025273,0.53822,0.493292,0.541942,0.033241,0.026581,0.023681,0.91137,0.0,0
18,True,1,0.83,0.372289,0.434302,0.025639,0.536811,0.490743,0.567063,0.036416,0.03032,0.031046,0.912124,0.0,0
19,True,1,0.83,0.37127,0.446378,0.028856,0.535562,0.486865,0.556727,0.038245,0.032447,0.033303,0.912876,0.0,0
20,True,1,0.83,0.370282,0.458547,0.025429,0.546022,0.482896,0.547434,0.039105,0.032521,0.027207,0.913623,0.0,0
21,True,1,0.83,0.369375,0.470622,0.026182,0.543021,0.484682,0.529225,0.039067,0.03012,0.021766,0.914291,0.0,0
22,True,1,0.83,0.368499,0.482765,0.025438,0.537783,0.474346,0.535957,0.039647,0.030088,0.017412,0.91494,0.0,0
23,True,1,0.83,0.367649,0.495029,0.025433,0.550376,0.479294,0.543581,0.041041,0.0299,0.01393,0.915563,0.2,0
24,True,1,0.83,0.366849,0.507268,0.0243,0.540734,0.47963,0.533494,0.040986,0.028978,0.011144,0.916152,0.2,0
25,True,1,0.83,0.366121,0.519406,0.023254,0.54218,0.482849,0.525759,0.040728,0.026775,0.008915,0.916682,0.2,0
26,True,1,0.83,0.365406,0.531752,0.024553,0.547868,0.463937,0.528644,0.043469,0.026211,0.007132,0.917175,0.2,0
27,True,1,0.83,0.364696,0.544243,0.024817,0.543938,0.469529,0.538374,0.044573,0.026971,0.005706,0.917665,0.0,0
28,True,1,0.83,0.364039,0.556701,0.023858,0.542173,0.473349,0.523603,0.044809,0.025413,0.004565,0.918111,0.0,0
29,True,1,0.83,0.363443,0.569132,0.022235,0.551199,0.476256,0.520924,0.045737,0.022863,0.003652,0.918501,0.0,0
30,True,1,0.83,0.362903,0.581495,0.025989,0.543587,0.475513,0.499675,0.045673,0.021044,0.002921,0.918819,0.0,0
31,True,1,0.83,0.362381,0.593955,0.023036,0.548685,0.469787,0.491512,0.046919,0.02058,0.002337,0.919133,0.0,0
