cycle,use_mercury,stability,adaptive_score,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
1,False,0.904213,0.837109,0.384016,0.250048,0.017017,0.519401,0.522396,0.0,0.043419,0.0,0.0,0.9032,0.2,0
2,False,0.925082,0.837123,0.378253,0.250067,0.014676,0.507273,0.529717,0.0,0.040483,0.0,0.0,0.906272,0.2,0
3,False,0.943486,0.836414,0.372703,0.250045,0.013438,0.523281,0.512048,0.0,0.036388,0.0,0.0,0.909221,0.2,0
4,False,0.963189,0.834903,0.367357,0.249984,0.014553,0.510512,0.517633,0.0,0.03229,0.0,0.0,0.912052,0.0,0
5,False,0.98187,0.832753,0.36221,0.249886,0.013297,0.518439,0.514187,0.0,0.028365,0.0,0.0,0.91477,0.0,0
6,False,1,0.83,0.357252,0.249758,0.013785,0.529021,0.524308,0.0,0.025054,0.0,0.0,0.917379,0.0,0
7,False,1,0.83,0.352478,0.249621,0.012241,0.524921,0.508442,0.0,0.023853,0.0,0.0,0.919884,0.0,0
8,False,1,0.83,0.34788,0.249487,0.010946,0.526262,0.503515,0.0,0.023698,0.0,0.0,0.922289,0.0,0
9,False,1,0.83,0.343453,0.249345,0.012095,0.531909,0.516061,0.0,0.022599,0.0,0.0,0.924597,0.0,0
10,False,1,0.83,0.339189,0.249198,0.015199,0.525931,0.509441,0.0,0.021744,0.0,0.0,0.926813,0.0,0
11,False,1,0.83,0.335083,0.249061,0.013649,0.531639,0.505781,0.0,0.02232,0.0,0.0,0.928941,0.0,0
12,False,1,0.83,0.331129,0.248942,0.012461,0.530883,0.49774,0.0,0.023835,0.0,0.0,0.930983,0.0,0
13,False,1,0.83,0.327321,0.248813,0.010942,0.530508,0.516134,0.0,0.022511,0.0,0.0,0.932944,0.0,0
14,False,1,0.83,0.323655,0.248712,0.008842,0.54118,0.50025,0.0,0.025089,0.0,0.0,0.934826,0.0,0
15,False,1,0.83,0.320124,0.248627,0.008528,0.528,0.493162,0.0,0.026454,0.0,0.0,0.936633,0.0,0
16,False,1,0.83,0.316724,0.248586,0.008483,0.544357,0.487473,0.0,0.030714,0.0,0.0,0.938368,0.0,0
17,False,1,0.83,0.31345,0.248574,0.007854,0.540138,0.488853,0.0,0.033594,0.0,0.0,0.940033,0.0,0
18,False,1,0.83,0.310297,0.24861,0.007882,0.548322,0.47993,0.0,0.038466,0.0,0.0,0.941632,0.0,0
19,False,1,0.83,0.307262,0.248649,0.00709,0.52709,0.484976,0.0,0.038977,0.0,0.0,0.943166,0.0,0
20,False,1,0.83,0.304339,0.248701,0.00844,0.538943,0.49031,0.0,0.040328,0.0,0.0,0.94464,0.0,0
21,False,1,0.83,0.301524,0.248772,0.006149,0.54163,0.486784,0.0,0.042361,0.0,0.0,0.946054,0.0,0
22,False,1,0.83,0.298814,0.248879,0.005839,0.550669,0.480299,0.0,0.046282,0.0,0.0,0.947412,0.0,0
