cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
1,True,0.871698,0.810124,0.333251,0.567057,0.398644,0.288377,0.012744,0.50673,0.521631,0.509932,0.042788,0.000595,0.0,0.9006,0.2,0
2,True,0.87765,0.821813,0.352414,0.582325,0.397305,0.296784,0.01053,0.516995,0.542139,0.497571,0.040434,0.004991,0.00777,0.901277,0.2,0
3,True,0.882025,0.840684,0.352505,0.595732,0.396033,0.305051,0.008103,0.512097,0.513463,0.512853,0.03332,0.004302,0.006216,0.901934,0.2,0
4,True,0.887079,0.85983,0.360753,0.61249,0.394805,0.313278,0.004177,0.513371,0.52332,0.503863,0.029657,0.005727,0.008775,0.902616,0.0,0
5,True,0.897962,0.863748,0.362564,0.615985,0.393632,0.321428,0.005295,0.516415,0.510737,0.518579,0.02526,0.005626,0.007886,0.903303,0.0,0
6,True,0.90377,0.869216,0.377891,0.62588,0.392487,0.329596,0.004582,0.521865,0.524523,0.546825,0.023708,0.008147,0.01523,0.904008,0.0,0
7,True,0.9138,0.862621,0.383751,0.623406,0.39138,0.337776,0.007402,0.531216,0.513253,0.540027,0.022654,0.009497,0.015708,0.904721,0.0,0
8,True,0.921304,0.857285,0.404446,0.627533,0.390284,0.346044,0.008937,0.520434,0.511812,0.553396,0.023566,0.013386,0.025752,0.905465,0.0,0
9,True,0.927236,0.849752,0.422087,0.628765,0.389198,0.354424,0.010596,0.531271,0.509461,0.561875,0.025614,0.017323,0.032843,0.906248,0.0,0
10,True,0.931059,0.846357,0.440201,0.633152,0.388122,0.362913,0.010994,0.526079,0.506936,0.561483,0.027549,0.021194,0.040436,0.907069,0.0,0
11,True,0.939201,0.849045,0.442929,0.636205,0.387085,0.371427,0.010562,0.530504,0.504995,0.545888,0.027497,0.022167,0.038502,0.907877,0.0,0
12,True,0.941653,0.848636,0.447743,0.637736,0.386076,0.380018,0.010079,0.535872,0.495068,0.551247,0.029289,0.024072,0.036952,0.908698,0.0,0
13,True,0.946131,0.842034,0.446748,0.632398,0.385105,0.388647,0.011904,0.539553,0.494891,0.54585,0.030132,0.02471,0.03208,0.909507,0.0,0
14,True,0.952415,0.851433,0.445799,0.639094,0.38417,0.397335,0.008698,0.542629,0.486746,0.545617,0.031773,0.025581,0.026859,0.910291,0.0,0
15,True,0.956814,0.849078,0.451875,0.639647,0.383258,0.406099,0.008795,0.543885,0.492849,0.556709,0.033717,0.027367,0.026617,0.911108,0.0,0
16,True,0.957163,0.841763,0.461745,0.637876,0.382365,0.414956,0.010105,0.541739,0.491748,0.560866,0.035942,0.029713,0.028945,0.911943,0.0,0
17,True,0.956065,0.841611,0.460319,0.637221,0.381512,0.423825,0.010124,0.542857,0.492274,0.546826,0.036019,0.02965,0.024744,0.912738,0.0,0
18,True,0.958025,0.836198,0.470422,0.636924,0.380674,0.432791,0.010827,0.538838,0.482919,0.557418,0.038475,0.032014,0.027227,0.913551,0.0,0
19,True,0.963088,0.843405,0.471322,0.642754,0.379873,0.441767,0.008947,0.544818,0.495853,0.55275,0.038377,0.03207,0.024955,0.914332,0.0,0
20,True,0.963641,0.851796,0.473773,0.650088,0.379102,0.450782,0.006162,0.545284,0.488893,0.553433,0.039214,0.032669,0.023223,0.915112,0.0,0
21,True,0.96933,0.841078,0.467817,0.639655,0.378389,0.459762,0.009818,0.545563,0.491241,0.5341,0.038674,0.030293,0.018579,0.915839,0.0,0
22,True,0.974261,0.82782,0.47827,0.633466,0.377688,0.468818,0.013266,0.538506,0.483857,0.556095,0.040381,0.03234,0.021899,0.916553,0.0,0
23,True,0.973897,0.836949,0.47531,0.639336,0.377027,0.477907,0.009903,0.555916,0.481973,0.545245,0.041986,0.031494,0.017519,0.917198,0.2,0
24,True,0.977111,0.824358,0.473457,0.629031,0.376404,0.487007,0.013554,0.54495,0.477085,0.537123,0.042572,0.03074,0.014015,0.917831,0.2,0
25,True,0.981752,0.819826,0.47048,0.624475,0.375826,0.49606,0.015786,0.539611,0.489486,0.532426,0.040924,0.028939,0.011212,0.918378,0.2,0
26,True,0.98651,0.819757,0.466219,0.62285,0.375303,0.505073,0.016181,0.53771,0.479845,0.517338,0.040502,0.026086,0.00897,0.91883,0.2,0
27,True,0.987812,0.823862,0.462321,0.624524,0.374833,0.514065,0.014819,0.548981,0.483996,0.511164,0.04101,0.023179,0.007176,0.919205,0.0,0
28,True,0.993676,0.824405,0.461353,0.624577,0.374398,0.523076,0.014284,0.545019,0.471386,0.520948,0.042464,0.021719,0.005741,0.919549,0.0,0
29,True,1,0.820705,0.459904,0.621238,0.374002,0.532111,0.014835,0.555503,0.474837,0.507083,0.0445,0.01981,0.004592,0.919846,0.0,0
30,True,1,0.821109,0.460708,0.621841,0.373631,0.54112,0.015302,0.546952,0.491566,0.504872,0.043137,0.019051,0.003674,0.920114,0.0,0
31,True,1,0.82351,0.462928,0.624482,0.373278,0.550139,0.014564,0.53966,0.474838,0.525816,0.043151,0.018983,0.002939,0.920367,0.0,0
32,True,1,0.816055,0.461192,0.618191,0.372965,0.559167,0.016153,0.545916,0.467893,0.505059,0.044746,0.016584,0.002351,0.92057,0.0,0
33,True,1,0.820261,0.466776,0.623439,0.372649,0.568241,0.014822,0.552396,0.481275,0.488276,0.045227,0.01826,0.001881,0.920786,0.0,0
34,True,1,0.81621,0.468651,0.621048,0.372352,0.577333,0.01569,0.5414,0.468275,0.490087,0.045861,0.017769,0.001505,0.920995,0.0,0
35,True,1,0.804344,0.470525,0.612698,0.372074,0.586413,0.019543,0.542429,0.480091,0.497288,0.045086,0.017237,0.001204,0.921179,0.0,0
36,True,1,0.802039,0.486178,0.616591,0.371769,0.595586,0.019849,0.540441,0.477535,0.463926,0.046153,0.021133,0.006407,0.921404,0.0,0
