cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
1,True,0.87065,0.806731,0.339818,0.567066,0.398633,0.288387,0.013768,0.513002,0.509713,0.523605,0.042667,0.001715,0.004241,0.900646,0.2,0
2,True,0.879697,0.819519,0.342198,0.576932,0.397327,0.296637,0.013384,0.510477,0.513279,0.513886,0.035396,0.001756,0.003636,0.901249,0.2,0
3,True,0.881249,0.819982,0.352351,0.581005,0.396064,0.304826,0.015323,0.518272,0.516308,0.504243,0.030708,0.003336,0.007735,0.901865,0.2,0
4,True,0.883176,0.815819,0.362659,0.581839,0.394841,0.312973,0.018213,0.520296,0.518855,0.534585,0.027068,0.004971,0.011903,0.902476,0.0,0
5,True,0.894432,0.817792,0.379196,0.589332,0.39364,0.321163,0.018437,0.517063,0.507203,0.540898,0.026239,0.008302,0.019057,0.90311,0.0,0
6,True,0.898142,0.829476,0.382219,0.598881,0.392487,0.329322,0.016152,0.515359,0.527818,0.534765,0.023845,0.008984,0.018024,0.903733,0.0,0
7,True,0.900752,0.833043,0.381871,0.601325,0.391381,0.337466,0.015851,0.532669,0.509069,0.532344,0.022385,0.009333,0.014419,0.90436,0.0,0
8,True,0.911904,0.839431,0.389048,0.608647,0.390307,0.345653,0.014262,0.530666,0.503488,0.53994,0.02273,0.011227,0.015245,0.905005,0.0,0
9,True,0.918827,0.840087,0.404832,0.61509,0.389251,0.353907,0.014073,0.522591,0.507609,0.547665,0.023445,0.014214,0.022226,0.9057,0.0,0
10,True,0.924283,0.826438,0.432599,0.615424,0.388189,0.362307,0.017197,0.524493,0.511905,0.570869,0.026301,0.019598,0.036331,0.90648,0.0,0
11,True,0.928172,0.83766,0.43356,0.624142,0.387163,0.37075,0.013685,0.535216,0.497115,0.54388,0.027178,0.020734,0.03253,0.90723,0.0,0
12,True,0.934274,0.837845,0.443832,0.628153,0.386161,0.379255,0.013459,0.529658,0.503818,0.553427,0.028239,0.022968,0.035532,0.908027,0.0,0
13,True,0.939253,0.831917,0.458318,0.629132,0.385172,0.387862,0.014514,0.528851,0.498557,0.559724,0.030496,0.026195,0.040775,0.908862,0.0,0
14,True,0.945868,0.830528,0.467813,0.631629,0.384201,0.396563,0.014241,0.537157,0.496292,0.561543,0.032837,0.028803,0.042374,0.909712,0.0,0
15,True,0.947961,0.829166,0.466377,0.630058,0.383275,0.405262,0.014943,0.538391,0.503389,0.549196,0.032423,0.028733,0.038221,0.910533,0.0,0
16,True,0.948771,0.834813,0.472692,0.636721,0.38237,0.414047,0.012362,0.544833,0.494739,0.562931,0.03477,0.030751,0.037816,0.91136,0.0,0
17,True,0.954957,0.837468,0.47911,0.641165,0.381487,0.422908,0.010996,0.54082,0.490565,0.559595,0.036795,0.032592,0.037763,0.912215,0.0,0
18,True,0.956029,0.835346,0.48892,0.643228,0.380617,0.431882,0.010382,0.534584,0.475545,0.557344,0.039988,0.035348,0.039314,0.913107,0.0,0
19,True,0.958313,0.837137,0.496781,0.647569,0.379768,0.440919,0.009364,0.54225,0.493191,0.565411,0.041457,0.037076,0.040716,0.914006,0.0,0
20,True,0.960036,0.836036,0.497759,0.647085,0.378956,0.449969,0.009757,0.539815,0.490973,0.553943,0.041551,0.037282,0.038224,0.914887,0.0,0
21,True,0.957872,0.836696,0.505158,0.650381,0.378161,0.4591,0.008603,0.54084,0.480863,0.561652,0.043766,0.039175,0.038904,0.915771,0.0,0
22,True,0.960925,0.831133,0.503264,0.645349,0.377402,0.468253,0.010128,0.535996,0.472027,0.543285,0.044439,0.039189,0.034038,0.916634,0.0,0
23,True,0.966481,0.834816,0.505008,0.648864,0.376674,0.477425,0.009103,0.540489,0.482744,0.55273,0.044838,0.039458,0.032127,0.91746,0.2,0
24,True,0.969405,0.852149,0.497692,0.65953,0.376,0.48656,0.004392,0.544836,0.483706,0.538793,0.044103,0.037367,0.025702,0.918224,0.2,0
25,True,0.970461,0.847156,0.501575,0.657146,0.375346,0.49575,0.005287,0.544995,0.47554,0.55495,0.045694,0.038391,0.024543,0.919018,0.2,0
26,True,0.967108,0.846304,0.493963,0.653587,0.374754,0.504851,0.006466,0.543322,0.49505,0.534907,0.043262,0.035217,0.019635,0.919715,0.2,0
27,True,0.969326,0.85225,0.484367,0.654498,0.374236,0.513879,0.004985,0.543755,0.482486,0.512693,0.042827,0.030347,0.015708,0.92028,0.0,0
28,True,0.974274,0.853953,0.478409,0.653516,0.373775,0.522859,0.004811,0.550734,0.489123,0.512902,0.042511,0.027082,0.012566,0.920772,0.0,0
29,True,0.978747,0.853679,0.473221,0.651314,0.373366,0.531813,0.00481,0.545282,0.476239,0.515016,0.043144,0.023886,0.010053,0.921184,0.0,0
30,True,0.98489,0.846264,0.471983,0.645186,0.372988,0.540737,0.007628,0.537363,0.480081,0.523688,0.042252,0.022638,0.008042,0.921557,0.0,0
31,True,0.988703,0.844862,0.470031,0.643374,0.372646,0.549647,0.008091,0.539455,0.473896,0.497523,0.042514,0.02075,0.006434,0.921857,0.0,0
32,True,0.991558,0.851181,0.466823,0.646957,0.372347,0.558537,0.006036,0.54063,0.471009,0.506683,0.043216,0.017966,0.005147,0.922086,0.0,0
