cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
1,False,0.875695,0.80241,0.406436,0.588084,0.3964,0.27944,0.014345,0.50673,0.521631,0.0,0.045086,0.0,0.0,0.9032,0.2,0
2,False,0.884374,0.797349,0.401761,0.582697,0.392944,0.278846,0.018344,0.513269,0.524123,0.0,0.040294,0.0,0.0,0.906272,0.2,0
3,False,0.890589,0.809896,0.396817,0.590064,0.389626,0.278219,0.017092,0.509456,0.514045,0.0,0.035295,0.0,0.0,0.909221,0.2,0
4,False,0.899549,0.821979,0.393013,0.59746,0.386441,0.27757,0.015622,0.51554,0.508289,0.0,0.031369,0.0,0.0,0.912052,0.0,0
5,False,0.908125,0.83578,0.392345,0.607241,0.383384,0.276926,0.012423,0.525695,0.501831,0.0,0.030318,0.0,0.0,0.91477,0.0,0
6,False,0.922297,0.847437,0.389604,0.614665,0.380448,0.27627,0.010828,0.51843,0.508869,0.0,0.027412,0.0,0.0,0.917379,0.0,0
7,False,0.934279,0.845717,0.387502,0.612617,0.37763,0.275608,0.012876,0.521895,0.510901,0.0,0.025114,0.0,0.0,0.919884,0.0,0
8,False,0.947651,0.846826,0.38499,0.612463,0.374925,0.274937,0.01427,0.524259,0.518033,0.0,0.022469,0.0,0.0,0.922289,0.0,0
9,False,0.957687,0.849697,0.383452,0.613952,0.372328,0.274266,0.014637,0.529089,0.519025,0.0,0.020733,0.0,0.0,0.924597,0.0,0
10,False,0.964032,0.84778,0.383468,0.612573,0.369835,0.273608,0.015695,0.531782,0.51323,0.0,0.020427,0.0,0.0,0.926813,0.0,0
11,False,0.972801,0.841298,0.385135,0.60852,0.367442,0.272979,0.017563,0.534769,0.505721,0.0,0.021634,0.0,0.0,0.928941,0.0,0
12,False,0.984093,0.841367,0.386976,0.609267,0.365144,0.272379,0.017495,0.529152,0.497686,0.0,0.023011,0.0,0.0,0.930983,0.0,0
13,False,0.995343,0.843617,0.388342,0.611415,0.362938,0.271803,0.016947,0.536668,0.506825,0.0,0.023967,0.0,0.0,0.932944,0.0,0
14,False,1,0.848689,0.39025,0.615819,0.360821,0.271256,0.015235,0.531913,0.497527,0.0,0.025426,0.0,0.0,0.934826,0.0,0
15,False,1,0.84892,0.392458,0.61683,0.358788,0.27074,0.014741,0.531524,0.493674,0.0,0.027165,0.0,0.0,0.936633,0.0,0
16,False,1,0.850149,0.396895,0.619421,0.356836,0.270273,0.012842,0.543606,0.489525,0.0,0.030933,0.0,0.0,0.938368,0.0,0
17,False,1,0.857579,0.398914,0.625614,0.354963,0.269833,0.010206,0.542877,0.500673,0.0,0.032511,0.0,0.0,0.940033,0.0,0
18,False,1,0.851084,0.400396,0.621443,0.353164,0.269415,0.011539,0.5312,0.490845,0.0,0.033609,0.0,0.0,0.941632,0.0,0
19,False,1,0.856368,0.403098,0.626342,0.351438,0.269029,0.009212,0.54023,0.490813,0.0,0.035822,0.0,0.0,0.943166,0.0,0
20,False,1,0.850771,0.405686,0.623239,0.34978,0.268673,0.01019,0.539979,0.48905,0.0,0.037937,0.0,0.0,0.94464,0.0,0
21,False,1,0.852372,0.409421,0.625845,0.348189,0.268357,0.008234,0.546266,0.485766,0.0,0.041096,0.0,0.0,0.946054,0.0,0
22,False,1,0.856968,0.411974,0.630204,0.346661,0.268069,0.006288,0.538679,0.482664,0.0,0.043185,0.0,0.0,0.947412,0.0,0
23,False,1,0.851458,0.415072,0.62734,0.345195,0.267813,0.006866,0.547165,0.485495,0.0,0.045773,0.0,0.0,0.948716,0.2,0
24,False,1,0.854752,0.4185,0.631084,0.343787,0.267592,0.004853,0.542375,0.47597,0.0,0.048661,0.0,0.0,0.949967,0.2,0
25,False,1,0.858924,0.421269,0.635235,0.342436,0.267399,0.002685,0.545351,0.480309,0.0,0.050954,0.0,0.0,0.951168,0.2,0
26,False,1,0.865658,0.423326,0.641017,0.341138,0.267227,7.3e-05,0.547018,0.484276,0.0,0.052605,0.0,0.0,0.952322,0.2,0
27,False,1,0.861625,0.426961,0.63944,0.339893,0.26709,-0.000248,0.546843,0.472199,0.0,0.05569,0.0,0.0,0.953429,0.0,0
28,False,1,0.847694,0.43185,0.630966,0.338697,0.266997,0.002568,0.556039,0.47019,0.0,0.059912,0.0,0.0,0.954492,0.0,0
29,False,1,0.842794,0.435148,0.62857,0.337549,0.266933,0.002829,0.544379,0.464631,0.0,0.062689,0.0,0.0,0.955512,0.0,0
30,False,1,0.832571,0.43594,0.621242,0.336447,0.266876,0.005752,0.539168,0.472867,0.0,0.063195,0.0,0.0,0.956491,0.0,0
31,False,1,0.836881,0.434895,0.624064,0.335389,0.266809,0.005078,0.537869,0.482903,0.0,0.062043,0.0,0.0,0.957432,0.0,0
32,False,1,0.833628,0.438194,0.622876,0.334374,0.266771,0.004991,0.547296,0.465269,0.0,0.064841,0.0,0.0,0.958334,0.0,0
33,False,1,0.827527,0.440119,0.619035,0.333399,0.266749,0.005938,0.543481,0.467551,0.0,0.066393,0.0,0.0,0.959201,0.0,0
34,False,1,0.825057,0.439911,0.617109,0.332463,0.266724,0.007103,0.531746,0.468055,0.0,0.066015,0.0,0.0,0.960033,0.0,0
35,False,1,0.826923,0.439587,0.618385,0.331564,0.266695,0.006722,0.53427,0.471643,0.0,0.065541,0.0,0.0,0.960832,0.0,0
36,False,1,0.829213,0.442011,0.621002,0.330702,0.266686,0.0054,0.549568,0.469565,0.0,0.067565,0.0,0.0,0.961598,0.0,0
37,False,1,0.819222,0.440895,0.613108,0.329874,0.266666,0.008787,0.533582,0.47446,0.0,0.066383,0.0,0.0,0.962335,0.0,0
38,False,1,0.821063,0.442212,0.614972,0.329079,0.266657,0.007763,0.537694,0.463932,0.0,0.067416,0.0,0.0,0.963041,0.0,0
39,False,1,0.823411,0.444114,0.617436,0.328316,0.266663,0.006505,0.546835,0.468225,0.0,0.068983,0.0,0.0,0.963719,0.0,0
40,False,1,0.822547,0.441782,0.615925,0.327583,0.266647,0.007804,0.527553,0.474779,0.0,0.066714,0.0,0.0,0.964371,0.0,0
41,False,1,0.825548,0.441429,0.618041,0.32688,0.266627,0.007109,0.541682,0.478267,0.0,0.066252,0.0,0.0,0.964996,0.0,0
42,False,1,0.830959,0.439794,0.621481,0.326204,0.266591,0.00612,0.525581,0.470882,0.0,0.064635,0.0,0.0,0.965596,0.0,0
43,False,1,0.829026,0.440109,0.620152,0.325556,0.266558,0.006762,0.530588,0.46481,0.0,0.064795,0.0,0.0,0.966172,0.0,0
44,False,1,0.834091,0.43796,0.623135,0.324934,0.266506,0.00624,0.534897,0.484874,0.0,0.062727,0.0,0.0,0.966725,0.0,0
45,False,1,0.832105,0.438598,0.621889,0.324337,0.266459,0.006578,0.528916,0.462844,0.0,0.063195,0.0,0.0,0.967256,0.0,0
46,False,1,0.834463,0.438988,0.623798,0.323763,0.266416,0.005728,0.532025,0.46706,0.0,0.063443,0.0,0.0,0.967766,0.2,0
