cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
1,False,0.874668,0.808154,0.404643,0.591641,0.3964,0.279424,0.013277,0.513002,0.509713,0.0,0.04346,0.0,0.0,0.9032,0.2,0
2,False,0.889468,0.824161,0.399035,0.601279,0.392944,0.278807,0.011574,0.519744,0.516519,0.0,0.037828,0.0,0.0,0.906272,0.2,0
3,False,0.899943,0.830768,0.395124,0.604638,0.389626,0.278166,0.011849,0.515641,0.506779,0.0,0.033772,0.0,0.0,0.909221,0.2,0
4,False,0.909688,0.846369,0.392765,0.615094,0.386441,0.277516,0.008812,0.510383,0.525498,0.0,0.03116,0.0,0.0,0.912052,0.0,0
5,False,0.921084,0.846514,0.388656,0.613634,0.383384,0.276841,0.011077,0.521868,0.523246,0.0,0.026991,0.0,0.0,0.91477,0.0,0
6,False,0.935105,0.846188,0.387065,0.612792,0.380448,0.276165,0.012605,0.519078,0.505335,0.0,0.025136,0.0,0.0,0.917379,0.0,0
7,False,0.945551,0.841224,0.385728,0.608691,0.37763,0.27549,0.015273,0.517027,0.50331,0.0,0.023538,0.0,0.0,0.919884,0.0,0
8,False,0.955231,0.837697,0.385738,0.606143,0.374925,0.274829,0.016961,0.519528,0.498526,0.0,0.023182,0.0,0.0,0.922289,0.0,0
9,False,0.96335,0.833815,0.385164,0.603119,0.372328,0.274176,0.018906,0.524507,0.507507,0.0,0.022317,0.0,0.0,0.924597,0.0,0
10,False,0.974177,0.840426,0.385282,0.607945,0.369835,0.273537,0.01755,0.524647,0.503893,0.0,0.022098,0.0,0.0,0.926813,0.0,0
11,False,0.983178,0.842431,0.385642,0.609532,0.367442,0.272914,0.017396,0.526089,0.503869,0.0,0.022115,0.0,0.0,0.928941,0.0,0
12,False,0.991384,0.837948,0.388132,0.607227,0.365144,0.272326,0.018328,0.531972,0.495836,0.0,0.024078,0.0,0.0,0.930983,0.0,0
13,False,1,0.83294,0.392525,0.605244,0.362938,0.271789,0.01888,0.54586,0.49538,0.0,0.027774,0.0,0.0,0.932944,0.0,0
14,False,1,0.830219,0.395464,0.604365,0.360821,0.271288,0.018809,0.530699,0.485916,0.0,0.030155,0.0,0.0,0.934826,0.0,0
15,False,1,0.829085,0.397883,0.604442,0.358788,0.270819,0.018495,0.539024,0.49517,0.0,0.032073,0.0,0.0,0.936633,0.0,0
16,False,1,0.828064,0.399359,0.604247,0.356836,0.270371,0.018504,0.532904,0.493191,0.0,0.033143,0.0,0.0,0.938368,0.0,0
17,False,1,0.828086,0.402085,0.60528,0.354963,0.269957,0.017758,0.54324,0.494289,0.0,0.035356,0.0,0.0,0.940033,0.0,0
18,False,1,0.824465,0.405621,0.603945,0.353164,0.269581,0.017659,0.540839,0.484394,0.0,0.038308,0.0,0.0,0.941632,0.0,0
19,False,1,0.832036,0.406522,0.609828,0.351438,0.269221,0.015331,0.535765,0.493402,0.0,0.038876,0.0,0.0,0.943166,0.0,0
20,False,1,0.836794,0.408822,0.614182,0.34978,0.268887,0.013239,0.542543,0.490481,0.0,0.040722,0.0,0.0,0.94464,0.0,0
