cycle,bridge_output,weighted_center,low_avg,bridge_state,bridge_load,shadow_pressure,shadow_archive,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,-0.008033,-0.003011,-0.020053,-0.001607,0.00248,-0.014669,-0.014669,-0.00264,0.001467,-0.002022,0.0,0.0,-0.008033,11,0.905373,0.997978,0.997978,0.560153,0.939978,0.792898,0.836601,0.021,0.003,1.006,0.0025
2,0.008148,-0.003245,0.016248,0.000344,0.007176,0.01186,-0.000558,-0.002266,0.001259,0.000535,-0.000283,-0.002022,0.01017,10,0.898181,0.997444,0.999465,0.55664,0.938876,0.785866,0.836655,0.022,0.006,1.012,0.005
3,-0.00108,-0.000224,-0.005022,5.9e-05,0.001834,-0.004335,-0.001981,-0.002214,0.00123,0.000129,-0.000169,0.000535,-0.001614,9,0.909775,0.999595,0.999871,0.556907,0.941682,0.79805,0.836513,0.023,0.009,1.018,0.0075
4,-0.003796,-0.002349,0.008239,-0.000712,0.010017,0.006074,0.000434,-0.001738,0.000965,-0.000855,-0.000127,0.000129,-0.003926,8,0.904293,0.999015,0.999145,0.551216,0.9394,0.792752,0.83663,0.024,0.012,1.024,0.01
5,-0.00314,-0.001344,0.020951,-0.001197,0.018647,0.015228,0.004193,-0.00067,0.000372,-0.001428,-0.000229,-0.000855,-0.002285,7,0.90158,0.999428,0.998572,0.55922,0.939904,0.787461,0.836605,0.025,0.015,1.03,0.0125
6,0.014414,0.011322,0.020803,0.001925,0.000407,0.014846,0.00658,0.000635,0.000353,0.002537,-0.000397,-0.001428,0.015841,6,0.903069,0.996036,0.997463,0.55934,0.9381,0.791117,0.836691,0.026,0.018,1.036,0.015
7,0.006314,0.005293,0.00256,0.002803,0.003971,0.00169,0.005587,0.001526,0.000848,0.003481,1.4e-05,0.002537,0.003777,5,0.906405,0.999056,0.996519,0.559634,0.940543,0.793917,0.836573,0.027,0.021,1.042,0.0175
8,-0.013813,0.001675,-0.023388,-0.00052,0.010905,-0.016708,0.001409,0.001505,0.000836,-0.000837,0.000499,0.003481,-0.017294,4,0.892301,0.995682,0.999163,0.557928,0.936859,0.779323,0.836747,0.028,0.024,1.048,0.02
9,-0.010848,-0.009749,0.005439,-0.002586,0.012986,0.005037,0.002046,0.001603,0.00089,-0.003333,0.000312,-0.000837,-0.010011,3,0.901207,0.997503,0.996667,0.552433,0.937179,0.789073,0.836733,0.029,0.027,1.054,0.0225
10,-0.011317,-0.007632,0.012944,-0.004332,0.021013,0.008458,0.003113,0.001874,0.001041,-0.005322,-0.000198,-0.003333,-0.007984,2,0.897612,0.998011,0.994678,0.557163,0.937029,0.783553,0.83674,0.03,0.03,1.06,0.025
11,-0.015314,-0.005742,-0.021591,-0.006529,0.006906,-0.014524,0.000309,0.001593,0.000885,-0.007808,-0.000915,-0.005322,-0.009992,1,0.898348,0.997514,0.992192,0.557453,0.937417,0.785941,0.836722,0.031,0.033,1.066,0.0275
12,0.043921,-0.011337,0.410932,0.003561,0.168811,0.150892,0.023348,0.005509,0.00306,0.005042,-0.00188,-0.007808,0.051729,11,0.908218,0.98715,0.994958,0.579237,0.914106,0.771807,0.837224,0.032,0.036,1.072,0.03
13,0.008059,0.007347,0.003131,0.004461,0.004702,0.000779,0.020005,0.008118,0.00451,0.00579,-0.000911,0.005042,0.003017,10,0.906027,0.999252,0.99421,0.562881,0.940259,0.792435,0.836587,0.033,0.039,1.078,0.0325
14,-0.013674,-0.008254,-0.017497,0.000834,0.00369,-0.013658,0.015156,0.009385,0.005214,0.000968,2.7e-05,0.00579,-0.019464,9,0.899955,0.995178,0.999032,0.554272,0.936193,0.788136,0.836776,0.034,0.042,1.084,0.035
15,-0.014755,-0.013362,0.006881,-0.002284,0.017113,0.005906,0.013855,0.010189,0.005661,-0.002922,0.000159,0.000968,-0.015724,8,0.898056,0.99611,0.997078,0.550127,0.934761,0.785411,0.836835,0.035,0.045,1.09,0.0375
16,-0.016843,-0.015631,0.00429,-0.005196,0.016746,0.004659,0.012587,0.010621,0.005901,-0.006362,-0.000273,-0.002922,-0.013921,7,0.898446,0.99656,0.993638,0.545929,0.933892,0.786661,0.836868,0.036,0.048,1.096,0.04
17,-0.075981,-0.014597,-0.419231,-0.019353,0.143758,-0.151706,-0.00966,0.00697,0.003872,-0.023554,-0.001125,-0.006362,-0.069619,6,0.891853,0.982809,0.976446,0.550354,0.904098,0.764144,0.837106,0.037,0.051,1.102,0.0425
