cycle,bridge_output,weighted_center,low_avg,bridge_state,bridge_load,shadow_pressure,shadow_archive,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,-0.009294,-0.00349,-0.023975,-0.001859,0.003403,-0.017485,-0.017485,-0.003147,0.001748,-0.002341,0.0,0.0,-0.009294,11,0.904834,0.997659,0.997659,0.560821,0.93956,0.792086,0.836622,0.025,0.0,1.0,0.004
2,0.009733,-0.003402,0.017777,0.00046,0.009175,0.012985,-0.001277,-0.002811,0.001561,0.000701,-0.000328,-0.002341,0.012074,10,0.89594,0.996958,0.999299,0.556925,0.938172,0.783298,0.836688,0.025,0.0,1.0,0.008
3,-0.000587,-0.000176,-0.005243,0.00025,0.00284,-0.004574,-0.002519,-0.002758,0.001532,0.000376,-0.000184,0.000701,-0.001288,9,0.909623,0.999676,0.999624,0.556973,0.941591,0.797735,0.836518,0.025,0.0,1.0,0.012
4,-0.003331,-0.00287,0.010911,-0.000466,0.010435,0.007986,0.00063,-0.002148,0.001193,-0.000558,-0.000105,0.000376,-0.003707,8,0.904763,0.999066,0.999442,0.550088,0.939315,0.793374,0.836634,0.025,0.0,1.0,0.016
5,-0.003025,-0.002178,0.022572,-0.000978,0.018647,0.016433,0.004645,-0.000925,0.000514,-0.001179,-0.000169,-0.000558,-0.002467,7,0.902038,0.999378,0.998821,0.557309,0.939655,0.788287,0.836617,0.025,0.0,1.0,0.02
6,0.014,0.011037,0.020108,0.002018,0.000392,0.014482,0.006849,0.000474,0.000263,0.002646,-0.00031,-0.001179,0.015179,6,0.903356,0.996175,0.997354,0.556373,0.937857,0.792008,0.836703,0.025,0.0,1.0,0.024
7,0.005959,0.006545,9.2e-05,0.002806,0.003677,-0.000246,0.005409,0.001362,0.000757,0.00348,0.000104,0.002646,0.003314,5,0.907506,0.999165,0.99652,0.556472,0.940282,0.795695,0.836586,0.025,0.0,1.0,0.028
8,-0.013551,0.003011,-0.026417,-0.000465,0.009736,-0.019374,0.000765,0.001255,0.000697,-0.000811,0.000576,0.00348,-0.017032,4,0.892259,0.995708,0.999189,0.55617,0.936819,0.779787,0.836749,0.025,0.0,1.0,0.032
9,-0.011865,-0.008779,0.003959,-0.002745,0.014848,0.003772,0.001293,0.001262,0.000701,-0.003596,0.000382,-0.000811,-0.011054,3,0.899142,0.997215,0.996404,0.553757,0.936851,0.786538,0.836748,0.025,0.0,1.0,0.036
10,-0.013252,-0.008622,0.016454,-0.004847,0.025944,0.011557,0.003,0.001575,0.000875,-0.006029,-0.000175,-0.003596,-0.009656,2,0.894715,0.997567,0.993971,0.561223,0.936489,0.77927,0.836763,0.025,0.0,1.0,0.04
11,-0.019056,-0.008217,-0.015592,-0.007689,0.015171,-0.009914,0.000947,0.001462,0.000812,-0.009312,-0.000994,-0.006029,-0.013027,1,0.893606,0.996718,0.990688,0.564574,0.936407,0.77879,0.836767,0.025,0.0,1.0,0.044
