cycle,bridge_output,weighted_center,low_avg,bridge_state,bridge_load,shadow_pressure,shadow_archive,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,-0.006972,-0.002632,-0.015842,-0.001394,0.001104,-0.011629,-0.011629,-0.002093,0.001163,-0.001757,0.0,0.0,-0.006972,11,0.90563,0.998243,0.998243,0.559166,0.940337,0.793548,0.836583,0.0168,0.0,1.0,0.0
2,0.005952,-0.003396,0.014985,7.5e-05,0.004207,0.011007,0.000411,-0.001642,0.000912,0.000186,-0.000246,-0.001757,0.007708,10,0.901128,0.998058,0.999814,0.556062,0.93982,0.78932,0.836609,0.0186,0.0,1.0,0.0
3,-0.002252,-0.000788,-0.004854,-0.00039,0.000163,-0.003944,-0.00123,-0.001568,0.000871,-0.000428,-0.000185,0.000186,-0.002437,9,0.908427,0.999386,0.999572,0.556823,0.941592,0.796956,0.836518,0.0204,0.0,1.0,0.0
4,-0.004811,-0.001912,0.00375,-0.001274,0.009266,0.002906,1e-05,-0.001284,0.000713,-0.001533,-0.00022,-0.000428,-0.004382,8,0.903574,0.998896,0.998467,0.552938,0.939448,0.791803,0.836627,0.0222,0.0,1.0,0.0
5,-0.00342,-0.000329,0.01748,-0.001704,0.017902,0.012868,0.003277,-0.000463,0.000257,-0.002008,-0.000403,-0.001533,-0.001888,7,0.901219,0.999524,0.997992,0.562432,0.940371,0.786559,0.836581,0.024,0.0,1.0,0.0
6,0.014285,0.01133,0.020406,0.001494,0.000404,0.014733,0.005844,0.000672,0.000373,0.002097,-0.000628,-0.002008,0.016293,6,0.903052,0.995894,0.997903,0.564212,0.938713,0.790123,0.836663,0.0258,0.0,1.0,0.0
7,0.006366,0.003133,0.005994,0.002468,0.004059,0.00419,0.005508,0.001543,0.000857,0.003173,-0.000247,0.002097,0.004269,5,0.905073,0.998924,0.996827,0.564476,0.941108,0.791605,0.836543,0.0276,0.0,1.0,0.0
8,-0.012315,0.000245,-0.016359,-0.000488,0.01145,-0.01162,0.002298,0.001679,0.000933,-0.000729,0.000232,0.003173,-0.015487,4,0.894273,0.996098,0.999271,0.56099,0.937661,0.780608,0.836711,0.0294,0.0,1.0,0.0
9,-0.007905,-0.009703,0.006927,-0.001972,0.008646,0.005685,0.002893,0.001897,0.001054,-0.002537,9.8e-05,-0.000729,-0.007176,3,0.905311,0.998192,0.997463,0.550833,0.938278,0.794002,0.836683,0.0312,0.0,1.0,0.0
10,-0.00628,-0.004095,0.006099,-0.002833,0.011014,0.00354,0.003001,0.002096,0.001164,-0.00348,-0.000271,-0.002537,-0.003743,2,0.903496,0.999057,0.99652,0.551869,0.93881,0.791684,0.836658,0.033,0.0,1.0,0.0
11,-0.008314,-0.002339,-0.026827,-0.00393,0.005831,-0.019164,-0.000523,0.001625,0.000903,-0.004698,-0.000721,-0.00348,-0.004834,1,0.906802,0.998782,0.995302,0.549003,0.938423,0.796211,0.836676,0.0348,0.0,1.0,0.0
12,-0.017735,-0.015687,0.011276,-0.006691,0.022897,0.008279,0.000824,0.00148,0.000822,-0.007983,-0.001277,-0.004698,-0.013037,11,0.895824,0.996715,0.992017,0.572679,0.93699,0.778459,0.836741,0.0366,0.0,1.0,0.0
13,-0.002245,-0.002959,0.01457,-0.005802,0.011169,0.012627,0.002572,0.001677,0.000932,-0.006538,-0.002216,-0.007983,0.005738,10,0.907504,0.998554,0.993462,0.555992,0.938146,0.794872,0.836689,0.0384,0.0,1.0,0.0
14,-0.028025,-0.018151,-0.026034,-0.010246,0.013467,-0.01746,-0.000314,0.001319,0.000733,-0.011952,-0.002821,-0.006538,-0.021488,9,0.891704,0.994586,0.988048,0.551886,0.932207,0.779638,0.836929,0.0402,0.0,1.0,0.0
15,-0.027746,-0.019614,-0.013085,-0.013746,0.020536,-0.006199,-0.001142,0.000876,0.000487,-0.015932,-0.0041,-0.011952,-0.015795,8,0.891411,0.99602,0.984068,0.554978,0.932433,0.777902,0.836921,0.042,0.0,1.0,0.0
16,-0.025646,-0.019663,-0.007859,-0.016126,0.020374,-0.001592,-0.001204,0.000501,0.000279,-0.018379,-0.005756,-0.015932,-0.009714,7,0.894247,0.997552,0.981621,0.556942,0.933682,0.780385,0.836876,0.0438,0.0,1.0,0.0
17,-0.030235,-0.023434,0.00193,-0.018948,0.031518,0.006787,-0.000122,0.000389,0.000216,-0.021367,-0.007523,-0.018379,-0.011855,6,0.888812,0.997013,0.978633,0.567289,0.932694,0.77155,0.836912,0.0456,0.0,1.0,0.0
18,0.010165,0.002017,0.002574,-0.013125,0.013832,0.006547,0.000768,0.000457,0.000254,-0.013421,-0.009461,-0.021367,0.031532,5,0.892369,0.992054,0.986579,0.548565,0.928923,0.780971,0.837031,0.0474,0.0,1.0,0.0
