cycle,bridge_output,weighted_center,low_avg,bridge_state,bridge_load,shadow_pressure,shadow_archive,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,-0.008303,-0.003141,-0.01886,-0.001661,0.001314,-0.01382,-0.01382,-0.002488,0.001382,-0.002092,0.0,0.0,-0.008303,11,0.904798,0.997908,0.997908,0.55935,0.939912,0.792632,0.836604,0.02,0.0,1.0,0.0
2,0.006362,-0.003719,0.016111,-5.6e-05,0.004524,0.011868,-0.000156,-0.002068,0.001149,3.8e-05,-0.000293,-0.002092,0.008454,10,0.90042,0.99787,0.999962,0.555897,0.939596,0.788583,0.83662,0.02,0.0,1.0,0.0
3,-0.002254,-0.000828,-0.004799,-0.000496,0.00016,-0.003875,-0.001557,-0.001976,0.001098,-0.000539,-0.000247,3.8e-05,-0.002292,9,0.908466,0.999422,0.999461,0.556849,0.941588,0.796967,0.836518,0.02,0.0,1.0,0.0
4,-0.004341,-0.001735,0.003378,-0.001265,0.008348,0.002636,-0.0003,-0.001674,0.00093,-0.001497,-0.000288,-0.000539,-0.003801,8,0.904231,0.999042,0.998503,0.553467,0.939745,0.792443,0.836613,0.02,0.0,1.0,0.0
5,-0.002914,-0.000374,0.014548,-0.001594,0.014918,0.010756,0.002509,-0.000921,0.000512,-0.001854,-0.000457,-0.001497,-0.001416,7,0.902713,0.999643,0.998146,0.561716,0.940709,0.788528,0.836564,0.02,0.0,1.0,0.0
6,0.011047,0.008765,0.015759,0.000934,0.000313,0.011469,0.004517,5.7e-05,3.2e-05,0.001397,-0.000652,-0.001854,0.012901,6,0.904577,0.996749,0.998603,0.5629,0.939589,0.791956,0.83662,0.02,0.0,1.0,0.0
7,0.004543,0.002198,0.004268,0.001656,0.002941,0.00301,0.004211,0.000805,0.000447,0.00219,-0.000366,0.001397,0.003146,5,0.906435,0.999207,0.99781,0.562756,0.941536,0.793487,0.836521,0.02,0.0,1.0,0.0
8,-0.008387,0.000175,-0.011148,-0.000353,0.007789,-0.008017,0.00192,0.001006,0.000559,-0.000475,-8e-06,0.00219,-0.010577,4,0.899284,0.997335,0.999525,0.560133,0.939234,0.786266,0.836638,0.02,0.0,1.0,0.0
9,-0.005015,-0.006125,0.004436,-0.001285,0.005542,0.003601,0.002215,0.001223,0.00068,-0.001619,-7.3e-05,-0.000475,-0.00454,3,0.906995,0.998856,0.998381,0.553495,0.939836,0.795563,0.836608,0.02,0.0,1.0,0.0
10,-0.003945,-0.002709,0.003646,-0.001817,0.006675,0.002313,0.002231,0.001405,0.00078,-0.002205,-0.00029,-0.001619,-0.002326,2,0.906064,0.999414,0.997795,0.554485,0.940263,0.794288,0.836587,0.02,0.0,1.0,0.0
11,-0.005023,-0.001712,-0.015517,-0.002458,0.003351,-0.010913,0.000142,0.001177,0.000654,-0.002915,-0.000558,-0.002205,-0.002817,1,0.908186,0.99929,0.997085,0.552983,0.940124,0.797122,0.836594,0.02,0.0,1.0,0.0
12,-0.009911,-0.008862,0.006008,-0.003949,0.012512,0.004574,0.00082,0.001113,0.000618,-0.004678,-0.000888,-0.002915,-0.006995,11,0.902296,0.998237,0.995322,0.566256,0.939484,0.787482,0.836626,0.02,0.0,1.0,0.0
13,-0.001356,-0.001691,0.00737,-0.00343,0.005817,0.00625,0.001624,0.001205,0.000669,-0.003841,-0.001419,-0.004678,0.003322,10,0.908764,0.999163,0.996159,0.557142,0.940077,0.796571,0.836596,0.02,0.0,1.0,0.0
14,-0.0143,-0.009499,-0.013239,-0.005604,0.0067,-0.008489,0.000167,0.001018,0.000566,-0.006476,-0.001758,-0.003841,-0.010459,9,0.900958,0.997365,0.993524,0.555192,0.93735,0.789059,0.836725,0.02,0.0,1.0,0.0
15,-0.013642,-0.00987,-0.006569,-0.007212,0.009779,-0.002985,-0.000276,0.000785,0.000436,-0.008282,-0.002418,-0.006476,-0.007165,8,0.90124,0.998194,0.991718,0.556682,0.937656,0.788687,0.836712,0.02,0.0,1.0,0.0
16,-0.012257,-0.009647,-0.004028,-0.008221,0.009303,-0.000792,-0.000347,0.000581,0.000323,-0.009284,-0.003239,-0.008282,-0.003975,7,0.90292,0.998998,0.990716,0.557602,0.938401,0.790251,0.836677,0.02,0.0,1.0,0.0
17,-0.013989,-0.011183,0.000304,-0.009374,0.013824,0.002831,8.3e-05,0.000492,0.000273,-0.010469,-0.004085,-0.009284,-0.004705,6,0.900839,0.998814,0.989531,0.562392,0.93812,0.786674,0.83669,0.02,0.0,1.0,0.0
18,0.003589,6.2e-05,0.000439,-0.006782,0.005836,0.002516,0.000407,0.000476,0.000265,-0.006927,-0.004979,-0.010469,0.014058,5,0.902406,0.996458,0.993073,0.554136,0.936317,0.790852,0.836771,0.02,0.0,1.0,0.0
19,-0.002398,-0.003886,0.000883,-0.005905,0.000956,0.002216,0.000646,0.000507,0.000282,-0.005786,-0.005252,-0.006927,0.004529,4,0.908535,0.998859,0.994214,0.549897,0.938903,0.798413,0.836654,0.02,0.0,1.0,0.0
20,0.004978,0.001075,0.001538,-0.003728,0.006594,0.002681,0.00091,0.00058,0.000322,-0.003073,-0.005327,-0.005786,0.010764,3,0.902499,0.997288,0.996927,0.552582,0.937747,0.791159,0.836708,0.02,0.0,1.0,0.0
21,0.001222,0.000903,0.006491,-0.002738,0.003403,0.005934,0.001557,0.000756,0.00042,-0.001991,-0.005011,-0.003073,0.004295,2,0.909539,0.998918,0.998009,0.559605,0.940841,0.797167,0.836557,0.02,0.0,1.0,0.0
22,0.00708,0.001546,0.009332,-0.000775,0.004711,0.007192,0.002277,0.001029,0.000572,0.000295,-0.004588,-0.001991,0.009071,1,0.902371,0.997714,0.999705,0.554438,0.93922,0.790861,0.836638,0.02,0.0,1.0,0.0
