cycle,bridge_output,weighted_center,low_avg,bridge_state,bridge_load,shadow_pressure,shadow_archive,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,-0.010384,-0.003942,-0.023575,-0.002077,0.001643,-0.017229,-0.017229,-0.003101,0.001723,-0.002611,0.0,0.0,-0.010384,11,0.903498,0.997389,0.997389,0.559621,0.939248,0.791204,0.836637,0.025,0.0,1.01,0.0
2,0.007956,-0.004638,0.020138,-7e-05,0.005655,0.014813,-0.000185,-0.002576,0.001431,4.1e-05,-0.000366,-0.002611,0.010567,10,0.898026,0.997348,0.999959,0.555291,0.938854,0.786146,0.836656,0.025,0.0,1.02,0.0
3,-0.002799,-0.001002,-0.005998,-0.000616,0.0002,-0.004852,-0.001943,-0.002462,0.001368,-0.00067,-0.000309,4.1e-05,-0.00284,9,0.908084,0.999289,0.99933,0.556518,0.941353,0.796619,0.836531,0.025,0.0,1.03,0.0
4,-0.005464,-0.002232,0.004221,-0.001585,0.010435,0.003299,-0.000372,-0.002086,0.001159,-0.001869,-0.000359,-0.00067,-0.004793,8,0.902788,0.998802,0.998131,0.552259,0.939029,0.790968,0.836648,0.025,0.0,1.04,0.0
5,-0.003613,-0.000416,0.018184,-0.001991,0.018647,0.013425,0.003134,-0.001147,0.000637,-0.002304,-0.000571,-0.001869,-0.001744,7,0.900891,0.999565,0.997696,0.562611,0.940258,0.786067,0.836587,0.025,0.0,1.05,0.0
6,0.013742,0.010851,0.019699,0.001156,0.000392,0.014293,0.005634,7.4e-05,4.1e-05,0.001693,-0.000813,-0.002304,0.016046,6,0.903224,0.996003,0.998307,0.564033,0.938885,0.790366,0.836655,0.025,0.0,1.06,0.0
7,0.005672,0.002735,0.005335,0.002059,0.003677,0.003764,0.005255,0.001007,0.000559,0.002683,-0.000462,0.001693,0.003978,5,0.905534,0.999011,0.997317,0.563892,0.941283,0.792258,0.836534,0.025,0.0,1.07,0.0
8,-0.010495,0.000198,-0.013945,-0.000452,0.009736,-0.009961,0.002403,0.001258,0.000699,-0.000587,-2.2e-05,0.002683,-0.013178,4,0.896612,0.99673,0.999413,0.560598,0.938426,0.783254,0.836676,0.025,0.0,1.08,0.0
9,-0.006308,-0.007717,0.005533,-0.001623,0.006928,0.004515,0.002774,0.001531,0.00085,-0.002004,-0.000101,-0.000587,-0.005721,3,0.90624,0.998583,0.997996,0.552316,0.939153,0.79486,0.836642,0.025,0.0,1.09,0.0
10,-0.004891,-0.003304,0.004554,-0.002277,0.008344,0.002799,0.002778,0.001755,0.000975,-0.002718,-0.000368,-0.002004,-0.002887,2,0.905077,0.999287,0.997282,0.553506,0.939699,0.793277,0.836615,0.025,0.0,1.1,0.0
11,-0.006217,-0.002032,-0.019394,-0.003065,0.004189,-0.013697,0.000159,0.001468,0.000816,-0.003581,-0.000697,-0.002718,-0.0035,1,0.907726,0.999137,0.996419,0.551659,0.939536,0.79681,0.836623,0.025,0.0,1.11,0.0
12,-0.012359,-0.011029,0.007518,-0.004924,0.01564,0.005684,0.001005,0.001385,0.000769,-0.005742,-0.0011,-0.003581,-0.008778,11,0.900361,0.997839,0.994258,0.568228,0.938738,0.784761,0.836662,0.025,0.0,1.12,0.0
13,-0.001695,-0.002135,0.009226,-0.004278,0.007271,0.007905,0.002027,0.0015,0.000833,-0.004748,-0.00175,-0.005742,0.004047,10,0.90844,0.999006,0.995252,0.556858,0.939499,0.796112,0.836625,0.025,0.0,1.13,0.0
14,-0.017842,-0.01182,-0.016527,-0.006991,0.008375,-0.010685,0.000195,0.001265,0.000703,-0.007959,-0.00217,-0.004748,-0.013094,9,0.898694,0.996789,0.992041,0.554412,0.936093,0.786737,0.83678,0.025,0.0,1.14,0.0
15,-0.017012,-0.012277,-0.008196,-0.008995,0.012224,-0.003749,-0.000359,0.000973,0.000541,-0.010175,-0.00298,-0.007959,-0.009053,8,0.89903,0.997784,0.989825,0.556312,0.936465,0.786246,0.836764,0.025,0.0,1.15,0.0
16,-0.015264,-0.011979,-0.005003,-0.010249,0.011629,-0.001,-0.000448,0.000717,0.000398,-0.011418,-0.003988,-0.010175,-0.005089,7,0.901127,0.998757,0.988582,0.557474,0.937386,0.788197,0.836724,0.025,0.0,1.16,0.0
17,-0.017404,-0.013866,0.000423,-0.01168,0.01728,0.003548,9.3e-05,0.000605,0.000336,-0.012878,-0.005028,-0.011418,-0.005986,6,0.898527,0.998541,0.987122,0.563407,0.93704,0.783739,0.836739,0.025,0.0,1.17,0.0
18,0.004541,0.000139,0.000598,-0.008436,0.007295,0.003171,0.000504,0.000587,0.000326,-0.008639,-0.006127,-0.012878,0.017419,5,0.900532,0.995761,0.991361,0.553136,0.934843,0.788996,0.836831,0.025,0.0,1.18,0.0
19,-0.002947,-0.004809,0.001159,-0.007338,0.001195,0.002811,0.000807,0.000626,0.000348,-0.007257,-0.006479,-0.008639,0.005692,4,0.908166,0.998618,0.992743,0.547827,0.93799,0.798422,0.836696,0.025,0.0,1.19,0.0
20,0.006227,0.001336,0.001948,-0.004625,0.008243,0.003362,0.00114,0.000719,0.000399,-0.003988,-0.006587,-0.007257,0.013484,3,0.900613,0.996732,0.996012,0.551172,0.936537,0.78935,0.836761,0.025,0.0,1.2,0.0
21,0.001515,0.001095,0.008129,-0.003397,0.004254,0.007455,0.001953,0.000941,0.000523,-0.002657,-0.006224,-0.003988,0.005503,2,0.909397,0.998669,0.997343,0.559972,0.940355,0.79684,0.836582,0.025,0.0,1.21,0.0
22,0.008823,0.001887,0.011655,-0.000953,0.005889,0.009033,0.002857,0.001286,0.000714,0.000114,-0.005724,-0.002657,0.01148,1,0.900439,0.997229,0.999886,0.553496,0.93844,0.788962,0.836676,0.025,0.0,1.22,0.0
23,-0.009001,-0.002312,-0.005561,-0.002563,0.009977,-0.004341,0.001945,0.001405,0.00078,-0.002082,-0.004907,0.000114,-0.009116,11,0.899898,0.997804,0.997918,0.553415,0.938149,0.78794,0.836689,0.025,0.0,1.23,0.0
24,-0.00966,-0.009056,-0.011241,-0.003982,8.3e-05,-0.007294,0.000782,0.001293,0.000718,-0.003904,-0.004511,-0.002082,-0.007578,10,0.906777,0.998178,0.996096,0.557846,0.939682,0.795127,0.836616,0.025,0.0,1.24,0.0
25,6.4e-05,-0.003351,-0.005377,-0.003173,0.007354,-0.00312,0.000397,0.001131,0.000628,-0.002952,-0.004426,-0.003904,0.003968,9,0.904627,0.999048,0.997048,0.557073,0.939974,0.792267,0.836601,0.025,0.0,1.25,0.0
26,-0.004659,-0.006239,0.007282,-0.00347,0.006785,0.006076,0.001027,0.001112,0.000618,-0.003361,-0.00422,-0.002952,-0.001707,8,0.907561,0.999591,0.996639,0.553072,0.939977,0.79607,0.836601,0.025,0.0,1.26,0.0
27,-0.011921,-0.008211,0.015418,-0.00516,0.023422,0.011928,0.002433,0.00135,0.00075,-0.005407,-0.0041,-0.003361,-0.00856,7,0.896481,0.997954,0.994593,0.560714,0.937133,0.781452,0.836735,0.025,0.0,1.27,0.0
28,-0.000351,-0.001667,-0.016151,-0.004198,0.011986,-0.009678,0.000904,0.00127,0.000705,-0.004201,-0.004283,-0.005407,0.005056,6,0.904001,0.998794,0.995799,0.562675,0.939679,0.789957,0.836616,0.025,0.0,1.28,0.0
29,-0.002208,-0.000637,0.002422,-0.0038,0.005126,0.002728,0.00106,0.001232,0.000685,-0.003726,-0.004271,-0.004201,0.001993,5,0.907626,0.999526,0.996274,0.562079,0.941154,0.794526,0.836541,0.025,0.0,1.29,0.0
30,-0.008127,-0.00845,0.00825,-0.004666,0.011402,0.007168,0.001751,0.001326,0.000736,-0.004772,-0.004195,-0.003726,-0.004401,4,0.904216,0.998954,0.995228,0.555581,0.938844,0.791658,0.836656,0.025,0.0,1.3,0.0
31,-0.008221,-0.005167,-0.016603,-0.005377,0.001909,-0.010728,0.000169,0.001117,0.000621,-0.00559,-0.004276,-0.004772,-0.003449,3,0.907284,0.999182,0.99441,0.555175,0.939797,0.795957,0.83661,0.025,0.0,1.31,0.0
