cycle,trust,deviation,alert
1,0.779033,0.00259,False
2,0.776665,0.002559,False
3,0.777616,0.003095,False
4,0.777211,0.002559,False
5,0.778223,0.001607,False
6,0.778695,0.00325,False
7,0.778262,7.7e-05,False
8,0.778157,0.003155,False
9,0.778498,0.002882,False
10,0.778449,0.000136,False
11,0.779357,0.001441,False
12,0.779774,0.003,False
13,0.778477,0.004344,False
14,0.777668,0.006151,False
15,0.776313,0.008937,False
16,0.770103,0.024337,False
17,0.77094,0.018139,False
18,0.771457,0.021621,False
19,0.771918,0.018635,False
20,0.774401,0.014789,False
21,0.775692,0.011628,False
22,0.782087,0.004329,False
23,0.772443,0.019847,False
24,0.775464,0.010162,False
25,0.774028,0.001423,False
26,0.775823,0.002312,False
27,0.776692,0.000637,False
28,0.765202,0.018276,False
29,0.772312,0.008757,False
30,0.777347,0.011215,False
31,0.775588,0.008507,False
32,0.781311,0.003456,False
33,0.778045,0.006121,False
34,0.777771,0.011113,False
35,0.768332,0.023252,False
36,0.777214,0.014688,False
37,0.77283,0.013472,False
38,0.770451,0.016902,False
39,0.770941,0.017394,False
40,0.774524,0.017198,False
41,0.772804,0.013834,False
42,0.774576,0.010328,False
43,0.781697,0.007508,False
44,0.77698,0.015947,False
45,0.78295,0.001913,False
46,0.778781,0.009527,False
47,0.772302,0.004265,False
48,0.776169,0.000502,False
49,0.772202,0.001595,False
50,0.771773,0.004852,False
51,0.77477,0.007828,False
52,0.772548,0.010148,False
53,0.781525,0.001265,False
54,0.777977,0.006952,False
55,0.781191,0.012235,False
56,0.776638,0.011659,False
57,0.788469,0.000523,False
58,0.779406,0.002652,False
59,0.777514,0.00633,False
60,0.766108,0.020156,False
61,0.768128,0.011472,False
62,0.774596,0.010028,False
63,0.77832,0.002558,False
64,0.774867,0.006623,False
65,0.783696,0.015049,False
66,0.78349,0.013333,False
67,0.782416,0.00388,False
68,0.782788,0.000953,False
69,0.781952,0.008322,False
70,0.777263,0.002394,False
71,0.77521,0.007497,False
72,0.771224,0.014222,False
73,0.771803,0.00425,False
74,0.777871,0.012457,False
75,0.782114,0.010971,False
76,0.782159,0.017586,False
77,0.779844,0.025333,False
78,0.771478,0.020046,False
79,0.778295,0.032263,False
80,0.775703,0.019461,False
81,0.779808,0.004504,False
82,0.77413,0.004907,False
83,0.772767,0.00323,False
84,0.771996,0.009178,False
85,0.771651,0.012996,False
86,0.777728,0.017426,False
87,0.780407,0.020712,False
88,0.774046,0.023566,False
89,0.775917,0.006756,False
90,0.784964,0.00187,False
91,0.783864,0.002676,False
92,0.78272,0.00092,False
93,0.77638,0.001424,False
94,0.77505,0.008444,False
95,0.769371,0.014615,False
96,0.773567,0.017646,False
97,0.772575,0.021066,False
98,0.771241,0.022609,False
99,0.776911,0.018706,False
100,0.774844,0.010636,False
101,0.781793,0.008078,False
102,0.780423,0.001822,False
103,0.773121,0.003509,False
104,0.760048,0.012411,False
105,0.765426,0.006058,False
106,0.768034,0.003962,False
107,0.773015,0.011181,False
108,0.777204,0.016658,False
109,0.772583,0.019491,False
110,0.776705,0.021299,False
111,0.776286,0.016811,False
112,0.777577,0.026726,False
113,0.769132,0.029261,False
114,0.769924,0.024657,False
115,0.759047,0.009709,False
116,0.766205,0.007387,False
117,0.769056,0.003448,False
118,0.769173,0.009383,False
119,0.77371,0.011378,False
120,0.777506,0.013762,False
121,0.777667,0.019204,False
122,0.782555,0.011376,False
123,0.773997,0.003831,False
124,0.785035,0.007059,False
125,0.763601,0.007515,False
126,0.757468,0.01592,False
127,0.763925,0.010233,False
128,0.7632,0.007502,False
129,0.768332,0.001485,False
130,0.77081,0.016616,False
131,0.776749,0.021338,False
132,0.776275,0.017644,False
133,0.776064,0.021984,False
134,0.779657,0.009175,False
135,0.77272,0.012126,False
136,0.766307,0.002369,False
137,0.767955,0.005097,False
138,0.756218,0.008267,False
139,0.767095,1.4e-05,False
