cycle,delta,anomaly,alert
1,0,0.006622,False
2,3.1e-05,0.000325,False
3,0.000536,0.003193,False
4,0.000536,0.001553,False
5,0.004166,0.007394,False
6,0.001643,0.007826,False
7,0.003327,0.008027,False
8,0.003232,0.009486,False
9,0.000273,0.003755,False
10,0.003018,0.005919,False
11,0.001577,0.006453,False
12,0.004441,0.011939,False
13,0.001344,0.006055,False
14,0.001807,0.004725,False
15,0.002786,0.005613,False
16,0.0154,0.051142,False
17,0.006198,0.011019,False
18,0.003482,0.009599,False
19,0.002986,0.011524,False
20,0.003846,0.007592,False
21,0.003161,0.010475,False
22,0.007299,0.020807,False
23,0.015518,0.050854,False
24,0.009685,0.056924,False
25,0.011585,0.056733,False
26,0.000889,0.003683,False
27,0.002949,0.005317,False
28,0.018913,0.060591,False
29,0.009519,0.014844,False
30,0.002458,0.006988,False
31,0.002708,0.007461,False
32,0.005051,0.01308,False
33,0.002665,0.010084,False
34,0.004992,0.047638,False
35,0.012139,0.056751,False
36,0.008564,0.02149,False
37,0.001216,0.005108,False
38,0.00343,0.009654,False
39,0.000492,0.008765,False
40,0.000196,0.011121,False
41,0.003364,0.01488,False
42,0.003506,0.009118,False
43,0.00282,0.01517,False
44,0.008439,0.018084,False
45,0.014034,0.028713,False
46,0.01144,0.028961,False
47,0.013792,0.063732,False
48,0.004767,0.01048,False
49,0.002097,0.006647,False
50,0.003257,0.009564,False
51,0.002976,0.007906,False
52,0.017976,0.050868,False
53,0.011413,0.030335,False
54,0.005687,0.016137,False
55,0.005283,0.016071,False
56,0.000576,0.00493,False
57,0.011136,0.034295,False
58,0.003175,0.016585,False
59,0.003678,0.016023,False
60,0.013826,0.051711,False
61,0.008684,0.016244,False
62,0.001444,0.002539,False
63,0.012586,0.024797,False
64,0.004065,0.015399,False
65,0.008426,0.036097,False
66,0.001716,0.011784,False
67,0.009453,0.022861,False
68,0.004833,0.017941,False
69,0.007369,0.030769,False
70,0.005928,0.048894,False
71,0.009891,0.030951,False
72,0.006725,0.020789,False
73,0.009972,0.015496,False
74,0.008207,0.026218,False
75,0.001486,0.055632,False
76,0.006615,0.016122,False
77,0.007747,0.03286,False
78,0.005287,0.014873,False
79,0.012217,0.041012,False
80,0.012802,0.033876,False
81,0.014957,0.035253,False
82,0.000403,0.006719,False
83,0.001677,0.008034,False
84,0.005948,0.013334,False
85,0.003818,0.009938,False
86,0.00443,0.019789,False
87,0.003286,0.0203,False
88,0.002854,0.005686,False
89,0.01681,0.026559,False
90,0.004886,0.018484,False
