cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,ledger_warning_input,noise,contradiction,pressure,drift
1,0.002873,0.942046,0.836494,0.795606,0.000472,0.022003,0.000766,0.011401,0.0,0.025,0.004,1,0
2,0.002552,0.944543,0.836352,0.812178,0.000796,0.003033,0.001027,-0.001273,0.0,0.025,0.008,1,0
3,0.002873,0.945429,0.836299,0.809614,0.001255,0.010069,0.001541,0.001273,0.001333,0.025,0.012,1,0
4,0.002154,0.946116,0.836257,0.810599,0.001569,0.00247,0.001982,-0.002854,0.001844,0.025,0.016,1,0
5,-0.001827,0.942192,0.836486,0.79944,0.001502,0.006596,0.002583,-0.015809,0.00216,0.025,0.02,1,0
6,-0.003312,0.942364,0.836476,0.796552,0.00133,0.024851,0.002551,-0.005897,0.002324,0.025,0.024,1,0
7,-0.000261,0.943403,0.836418,0.802551,0.001391,0.014253,0.002593,0.012117,0.002595,0.025,0.028,1,0
8,-0.002744,0.941072,0.836545,0.800122,0.001322,0.020941,0.002329,-0.009862,0.002913,0.025,0.032,1,0
9,-0.001722,0.94445,0.836358,0.801453,0.001254,0.016974,0.002262,0.004058,0.00324,0.025,0.036,1,0
10,0.00182,0.941612,0.836517,0.800484,0.001262,0.015063,0.002158,0.01407,0.003568,0.025,0.04,1,0
11,0.001777,0.945467,0.836297,0.811551,0.001297,0.006212,0.001907,-0.00017,0.003826,0.025,0.044,1,0
12,0.003353,0.943024,0.83644,0.805072,0.001399,0.010715,0.001694,0.006258,0.004083,0.025,0.048,1,0
13,0.003006,0.945534,0.836293,0.812635,0.001472,0.003964,0.001574,-0.001376,0.004223,0.025,0.052,1,0
14,0.003416,0.945585,0.83629,0.811091,0.001541,0.001556,0.001399,0.001626,0.004325,0.025,0.056,1,0
15,0.005072,0.943265,0.836426,0.807656,0.001647,0.00566,0.001191,0.006578,0.004355,0.025,0.06,1,0
16,0.019991,0.915895,0.837224,0.778658,0.001728,0.151935,0.001257,0.059261,0.004329,0.025,0.064,1,0
17,0.015045,0.938257,0.836684,0.807996,0.001709,0.00652,0.003028,-0.019649,0.004296,0.025,0.068,1,0
18,0.016659,0.939193,0.83664,0.802388,0.001779,0.012638,0.004303,0.006414,0.004787,0.025,0.072,1,0
19,0.014932,0.939395,0.83663,0.803339,0.001812,0.020244,0.00493,-0.006866,0.005193,0.025,0.076,1,0
20,0.013259,0.941839,0.836505,0.808721,0.001848,0.010835,0.005111,-0.006651,0.005567,0.025,0.08,1,0
21,0.012253,0.942302,0.83648,0.812741,0.002005,0.000644,0.005231,-0.003996,0.005917,0.025,0.084,1,0
22,0.009203,0.940707,0.836564,0.802177,0.002184,0.015186,0.005352,-0.012126,0.006238,0.025,0.088,1,0
23,0.020574,0.916766,0.837222,0.792889,0.00225,0.170437,0.007383,0.045223,0.006442,0.025,0.092,1,0
24,0.018303,0.938515,0.836672,0.808457,0.002409,0.012688,0.008567,-0.009037,0.006613,0.025,0.096,1,0
25,0.003153,0.915889,0.837224,0.791782,0.002555,0.174904,0.007153,-0.060258,0.007239,0.025,0.1,1,0
26,0.001327,0.943779,0.836397,0.808741,0.0026,0.003492,0.005942,-0.007262,0.007731,0.025,0.104,1,0
27,0.002678,0.943295,0.836424,0.810231,0.002666,0.005037,0.004957,0.005372,0.008705,0.025,0.108,1,0
28,-0.010446,0.917756,0.837217,0.791394,0.002669,0.165451,0.002159,-0.052188,0.009441,0.025,0.112,1,0
29,-0.005201,0.93969,0.836615,0.805766,0.002733,0.002003,0.000392,0.020856,0.010054,0.025,0.116,1,0
30,-0.005757,0.945367,0.836303,0.810154,0.00274,0.000984,0.001012,-0.002213,0.011068,0.025,0.12,1,0
31,-0.002556,0.942421,0.836473,0.808271,0.002766,0.005471,0.001984,0.012737,0.011946,0.025,0.124,1,0
32,0.002201,0.939631,0.836618,0.789422,0.002842,0.024718,0.002642,0.018928,0.012649,0.025,0.128,1,0
33,0.004798,0.942,0.836496,0.805054,0.003029,0.007501,0.002964,0.010339,0.013236,0.025,0.132,1,0
34,0.004254,0.943952,0.836387,0.812851,0.003088,0.003844,0.003072,-0.002168,0.013269,0.025,0.136,1,0
35,0.002683,0.943651,0.836404,0.808003,0.00316,0.000565,0.003269,-0.006249,0.013262,0.025,0.14,1,0
36,0.003494,0.944757,0.83634,0.810237,0.003221,0.004245,0.003326,0.003227,0.013217,0.025,0.144,1,0
37,-0.002465,0.939955,0.836602,0.806323,0.002272,0.004129,0.003388,-0.023717,0.013131,0.025,0.148,1,0
38,-0.003764,0.943404,0.836418,0.808378,0.001428,0.003813,0.003454,-0.005172,0.013031,0.025,0.152,1,0
39,-0.004092,0.94348,0.836414,0.809073,0.000672,0.010542,0.003334,-0.001307,0.013029,0.025,0.156,1,0
40,-0.004378,0.943442,0.836416,0.805288,6e-05,0.016314,0.003109,-0.001137,0.012971,0.025,0.16,1,0
41,-0.002401,0.942036,0.836494,0.803066,0.000668,0.021051,0.00314,0.007866,0.012389,0.025,0.164,1,0
42,0.0004,0.942903,0.836446,0.803346,0.001103,0.009661,0.003054,0.011149,0.01189,0.025,0.168,1,0
43,0.003801,0.939674,0.836616,0.788421,0.001491,0.035378,0.003165,0.013531,0.010935,0.025,0.172,1,0
44,0.002351,0.941522,0.836522,0.81509,0.001836,0.012642,0.003472,-0.005767,0.010194,0.025,0.176,1,0
45,0.004008,0.942217,0.836484,0.81176,0.002166,0.006822,0.003352,0.006589,0.009696,0.025,0.18,1,0
46,0.005447,0.942412,0.836474,0.81288,0.002362,0.000845,0.003074,0.005723,0.008781,0.025,0.184,1,0
47,0.003112,0.942645,0.836461,0.810553,0.002641,0.002944,0.002938,-0.009285,0.008012,0.025,0.188,1,0
48,0.003451,0.943632,0.836405,0.815741,0.002897,0.002564,0.002675,0.001348,0.007414,0.025,0.192,1,0
49,0.002506,0.943363,0.836421,0.814157,0.00319,0.001586,0.002347,-0.003756,0.006919,0.025,0.196,1,0
50,0.00087,0.942936,0.836445,0.812627,0.003454,0.004083,0.002055,-0.006503,0.006407,0.025,0.2,1,0
51,-0.00371,0.940816,0.836559,0.812022,0.004679,0.001929,0.001839,-0.018196,0.005957,0.025,0.204,1,0
52,0.001928,0.937612,0.836714,0.794898,0.005644,0.024684,0.00165,0.022397,0.005612,0.025,0.208,1,0
53,-0.000423,0.942317,0.836479,0.809624,0.005585,0.005689,0.001545,-0.009339,0.005381,0.025,0.212,1,0
54,-0.00022,0.944058,0.836381,0.809122,0.005559,0.008731,0.001472,0.000806,0.005312,0.025,0.216,1,0
55,0.000607,0.944016,0.836383,0.810189,0.0055,0.006914,0.001424,0.003286,0.005201,0.025,0.22,1,0
56,-0.004243,0.938523,0.836672,0.799467,0.005531,0.015018,0.001429,-0.019263,0.005102,0.025,0.224,1,0
57,-0.001386,0.942009,0.836495,0.805392,0.00557,0.008358,0.001364,0.011346,0.005018,0.025,0.228,1,0
58,-0.001476,0.945221,0.836312,0.811804,0.005645,0.000104,0.001413,-0.000357,0.005014,0.025,0.232,1,0
59,-0.000337,0.943372,0.83642,0.812535,0.00568,0.007289,0.00152,0.004526,0.00499,0.025,0.236,1,0
60,0.000408,0.943434,0.836416,0.811221,0.005745,0.006157,0.001597,0.002961,0.004906,0.025,0.24,1,0
61,-0.001589,0.942202,0.836485,0.813934,0.005908,0.005685,0.001528,-0.007933,0.004737,0.025,0.244,1,0
62,-0.001668,0.945262,0.836309,0.813714,0.006141,0.000696,0.001461,-0.000313,0.004572,0.025,0.248,1,0
63,-0.004011,0.941144,0.836541,0.809974,0.006369,0.00421,0.001495,-0.009306,0.004439,0.025,0.252,1,0
64,-0.00336,0.942655,0.83646,0.811474,0.006703,0.003037,0.00142,0.002585,0.004308,0.025,0.256,1,0
65,-0.003841,0.94182,0.836506,0.808231,0.007003,0.014505,0.001205,-0.001909,0.004202,0.025,0.26,1,0
66,-0.006814,0.939318,0.836634,0.803023,0.007365,0.014203,0.001057,-0.011807,0.004121,0.025,0.264,1,0
67,-0.006697,0.942088,0.836491,0.811613,0.006743,0.008868,0.000876,0.000463,0.004076,0.025,0.268,1,0
68,-0.007157,0.941644,0.836515,0.814813,0.006384,0.006751,0.000644,-0.001827,0.00408,0.025,0.272,1,0
69,-0.005809,0.941229,0.836537,0.810725,0.006018,0.010425,0.000609,0.005355,0.004029,0.025,0.276,1,0
70,-0.005538,0.943085,0.836436,0.813179,0.005739,0.000393,0.000472,0.001076,0.003868,0.025,0.28,1,0
71,-0.007497,0.939379,0.836631,0.800545,0.005559,0.022986,0.000224,-0.007777,0.003733,0.025,0.284,1,0
72,-0.008851,0.939868,0.836607,0.807505,0.005396,0.015117,4.3e-05,-0.005378,0.003604,0.025,0.288,1,0
73,-0.005737,0.941021,0.836548,0.809463,0.005285,0.00155,0.000359,0.012366,0.003552,0.025,0.292,1,0
74,-0.006931,0.940615,0.836569,0.810023,0.005278,0.012768,0.000685,-0.004744,0.003454,0.025,0.296,1,0
75,-0.007131,0.941715,0.836511,0.812725,0.005407,0.010293,0.001019,-0.000792,0.003363,0.025,0.3,1,0
76,-0.005377,0.941136,0.836542,0.810926,0.005467,0.014427,0.000959,0.006963,0.003333,0.025,0.304,1,0
77,-0.004755,0.941514,0.836522,0.817026,0.005456,0.005968,0.001047,0.00247,0.0033,0.025,0.308,1,0
78,-0.007392,0.937053,0.836739,0.805808,0.005468,0.014483,0.001026,-0.010471,0.003307,0.025,0.312,1,0
79,-0.005973,0.941501,0.836523,0.813603,0.005405,0.005659,0.000904,0.005636,0.003291,0.025,0.316,1,0
80,-0.005422,0.942493,0.836469,0.81637,0.005256,0.002385,0.000682,0.002187,0.003346,0.025,0.32,1,0
81,-0.001562,0.939147,0.836642,0.806224,0.005012,0.013119,0.00045,0.015326,0.003379,0.025,0.324,1,0
82,-0.002282,0.942212,0.836485,0.816526,0.004711,0.007443,0.000105,-0.00286,0.003401,0.025,0.328,1,0
83,-0.00177,0.943246,0.836427,0.814787,0.004465,0.006345,0.000263,0.002033,0.003464,0.025,0.332,1,0
84,-0.003049,0.941191,0.836539,0.815676,0.004214,0.004815,0.000505,-0.005076,0.003463,0.025,0.336,1,0
85,-0.003393,0.941253,0.836536,0.817486,0.004026,0.007065,0.000822,-0.001367,0.003462,0.025,0.34,1,0
86,-0.002116,0.941708,0.836512,0.815297,0.003768,0.005207,0.001102,0.005069,0.003468,0.025,0.344,1,0
87,9.8e-05,0.941708,0.836512,0.811292,0.003454,0.005314,0.001239,0.008792,0.003451,0.025,0.348,1,0
88,-0.002045,0.940283,0.836586,0.8099,0.003102,0.005322,0.001458,-0.008512,0.003465,0.025,0.352,1,0
89,0.004771,0.934972,0.836826,0.796534,0.002628,0.019744,0.001514,0.027073,0.003442,0.025,0.356,1,0
90,0.007478,0.937679,0.836711,0.805494,0.002073,0.01223,0.001424,0.010749,0.003417,0.025,0.36,1,0
91,0.004575,0.940363,0.836582,0.815624,0.001605,0.000746,0.001367,-0.01153,0.003496,0.025,0.364,1,0
92,0.005555,0.940122,0.836594,0.809098,0.001146,0.018025,0.001524,0.003892,0.003583,0.025,0.368,1,0
93,0.004255,0.94155,0.83652,0.817104,0.000808,0.000431,0.001519,-0.005165,0.003673,0.025,0.372,1,0
94,0.001732,0.938315,0.836681,0.803157,0.000495,0.024961,0.001241,-0.01002,0.003742,0.025,0.376,1,0
95,0.000455,0.940341,0.836583,0.815176,0.000251,0.007698,0.00097,-0.005072,0.003797,0.025,0.38,1,0
96,-0.003632,0.937075,0.836738,0.803593,0.000138,0.017133,0.000754,-0.01623,0.003862,0.025,0.384,1,0
97,-0.004087,0.940295,0.836585,0.816623,0.000154,0.012063,0.000841,-0.001809,0.003918,0.025,0.388,1,0
98,-0.001084,0.938056,0.836693,0.804552,0.000149,0.017381,0.000921,0.011928,0.004049,0.025,0.392,1,0
99,-0.000896,0.941348,0.836531,0.813273,0.000132,0.012189,0.000823,0.000747,0.004101,0.025,0.396,1,0
100,0.002127,0.937947,0.836698,0.806909,6e-06,0.019979,0.000909,0.012007,0.004201,0.025,0.4,1,0
101,0.002224,0.941489,0.836523,0.821233,0.000176,5.9e-05,0.000952,0.000386,0.00429,0.025,0.404,1,0
102,0.000402,0.939882,0.836606,0.818405,0.000248,0.006709,0.001201,-0.007238,0.004424,0.025,0.408,1,0
103,-0.001873,0.938923,0.836653,0.811315,0.000189,0.013199,0.001238,-0.009037,0.004511,0.025,0.412,1,0
104,0.004762,0.933564,0.83688,0.802192,0.000298,0.015736,0.001103,0.02636,0.004592,0.025,0.416,1,0
105,0.002889,0.940168,0.836592,0.819786,0.000172,0.001687,0.001021,-0.007443,0.004676,0.025,0.42,1,0
106,0.002726,0.941173,0.83654,0.819084,6e-06,0.001437,0.000877,-0.000646,0.004834,0.025,0.424,1,0
107,0.004927,0.93765,0.836712,0.806256,1.8e-05,0.019678,0.000874,0.008743,0.004844,0.025,0.428,1,0
108,-0.000531,0.937418,0.836722,0.808374,0.000232,0.002831,0.001129,-0.021685,0.004788,0.025,0.432,1,0
109,0.000545,0.940742,0.836562,0.8175,0.000346,0.000243,0.001153,0.004278,0.004774,0.025,0.436,1,0
110,0.002033,0.938975,0.83665,0.811546,0.000381,0.01362,0.001241,0.005911,0.004795,0.025,0.44,1,0
111,0.00445,0.936475,0.836764,0.801916,0.000358,0.024628,0.001388,0.009601,0.004808,0.025,0.444,1,0
112,0.003371,0.939964,0.836602,0.819116,0.000238,0.005833,0.001649,-0.004288,0.004777,0.025,0.448,1,0
113,-0.000951,0.936671,0.836755,0.80995,0.000227,0.011696,0.001812,-0.01717,0.004808,0.025,0.452,1,0
114,0.001154,0.938887,0.836654,0.814464,0.000177,0.004605,0.001785,0.008364,0.004764,0.025,0.456,1,0
115,0.005853,0.934638,0.836839,0.811173,2e-05,0.007743,0.001563,0.01867,0.004789,0.025,0.46,1,0
116,0.005301,0.938782,0.836659,0.819343,0.000106,0.01148,0.001591,-0.002196,0.004768,0.025,0.464,1,0
117,0.006188,0.938503,0.836673,0.821167,0.000221,0.007788,0.001326,0.003525,0.004812,0.025,0.468,1,0
118,0.005255,0.938832,0.836657,0.817161,0.000321,0.005336,0.001079,-0.003705,0.004792,0.025,0.472,1,0
119,0.005995,0.939441,0.836628,0.81629,0.000487,0.001694,0.000622,0.002939,0.004806,0.025,0.476,1,0
120,0.005835,0.938958,0.836651,0.813628,0.000439,0.009123,0.000235,-0.000636,0.0048,0.025,0.48,1,0
121,0.002911,0.937433,0.836722,0.819201,0.000405,0.002689,3.3e-05,-0.011615,0.004745,0.025,0.484,1,0
122,0.004704,0.936111,0.836779,0.808246,0.000408,0.022003,5.1e-05,0.007123,0.004586,0.025,0.488,1,0
123,0.008781,0.93312,0.836897,0.809417,0.00051,0.018767,2.5e-05,0.016194,0.004475,0.025,0.492,1,0
124,0.006409,0.93806,0.836693,0.819117,0.000725,0.002046,0.000182,-0.009422,0.004456,0.025,0.496,1,0
125,-0.000311,0.931606,0.836949,0.799096,0.000825,0.026852,0.00026,-0.026692,0.004464,0.025,0.5,1,0
126,-0.001455,0.938324,0.836681,0.81873,0.000778,0.004439,0.000236,-0.004544,0.004421,0.025,0.504,1,0
