cycle,trust,deviation,alert
1,0.779144,0.002873,False
2,0.776732,0.002552,False
3,0.777477,0.002873,False
4,0.777654,0.002154,False
5,0.778635,0.001827,False
6,0.778974,0.003312,False
7,0.778733,0.000261,False
8,0.777938,0.002744,False
9,0.779012,0.001722,False
10,0.778233,0.00182,False
11,0.777322,0.001777,False
12,0.777483,0.003353,False
13,0.776882,0.003006,False
14,0.777126,0.003416,False
15,0.776704,0.005072,False
16,0.770139,0.019991,False
17,0.772953,0.015045,False
18,0.774068,0.016659,False
19,0.774292,0.014932,False
20,0.774374,0.013259,False
21,0.773927,0.012253,False
22,0.776112,0.009203,False
23,0.767481,0.020574,False
24,0.772296,0.018303,False
25,0.77088,0.003153,False
26,0.777408,0.001327,False
27,0.776677,0.002678,False
28,0.770151,0.010446,False
29,0.775852,0.005201,False
30,0.776772,0.005757,False
31,0.7768,0.002556,False
32,0.779701,0.002201,False
33,0.776854,0.004798,False
34,0.776059,0.004254,False
35,0.777242,0.002683,False
36,0.777004,0.003494,False
37,0.776377,0.002465,False
38,0.776868,0.003764,False
39,0.776689,0.004092,False
40,0.777375,0.004378,False
41,0.777743,0.002401,False
42,0.778378,0.0004,False
43,0.779595,0.003801,False
44,0.775175,0.002351,False
45,0.775743,0.004008,False
46,0.775297,0.005447,False
47,0.776308,0.003112,False
48,0.775534,0.003451,False
49,0.77595,0.002506,False
50,0.776439,0.00087,False
51,0.775279,0.00371,False
52,0.777977,0.001928,False
53,0.776921,0.000423,False
54,0.777647,0.00022,False
55,0.777342,0.000607,False
56,0.776909,0.004243,False
57,0.777471,0.001386,False
58,0.777249,0.001476,False
59,0.776711,0.000337,False
60,0.77698,0.000408,False
61,0.775787,0.001589,False
62,0.776843,0.001668,False
63,0.775739,0.004011,False
64,0.776077,0.00336,False
65,0.776349,0.003841,False
66,0.775952,0.006814,False
67,0.775192,0.006697,False
68,0.77431,0.007157,False
69,0.775258,0.005809,False
70,0.775445,0.005538,False
71,0.776332,0.007497,False
72,0.774834,0.008851,False
73,0.775454,0.005737,False
74,0.774967,0.006931,False
75,0.774757,0.007131,False
76,0.775273,0.005377,False
77,0.774304,0.004755,False
78,0.774513,0.007392,False
79,0.774741,0.005973,False
80,0.774631,0.005422,False
81,0.776305,0.001562,False
82,0.775134,0.002282,False
83,0.775931,0.00177,False
84,0.774807,0.003049,False
85,0.774397,0.003393,False
86,0.775243,0.002116,False
87,0.776448,9.8e-05,False
88,0.775857,0.002045,False
89,0.776186,0.004771,False
90,0.774771,0.007478,False
91,0.774233,0.004575,False
92,0.775261,0.005555,False
93,0.774401,0.004255,False
94,0.776603,0.001732,False
95,0.775139,0.000455,False
96,0.775716,0.003632,False
97,0.774107,0.004087,False
98,0.776366,0.001084,False
99,0.775771,0.000896,False
100,0.775649,0.002127,False
101,0.773961,0.002224,False
102,0.774349,0.000402,False
103,0.775149,0.001873,False
104,0.774577,0.004762,False
105,0.773672,0.002889,False
106,0.774184,0.002726,False
107,0.775119,0.004927,False
108,0.775496,0.000531,False
109,0.774791,0.000545,False
110,0.775088,0.002033,False
111,0.775684,0.00445,False
112,0.77364,0.003371,False
113,0.774843,0.000951,False
114,0.77465,0.001154,False
115,0.772928,0.005853,False
116,0.77281,0.005301,False
117,0.772173,0.006188,False
118,0.773272,0.005255,False
119,0.773504,0.005995,False
120,0.773905,0.005835,False
121,0.77286,0.002911,False
122,0.774244,0.004704,False
123,0.772177,0.008781,False
124,0.772389,0.006409,False
125,0.775418,0.000311,False
126,0.773547,0.001455,False
127,0.773461,7.9e-05,False
128,0.773308,0.00217,False
129,0.772831,0.003275,False
130,0.775229,0.003245,False
131,0.772971,0.005028,False
132,0.773375,0.009158,False
133,0.771741,0.008851,False
134,0.771377,0.008936,False
135,0.772607,0.007758,False
136,0.770755,0.007376,False
137,0.77193,0.004739,False
138,0.771888,0.004226,False
139,0.771327,0.004357,False
140,0.771729,0.003391,False
141,0.771865,0.003684,False
142,0.771772,0.003486,False
143,0.77189,0.001799,False
144,0.770844,0.004178,False
145,0.771909,0.001888,False
146,0.77255,0.002547,False
147,0.771083,0.003009,False
148,0.770854,0.003838,False
149,0.770679,0.004963,False
150,0.770967,0.003397,False
151,0.770764,0.003913,False
152,0.771336,0.004047,False
153,0.771428,0.004363,False
154,0.770748,0.00298,False
155,0.771714,0.00116,False
156,0.77074,0.002195,False
157,0.770527,0.002571,False
158,0.771349,0.002471,False
159,0.7708,0.002404,False
160,0.770974,0.001355,False
161,0.771984,0.000527,False
162,0.771213,0.001223,False
163,0.770847,0.000848,False
164,0.771795,0.000441,False
165,0.769545,0.000712,False
166,0.770509,0.000771,False
167,0.77113,0.00473,False
168,0.770169,0.001501,False
169,0.771036,0.00631,False
170,0.768742,0.006767,False
171,0.771372,0.003204,False
172,0.768811,0.006136,False
173,0.76875,0.004571,False
174,0.768532,0.004356,False
175,0.76873,0.003085,False
176,0.769272,0.004056,False
177,0.769809,0.001101,False
178,0.769442,0.002101,False
179,0.770076,0.002089,False
180,0.769636,0.000251,False
181,0.770053,0.00102,False
182,0.76908,0.001109,False
183,0.769507,0.001221,False
184,0.769293,0.001582,False
185,0.769153,0.000212,False
186,0.770342,0.002288,False
187,0.770561,0.001111,False
188,0.76971,0.0009,False
189,0.768598,0.003599,False
190,0.76869,0.005043,False
191,0.769534,0.003634,False
192,0.768197,0.00321,False
193,0.767376,0.003707,False
194,0.767975,0.005664,False
195,0.76717,0.005365,False
196,0.768554,0.001098,False
197,0.769767,0.002801,False
198,0.768044,0.000764,False
199,0.767374,0.002276,False
200,0.767579,0.00256,False
201,0.76945,0.001256,False
202,0.768584,0.000666,False
203,0.768129,0.000963,False
204,0.76835,0.001403,False
205,0.768246,0.003715,False
206,0.765939,0.004361,False
207,0.767358,0.004792,False
208,0.765697,0.004029,False
209,0.765813,0.003944,False
210,0.765869,0.00347,False
211,0.76734,0.008571,False
212,0.766826,0.009942,False
213,0.764233,0.009046,False
214,0.765408,0.006736,False
215,0.765936,0.005195,False
216,0.765366,0.007535,False
217,0.766793,0.003459,False
218,0.764879,0.003871,False
219,0.765141,0.005331,False
220,0.764468,0.00701,False
