cycle,delta,anomaly,alert
1,0,0.007404,False
2,0.000321,0.001243,False
3,0.000321,0.002753,False
4,0.000719,0.001856,False
5,0.003981,0.007181,False
6,0.001485,0.007474,False
7,0.003051,0.007466,False
8,0.002483,0.007989,False
9,0.001022,0.005219,False
10,0.003542,0.008201,False
11,4.3e-05,0.001681,False
12,0.001576,0.004598,False
13,0.000347,0.001573,False
14,0.00041,0.001141,False
15,0.001656,0.003594,False
16,0.014919,0.050675,False
17,0.004946,0.008553,False
18,0.001614,0.005557,False
19,0.001727,0.007356,False
20,0.001673,0.005437,False
21,0.001006,0.002526,False
22,0.00305,0.008207,False
23,0.011371,0.05085,False
24,0.002271,0.007305,False
25,0.01515,0.056778,False
26,0.001826,0.004341,False
27,0.001351,0.003815,False
28,0.013124,0.051162,False
29,0.005245,0.007529,False
30,0.000556,0.001147,False
31,0.003201,0.005796,False
32,0.004757,0.011869,False
33,0.002597,0.005587,False
34,0.000544,0.002116,False
35,0.001571,0.002879,False
36,0.000811,0.002605,False
37,0.005959,0.009518,False
38,0.001299,0.003201,False
39,0.000328,0.003217,False
40,0.000286,0.004269,False
41,0.001977,0.007497,False
42,0.002801,0.006311,False
43,0.003401,0.012282,False
44,0.00145,0.005172,False
45,0.001657,0.004262,False
46,0.001439,0.002718,False
47,0.002335,0.004315,False
48,0.000339,0.001503,False
49,0.000945,0.002056,False
50,0.001636,0.003426,False
51,0.00458,0.006906,False
52,0.005638,0.012839,False
53,0.002351,0.004604,False
54,0.000203,0.002313,False
55,0.000827,0.002779,False
56,0.00485,0.009803,False
57,0.002857,0.005781,False
58,9e-05,0.000424,False
59,0.001139,0.003292,False
60,0.000745,0.002552,False
61,0.001997,0.004125,False
62,7.9e-05,0.000537,False
63,0.002343,0.004288,False
64,0.000651,0.001765,False
65,0.000481,0.003788,False
66,0.002973,0.007044,False
67,0.000117,0.002105,False
68,0.00046,0.002097,False
69,0.001348,0.004017,False
70,0.000271,0.000537,False
71,0.001959,0.007272,False
72,0.001354,0.00485,False
73,0.003114,0.004563,False
74,0.001194,0.004294,False
75,0.0002,0.00253,False
76,0.001754,0.005432,False
77,0.000622,0.002238,False
78,0.002637,0.006642,False
79,0.001419,0.003218,False
80,0.000551,0.001353,False
81,0.00386,0.007896,False
82,0.00072,0.002477,False
83,0.000512,0.002009,False
84,0.001279,0.002781,False
85,0.000344,0.00204,False
86,0.001277,0.002976,False
