cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,ledger_warning_input,noise,contradiction,pressure,drift
1,0.003138,0.941728,0.836511,0.793827,0.000547,0.023763,0.000791,0.012455,0.0,0.025,0,1,0.004
2,0.003193,0.945056,0.836322,0.814285,0.000933,0.000487,0.001157,0.000215,0.0,0.025,0,1,0.008
3,0.003874,0.944704,0.836343,0.806843,0.001408,0.012709,0.001709,0.002707,0.001445,0.025,0,1,0.012
4,0.003329,0.945769,0.836278,0.812565,0.001668,0.00247,0.002025,-0.002166,0.001914,0.025,0,1,0.016
5,-0.001065,0.941361,0.83653,0.801681,0.001444,0.006596,0.002476,-0.017449,0.002265,0.025,0,1,0.02
6,-0.002712,0.941467,0.836525,0.797949,0.00116,0.024851,0.002345,-0.00654,0.002435,0.025,0,1,0.024
7,0.000558,0.942281,0.836481,0.805906,0.001262,0.014253,0.002417,0.012986,0.002725,0.025,0,1,0.028
8,-0.002566,0.940011,0.836599,0.796502,0.001298,0.020941,0.002354,-0.012408,0.003057,0.025,0,1,0.032
9,-0.002836,0.945826,0.836275,0.809264,0.001333,0.009054,0.002434,-0.001074,0.003395,0.025,0,1,0.036
10,-0.001085,0.945504,0.836294,0.810946,0.00139,0.002537,0.002286,0.006957,0.003747,0.025,0,1,0.04
11,-0.003518,0.942824,0.836451,0.792272,0.001384,0.025572,0.001948,-0.009664,0.003967,0.025,0,1,0.044
12,0.002392,0.939465,0.836626,0.783109,0.001522,0.029222,0.001654,0.023477,0.004105,0.025,0,1,0.048
13,0.004628,0.942772,0.836454,0.793937,0.001649,0.026844,0.001647,0.008879,0.004275,0.025,0,1,0.052
14,0.006801,0.942528,0.836467,0.798049,0.001742,0.013876,0.001527,0.008635,0.00454,0.025,0,1,0.056
15,0.009013,0.941033,0.836547,0.801422,0.0018,0.00566,0.001093,0.008784,0.004786,0.025,0,1,0.06
16,0.010335,0.940449,0.836577,0.793005,0.001722,0.015501,0.000464,0.005251,0.004978,0.025,0,1,0.064
17,0.007433,0.939419,0.836629,0.813935,0.001556,0.006853,9.6e-05,-0.011524,0.005107,0.025,0,1,0.068
18,0.011079,0.936576,0.836759,0.810491,0.001617,0.012638,0.000432,0.01448,0.005195,0.025,0,1,0.072
19,0.008874,0.939241,0.836637,0.812665,0.001713,0.022076,0.000124,-0.008759,0.005235,0.025,0,1,0.076
20,0.005393,0.943072,0.836437,0.79847,0.001838,0.006765,0.000269,-0.013825,0.005347,0.025,0,1,0.08
21,0.001814,0.941174,0.83654,0.787033,0.002064,0.039214,0.000175,-0.014218,0.005477,0.025,0,1,0.084
22,-0.005154,0.938311,0.836682,0.764421,0.002188,0.053057,0.000103,-0.027681,0.005631,0.025,0,1,0.088
23,0.002686,0.939526,0.836623,0.769806,0.002246,0.038584,0.000319,0.031147,0.005811,0.025,0,1,0.092
24,-0.003318,0.923345,0.837155,0.755111,0.002386,0.212067,0.001598,-0.02386,0.006093,0.025,0,1,0.096
25,0.00039,0.940563,0.836572,0.789479,0.002446,0.030254,0.003083,0.014742,0.006438,0.025,0,1,0.1
26,0.000868,0.942981,0.836442,0.807289,0.002306,0.011743,0.00357,0.0019,0.007186,0.025,0,1,0.104
27,0.001397,0.941373,0.836529,0.808729,0.002066,0.003198,0.003585,0.002102,0.007885,0.025,0,1,0.108
28,0.000445,0.941542,0.836521,0.815516,0.001743,0.000709,0.003646,-0.003785,0.008449,0.025,0,1,0.112
29,0.004604,0.937263,0.836729,0.82063,0.001719,0.00148,0.003631,0.016538,0.008824,0.025,0,1,0.116
30,0.000332,0.941481,0.836524,0.794766,0.001805,0.000284,0.004107,-0.016989,0.00899,0.025,0,1,0.12
31,-0.001423,0.943098,0.836435,0.789881,0.002013,0.022899,0.004375,-0.006982,0.0091,0.025,0,1,0.124
32,-0.003242,0.945215,0.836312,0.792529,0.00231,0.025277,0.004262,-0.007235,0.009194,0.025,0,1,0.128
33,-0.007733,0.940207,0.83659,0.764845,0.002528,0.057942,0.003731,-0.017863,0.009309,0.025,0,1,0.132
34,0.002555,0.935709,0.836796,0.754161,0.002643,0.060394,0.003414,0.040918,0.009439,0.025,0,1,0.136
35,0.007954,0.93773,0.836708,0.77264,0.002758,0.055747,0.003529,0.021474,0.00969,0.025,0,1,0.14
36,0.012436,0.938181,0.836688,0.777587,0.002788,0.02983,0.003349,0.01783,0.010105,0.025,0,1,0.144
37,0.011994,0.940651,0.836567,0.80542,0.002657,0.007564,0.00259,-0.00176,0.01057,0.025,0,1,0.148
38,0.006515,0.934912,0.836828,0.819991,0.002379,0.002253,0.001833,-0.021792,0.011015,0.025,0,1,0.152
39,0.004497,0.93693,0.836744,0.817228,0.002042,0.007078,0.001233,-0.008027,0.011258,0.025,0,1,0.156
40,0.004525,0.93978,0.836611,0.802169,0.001979,0.007645,0.00113,0.000111,0.01132,0.025,0,1,0.16
41,0.002931,0.940253,0.836587,0.802234,0.00221,0.017355,0.001856,-0.006342,0.011213,0.025,0,1,0.164
