cycle,trust,deviation,alert
1,0.77934,0.003138,False
2,0.776355,0.003193,False
3,0.777589,0.003874,False
4,0.77691,0.003329,False
5,0.77806,0.001065,False
6,0.778512,0.002712,False
7,0.777626,0.000558,False
8,0.77834,0.002566,False
9,0.777688,0.002836,False
10,0.777594,0.001085,False
11,0.779943,0.003518,False
12,0.780869,0.002392,False
13,0.779371,0.004628,False
14,0.778032,0.006801,False
15,0.776411,0.009013,False
16,0.777633,0.010335,False
17,0.77368,0.007433,False
18,0.772677,0.011079,False
19,0.773586,0.008874,False
20,0.778412,0.005393,False
21,0.780776,0.001814,False
22,0.783664,0.005154,False
23,0.783491,0.002686,False
24,0.780774,0.003318,False
25,0.780366,0.00039,False
26,0.777522,0.000868,False
27,0.776588,0.001397,False
28,0.775478,0.000445,False
29,0.772177,0.004604,False
30,0.77963,0.000332,False
31,0.780932,0.001423,False
32,0.780749,0.003242,False
33,0.783704,0.007733,False
34,0.785354,0.002555,False
35,0.781264,0.007954,False
36,0.779531,0.012436,False
37,0.774887,0.011994,False
38,0.771125,0.006515,False
39,0.772766,0.004497,False
40,0.776737,0.004525,False
41,0.777202,0.002931,False
42,0.781892,0.000557,False
43,0.780361,0.006909,False
44,0.786873,0.005695,False
45,0.786716,0.009397,False
46,0.782039,0.017845,False
47,0.778152,0.019361,False
48,0.774054,0.019599,False
49,0.762345,0.028444,False
50,0.76549,0.02262,False
51,0.767888,0.008706,False
52,0.774033,0.009771,False
53,0.784236,0.000445,False
54,0.78513,0.008506,False
55,0.786958,0.019526,False
56,0.788923,0.005293,False
57,0.791516,0.002038,False
58,0.782308,0.005763,False
59,0.778311,0.002436,False
60,0.766356,0.008895,False
61,0.767136,0.012962,False
62,0.766888,0.003343,False
63,0.779278,0.000762,False
64,0.780679,0.005587,False
65,0.786481,0.002886,False
66,0.792884,0.004541,False
67,0.789617,0.011114,False
68,0.782043,0.017727,False
69,0.778519,0.010109,False
70,0.772681,0.008434,False
71,0.763631,0.015192,False
72,0.767652,0.011445,False
73,0.76894,0.002914,False
74,0.773418,0.004324,False
75,0.77862,0.010306,False
76,0.787689,0.001132,False
77,0.793242,0.007854,False
78,0.793226,0.002697,False
79,0.78489,0.01251,False
80,0.779571,0.005428,False
81,0.769675,0.008164,False
82,0.766881,0.011715,False
83,0.766453,0.011399,False
84,0.765208,0.002957,False
85,0.76949,0.007091,False
86,0.774394,0.014892,False
87,0.787428,0.004287,False
88,0.79362,0.002154,False
89,0.792182,0.009066,False
90,0.786667,0.009341,False
91,0.776316,0.000569,False
92,0.772408,0.000214,False
93,0.765465,0.006764,False
94,0.758302,0.020003,False
95,0.762543,0.012751,False
96,0.769105,0.010431,False
97,0.780809,0.002122,False
98,0.788414,0.003076,False
99,0.792508,0.004462,False
100,0.792826,0.006225,False
101,0.785633,0.004738,False
102,0.777119,0.006252,False
103,0.770055,0.006076,False
104,0.766141,0.010882,False
105,0.763886,0.009281,False
106,0.766978,0.001368,False
107,0.772396,0.005202,False
108,0.776968,0.001105,False
109,0.786327,0.003104,False
