cycle,delta,anomaly,alert
1,0,0.008025,False
2,5.5e-05,0.000402,False
3,0.000681,0.003799,False
4,0.000545,0.001631,False
5,0.004394,0.007715,False
6,0.001647,0.007651,False
7,0.00327,0.007725,False
8,0.003124,0.008854,False
9,0.00027,0.002661,False
10,0.001751,0.003317,False
11,0.002433,0.008772,False
12,0.00591,0.014113,False
13,0.002236,0.008701,False
14,0.002173,0.006,False
15,0.002212,0.004321,False
16,0.001322,0.004968,False
17,0.002902,0.005286,False
18,0.003646,0.00751,False
19,0.002205,0.007402,False
20,0.003481,0.006081,False
21,0.003579,0.012685,False
22,0.006968,0.019991,False
23,0.00784,0.018311,False
24,0.006004,0.050799,False
25,0.003708,0.011651,False
26,0.000478,0.003705,False
27,0.000529,0.002067,False
28,0.000952,0.00215,False
29,0.004159,0.006612,False
30,0.004272,0.006621,False
31,0.001755,0.007815,False
32,0.001819,0.008353,False
33,0.004491,0.018372,False
34,0.010288,0.026592,False
35,0.005399,0.019113,False
36,0.004482,0.012662,False
37,0.000442,0.002626,False
38,0.005479,0.008183,False
39,0.002018,0.004375,False
40,2.8e-05,0.001793,False
41,0.001594,0.005986,False
42,0.002374,0.009657,False
43,0.006352,0.046153,False
44,0.012604,0.032475,False
45,0.015092,0.035681,False
46,0.008448,0.028916,False
47,0.001516,0.010985,False
48,0.000238,0.001788,False
49,0.008845,0.052229,False
50,0.005824,0.010465,False
51,0.013914,0.059252,False
52,0.001065,0.00679,False
53,0.009326,0.023111,False
54,0.008951,0.028397,False
55,0.01102,0.032975,False
56,0.014233,0.034464,False
57,0.003255,0.054506,False
58,0.003725,0.046318,False
59,0.003327,0.005778,False
60,0.011331,0.05554,False
61,0.004067,0.007055,False
62,0.009619,0.057072,False
63,0.004105,0.007693,False
64,0.006349,0.050947,False
65,0.008473,0.027658,False
66,0.001655,0.049446,False
67,0.015655,0.042013,False
68,0.006613,0.022648,False
69,0.007618,0.050794,False
70,0.001675,0.009166,False
71,0.006758,0.05333,False
72,0.003747,0.008889,False
73,0.008531,0.05295,False
74,0.00141,0.008947,False
75,0.005982,0.047026,False
76,0.009174,0.024533,False
77,0.008986,0.061496,False
78,0.010551,0.064523,False
79,0.009813,0.028812,False
80,0.007082,0.048,False
81,0.002736,0.01361,False
82,0.003551,0.054376,False
83,0.000316,0.001986,False
84,0.008442,0.061153,False
85,0.004134,0.018526,False
86,0.007801,0.044148,False
87,0.010605,0.029659,False
88,0.002133,0.046078,False
89,0.006912,0.053438,False
90,0.000275,0.043803,False
91,0.00991,0.045864,False
92,0.000783,0.013676,False
93,0.00655,0.061111,False
94,0.013239,0.066737,False
95,0.007252,0.064478,False
96,0.00232,0.017317,False
97,0.008309,0.0132,False
98,0.000954,0.042473,False
99,0.001386,0.044709,False
100,0.001763,0.046836,False
101,0.001487,0.041259,False
102,0.001514,0.004086,False
103,0.000176,0.014291,False
104,0.004806,0.065792,False
105,0.001601,0.004695,False
106,0.010649,0.060678,False
107,0.00657,0.030532,False
108,0.004097,0.012562,False
109,0.001999,0.039925,False
110,0.000572,0.037945,False
111,0.005464,0.04146,False
112,0.001843,0.036849,False
113,0.00279,0.014564,False
114,0.004539,0.027525,False
115,0.014918,0.06383,False
116,0.000458,0.00454,False
117,0.008173,0.056141,False
118,0.007381,0.03173,False
119,0.000342,0.008937,False
120,0.001057,0.035913,False
121,0.001816,0.034139,False
122,0.009038,0.041556,False
123,0.001981,0.039719,False
124,0.002395,0.016713,False
125,0.001437,0.005921,False
126,0.008257,0.057407,False
127,0.000535,0.004312,False
128,0.008703,0.06165,False
129,0.01145,0.041663,False
130,0.000106,0.014824,False
131,0.000911,0.034549,False
132,0.002093,0.009065,False
133,0.007675,0.040363,False
134,0.003229,0.034596,False
135,0.00098,0.017311,False
136,0.008711,0.039018,False
137,0.00995,0.059637,False
138,5.6e-05,0.001872,False
139,0.007624,0.057354,False
140,0.01283,0.04645,False
141,0.004708,0.024365,False
142,0.00329,0.033098,False
143,0.001065,0.004958,False
144,0.001978,0.005634,False
145,0.005376,0.036729,False
146,0.007822,0.033361,False
147,0.012511,0.048991,False
148,0.013005,0.065796,False
149,0.002239,0.008342,False
150,0.008597,0.060117,False
151,0.001743,0.009991,False
152,0.011731,0.038458,False
153,0.006184,0.033634,False
154,0.002394,0.007079,False
155,0.00669,0.016302,False
156,0.006677,0.034009,False
157,0.008025,0.035191,False
158,0.002078,0.013785,False
159,0.009492,0.061326,False
160,7.2e-05,0.002478,False
161,0.008639,0.060475,False
162,0.004499,0.019528,False
163,0.006525,0.028753,False
164,0.005705,0.028006,False
165,0.001802,0.003626,False
166,0.002636,0.005847,False
167,0.009129,0.035229,False
168,0.007558,0.033764,False
169,0.002619,0.017042,False
170,0.011659,0.066189,False
171,0.00359,0.010165,False
172,0.003931,0.058847,False
173,0.007042,0.024419,False
174,0.012151,0.044295,False
175,0.007987,0.028362,False
176,0.00438,0.008823,False
177,0.00389,0.009437,False
178,0.004592,0.031363,False
179,0.008088,0.041817,False
180,0.006925,0.023549,False
181,0.00682,0.061435,False
182,0.001235,0.00542,False
183,0.007049,0.061138,False
184,0.011874,0.036843,False
185,0.009802,0.040109,False
186,0.001611,0.014889,False
187,0.003498,0.01,False
188,0.001686,0.009264,False
189,0.003065,0.014256,False
190,0.00988,0.045617,False
191,0.012389,0.03868,False
192,0.009238,0.064676,False
193,0.00057,0.003793,False
194,0.009257,0.063712,False
195,0.015289,0.044496,False
196,0.004463,0.011524,False
197,0.006436,0.020493,False
198,0.004008,0.012692,False
199,0.00711,0.020339,False
200,0.003029,0.0161,False
201,0.000498,0.016692,False
202,0.019623,0.053918,False
203,0.009014,0.067337,False
204,0.003032,0.009952,False
205,0.003718,0.062534,False
206,0.017448,0.048994,False
207,0.003366,0.022344,False
208,0.000517,0.013477,False
209,0.012476,0.027872,False
210,0.010844,0.026219,False
211,0.002374,0.019841,False
212,0.003761,0.022211,False
213,0.019842,0.05417,False
214,0.006415,0.064947,False
215,0.000537,0.005475,False
216,0.002407,0.063421,False
217,0.027403,0.073235,False
218,0.000567,0.017798,False
219,0.001408,0.017487,False
220,0.012138,0.028126,False
