cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,ledger_warning_input,noise,contradiction,pressure,drift
1,0.005125,0.938249,0.836684,0.780609,0.000856,0.039605,0.00131,0.020389,0.0,0.0425,0.006,1.012,0.005
2,0.00509,0.943606,0.836407,0.813599,0.001479,0.00106,0.001885,-0.00014,0.0,0.045,0.012,1.024,0.01
3,0.006185,0.943216,0.836429,0.802231,0.002335,0.02243,0.002886,0.004378,0.00239,0.0475,0.018,1.036,0.015
4,0.005089,0.945124,0.836318,0.810453,0.002846,0.00494,0.003593,-0.004396,0.003165,0.05,0.024,1.048,0.02
5,-0.003501,0.935948,0.836786,0.786528,0.002458,0.013851,0.004675,-0.034525,0.003759,0.0525,0.03,1.06,0.025
6,-0.006934,0.935701,0.836796,0.777523,0.001917,0.054672,0.00448,-0.013831,0.004071,0.055,0.036,1.072,0.03
7,0.000551,0.937939,0.836699,0.793092,0.002114,0.024777,0.004384,0.030229,0.004661,0.0575,0.042,1.084,0.035
8,-0.006404,0.93131,0.836959,0.776471,0.002092,0.050259,0.003894,-0.028157,0.005393,0.06,0.048,1.096,0.04
9,-0.017493,0.916616,0.837222,0.774704,0.002075,0.194566,0.00644,-0.04502,0.006153,0.0625,0.054,1.108,0.045
10,-0.008038,0.935906,0.836788,0.791698,0.002185,0.007761,0.007551,0.038488,0.006987,0.065,0.06,1.12,0.05
11,0.001922,0.919221,0.837207,0.766096,0.00224,0.208058,0.005301,0.040641,0.008533,0.0675,0.066,1.132,0.055
12,0.007782,0.932535,0.836918,0.761142,0.002433,0.075608,0.004231,0.023969,0.009762,0.07,0.072,1.144,0.06
13,-0.000739,0.921371,0.837184,0.768403,0.002723,0.206788,0.006052,-0.034957,0.011401,0.0725,0.078,1.156,0.065
14,0.01669,0.914151,0.837224,0.773165,0.002986,0.147393,0.004789,0.071673,0.012772,0.075,0.084,1.168,0.07
15,0.021686,0.933139,0.836896,0.787677,0.00328,0.017545,0.003333,0.020597,0.01434,0.0775,0.09,1.18,0.075
16,0.028831,0.930238,0.836993,0.780838,0.004469,0.018773,0.00157,0.029523,0.016001,0.08,0.096,1.192,0.08
17,0.018891,0.929004,0.837029,0.808429,0.005244,0.005353,0.000372,-0.041172,0.01716,0.0825,0.102,1.204,0.085
18,0.015813,0.911252,0.837211,0.761638,0.006361,0.24152,0.002179,-0.012788,0.017971,0.085,0.108,1.216,0.09
19,0.021244,0.927826,0.837061,0.790819,0.008468,0.055115,0.004079,0.022621,0.018639,0.0875,0.114,1.228,0.095
20,0.016785,0.939919,0.836604,0.799261,0.010371,0.013871,0.005811,-0.01862,0.019763,0.09,0.12,1.24,0.1
21,0.012024,0.935831,0.836791,0.789865,0.012304,0.035094,0.006533,-0.019938,0.020806,0.0925,0.126,1.252,0.105
22,0.015742,0.941817,0.836506,0.765856,0.013808,0.01127,0.005986,0.015605,0.021719,0.095,0.132,1.264,0.11
23,0.027935,0.931241,0.836961,0.760099,0.015802,0.025283,0.004842,0.051304,0.022446,0.0975,0.138,1.276,0.115
24,0.035533,0.921397,0.837184,0.746256,0.017948,0.103553,0.004653,0.032046,0.022939,0.1,0.144,1.288,0.12
25,0.024303,0.906853,0.837159,0.770801,0.020014,0.237254,0.007289,-0.047496,0.023413,0.1025,0.15,1.3,0.125
26,0.018819,0.931402,0.836956,0.810539,0.021639,0.009238,0.008912,-0.023258,0.023927,0.105,0.156,1.312,0.13
27,0.022665,0.926744,0.837087,0.799707,0.023144,0.021658,0.009559,0.016351,0.024445,0.1075,0.162,1.324,0.135
28,0.005871,0.906576,0.837154,0.782039,0.024454,0.170954,0.012284,-0.071609,0.024806,0.11,0.168,1.336,0.14
29,0.01796,0.919044,0.837209,0.803046,0.025783,0.009011,0.012825,0.051675,0.024593,0.1125,0.174,1.348,0.145
30,0.007015,0.930279,0.836992,0.77056,0.026762,0.028473,0.013295,-0.046903,0.024833,0.115,0.18,1.36,0.15
31,0.008972,0.937273,0.836729,0.80091,0.027504,0.036207,0.012683,0.008408,0.024655,0.1175,0.186,1.372,0.155
32,0.02306,0.925991,0.837104,0.743287,0.028292,0.050733,0.011552,0.060635,0.02417,0.12,0.192,1.384,0.16
33,0.025189,0.936923,0.836744,0.793744,0.02937,0.033952,0.009782,0.009186,0.023798,0.1225,0.198,1.396,0.165
34,0.034765,0.925117,0.837123,0.757657,0.030294,0.05558,0.00816,0.041396,0.02371,0.125,0.204,1.408,0.17
35,0.027757,0.925555,0.837114,0.798181,0.028868,0.069805,0.008085,-0.030374,0.023605,0.1275,0.21,1.42,0.175
36,0.036253,0.923308,0.837156,0.750925,0.027806,0.08677,0.008297,0.036912,0.023221,0.13,0.216,1.432,0.18
37,0.034082,0.929341,0.837019,0.804043,0.027164,0.021228,0.00891,-0.009455,0.022985,0.1325,0.222,1.444,0.185
38,0.02364,0.917891,0.837217,0.799135,0.027506,0.020592,0.009437,-0.045601,0.023033,0.135,0.228,1.456,0.19
39,0.014394,0.915207,0.837225,0.7939,0.026618,0.057979,0.008931,-0.040475,0.023005,0.1375,0.234,1.468,0.195
40,0.012426,0.926577,0.837091,0.799846,0.025461,0.048879,0.007701,-0.008634,0.023123,0.14,0.24,1.48,0.2
41,0.003818,0.909798,0.837198,0.774039,0.024454,0.243574,0.009859,-0.037881,0.023258,0.1425,0.246,1.492,0.205
42,0.009157,0.936836,0.836748,0.798836,0.023733,0.014873,0.010293,0.023558,0.023161,0.145,0.252,1.504,0.21
43,0.002359,0.941857,0.836504,0.789986,0.022818,0.022072,0.011032,-0.030076,0.023067,0.1475,0.258,1.516,0.215
44,-0.00487,0.929638,0.837011,0.785984,0.021785,0.028117,0.012971,-0.032073,0.023007,0.15,0.264,1.528,0.22
45,0.00249,0.93009,0.836997,0.785619,0.020335,0.081415,0.012566,0.032739,0.023014,0.1525,0.27,1.54,0.225
46,0.026975,0.908567,0.837184,0.770438,0.020395,0.044987,0.011874,0.109161,0.022551,0.155,0.276,1.552,0.23
47,0.013775,0.906381,0.837151,0.767471,0.020634,0.247385,0.014298,-0.059019,0.022271,0.1575,0.282,1.564,0.235
48,0.015464,0.92022,0.837198,0.788642,0.020149,0.082173,0.014168,0.007573,0.022309,0.16,0.288,1.576,0.24
49,0.01397,0.923945,0.837145,0.83409,0.019434,0.01031,0.013154,-0.006716,0.023005,0.1625,0.294,1.588,0.245
50,0.008228,0.918086,0.837215,0.813251,0.018334,0.026948,0.012119,-0.025868,0.023441,0.165,0.3,1.6,0.25
51,0.004207,0.91006,0.837201,0.785162,0.017923,0.223144,0.013724,-0.018173,0.023734,0.1675,0.306,1.612,0.255
52,0.014593,0.901645,0.837047,0.724191,0.017035,0.241595,0.013069,0.047052,0.023854,0.17,0.312,1.624,0.26
53,0.006648,0.929824,0.837005,0.811113,0.015309,0.023804,0.011484,-0.036082,0.024262,0.1725,0.318,1.636,0.265
54,0.002139,0.937565,0.836716,0.809202,0.012867,0.02381,0.009571,-0.020535,0.024984,0.175,0.324,1.648,0.27
55,0.001515,0.947267,0.836184,0.791597,0.010898,0.035106,0.008569,-0.002849,0.02567,0.1775,0.33,1.66,0.275
56,-0.00876,0.935316,0.836812,0.792255,0.008881,0.015067,0.008386,-0.047041,0.026133,0.18,0.336,1.672,0.28
57,0.003472,0.931201,0.836963,0.78298,0.006769,0.047606,0.008805,0.056159,0.026311,0.1825,0.342,1.684,0.285
58,0.011437,0.927729,0.837063,0.79604,0.004771,0.078775,0.010649,0.036678,0.02652,0.185,0.348,1.696,0.29
59,0.022359,0.912518,0.837219,0.776612,0.003849,0.097915,0.012931,0.050449,0.026309,0.1875,0.354,1.708,0.295
60,0.040112,0.887869,0.836489,0.791756,0.004049,0.164726,0.01173,0.082196,0.026332,0.19,0.36,1.72,0.3
61,0.023278,0.901974,0.837055,0.818055,0.003937,0.043772,0.009772,-0.078132,0.026599,0.1925,0.366,1.732,0.305
62,0.015908,0.902769,0.837075,0.773078,0.002827,0.25756,0.011467,-0.034315,0.0273,0.195,0.372,1.744,0.31
63,0.007413,0.917715,0.837218,0.791373,0.000957,0.068591,0.013524,-0.039677,0.027934,0.1975,0.378,1.756,0.315
64,0.005017,0.909071,0.83719,0.773325,0.001954,0.270157,0.010943,-0.011216,0.028642,0.2,0.384,1.768,0.32
65,0.00739,0.93014,0.836996,0.776026,0.004268,0.112112,0.006663,0.011131,0.02873,0.2025,0.39,1.78,0.325
66,0.007035,0.940073,0.836596,0.754736,0.006771,0.056638,0.003323,-0.001667,0.02923,0.205,0.396,1.792,0.33
67,0.006362,0.940697,0.836565,0.763415,0.008009,0.05237,0.000614,-0.003171,0.02986,0.2075,0.402,1.804,0.335
68,0.01027,0.936249,0.836773,0.795791,0.008558,0.034935,0.000941,0.01847,0.030322,0.21,0.408,1.816,0.34
69,0.015867,0.92517,0.837122,0.806461,0.007495,0.098627,0.000456,0.026521,0.030222,0.2125,0.414,1.828,0.345
70,0.013869,0.929623,0.837011,0.82344,0.005488,0.000912,0.001103,-0.009494,0.029544,0.215,0.42,1.84,0.35
71,0.007504,0.913731,0.837223,0.822725,0.003922,0.087863,0.00125,-0.030327,0.029109,0.2175,0.426,1.852,0.355
72,-0.012364,0.889999,0.8366,0.748018,0.002841,0.133026,0.003918,-0.094958,0.02865,0.22,0.432,1.864,0.36
73,0.015131,0.881169,0.83608,0.783117,0.001206,0.210172,0.009552,0.131878,0.028485,0.2225,0.438,1.876,0.365
74,0.010289,0.925674,0.837111,0.806638,0.000144,0.013825,0.014645,-0.023307,0.02878,0.225,0.444,1.888,0.37
75,-0.001994,0.899257,0.836977,0.709535,0.001114,0.315622,0.021583,-0.059351,0.029657,0.2275,0.45,1.9,0.375
76,-0.007492,0.945156,0.836316,0.778996,0.003259,0.006844,0.025644,-0.026657,0.030172,0.23,0.456,1.912,0.38
77,-0.014056,0.921481,0.837183,0.800439,0.004645,0.087373,0.029892,-0.031941,0.031123,0.2325,0.462,1.924,0.385
78,-0.012331,0.924292,0.837139,0.825302,0.005864,0.035461,0.031157,0.008421,0.031355,0.235,0.468,1.936,0.39
79,-0.017956,0.938093,0.836692,0.746782,0.005722,0.000219,0.029793,-0.027524,0.031515,0.2375,0.474,1.948,0.395
80,-0.000638,0.91352,0.837223,0.741908,0.003871,0.123264,0.026768,0.084935,0.031091,0.24,0.48,1.96,0.4
81,0.00964,0.916773,0.837222,0.818447,0.00267,0.021626,0.023641,0.050519,0.03059,0.2425,0.486,1.972,0.405
82,0.005405,0.917759,0.837217,0.83779,0.000872,0.02482,0.020184,-0.020866,0.03016,0.245,0.492,1.984,0.41
83,0.004455,0.921493,0.837183,0.818458,3.6e-05,0.052128,0.016228,-0.004688,0.029793,0.2475,0.498,1.996,0.415
84,-0.001337,0.911798,0.837215,0.827275,0.00011,0.044778,0.012054,-0.028666,0.029535,0.25,0.504,2.008,0.42
85,-0.00933,0.909305,0.837193,0.841864,0.000727,0.034809,0.007558,-0.039639,0.029368,0.2525,0.51,2.02,0.425
86,0.000172,0.912572,0.837219,0.781316,0.0028,0.215313,0.007759,0.047254,0.029318,0.255,0.516,2.032,0.43
87,0.007202,0.917601,0.837218,0.745704,0.004448,0.249954,0.010987,0.035074,0.029197,0.2575,0.522,2.044,0.435
88,-0.002472,0.92371,0.837149,0.757415,0.005265,0.06237,0.012803,-0.048418,0.029733,0.26,0.528,2.056,0.44
89,0.018818,0.918552,0.837212,0.804997,0.006594,0.019981,0.014333,0.106897,0.030564,0.2625,0.534,2.068,0.445
90,0.052911,0.886507,0.836413,0.746108,0.006853,0.021371,0.015345,0.171711,0.030919,0.265,0.54,2.08,0.45
91,0.043113,0.923837,0.837147,0.795331,0.005578,0.032288,0.014622,-0.049484,0.030692,0.2675,0.546,2.092,0.455
92,0.039646,0.892098,0.8367,0.75586,0.003024,0.316134,0.009467,-0.017554,0.031061,0.27,0.552,2.104,0.46
93,0.037703,0.910806,0.837207,0.791381,0.001198,0.034504,0.006678,-0.009857,0.030665,0.2725,0.558,2.116,0.465
94,0.049208,0.863438,0.834566,0.81178,1.1e-05,0.325531,0.011921,0.058608,0.030974,0.275,0.564,2.128,0.47
95,0.042332,0.886596,0.836418,0.802011,0.000104,0.085945,0.014751,-0.035144,0.030971,0.2775,0.57,2.14,0.475
96,0.00995,0.880442,0.836031,0.746755,0.001868,0.118351,0.017361,-0.166066,0.031756,0.28,0.576,2.152,0.48
97,-0.006321,0.910569,0.837205,0.763711,0.003735,0.075016,0.018291,-0.08371,0.032571,0.2825,0.582,2.164,0.485
98,0.006311,0.903161,0.837085,0.779624,0.005049,0.19308,0.021793,0.065218,0.033477,0.285,0.588,2.176,0.49
99,0.028626,0.888898,0.836544,0.788594,0.005974,0.235117,0.027541,0.115663,0.034427,0.2875,0.594,2.188,0.495
100,0.021546,0.92475,0.83713,0.792413,0.006182,0.026101,0.029576,-0.036825,0.035728,0.29,0.6,2.2,0.5
101,0.041804,0.890766,0.836638,0.725062,0.005162,0.156475,0.028902,0.105718,0.037601,0.2925,0.606,2.212,0.505
102,0.040152,0.906663,0.837155,0.804893,0.003189,0.160443,0.023365,-0.008647,0.039126,0.295,0.612,2.224,0.51
103,0.020267,0.884036,0.836266,0.787749,0.00141,0.20978,0.01531,-0.104273,0.040901,0.2975,0.618,2.236,0.515
104,0.04114,0.862006,0.834417,0.783059,0.001002,0.177112,0.013013,0.109774,0.042093,0.3,0.624,2.248,0.52
105,0.026938,0.885556,0.836358,0.854592,0.002562,0.05636,0.009247,-0.074886,0.043212,0.3025,0.63,2.26,0.525
106,0.020071,0.901236,0.837036,0.856015,0.003232,0.017526,0.00583,-0.036312,0.044582,0.305,0.636,2.272,0.53
107,0.034268,0.892107,0.836701,0.808856,0.003967,0.15787,0.004885,0.075303,0.045631,0.3075,0.642,2.284,0.535
108,-0.011912,0.881858,0.836127,0.700705,0.003283,0.071624,0.001475,-0.245595,0.045951,0.31,0.648,2.296,0.54
109,-0.012584,0.908941,0.837188,0.766521,0.002738,0.296737,0.003701,-0.003586,0.046559,0.3125,0.654,2.308,0.545
110,-0.011835,0.932457,0.83692,0.794388,0.001762,0.104623,0.005571,0.004009,0.047286,0.315,0.66,2.32,0.55
111,-0.012316,0.926295,0.837097,0.825296,0.001425,0.014759,0.006623,-0.002585,0.048428,0.3175,0.666,2.332,0.555
112,0.002689,0.88975,0.836587,0.703051,0.003408,0.388973,0.001847,0.080829,0.048635,0.32,0.672,2.344,0.56
113,-0.011208,0.916791,0.837222,0.805659,0.005423,0.059171,0.003914,-0.075102,0.048505,0.3225,0.678,2.356,0.565
114,0.003581,0.901854,0.837052,0.849168,0.006914,0.016952,0.007518,0.080208,0.048667,0.325,0.684,2.368,0.57
115,0.047684,0.842129,0.831915,0.753387,0.010232,0.024409,0.004566,0.239808,0.048695,0.3275,0.69,2.38,0.575
116,0.047598,0.888924,0.836545,0.839658,0.013166,0.087327,0.004265,-0.000466,0.04834,0.33,0.696,2.392,0.58
117,0.060204,0.880928,0.836064,0.845206,0.014754,0.038417,0.000655,0.068911,0.047965,0.3325,0.702,2.404,0.585
118,0.056184,0.880658,0.836046,0.807472,0.016091,0.277475,0.006431,-0.022062,0.047616,0.335,0.708,2.416,0.59
119,0.051772,0.88491,0.83632,0.747606,0.017167,0.367479,0.018065,-0.024319,0.046873,0.3375,0.714,2.428,0.595
120,0.050859,0.887848,0.836488,0.75775,0.017862,0.307059,0.030581,-0.005059,0.046552,0.34,0.72,2.44,0.6
121,0.025962,0.879777,0.835984,0.80322,0.019457,0.190177,0.036994,-0.138453,0.04637,0.3425,0.726,2.452,0.605
122,0.008412,0.87253,0.835421,0.800757,0.021241,0.29191,0.034902,-0.097872,0.046183,0.345,0.732,2.464,0.61
123,0.030555,0.882374,0.836161,0.826614,0.023105,0.081153,0.030219,0.123798,0.046618,0.3475,0.738,2.476,0.615
124,0.014391,0.89951,0.836985,0.780322,0.025229,0.255615,0.022232,-0.090571,0.047864,0.35,0.744,2.488,0.62
125,-0.023138,0.848823,0.832846,0.783615,0.027408,0.170636,0.012463,-0.210693,0.048913,0.3525,0.75,2.5,0.625
126,-0.042298,0.856189,0.833766,0.832352,0.029772,0.050089,0.004224,-0.107793,0.049659,0.355,0.756,2.512,0.63
127,-0.018199,0.842705,0.831998,0.818156,0.03191,0.381803,0.007705,0.136101,0.050719,0.3575,0.762,2.524,0.635
128,-0.002472,0.86336,0.834558,0.796293,0.03303,0.150672,0.00759,0.089122,0.051806,0.36,0.768,2.536,0.64
129,0.002707,0.879204,0.835944,0.793089,0.033508,0.346016,0.014035,0.02948,0.053972,0.3625,0.774,2.548,0.645
130,-0.023081,0.881528,0.836105,0.794145,0.033567,0.157452,0.016372,-0.147359,0.055208,0.365,0.78,2.56,0.65
131,-0.013879,0.892539,0.836721,0.778283,0.030725,0.241518,0.02266,0.052821,0.056702,0.3675,0.786,2.572,0.655
132,0.013356,0.886536,0.836415,0.733093,0.028386,0.091637,0.029318,0.15707,0.058465,0.37,0.792,2.584,0.66
133,0.025332,0.903487,0.837092,0.772265,0.026871,0.091447,0.03188,0.06934,0.059742,0.3725,0.798,2.596,0.665
134,0.027577,0.915648,0.837225,0.826797,0.025561,0.040241,0.032221,0.013049,0.061377,0.375,0.804,2.608,0.67
135,0.019017,0.889918,0.836596,0.756184,0.024297,0.32734,0.026405,-0.049888,0.062873,0.3775,0.81,2.62,0.675
136,0.003842,0.868743,0.835085,0.73753,0.022327,0.175168,0.015929,-0.088628,0.063562,0.38,0.816,2.632,0.68
137,-0.010503,0.873586,0.83551,0.822592,0.021081,0.277312,0.003506,-0.083923,0.06413,0.3825,0.822,2.644,0.685
138,-0.009457,0.888626,0.836529,0.883898,0.020035,0.032575,0.003635,0.006141,0.064545,0.385,0.828,2.656,0.69
139,-0.008794,0.885858,0.836376,0.879563,0.018405,0.07828,0.012858,0.003911,0.064804,0.3875,0.834,2.668,0.695
140,-0.010344,0.901356,0.837039,0.761598,0.015888,0.127441,0.020531,-0.009183,0.064034,0.39,0.84,2.68,0.7
141,-0.010461,0.922714,0.837165,0.822033,0.014329,0.072431,0.022983,-0.000695,0.06295,0.3925,0.846,2.692,0.705
142,-0.008687,0.915234,0.837225,0.820683,0.012446,0.030959,0.024153,0.010582,0.061505,0.395,0.852,2.704,0.71
143,-0.031205,0.883858,0.836255,0.724991,0.011622,0.115688,0.028272,-0.134815,0.059413,0.3975,0.858,2.716,0.715
144,0.002512,0.875415,0.835658,0.773599,0.012234,0.009504,0.028137,0.202456,0.0574,0.4,0.864,2.728,0.72
145,0.012858,0.890066,0.836603,0.654633,0.014251,0.220276,0.028281,0.062307,0.055227,0.4025,0.87,2.74,0.725
146,0.013571,0.898294,0.836946,0.76714,0.016113,0.304481,0.032221,0.004311,0.053607,0.405,0.876,2.752,0.73
147,0.028138,0.879401,0.835958,0.860286,0.018841,0.033018,0.034489,0.088331,0.052172,0.4075,0.882,2.764,0.735
148,0.026675,0.873222,0.83548,0.874716,0.021104,0.030286,0.035295,-0.008899,0.05089,0.41,0.888,2.776,0.74
149,0.037838,0.865622,0.834787,0.886154,0.02256,0.04495,0.036389,0.068135,0.049543,0.4125,0.894,2.788,0.745
150,0.032603,0.869581,0.835162,0.843515,0.02301,0.113752,0.039553,-0.032063,0.047823,0.415,0.9,2.8,0.75
151,0.028689,0.88566,0.836364,0.83893,0.023213,0.086911,0.03662,-0.024044,0.046345,0.4175,0.906,2.812,0.755
152,0.029251,0.900319,0.837009,0.824922,0.023294,0.133793,0.028369,0.003462,0.04541,0.42,0.912,2.824,0.76
153,0.037903,0.884498,0.836295,0.737608,0.022443,0.36313,0.016007,0.053339,0.044054,0.4225,0.918,2.836,0.765
154,0.029619,0.911266,0.837211,0.801492,0.021263,0.022339,0.006927,-0.051176,0.042606,0.425,0.924,2.848,0.77
155,0.040463,0.884495,0.836294,0.827879,0.020055,0.074748,0.001795,0.067164,0.041561,0.4275,0.93,2.86,0.775
156,0.041417,0.883572,0.836237,0.818718,0.020469,0.262781,0.003073,0.005934,0.040864,0.43,0.936,2.872,0.78
157,0.035247,0.864263,0.834651,0.816131,0.020163,0.383981,0.012258,-0.038537,0.040492,0.4325,0.942,2.884,0.785
158,0.019245,0.886648,0.836421,0.736763,0.021304,0.080602,0.020618,-0.100414,0.040448,0.435,0.948,2.896,0.79
159,0.007729,0.838682,0.831401,0.812686,0.021562,0.388153,0.032716,-0.072653,0.04122,0.4375,0.954,2.908,0.795
160,0.005635,0.88007,0.836005,0.877691,0.020378,0.073941,0.038385,-0.013275,0.04225,0.44,0.96,2.92,0.8
161,-0.004226,0.888033,0.836498,0.866469,0.017816,0.028874,0.042542,-0.062785,0.043478,0.4425,0.966,2.932,0.805
162,-0.022429,0.877731,0.835836,0.775491,0.015817,0.184151,0.050492,-0.116479,0.043973,0.445,0.972,2.944,0.81
163,-0.024705,0.863133,0.834535,0.764768,0.012739,0.432836,0.045776,-0.014606,0.043969,0.4475,0.978,2.956,0.815
164,-0.033241,0.922892,0.837163,0.781537,0.009271,0.038187,0.043303,-0.054984,0.044121,0.45,0.984,2.968,0.82
165,-0.02743,0.853746,0.833473,0.752422,0.006512,0.451069,0.03165,0.037518,0.044912,0.4525,0.99,2.98,0.825
166,-0.022625,0.899229,0.836976,0.784192,0.004296,0.063612,0.02769,0.031121,0.045738,0.455,0.996,2.992,0.83
167,-0.022245,0.897387,0.836915,0.847454,0.002589,0.103389,0.028469,0.002475,0.047195,0.4575,1.002,3.004,0.835
168,-0.020932,0.89386,0.836778,0.833744,0.001761,0.138143,0.034477,0.008581,0.048216,0.46,1.008,3.016,0.84
169,-0.009069,0.869767,0.835179,0.8738,0.00071,0.047063,0.0392,0.077892,0.048977,0.4625,1.014,3.028,0.845
