cycle,trust,deviation,alert
1,0.780411,0.005125,False
2,0.775626,0.00509,False
3,0.77755,0.006185,False
4,0.776764,0.005089,False
5,0.778772,0.003501,False
6,0.779803,0.006934,False
7,0.778725,0.000551,False
8,0.778623,0.006404,False
9,0.771682,0.017493,False
10,0.776817,0.008038,False
11,0.777425,0.001922,False
12,0.781832,0.007782,False
13,0.777947,0.000739,False
14,0.771288,0.01669,False
15,0.77395,0.021686,False
16,0.772898,0.028831,False
17,0.768945,0.018891,False
18,0.772751,0.015813,False
19,0.771592,0.021244,False
20,0.774913,0.016785,False
21,0.776361,0.012024,False
22,0.782443,0.015742,False
23,0.777568,0.027935,False
24,0.775427,0.035533,False
25,0.767667,0.024303,False
26,0.769358,0.018819,False
27,0.769158,0.022665,False
28,0.769008,0.005871,False
29,0.766766,0.01796,False
30,0.779331,0.007015,False
31,0.775251,0.008972,False
32,0.780103,0.02306,False
33,0.773322,0.025189,False
34,0.774587,0.034765,False
35,0.768035,0.027757,False
36,0.775011,0.036253,False
37,0.766899,0.034082,False
38,0.766011,0.02364,False
39,0.76797,0.014394,False
40,0.77112,0.012426,False
41,0.772157,0.003818,False
42,0.775481,0.009157,False
43,0.780307,0.002359,False
44,0.776455,0.00487,False
45,0.777159,0.00249,False
46,0.767812,0.026975,False
47,0.770272,0.013775,False
48,0.770555,0.015464,False
49,0.763055,0.01397,False
50,0.766338,0.008228,False
51,0.769947,0.004207,False
52,0.777081,0.014593,False
53,0.771137,0.006648,False
54,0.775059,0.002139,False
55,0.781967,0.001515,False
56,0.776361,0.00876,False
57,0.777871,0.003472,False
58,0.772476,0.011437,False
59,0.768892,0.022359,False
60,0.753503,0.040112,False
61,0.756688,0.023278,False
62,0.767441,0.015908,False
63,0.770748,0.007413,False
64,0.771804,0.005017,False
65,0.778115,0.00739,False
66,0.78582,0.007035,False
67,0.78443,0.006362,False
68,0.775668,0.01027,False
69,0.768624,0.015867,False
70,0.767159,0.013869,False
71,0.763066,0.007504,False
72,0.768573,0.012364,False
73,0.75778,0.015131,False
74,0.769878,0.010289,False
75,0.781678,0.001994,False
76,0.782586,0.007492,False
77,0.768915,0.014056,False
78,0.76526,0.012331,False
79,0.784558,0.017956,False
80,0.780529,0.000638,False
81,0.764559,0.00964,False
82,0.761881,0.005405,False
83,0.767236,0.004455,False
84,0.762711,0.001337,False
85,0.757316,0.00933,False
86,0.772407,0.000172,False
87,0.779884,0.007202,False
88,0.780608,0.002472,False
89,0.766033,0.018818,False
90,0.759577,0.052911,False
91,0.764941,0.043113,False
92,0.762308,0.039646,False
93,0.762267,0.037703,False
94,0.738647,0.049208,False
95,0.750544,0.042332,False
96,0.765821,0.00995,False
97,0.773994,0.006321,False
98,0.768191,0.006311,False
99,0.756806,0.028626,False
100,0.770153,0.021546,False
101,0.767554,0.041804,False
102,0.757612,0.040152,False
103,0.756876,0.020267,False
104,0.745467,0.04114,False
105,0.742728,0.026938,False
106,0.749474,0.020071,False
107,0.752788,0.034268,False
108,0.775159,0.011912,False
109,0.771605,0.012584,False
110,0.774345,0.011835,False
111,0.765955,0.012316,False
112,0.779411,0.002689,False
113,0.766809,0.011208,False
114,0.754362,0.003581,False
115,0.74251,0.047684,False
