cycle,delta,anomaly,alert
1,0,0.01328,False
2,3.5e-05,0.000636,False
3,0.001095,0.006541,False
4,0.001096,0.003189,False
5,0.00859,0.015343,False
6,0.003433,0.01649,False
7,0.007485,0.016009,False
8,0.006955,0.020304,False
9,0.011089,0.055337,False
10,0.009455,0.015994,False
11,0.00996,0.056318,False
12,0.00586,0.024011,False
13,0.008521,0.05429,False
14,0.017429,0.054455,False
15,0.004996,0.011073,False
16,0.007145,0.01395,False
17,0.00994,0.014917,False
18,0.003078,0.053014,False
19,0.005431,0.019395,False
20,0.004459,0.010152,False
21,0.004761,0.014976,False
22,0.003718,0.008654,False
23,0.012193,0.023119,False
24,0.007598,0.032312,False
25,0.01123,0.064713,False
26,0.005484,0.011364,False
27,0.003846,0.011677,False
28,0.016794,0.060428,False
29,0.012089,0.021517,False
30,0.010945,0.02391,False
31,0.001957,0.012565,False
32,0.014088,0.032547,False
33,0.002129,0.011788,False
34,0.009576,0.026449,False
35,0.007008,0.025624,False
36,0.008496,0.031215,False
37,0.002171,0.009151,False
38,0.010442,0.021061,False
39,0.009246,0.026737,False
40,0.001968,0.014163,False
41,0.008608,0.06317,False
42,0.005339,0.012791,False
43,0.006798,0.016519,False
44,0.007229,0.018766,False
45,0.00736,0.029557,False
46,0.024485,0.047232,False
47,0.0132,0.071711,False
48,0.001689,0.021753,False
49,0.001494,0.006895,False
50,0.005742,0.01629,False
51,0.004021,0.053324,False
52,0.010386,0.066331,False
53,0.007945,0.018859,False
54,0.004509,0.013388,False
55,0.000624,0.009666,False
56,0.010275,0.020047,False
57,0.012232,0.029603,False
58,0.007965,0.029842,False
59,0.010922,0.038604,False
60,0.017753,0.062054,False
61,0.016834,0.036134,False
62,0.00737,0.064964,False
63,0.008495,0.029315,False
64,0.002396,0.059863,False
65,0.002373,0.027368,False
66,0.000355,0.012533,False
67,0.000673,0.011625,False
68,0.003908,0.013161,False
69,0.005597,0.028406,False
70,0.001998,0.003476,False
71,0.006365,0.027632,False
72,0.019868,0.058082,False
73,0.027495,0.086538,False
74,0.004842,0.013215,False
75,0.012283,0.086578,False
76,0.005498,0.015086,False
77,0.006564,0.033736,False
78,0.001725,0.016033,False
79,0.005625,0.014852,False
80,0.017318,0.057301,False
81,0.010278,0.02528,False
82,0.004235,0.0157,False
83,0.00095,0.015176,False
84,0.005792,0.02056,False
85,0.007993,0.021181,False
86,0.009502,0.059754,False
87,0.00703,0.063417,False
88,0.009674,0.030525,False
89,0.02129,0.041039,False
90,0.034093,0.062204,False
91,0.009798,0.025182,False
92,0.003467,0.070722,False
93,0.001943,0.011381,False
94,0.011505,0.086169,False
95,0.006876,0.031332,False
96,0.032382,0.079993,False
97,0.016271,0.045284,False
98,0.012632,0.0637,False
99,0.022315,0.089258,False
100,0.00708,0.02282,False
101,0.020258,0.070595,False
102,0.001652,0.039502,False
103,0.019885,0.078046,False
104,0.020873,0.072774,False
105,0.014202,0.036814,False
106,0.006867,0.016153,False
107,0.014197,0.056346,False
108,0.04618,0.092182,False
109,0.000672,0.061219,False
110,0.000749,0.023303,False
111,0.000481,0.005091,False
112,0.015005,0.103623,False
113,0.013897,0.036256,False
114,0.014789,0.030122,False
115,0.044103,0.081183,False
116,8.6e-05,0.018465,False
117,0.012606,0.029454,False
118,0.00402,0.063704,False
119,0.004412,0.084733,False
120,0.000913,0.069112,False
121,0.024897,0.088761,False
122,0.01755,0.095973,False
123,0.022143,0.060974,False
124,0.016164,0.08387,False
125,0.037529,0.102428,False
126,0.01916,0.044517,False
127,0.024099,0.120362,False
128,0.015727,0.059437,False
129,0.005179,0.081193,False
130,0.025788,0.08063,False
131,0.009202,0.069262,False
132,0.027235,0.072991,False
133,0.011976,0.046192,False
134,0.002245,0.01854,False
135,0.00856,0.086217,False
136,0.015175,0.065688,False
137,0.014345,0.082165,False
138,0.001046,0.009143,False
139,0.000663,0.019437,False
140,0.00155,0.032433,False
141,0.000117,0.019297,False
142,0.001774,0.014289,False
143,0.022518,0.070377,False
144,0.033717,0.069943,False
145,0.010346,0.068909,False
146,0.000713,0.068668,False
147,0.014567,0.040683,False
148,0.001463,0.015853,False
149,0.011163,0.037209,False
150,0.005235,0.040509,False
151,0.003914,0.032087,False
152,0.000562,0.033495,False
153,0.008652,0.09219,False
154,0.008284,0.021547,False
155,0.010844,0.035895,False
156,0.000954,0.054988,False
157,0.00617,0.091042,False
158,0.016002,0.050948,False
159,0.011516,0.106368,False
160,0.002094,0.026517,False
161,0.009861,0.033431,False
162,0.018203,0.082419,False
163,0.002276,0.100171,False
164,0.008536,0.033032,False
165,0.005811,0.107957,False
166,0.004805,0.027722,False
167,0.00038,0.027123,False
168,0.001313,0.037129,False
169,0.011863,0.040878,False
170,0.007523,0.064923,False
171,0.011527,0.036463,False
172,0.033103,0.105402,False
173,0.010333,0.034271,False
174,0.001846,0.083545,False
175,0.011709,0.039059,False
176,0.018375,0.117751,False
177,0.001192,0.080215,False
178,0.018545,0.044802,False
179,0.015762,0.047622,False
180,0.003661,0.035613,False
181,0.003392,0.029161,False
182,0.001481,0.006565,False
183,0.005261,0.032988,False
184,0.015099,0.034216,False
185,0.005757,0.025804,False
186,0.018627,0.058313,False
187,0.005484,0.03231,False
188,0.010575,0.056898,False
189,0.001862,0.008119,False
190,0.00034,0.019592,False
191,0.007413,0.090794,False
192,0.009345,0.103098,False
193,0.020392,0.1443,False
194,0.01243,0.044366,False
