cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,ledger_warning_input,noise,contradiction,pressure,drift
1,0.001942,0.943655,0.836404,0.801616,0.000324,0.014786,0.000518,0.007706,0.0,0.0168,0,1,0
2,0.001738,0.945238,0.836311,0.812669,0.000553,0.002257,0.000697,-0.000808,0.0,0.0186,0,1,0
3,0.002064,0.945734,0.83628,0.810382,0.000908,0.008216,0.001111,0.001294,0.000898,0.0204,0,1,0
4,0.00148,0.94639,0.83624,0.811035,0.001155,0.002194,0.001494,-0.002319,0.001245,0.0222,0,1,0
5,-0.002328,0.942338,0.836478,0.800087,0.001055,0.006332,0.002066,-0.015119,0.001485,0.024,0,1,0
6,-0.003862,0.94219,0.836486,0.796069,0.000861,0.025646,0.002027,-0.006093,0.001623,0.0258,0,1,0
7,-0.000467,0.943086,0.836436,0.80136,0.000934,0.015735,0.002107,0.013481,0.001892,0.0276,0,1,0
8,-0.003362,0.940148,0.836593,0.797744,0.000861,0.024627,0.001848,-0.011496,0.002235,0.0294,0,1,0
9,-0.002199,0.9441,0.836378,0.798318,0.000793,0.021184,0.001849,0.004621,0.002616,0.0312,0,1,0
10,0.002342,0.940181,0.836591,0.796185,0.000827,0.019883,0.00182,0.018034,0.003024,0.033,0,1,0
11,0.002385,0.945091,0.83632,0.810646,0.000904,0.008648,0.001585,0.000171,0.00337,0.0348,0,1,0
12,0.004955,0.941572,0.836519,0.801182,0.00108,0.011862,0.001298,0.010208,0.003739,0.0366,0,1,0
13,0.004252,0.94501,0.836324,0.81169,0.001215,0.006089,0.001178,-0.002793,0.003975,0.0384,0,1,0
14,0.005004,0.945085,0.83632,0.809061,0.001347,0.002502,0.000982,0.002985,0.004172,0.0402,0,1,0
15,0.007915,0.941056,0.836546,0.803123,0.001546,0.009508,0.000729,0.011562,0.004287,0.042,0,1,0
16,0.012529,0.93848,0.836674,0.778053,0.001697,0.027158,0.000256,0.018329,0.004333,0.0438,0,1,0
17,0.007771,0.939582,0.836621,0.807104,0.001677,0.012501,0.00026,-0.018899,0.004381,0.0456,0,1,0
18,0.014022,0.93379,0.836872,0.790454,0.001815,0.023961,0.00077,0.024829,0.004494,0.0474,0,1,0
19,0.013564,0.938653,0.836666,0.79138,0.001917,0.043446,0.000664,-0.001818,0.004629,0.0492,0,1,0
20,0.012537,0.942734,0.836456,0.802408,0.00201,0.022103,0.000278,-0.00408,0.004877,0.051,0,1,0
21,0.012951,0.942226,0.836484,0.810435,0.002243,0.004761,0.000291,0.001643,0.005155,0.0528,0,1,0
22,0.00842,0.939239,0.836637,0.789598,0.002482,0.031313,0.000568,-0.017997,0.005427,0.0546,0,1,0
23,0.008325,0.945701,0.836282,0.808725,0.002568,0.004277,0.000964,-0.000377,0.005586,0.0564,0,1,0
24,-0.002115,0.918321,0.837214,0.778198,0.00279,0.196544,0.000905,-0.041477,0.005767,0.0582,0,1,0
25,-0.002403,0.943433,0.836417,0.812043,0.002947,0.019809,0.002674,-0.001146,0.005835,0.06,0,1,0
26,-0.005026,0.94034,0.836583,0.796931,0.002894,0.029027,0.003613,-0.010424,0.006387,0.0618,0,1,0
27,-0.000138,0.939669,0.836616,0.804621,0.002934,0.008134,0.004103,0.019432,0.006814,0.0636,0,1,0
28,-0.002474,0.944321,0.836365,0.800888,0.002887,0.001855,0.004698,-0.009289,0.007152,0.0654,0,1,0
29,0.005648,0.935737,0.836795,0.795202,0.003017,0.003979,0.004511,0.032293,0.0075,0.0672,0,1,0
30,-0.011043,0.916998,0.837221,0.780774,0.003039,0.161737,0.006347,-0.066386,0.00776,0.069,0,1,0
31,-0.002537,0.937318,0.836727,0.795915,0.003196,0.012408,0.007419,0.033839,0.008083,0.0708,0,1,0
32,0.008548,0.927099,0.837079,0.739775,0.003485,0.090149,0.008423,0.044113,0.008952,0.0726,0,1,0
33,0.017028,0.934657,0.836839,0.787681,0.004042,0.000412,0.008214,0.033751,0.009754,0.0744,0,1,0
34,0.013213,0.938413,0.836677,0.808945,0.004355,0.001687,0.008021,-0.015189,0.010654,0.0762,0,1,0
35,0.008905,0.937199,0.836732,0.791758,0.004744,0.01826,0.007849,-0.017146,0.011421,0.078,0,1,0
36,0.011586,0.942668,0.836459,0.800773,0.005119,0.004552,0.00715,0.010672,0.011964,0.0798,0,1,0
37,0.007131,0.93949,0.836625,0.784787,0.005358,0.023119,0.006602,-0.017735,0.012416,0.0816,0,1,0
