cycle,trust,deviation,alert
1,0.778669,0.001942,False
2,0.77703,0.001738,False
3,0.777588,0.002064,False
4,0.777793,0.00148,False
5,0.778455,0.002328,False
6,0.778902,0.003862,False
7,0.778824,0.000467,False
8,0.777979,0.003362,False
9,0.779426,0.002199,False
10,0.778506,0.002342,False
11,0.777256,0.002385,False
12,0.777453,0.004955,False
13,0.776646,0.004252,False
14,0.777047,0.005004,False
15,0.776299,0.007915,False
16,0.77952,0.012529,False
17,0.775034,0.007771,False
18,0.775149,0.014022,False
19,0.776706,0.013564,False
20,0.776082,0.012537,False
21,0.774223,0.012951,False
22,0.778289,0.00842,False
23,0.776656,0.008325,False
24,0.774653,0.002115,False
25,0.776417,0.002403,False
26,0.777873,0.005026,False
27,0.777086,0.000138,False
28,0.778931,0.002474,False
29,0.776537,0.005648,False
30,0.771891,0.011043,False
31,0.777553,0.002537,False
32,0.78409,0.008548,False
33,0.775398,0.017028,False
34,0.773182,0.013213,False
35,0.77707,0.008905,False
36,0.776577,0.011586,False
37,0.779594,0.007131,False
38,0.779408,6.2e-05,False
39,0.778113,0.003361,False
40,0.779749,0.007231,False
41,0.777094,0.012489,False
42,0.778772,0.007994,False
43,0.787396,0.007533,False
44,0.772018,0.005398,False
45,0.772734,0.012296,False
46,0.774418,0.012206,False
47,0.776985,0.005327,False
48,0.772738,0.007464,False
49,0.774992,0.007382,False
50,0.776344,1.2e-05,False
51,0.779417,0.002152,False
52,0.775718,0.029188,False
53,0.773291,0.029076,False
54,0.773493,0.027794,False
55,0.773321,0.027635,False
56,0.778121,0.02158,False
57,0.776211,0.029752,False
58,0.77504,0.02479,False
59,0.772737,0.021687,False
60,0.773163,0.022311,False
61,0.772774,0.014726,False
62,0.775842,0.015965,False
63,0.779087,0.001946,False
64,0.775807,0.009848,False
65,0.77301,0.018628,False
66,0.780451,0.0076,False
67,0.780701,0.000521,False
68,0.775694,0.004485,False
69,0.776013,0.011662,False
70,0.771535,0.019453,False
71,0.784139,0.011314,False
72,0.776994,0.014536,False
73,0.778678,0.003603,False
74,0.779135,0.011402,False
75,0.777966,0.012696,False
76,0.780137,0.008305,False
77,0.773752,0.00718,False
78,0.765211,0.040058,False
79,0.770983,0.031523,False
80,0.762988,0.042693,False
81,0.774686,0.008461,False
82,0.774478,0.011453,False
83,0.778382,0.001744,False
84,0.773497,0.010553,False
85,0.76598,0.020403,False
86,0.776277,0.013077,False
87,0.784417,0.00068,False
88,0.774161,0.021648,False
89,0.76632,0.013783,False
90,0.77472,0.035463,False
91,0.772505,0.025272,False
92,0.777203,0.028993,False
93,0.773656,0.026983,False
94,0.772262,0.046779,False
95,0.766528,0.028901,False
96,0.772637,0.017251,False
97,0.767665,0.006039,False
98,0.782306,0.016701,False
99,0.759229,0.041511,False
100,0.778056,0.03688,False
101,0.763871,0.034305,False
102,0.768475,0.025154,False
103,0.780799,0.018486,False
104,0.763749,0.042936,False
105,0.767722,0.036552,False
106,0.766782,0.024876,False
107,0.776857,0.01287,False
108,0.771741,0.006916,False
109,0.770696,0.016854,False
110,0.782681,0.015697,False
111,0.781681,0.020281,False
112,0.772185,0.015634,False
113,0.774857,0.001507,False
114,0.78094,0.012524,False
115,0.76966,0.022567,False
116,0.771063,0.016362,False
117,0.758176,0.039405,False
118,0.771236,0.044425,False
119,0.766903,0.05987,False
120,0.765849,0.045159,False
121,0.76821,0.03346,False
122,0.771334,0.015671,False
123,0.776402,0.042679,False
124,0.769359,0.016157,False
125,0.756771,0.017714,False
126,0.764685,0.026595,False
127,0.774777,0.008847,False
128,0.779331,0.012883,False
129,0.761202,0.042614,False
130,0.775146,0.020082,False
131,0.76646,0.054125,False
132,0.787666,0.032379,False
133,0.764922,0.020754,False
134,0.774893,0.012254,False
135,0.784106,0.008715,False
136,0.776544,0.006509,False
137,0.778057,0.004146,False
138,0.776023,0.005869,False
139,0.768882,0.010982,False
140,0.768457,0.027145,False
141,0.770559,0.023424,False
142,0.780907,0.016583,False
143,0.782341,0.017439,False
144,0.775012,0.03449,False
145,0.780824,0.003992,False
146,0.776974,0.020124,False
147,0.770131,0.001513,False
148,0.770655,0.010014,False
149,0.767195,0.024162,False
150,0.775468,0.001734,False
151,0.774721,0.008455,False
152,0.777506,0.014111,False
153,0.780576,0.01856,False
154,0.775518,0.041611,False
155,0.761577,0.059068,False
156,0.750382,0.062233,False
157,0.756051,0.053624,False
158,0.763355,0.051829,False
159,0.758684,0.024412,False
160,0.772942,0.022188,False
161,0.782116,0.009826,False
162,0.771236,0.011474,False
163,0.766858,0.018731,False
164,0.779786,0.003072,False
165,0.753432,0.016453,False
166,0.770006,0.013596,False
167,0.764444,0.0029,False
168,0.770686,0.008009,False
169,0.775131,0.000546,False
170,0.762405,0.032366,False
171,0.767796,0.015864,False
172,0.75767,0.03986,False
173,0.766307,0.027942,False
174,0.761174,0.033839,False
175,0.758187,0.025192,False
176,0.776892,0.014904,False
177,0.756405,0.0175,False
178,0.768929,0.015103,False
179,0.765924,0.038337,False
180,0.757838,0.008618,False
181,0.770406,0.001291,False
182,0.770591,0.002816,False
183,0.774496,0.002529,False
184,0.767947,0.019512,False
185,0.766196,0.018985,False
186,0.789474,0.009805,False
187,0.77994,0.001579,False
188,0.770196,0.010934,False
189,0.774393,0.006835,False
190,0.776269,0.002069,False
191,0.776452,0.016484,False
192,0.771702,0.02386,False
193,0.765488,0.029754,False
194,0.768572,0.041043,False
195,0.765627,0.040752,False
196,0.776642,0.02955,False
197,0.772877,0.006533,False
198,0.767389,0.01818,False
199,0.772903,0.011198,False
200,0.780174,0.012106,False
201,0.749258,0.034558,False
202,0.786831,0.036129,False
203,0.772168,0.03673,False
204,0.770593,0.037439,False
205,0.771057,0.034096,False
206,0.753456,0.057038,False
207,0.762855,0.05814,False
208,0.748922,0.033907,False
209,0.766233,0.031512,False
210,0.761422,0.023785,False
211,0.752304,0.05406,False
212,0.765694,0.051685,False
213,0.7672,0.04188,False
214,0.765919,0.020599,False
215,0.761973,0.034359,False
216,0.777611,0.030749,False
217,0.765252,0.034277,False
218,0.758601,0.029515,False
219,0.750388,0.034807,False
220,0.760341,0.066863,False
