cycle,delta,anomaly,alert
1,0,0.004987,False
2,0.000204,0.000864,False
3,0.000326,0.002303,False
4,0.000584,0.001522,False
5,0.003808,0.006792,False
6,0.001534,0.007595,False
7,0.003395,0.008127,False
8,0.002895,0.009182,False
9,0.001163,0.006169,False
10,0.004541,0.010438,False
11,4.3e-05,0.002104,False
12,0.00257,0.006084,False
13,0.000703,0.002398,False
14,0.000752,0.001706,False
15,0.002911,0.005957,False
16,0.004614,0.01168,False
17,0.004758,0.008942,False
18,0.006251,0.013341,False
19,0.000458,0.009437,False
20,0.001027,0.005856,False
21,0.000414,0.001566,False
22,0.004531,0.012461,False
23,9.5e-05,0.001176,False
24,0.01044,0.053513,False
25,0.000288,0.004884,False
26,0.002623,0.010052,False
27,0.004888,0.009016,False
28,0.002336,0.00445,False
29,0.008122,0.012614,False
30,0.016691,0.056055,False
31,0.008506,0.015402,False
32,0.011085,0.034622,False
33,0.00848,0.013131,False
34,0.003815,0.007074,False
35,0.004308,0.011016,False
36,0.002681,0.005947,False
37,0.004455,0.011937,False
38,0.007069,0.012316,False
39,0.003423,0.010681,False
40,0.00387,0.01204,False
41,0.005258,0.053778,False
42,0.004495,0.01669,False
43,0.015527,0.046979,False
44,0.002135,0.007708,False
45,0.006898,0.014113,False
46,9e-05,0.006474,False
47,0.006879,0.012939,False
48,0.002137,0.008793,False
49,8.2e-05,0.007213,False
50,0.00737,0.015291,False
51,0.00214,0.005412,False
52,0.027036,0.04968,False
53,0.000112,0.037405,False
54,0.001282,0.006977,False
55,0.000159,0.009619,False
56,0.006055,0.015302,False
57,0.008172,0.019969,False
58,0.004962,0.008274,False
59,0.003103,0.01383,False
60,0.000624,0.005392,False
61,0.007585,0.017011,False
62,0.001239,0.006677,False
63,0.014019,0.023865,False
64,0.007902,0.011481,False
65,0.00878,0.0597,False
66,0.011028,0.026716,False
67,0.007079,0.016053,False
68,0.005006,0.020172,False
69,0.007177,0.05251,False
70,0.007791,0.050931,False
71,0.008139,0.022112,False
72,0.003222,0.017145,False
73,0.010933,0.019699,False
74,0.007799,0.021604,False
75,0.001294,0.015823,False
76,0.004391,0.019755,False
77,0.001125,0.002259,False
78,0.032878,0.067191,False
79,0.008535,0.025858,False
80,0.01117,0.052783,False
81,0.034232,0.066968,False
82,0.002992,0.017573,False
83,0.013197,0.023945,False
84,0.012297,0.024254,False
85,0.00985,0.060145,False
86,0.007326,0.018025,False
87,0.012397,0.022191,False
88,0.020968,0.044208,False
89,0.035431,0.083452,False
90,0.02168,0.049916,False
