cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,ledger_warning_input,noise,contradiction,pressure,drift
1,0.002304,0.943029,0.836439,0.79927,0.000382,0.017603,0.000614,0.009144,0.0,0.02,0,1,0
2,0.002049,0.945029,0.836323,0.812531,0.000643,0.002427,0.000824,-0.001012,0.0,0.02,0,1,0
3,0.002326,0.945715,0.836282,0.81048,0.001012,0.008055,0.001238,0.001098,0.001067,0.02,0,1,0
4,0.001748,0.946283,0.836246,0.81126,0.001264,0.001976,0.001592,-0.002293,0.001477,0.02,0,1,0
5,-0.001472,0.943124,0.836434,0.802324,0.001211,0.005277,0.002072,-0.012786,0.00173,0.02,0,1,0
6,-0.002666,0.943275,0.836426,0.800039,0.001074,0.019881,0.002044,-0.004741,0.001863,0.02,0,1,0
7,-0.000165,0.944093,0.836379,0.804797,0.001124,0.011402,0.00208,0.009933,0.002082,0.02,0,1,0
8,-0.002107,0.942324,0.836478,0.802857,0.00107,0.016753,0.001869,-0.007715,0.002338,0.02,0,1,0
9,-0.001291,0.945023,0.836324,0.803888,0.001015,0.013579,0.001817,0.003241,0.002603,0.02,0,1,0
10,0.001524,0.942714,0.836457,0.803141,0.001022,0.01205,0.001741,0.011182,0.002866,0.02,0,1,0
11,0.001566,0.945765,0.836279,0.811969,0.001051,0.00497,0.001543,0.000166,0.003072,0.02,0,1,0
12,0.002983,0.943899,0.83639,0.806948,0.001133,0.006482,0.001317,0.005625,0.003277,0.02,0,1,0
13,0.002595,0.945784,0.836277,0.812796,0.001192,0.003171,0.001182,-0.001538,0.003389,0.02,0,1,0
14,0.002958,0.945881,0.836271,0.811545,0.001248,0.001245,0.001016,0.00144,0.003466,0.02,0,1,0
15,0.004308,0.944018,0.836383,0.808829,0.001334,0.004528,0.000828,0.005361,0.003489,0.02,0,1,0
16,0.006424,0.942898,0.836447,0.797593,0.001398,0.012401,0.000546,0.008401,0.003469,0.02,0,1,0
17,0.004296,0.943478,0.836414,0.810832,0.001375,0.005483,0.000254,-0.008449,0.003442,0.02,0,1,0
18,0.006845,0.941292,0.836534,0.804181,0.001415,0.01011,2.5e-05,0.010121,0.003439,0.02,0,1,0
19,0.006501,0.94325,0.836427,0.804903,0.001418,0.017661,4.3e-05,-0.001365,0.003416,0.02,0,1,0
20,0.005986,0.944981,0.836326,0.809522,0.001418,0.008668,6.1e-05,-0.002043,0.003447,0.02,0,1,0
21,0.006024,0.945024,0.836324,0.812753,0.001513,0.001803,2.2e-05,0.000148,0.003492,0.02,0,1,0
22,0.004251,0.943799,0.836396,0.804909,0.001625,0.01147,0.000109,-0.007037,0.003539,0.02,0,1,0
23,0.004102,0.946144,0.836255,0.81223,0.001644,0.001517,0.000277,-0.000594,0.003516,0.02,0,1,0
24,0.004758,0.944257,0.836369,0.808329,0.001733,0.007776,0.000371,0.002607,0.003483,0.02,0,1,0
25,0.00375,0.944405,0.83636,0.812558,0.001803,0.006603,0.000284,-0.004003,0.003395,0.02,0,1,0
26,0.002243,0.944131,0.836376,0.808145,0.001791,0.009394,0.000309,-0.005987,0.003281,0.02,0,1,0
27,0.003274,0.944467,0.836357,0.811468,0.001804,0.002558,0.000362,0.004097,0.003174,0.02,0,1,0
28,0.002127,0.945532,0.836293,0.80983,0.001772,0.000567,0.000298,-0.004555,0.003059,0.02,0,1,0
29,0.004235,0.943397,0.836419,0.808693,0.001799,0.001184,0.000404,0.00837,0.002974,0.02,0,1,0
30,0.002441,0.945436,0.836299,0.809457,0.001794,0.000227,0.000388,-0.007122,0.002887,0.02,0,1,0
31,0.003988,0.944408,0.83636,0.809726,0.001816,0.003505,0.000402,0.00614,0.002837,0.02,0,1,0
32,0.006453,0.941307,0.836533,0.79407,0.001883,0.024835,0.000297,0.009788,0.002814,0.02,0,1,0
