cycle,trust,deviation,alert
1,0.778855,0.002304,False
2,0.776925,0.002049,False
3,0.77751,0.002326,False
4,0.777659,0.001748,False
5,0.778443,0.001472,False
6,0.778712,0.002666,False
7,0.778535,0.000165,False
8,0.77794,0.002107,False
9,0.778803,0.001291,False
10,0.778131,0.001524,False
11,0.777381,0.001566,False
12,0.777476,0.002983,False
13,0.777015,0.002595,False
14,0.777226,0.002958,False
15,0.776875,0.004308,False
16,0.778323,0.006424,False
17,0.776295,0.004296,False
18,0.77638,0.006845,False
19,0.776963,0.006501,False
20,0.776723,0.005986,False
21,0.776084,0.006024,False
22,0.777597,0.004251,False
23,0.776948,0.004102,False
24,0.776965,0.004758,False
25,0.77637,0.00375,False
26,0.777462,0.002243,False
27,0.776704,0.003274,False
28,0.777618,0.002127,False
29,0.776708,0.004235,False
30,0.777598,0.002441,False
31,0.77689,0.003988,False
32,0.778486,0.006453,False
33,0.776215,0.008171,False
34,0.775564,0.006673,False
35,0.776719,0.005306,False
36,0.776739,0.005649,False
37,0.777425,0.004128,False
38,0.77746,0.0021,False
39,0.777667,0.00105,False
40,0.778543,7.9e-05,False
41,0.778227,0.001316,False
42,0.777607,0.00362,False
43,0.778634,0.006415,False
44,0.775381,0.005421,False
45,0.77575,0.006315,False
46,0.775691,0.006762,False
47,0.776424,0.004786,False
48,0.775938,0.00481,False
49,0.776265,0.004447,False
50,0.776619,0.002731,False
51,0.777515,0.002768,False
52,0.77731,0.006592,False
53,0.776728,0.004283,False
54,0.777003,0.004676,False
55,0.7768,0.004975,False
56,0.778468,0.001086,False
57,0.777672,0.003417,False
58,0.77771,0.003176,False
59,0.777105,0.003005,False
60,0.776586,0.004125,False
61,0.776778,0.00243,False
62,0.777289,0.002818,False
63,0.777806,0.000726,False
64,0.777059,0.002318,False
65,0.778019,0.00162,False
66,0.779009,0.000343,False
67,0.777927,0.001056,False
68,0.777318,0.001376,False
69,0.778009,0.000384,False
70,0.777988,8.6e-05,False
71,0.778745,0.00224,False
72,0.77774,0.002983,False
73,0.778131,0.000355,False
74,0.777902,0.001499,False
75,0.777788,0.001653,False
76,0.778097,0.000172,False
77,0.777357,0.00037,False
78,0.777429,0.002763,False
79,0.777456,0.002042,False
80,0.777419,0.001686,False
81,0.778243,0.000715,False
82,0.777594,0.000172,False
83,0.777476,0.001624,False
84,0.777526,4.8e-05,False
85,0.777479,0.00015,False
86,0.777564,0.001173,False
87,0.777672,0.00289,False
88,0.778044,0.000892,False
89,0.777733,0.005814,False
90,0.7764,0.008129,False
91,0.77614,0.00658,False
92,0.776815,0.006766,False
93,0.776275,0.006892,False
94,0.777717,0.004287,False
95,0.776749,0.002784,False
96,0.778779,0.000532,False
97,0.777308,0.001465,False
98,0.778234,0.001465,False
99,0.77775,0.001943,False
100,0.777825,0.003494,False
101,0.77634,0.003348,False
102,0.776872,0.002772,False
103,0.778175,0.00094,False
104,0.777132,0.006061,False
105,0.776285,0.00504,False
106,0.776219,0.003812,False
107,0.777272,0.00592,False
108,0.778137,0.001941,False
109,0.777169,0.002822,False
110,0.777409,0.003878,False
111,0.778319,0.005411,False
112,0.776425,0.004179,False
113,0.778025,0.001266,False
