cycle,delta,anomaly,alert
1,0,0.005929,False
2,0.000255,0.000992,False
3,0.000277,0.00223,False
4,0.000578,0.001489,False
5,0.00322,0.005793,False
6,0.001194,0.005988,False
7,0.002501,0.006055,False
8,0.001942,0.006333,False
9,0.000816,0.004175,False
10,0.002815,0.006539,False
11,4.2e-05,0.001359,False
12,0.001417,0.003462,False
13,0.000388,0.001391,False
14,0.000363,0.000939,False
15,0.00135,0.002884,False
16,0.002116,0.00543,False
17,0.002128,0.004004,False
18,0.002549,0.005449,False
19,0.000344,0.004002,False
20,0.000515,0.002437,False
21,3.8e-05,0.000415,False
22,0.001773,0.004696,False
23,0.000149,0.000559,False
24,0.000656,0.002511,False
25,0.001008,0.002731,False
26,0.001507,0.003965,False
27,0.001031,0.001969,False
28,0.001147,0.001713,False
29,0.002108,0.003148,False
30,0.001794,0.002531,False
31,0.001547,0.002858,False
32,0.002465,0.008336,False
33,0.001718,0.002413,False
34,0.001498,0.002194,False
35,0.001367,0.002865,False
36,0.000343,0.000869,False
37,0.001521,0.003373,False
38,0.002028,0.003188,False
39,0.00105,0.002637,False
40,0.001129,0.002819,False
41,0.001395,0.004689,False
42,0.002304,0.004236,False
43,0.002795,0.008963,False
44,0.000994,0.001388,False
45,0.000894,0.001778,False
46,0.000447,0.001488,False
47,0.001976,0.003001,False
48,2.4e-05,0.000839,False
49,0.000363,0.001627,False
50,0.001716,0.003088,False
51,3.7e-05,0.000186,False
52,0.003824,0.008635,False
53,0.002309,0.003563,False
54,0.000393,0.000903,False
55,0.000299,0.001683,False
56,0.003889,0.008988,False
57,0.002331,0.004142,False
58,0.000241,0.00107,False
59,0.000171,0.001715,False
60,0.00112,0.002596,False
61,0.001695,0.003287,False
62,0.000388,0.001247,False
63,0.002092,0.003534,False
64,0.001592,0.002224,False
65,0.000698,0.003444,False
66,0.001963,0.005292,False
67,0.000713,0.001676,False
68,0.00032,0.002229,False
69,0.000992,0.002537,False
70,0.00047,0.001183,False
71,0.002326,0.006468,False
72,0.000743,0.003511,False
73,0.002628,0.00519,False
74,0.001144,0.003204,False
75,0.000154,0.002259,False
76,0.001481,0.003989,False
77,0.000198,0.000956,False
78,0.002393,0.005828,False
79,0.000721,0.002757,False
80,0.000356,0.001398,False
81,0.002401,0.005269,False
82,0.000543,0.002139,False
83,0.001452,0.002444,False
84,0.001672,0.002936,False
85,0.000198,0.001551,False
86,0.001023,0.002065,False
87,0.001717,0.002675,False
88,0.001998,0.004261,False
89,0.004922,0.009746,False
90,0.002315,0.004283,False
91,0.001549,0.002673,False
92,0.000186,0.003156,False
93,0.000126,0.001046,False
94,0.002605,0.008018,False
95,0.001503,0.002764,False
96,0.003316,0.007821,False
97,0.000933,0.00242,False
98,0.00293,0.006852,False
99,0.000478,0.003058,False
100,0.001551,0.005535,False
101,0.000146,0.000854,False
102,0.000576,0.001105,False
103,0.001832,0.003984,False
104,0.005121,0.009095,False
105,0.001021,0.002668,False
106,0.001228,0.002873,False
107,0.002108,0.005772,False
108,0.003979,0.006402,False
109,0.000881,0.001985,False
110,0.001056,0.003746,False
111,0.001533,0.006304,False
112,0.001232,0.003016,False
113,0.002913,0.005988,False
114,0.001094,0.002554,False
115,0.003094,0.006006,False
116,1.5e-05,0.001029,False
117,0.000184,0.000504,False
118,0.00048,0.001147,False
119,0.000741,0.0011,False
120,0.001289,0.003016,False
121,0.002842,0.004157,False
122,0.000834,0.003473,False
123,0.002509,0.005855,False
124,0.002155,0.004189,False
125,0.00583,0.011222,False
126,0.000356,0.001088,False
127,0.000932,0.001399,False
128,0.001517,0.003814,False
129,0.001296,0.00206,False
130,0.003775,0.006637,False
131,0.001511,0.00411,False
132,0.004022,0.00924,False
133,0.000413,0.001393,False
134,0.002254,0.004333,False
135,0.00265,0.006126,False
136,0.00103,0.002061,False
137,0.001035,0.002455,False
138,3.5e-05,0.00069,False
139,0.00045,0.001152,False
140,0.002138,0.003975,False
141,0.000243,0.000449,False
142,0.002125,0.003194,False
143,0.001898,0.003615,False
144,0.004461,0.009479,False
145,0.005862,0.012241,False
146,0.003337,0.008291,False
147,7e-06,0.000207,False
148,0.001619,0.002303,False
149,0.001774,0.003757,False
150,0.002116,0.003643,False
151,0.000524,0.001589,False
152,0.000911,0.001358,False
153,0.003158,0.007023,False
154,0.002627,0.005601,False
155,0.001799,0.003193,False
156,0.000207,0.000489,False
157,0.000975,0.001687,False
158,0.000868,0.001554,False
159,0.000797,0.00286,False
160,0.000438,0.001434,False
161,0.001211,0.002974,False
162,0.001049,0.003433,False
163,0.000559,0.001312,False
164,0.000456,0.000958,False
165,0.000237,0.000679,False
166,0.000434,0.001866,False
167,0.002512,0.007952,False
168,0.001867,0.003283,False
169,0.003341,0.007557,False
170,0.000905,0.002067,False
171,0.003462,0.007799,False
172,0.001445,0.003268,False
173,0.000489,0.000793,False
174,0.000543,0.001277,False
175,0.000376,0.001908,False
176,0.000261,0.001817,False
177,0.002322,0.003415,False
178,0.001529,0.002458,False
179,0.001265,0.002109,False
180,0.002142,0.003577,False
181,0.001335,0.003109,False
182,0.000648,0.002139,False
183,0.000445,0.003126,False
184,0.00033,0.001756,False
185,8e-06,0.000955,False
186,0.002217,0.004611,False
187,0.002893,0.005458,False
188,0.001634,0.004265,False
189,0.001098,0.004263,False
190,0.000725,0.002395,False
191,0.001359,0.00539,False
192,0.000389,0.000861,False
193,0.000257,0.001091,False
194,0.002193,0.005623,False
195,0.000382,0.001728,False
196,0.003527,0.006363,False
197,0.00363,0.007557,False
198,0.000715,0.001176,False
199,8e-05,0.000521,False
200,0.0003,0.001772,False
201,0.0004,0.003686,False
202,0.001835,0.004141,False
203,0.000393,0.001318,False
204,0.002549,0.004348,False
205,0.001065,0.003549,False
206,0.00017,0.001604,False
207,0.000329,0.000855,False
208,0.000946,0.002156,False
209,0.000325,0.000859,False
210,0.000133,0.001913,False
211,0.003692,0.008539,False
212,0.001546,0.004504,False
213,0.001757,0.004241,False
214,0.001813,0.003486,False
215,0.001065,0.002106,False
216,0.00236,0.004783,False
217,0.003045,0.006808,False
218,0.000989,0.001741,False
219,0.000851,0.002742,False
220,0.00159,0.004016,False
