cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,correction,ledger_warning_input,noise,contradiction,pressure,drift
1,0.00286,0.942055,0.836493,0.79561,0.000471,0.022003,0.000763,0.011372,0.0,0.025,0,1.01,0
2,0.002547,0.944551,0.836352,0.812179,0.000794,0.003033,0.001024,-0.001246,0.0,0.025,0,1.02,0
3,0.002896,0.945397,0.836301,0.809616,0.001254,0.010069,0.00154,0.001392,0.001331,0.025,0,1.03,0
4,0.002178,0.946114,0.836257,0.810587,0.00157,0.00247,0.001981,-0.00287,0.001842,0.025,0,1.04,0
5,-0.001805,0.942179,0.836486,0.799423,0.001503,0.006596,0.002582,-0.015969,0.002158,0.025,0,1.05,0
6,-0.003282,0.942361,0.836476,0.796558,0.001332,0.024851,0.002547,-0.005935,0.002324,0.025,0,1.06,0
7,-0.000211,0.943393,0.836419,0.802516,0.001396,0.014253,0.002591,0.012361,0.002597,0.025,0,1.07,0
8,-0.002598,0.941181,0.83654,0.800092,0.001329,0.020941,0.002327,-0.009625,0.002917,0.025,0,1.08,0
9,-0.001611,0.944553,0.836352,0.80138,0.001262,0.016974,0.002261,0.003987,0.003247,0.025,0,1.09,0
10,0.001835,0.941682,0.836513,0.800445,0.001271,0.015063,0.002166,0.013954,0.003574,0.025,0,1.1,0
11,0.001904,0.945456,0.836297,0.811489,0.001307,0.006212,0.001919,0.00028,0.003832,0.025,0,1.11,0
12,0.003645,0.943142,0.836433,0.805203,0.001411,0.008102,0.001637,0.007075,0.004087,0.025,0,1.12,0
13,0.003192,0.945518,0.836294,0.812498,0.001484,0.003964,0.00147,-0.001842,0.004226,0.025,0,1.13,0
14,0.003639,0.945616,0.836288,0.810942,0.001554,0.001556,0.001262,0.001824,0.004322,0.025,0,1.14,0
15,0.005289,0.9433,0.836424,0.807546,0.001662,0.00566,0.001029,0.006745,0.004351,0.025,0,1.15,0
16,0.007855,0.941929,0.8365,0.793499,0.001741,0.015501,0.000677,0.010511,0.004325,0.025,0,1.16,0
17,0.005303,0.942656,0.83646,0.810077,0.001713,0.006853,0.000314,-0.010475,0.004291,0.025,0,1.17,0
18,0.008385,0.939928,0.836604,0.801741,0.001762,0.012638,3.5e-05,0.012676,0.004288,0.025,0,1.18,0
19,0.008011,0.942378,0.836475,0.802627,0.001765,0.022076,5.6e-05,-0.001542,0.004258,0.025,0,1.19,0
20,0.007408,0.944515,0.836354,0.808415,0.001765,0.010835,7.5e-05,-0.002488,0.004297,0.025,0,1.2,0
21,0.007462,0.944543,0.836352,0.812451,0.001882,0.002254,2.5e-05,0.000221,0.004352,0.025,0,1.21,0
22,0.005346,0.943023,0.83644,0.802659,0.002021,0.014337,0.000137,-0.008771,0.004409,0.025,0,1.22,0
23,0.005155,0.945921,0.836269,0.81181,0.002044,0.001896,0.000348,-0.000793,0.004379,0.025,0,1.23,0
24,0.005933,0.943593,0.836407,0.806931,0.002154,0.00972,0.000464,0.003241,0.004337,0.025,0,1.24,0
25,0.004731,0.943761,0.836398,0.812222,0.00224,0.008254,0.000354,-0.005012,0.004226,0.025,0,1.25,0
26,0.00293,0.943408,0.836418,0.806684,0.002225,0.011743,0.000386,-0.007527,0.004084,0.025,0,1.26,0
27,0.004123,0.94388,0.836391,0.810863,0.00224,0.003198,0.000452,0.004996,0.00395,0.025,0,1.27,0
28,0.002759,0.945163,0.836315,0.808801,0.0022,0.000709,0.000371,-0.005723,0.003807,0.025,0,1.28,0
29,0.00522,0.942583,0.836464,0.807391,0.002233,0.00148,0.000503,0.010343,0.0037,0.025,0,1.29,0
30,0.003121,0.945085,0.83632,0.80835,0.002226,0.000284,0.000485,-0.008838,0.00359,0.025,0,1.3,0
31,0.004917,0.943832,0.836394,0.808682,0.002253,0.004381,0.000503,0.007578,0.003526,0.025,0,1.31,0
32,0.007816,0.939983,0.836601,0.789089,0.002337,0.031043,0.000372,0.012259,0.003496,0.025,0,1.32,0
33,0.009874,0.942702,0.836458,0.805728,0.002546,0.000138,0.000527,0.008719,0.003471,0.025,0,1.33,0
34,0.008182,0.942984,0.836442,0.812122,0.002643,0.000554,0.00059,-0.007182,0.003492,0.025,0,1.34,0
35,0.00659,0.942955,0.836444,0.806685,0.00277,0.005853,0.000581,-0.006773,0.003486,0.025,0,1.35,0
36,0.006984,0.945351,0.836304,0.810159,0.002893,0.00185,0.000702,0.001681,0.003436,0.025,0,1.36,0
37,0.005237,0.943632,0.836405,0.804874,0.002964,0.007564,0.000761,-0.007466,0.003379,0.025,0,1.37,0
38,0.002868,0.943421,0.836417,0.806899,0.003031,0.002253,0.000658,-0.010142,0.003312,0.025,0,1.38,0
39,0.001603,0.944128,0.836377,0.808199,0.003096,0.007078,0.000589,-0.005425,0.003299,0.025,0,1.39,0
40,0.000245,0.94479,0.836338,0.804999,0.003115,0.007645,0.000493,-0.005837,0.003267,0.025,0,1.4,0
41,0.001785,0.943536,0.836411,0.80319,0.003194,0.017355,0.000247,0.006633,0.003271,0.025,0,1.41,0
42,0.004413,0.943075,0.836437,0.803329,0.003398,0.006968,0.000169,0.01134,0.00328,0.025,0,1.42,0
43,0.007629,0.940046,0.836598,0.788231,0.00362,0.032517,5.2e-05,0.013909,0.003313,0.025,0,1.43,0
44,0.006574,0.943038,0.836439,0.814908,0.003805,0.00012,0.000208,-0.00457,0.003342,0.025,0,1.44,0
45,0.007625,0.943162,0.836432,0.811772,0.003943,0.003477,0.000128,0.004561,0.003463,0.025,0,1.45,0
46,0.008185,0.943205,0.836429,0.811696,0.004133,0.005462,8.5e-05,0.00244,0.003554,0.025,0,1.46,0
47,0.005981,0.943087,0.836436,0.809299,0.004221,0.001983,0.000191,-0.009611,0.003608,0.025,0,1.47,0
48,0.005996,0.944179,0.836374,0.814252,0.004242,0.004927,0.000113,6.4e-05,0.003638,0.025,0,1.48,0
49,0.005585,0.943747,0.836399,0.811957,0.004215,0.007062,6.7e-05,-0.001801,0.003664,0.025,0,1.49,0
50,0.003634,0.943009,0.83644,0.810662,0.004125,0.004683,0.000214,-0.008561,0.003579,0.025,0,1.5,0
51,0.003629,0.94619,0.836252,0.810314,0.004044,0.000622,0.000228,-2.4e-05,0.0035,0.025,0,1.51,0
52,0.007898,0.939042,0.836647,0.79449,0.004076,0.021674,0.000209,0.018817,0.00345,0.025,0,1.52,0
53,0.005374,0.942637,0.836461,0.807257,0.004081,0.002814,7.9e-05,-0.011147,0.003373,0.025,0,1.53,0
54,0.005804,0.944716,0.836342,0.808666,0.004087,0.002243,0.000101,0.001903,0.003417,0.025,0,1.54,0
55,0.006149,0.944487,0.836356,0.809184,0.00414,0.007948,6.3e-05,0.001527,0.003454,0.025,0,1.55,0
56,0.001819,0.939879,0.836606,0.795834,0.004073,0.023371,0.00017,-0.019245,0.003452,0.025,0,1.56,0
57,0.004322,0.943538,0.836411,0.803923,0.004038,0.005988,0.000333,0.011149,0.003436,0.025,0,1.57,0
58,0.004062,0.945876,0.836272,0.808132,0.003955,0.004226,0.000435,-0.001161,0.003507,0.025,0,1.58,0
59,0.003858,0.945021,0.836324,0.810719,0.003771,0.008901,0.000373,-0.000912,0.003556,0.025,0,1.59,0
60,0.005099,0.943375,0.83642,0.80969,0.003681,0.006537,0.000287,0.005564,0.003551,0.025,0,1.6,0
61,0.003237,0.943659,0.836404,0.811109,0.003491,0.006,0.000317,-0.008367,0.003446,0.025,0,1.61,0
62,0.003627,0.945862,0.836273,0.811077,0.00333,0.004121,0.000406,0.001756,0.00338,0.025,0,1.62,0
63,0.001314,0.943484,0.836414,0.806564,0.003141,0.00416,0.000367,-0.010435,0.003348,0.025,0,1.63,0
64,0.002983,0.943905,0.83639,0.809799,0.003045,5e-05,0.000481,0.007546,0.003317,0.025,0,1.64,0
65,0.002216,0.943725,0.8364,0.804541,0.002949,0.014971,0.000688,-0.003474,0.0033,0.025,0,1.65,0
66,4.5e-05,0.943273,0.836426,0.798915,0.002928,0.015763,0.000835,-0.009862,0.003304,0.025,0,1.66,0
67,-0.000812,0.945181,0.836314,0.808072,0.002838,0.003631,0.000858,-0.003901,0.003333,0.025,0,1.67,0
68,-0.001245,0.94461,0.836348,0.810584,0.002597,0.010224,0.001012,-0.001975,0.003387,0.025,0,1.68,0
69,-0.00024,0.945229,0.836311,0.808391,0.002426,0.006454,0.00107,0.004595,0.003452,0.025,0,1.69,0
70,0.00025,0.945908,0.83627,0.81028,0.00228,0.002304,0.001143,0.002247,0.003418,0.025,0,1.7,0
71,-0.002269,0.942336,0.836478,0.796523,0.002037,0.019659,0.001241,-0.011569,0.003377,0.025,0,1.71,0
72,-0.003151,0.943412,0.836418,0.803844,0.001928,0.014351,0.001354,-0.004058,0.003347,0.025,0,1.72,0
73,-0.000411,0.943934,0.836388,0.805441,0.001869,0.009015,0.001362,0.012636,0.00339,0.025,0,1.73,0
74,-0.001619,0.944286,0.836367,0.806159,0.001755,0.009057,0.001363,-0.005584,0.00335,0.025,0,1.74,0
75,-0.00182,0.945156,0.836316,0.808253,0.001645,0.011347,0.001477,-0.000932,0.003332,0.025,0,1.75,0
76,-0.000273,0.945065,0.836321,0.807949,0.001565,0.011154,0.001351,0.007184,0.003347,0.025,0,1.76,0
77,-0.000459,0.945872,0.836272,0.81373,0.001549,0.003138,0.001184,-0.000867,0.003367,0.025,0,1.77,0
78,-0.002994,0.940527,0.836573,0.801029,0.001423,0.015344,0.001011,-0.01182,0.003401,0.025,0,1.78,0
79,-0.002306,0.945084,0.83632,0.80957,0.001369,0.010497,0.000694,0.003214,0.003396,0.025,0,1.79,0
80,-0.001958,0.945891,0.836271,0.811676,0.001286,0.005488,0.000279,0.001629,0.003456,0.025,0,1.8,0
81,0.000566,0.942977,0.836442,0.802661,0.001235,0.012703,6.6e-05,0.01185,0.003492,0.025,0,1.81,0
82,6.5e-05,0.945694,0.836283,0.811985,0.001183,0.008314,0.00048,-0.002355,0.003511,0.025,0,1.82,0
83,0.001622,0.945554,0.836291,0.810742,0.001262,0.002303,0.000773,0.007343,0.00355,0.025,0,1.83,0
84,-5.4e-05,0.94447,0.836357,0.810582,0.001292,0.003329,0.000975,-0.007925,0.003536,0.025,0,1.84,0
85,0.000148,0.945421,0.8363,0.812558,0.001341,0.006803,0.001212,0.000958,0.003534,0.025,0,1.85,0
86,0.001227,0.945496,0.836295,0.810722,0.001419,0.00294,0.001364,0.005125,0.003538,0.025,0,1.86,0
87,0.003059,0.944962,0.836327,0.806865,0.0016,0.001039,0.001252,0.008722,0.00353,0.025,0,1.87,0
88,0.001075,0.94329,0.836425,0.804256,0.001733,0.008641,0.001198,-0.009464,0.003535,0.025,0,1.88,0
89,0.006176,0.938873,0.836655,0.792071,0.001872,0.018553,0.00104,0.024389,0.003487,0.025,0,1.89,0
90,0.008768,0.940896,0.836554,0.801227,0.00209,0.006657,0.000671,0.012425,0.003454,0.025,0,1.9,0
91,0.007391,0.944111,0.836378,0.81003,0.002323,0.003337,0.000353,-0.006618,0.003492,0.025,0,1.91,0
92,0.007692,0.943337,0.836422,0.804831,0.002492,0.017826,0.000316,0.001449,0.003539,0.025,0,1.92,0
93,0.007921,0.945064,0.836321,0.810949,0.002715,0.005378,9.1e-05,0.001109,0.003577,0.025,0,1.93,0
94,0.005344,0.940322,0.836584,0.796969,0.002905,0.027906,0.000358,-0.012468,0.003599,0.025,0,1.94,0
95,0.003781,0.942953,0.836444,0.809644,0.003035,0.00404,0.000637,-0.007578,0.00362,0.025,0,1.95,0
96,0.000327,0.941364,0.83653,0.796745,0.00302,0.020164,0.0009,-0.016787,0.003666,0.025,0,1.96,0
97,-0.0008,0.944842,0.836334,0.811036,0.00289,0.006309,0.000988,-0.00549,0.003704,0.025,0,1.97,0
