cycle,self_state,stability,rigidity,adaptive_score,observer_a_trust,observer_a_alert,observer_b_anomaly,observer_b_alert,ledger_warning,previous_hash,hash
1,0.00286,0.942055,0.79561,0.836493,0.779149,False,0.007396,False,0.0,0000000000000000000000000000000000000000000000000000000000000000,2b19dbfb23d2369202eb871c123c559ce0385fc35f0369f4a4f3050eddeccd39
2,0.002547,0.944551,0.812179,0.836352,0.776736,False,0.001232,False,0.001331,2b19dbfb23d2369202eb871c123c559ce0385fc35f0369f4a4f3050eddeccd39,baf352048bc4e3863080ea2069b515a6880314c3d3c2e507bbe8a6aac0db2b42
3,0.002896,0.945397,0.809616,0.836301,0.777462,False,0.002792,False,0.001842,baf352048bc4e3863080ea2069b515a6880314c3d3c2e507bbe8a6aac0db2b42,1ba52885c4af504066e90e0b1341a13563d3acc270c622aa49a165464faa3c19
4,0.002178,0.946114,0.810587,0.836257,0.777651,False,0.001859,False,0.002158,1ba52885c4af504066e90e0b1341a13563d3acc270c622aa49a165464faa3c19,ad96f5488b28678261263394f99840cd3ef9757a60b10c7b49dfdc10ac14a22b
5,-0.001805,0.942179,0.799423,0.836486,0.778639,False,0.007222,False,0.002324,ad96f5488b28678261263394f99840cd3ef9757a60b10c7b49dfdc10ac14a22b,01ecac1d608493700045c7eca7cec946f28792187333dfbc6a72c3b21caef3f5
6,-0.003282,0.942361,0.796558,0.836476,0.778977,False,0.00748,False,0.002597,01ecac1d608493700045c7eca7cec946f28792187333dfbc6a72c3b21caef3f5,279d00d1093cbb2dc738554a9013ceb11f1c4bd4b4e11483d20c3250150fed0d
7,-0.000211,0.943393,0.802516,0.836419,0.778747,False,0.007534,False,0.002917,279d00d1093cbb2dc738554a9013ceb11f1c4bd4b4e11483d20c3250150fed0d,bf1b9d4b9a8c3ec77ed9c0c9630bdb96b249d5f42c10aec5889caa6ba563251d
8,-0.002598,0.941181,0.800092,0.83654,0.77801,False,0.007895,False,0.003247,bf1b9d4b9a8c3ec77ed9c0c9630bdb96b249d5f42c10aec5889caa6ba563251d,eac41b354cbfa8b0249ae6810b2b4df880e8d59639cdc8b468f73f668a7c5287
9,-0.001611,0.944553,0.80138,0.836352,0.779083,False,0.005189,False,0.003574,eac41b354cbfa8b0249ae6810b2b4df880e8d59639cdc8b468f73f668a7c5287,fbfe3bb33b011848084e2c5ada73d47512752a01a3ae8c846bddd775e7656636
10,0.001835,0.941682,0.800445,0.836513,0.778261,False,0.00814,False,0.003832,fbfe3bb33b011848084e2c5ada73d47512752a01a3ae8c846bddd775e7656636,bbbe4e7b746e68842bebe2e0e8b28f210e2c9427ad349ab5346f992bef4ab34e
11,0.001904,0.945456,0.811489,0.836297,0.777305,False,0.00172,False,0.004087,bbbe4e7b746e68842bebe2e0e8b28f210e2c9427ad349ab5346f992bef4ab34e,d5f53c36a6356f636090b459e36da59a18287f29717d590e00d92b666e0b1bd9
12,0.003645,0.943142,0.805203,0.836433,0.777438,False,0.004326,False,0.004226,d5f53c36a6356f636090b459e36da59a18287f29717d590e00d92b666e0b1bd9,f2633c96578bb17bdcf540c0b8b9883cd61be2bfd13ee525b5d694895923d40d
13,0.003192,0.945518,0.812498,0.836294,0.776867,False,0.001706,False,0.004322,f2633c96578bb17bdcf540c0b8b9883cd61be2bfd13ee525b5d694895923d40d,19062b3c006210061f902d1da141f96c59065696f8f0f7faa1118fe8a211f009
14,0.003639,0.945616,0.810942,0.836288,0.777121,False,0.001176,False,0.004351,19062b3c006210061f902d1da141f96c59065696f8f0f7faa1118fe8a211f009,cb112fb4be2ad2c3df90fac57db5ca84ac3589693ecf25eddecd148a3282098f
15,0.005289,0.9433,0.807546,0.836424,0.776694,False,0.003602,False,0.004325,cb112fb4be2ad2c3df90fac57db5ca84ac3589693ecf25eddecd148a3282098f,b32ffa2a23838627cfd4695bee3cee71d4a8e7d1d6bba89f2e5de23f290f53d0
16,0.007855,0.941929,0.793499,0.8365,0.778529,False,0.006761,False,0.004291,b32ffa2a23838627cfd4695bee3cee71d4a8e7d1d6bba89f2e5de23f290f53d0,82625ff3e7a72f9b310932ac37a215362f1cd3f3c9dab41c4b64d7da07f61a74
17,0.005303,0.942656,0.810077,0.83646,0.775969,False,0.004945,False,0.004288,82625ff3e7a72f9b310932ac37a215362f1cd3f3c9dab41c4b64d7da07f61a74,5349977ad3185f9a54b2299f3afa2ce95094e5c382c4194f373f6dbfc2e09c3b
18,0.008385,0.939928,0.801741,0.836604,0.776101,False,0.006782,False,0.004258,5349977ad3185f9a54b2299f3afa2ce95094e5c382c4194f373f6dbfc2e09c3b,3b775d8fdb2cc88a5076474945f7389959adb7c153d3e99f7ec095ffe0e1104c
19,0.008011,0.942378,0.802627,0.836475,0.776823,False,0.004943,False,0.004297,3b775d8fdb2cc88a5076474945f7389959adb7c153d3e99f7ec095ffe0e1104c,760bec364953854fd05fcedac9630b5a473f6025e070b12871f776456b44d66d
20,0.007408,0.944515,0.808415,0.836354,0.776504,False,0.003015,False,0.004352,760bec364953854fd05fcedac9630b5a473f6025e070b12871f776456b44d66d,ce91558e76ee2b5c0236bacc605a65b400fd01b3cce412a78f02b2a5d8d0fe95
21,0.007462,0.944543,0.812451,0.836352,0.775695,False,0.00053,False,0.004409,ce91558e76ee2b5c0236bacc605a65b400fd01b3cce412a78f02b2a5d8d0fe95,d772cde2665f81240519d01d05b67f1a3e0e0c4b547928c6b801a3f36a8182d0
22,0.005346,0.943023,0.802659,0.83644,0.777567,False,0.005828,False,0.004379,d772cde2665f81240519d01d05b67f1a3e0e0c4b547928c6b801a3f36a8182d0,46cbb837aba56ba2aa2e2bd572f0862cf4579d8ef1752516e9c14a906aa13983
23,0.005155,0.945921,0.81181,0.836269,0.776747,False,0.000714,False,0.004337,46cbb837aba56ba2aa2e2bd572f0862cf4579d8ef1752516e9c14a906aa13983,5cf5ed28bfca2d3dc8c1cfb54e468d000d6e606731702a850f2f0468523bc25a
24,0.005933,0.943593,0.806931,0.836407,0.776787,False,0.003119,False,0.004226,5cf5ed28bfca2d3dc8c1cfb54e468d000d6e606731702a850f2f0468523bc25a,223f7f8a5a0ec0e3f0a1d0b3f444323a11af2b34fccd089e1aba60174d19ab43
25,0.004731,0.943761,0.812222,0.836398,0.776025,False,0.003395,False,0.004084,223f7f8a5a0ec0e3f0a1d0b3f444323a11af2b34fccd089e1aba60174d19ab43,24c377ef7f84b0249b983f9a18ecebd5fb41263c0070c38c868806c5a00c81ad
26,0.00293,0.943408,0.806684,0.836418,0.777374,False,0.004938,False,0.00395,24c377ef7f84b0249b983f9a18ecebd5fb41263c0070c38c868806c5a00c81ad,8acebb5e4e9607f5b8a65ee6d6a4464a3f107f3d41cc6141c15e41515d599fc2
27,0.004123,0.94388,0.810863,0.836391,0.776459,False,0.002397,False,0.003807,8acebb5e4e9607f5b8a65ee6d6a4464a3f107f3d41cc6141c15e41515d599fc2,7daca1ed070f95a8e115130b03481a3f6c07b705b983591eceff0df7fb9fb07a
28,0.002759,0.945163,0.808801,0.836315,0.777574,False,0.002124,False,0.0037,7daca1ed070f95a8e115130b03481a3f6c07b705b983591eceff0df7fb9fb07a,85e3d23db84b3ff21af389f10161d1c893f4c1a382967d4e3a94b90e90a1622e
29,0.00522,0.942583,0.807391,0.836464,0.776498,False,0.003844,False,0.00359,85e3d23db84b3ff21af389f10161d1c893f4c1a382967d4e3a94b90e90a1622e,8ab72738eb93b75628e085188247f51934fdf852fc4e77f26097c3e456d2a5b8
30,0.003121,0.945085,0.80835,0.83632,0.777566,False,0.003098,False,0.003526,8ab72738eb93b75628e085188247f51934fdf852fc4e77f26097c3e456d2a5b8,86faf1bf94dd87e6b7f5fb1742142b5f24a01c915580ce82edf08566198c7632
31,0.004917,0.943832,0.808682,0.836394,0.77672,False,0.0035,False,0.003496,86faf1bf94dd87e6b7f5fb1742142b5f24a01c915580ce82edf08566198c7632,52461da1981d76c15101c53f9350b42c351b0416c2c242e37845ba380b1e4347
32,0.007816,0.939983,0.789089,0.836601,0.778763,False,0.010362,False,0.003471,52461da1981d76c15101c53f9350b42c351b0416c2c242e37845ba380b1e4347,a107d9d6162252a8bf4b92c9877610f75e2839650fab174c466096f49164149e
33,0.009874,0.942702,0.805728,0.836458,0.77594,False,0.003033,False,0.003492,a107d9d6162252a8bf4b92c9877610f75e2839650fab174c466096f49164149e,7f375e7a8e754f4d6c67bede7059c8d81e951976d5d6006631d247f12ea273e1
34,0.008182,0.942984,0.812122,0.836442,0.775094,False,0.002617,False,0.003486,7f375e7a8e754f4d6c67bede7059c8d81e951976d5d6006631d247f12ea273e1,5f3514ab4ff704eb8e3bd6273e220ef8bcd14a044734c10610c86ab4200ae5fc
35,0.00659,0.942955,0.806685,0.836444,0.77649,False,0.003537,False,0.003436,5f3514ab4ff704eb8e3bd6273e220ef8bcd14a044734c10610c86ab4200ae5fc,970f1cb7f79232ce7542ddf48636cb05c684fce3a64f343748c3890971ea0f24
36,0.006984,0.945351,0.810159,0.836304,0.77652,False,0.001069,False,0.003379,970f1cb7f79232ce7542ddf48636cb05c684fce3a64f343748c3890971ea0f24,0b3c032abab36206918a911ecd95be540796efb512514ad674e4358e51a28439
37,0.005237,0.943632,0.804874,0.836405,0.77735,False,0.004143,False,0.003312,0b3c032abab36206918a911ecd95be540796efb512514ad674e4358e51a28439,b3a1275f440364777e4b529f2fbbf174f73fbad5aadff878d36506ec6add0530
38,0.002868,0.943421,0.806899,0.836417,0.777348,False,0.003947,False,0.003299,b3a1275f440364777e4b529f2fbbf174f73fbad5aadff878d36506ec6add0530,305974c2e54a577b61ab24d607ac5c421be9350e0f7f65c50fa543b5be253e70
39,0.001603,0.944128,0.808199,0.836377,0.777579,False,0.003332,False,0.003267,305974c2e54a577b61ab24d607ac5c421be9350e0f7f65c50fa543b5be253e70,6429dccab1fa92918ccc565bcd64d3db4abc3b8c495a96df20b92cac78aba6a2
40,0.000245,0.94479,0.804999,0.836338,0.778712,False,0.003562,False,0.003271,6429dccab1fa92918ccc565bcd64d3db4abc3b8c495a96df20b92cac78aba6a2,a925cdaa5ec4b2f07d5668db437e9e6331d7306ac4c38edbb81963cc023e4b19
41,0.001785,0.943536,0.80319,0.836411,0.778345,False,0.005718,False,0.00328,a925cdaa5ec4b2f07d5668db437e9e6331d7306ac4c38edbb81963cc023e4b19,b15cbc46cee607911763bc288ed8464357793936616d6d01162fe1f7b1cae4e2
42,0.004413,0.943075,0.803329,0.836437,0.777637,False,0.005182,False,0.003313,b15cbc46cee607911763bc288ed8464357793936616d6d01162fe1f7b1cae4e2,8355cd1b4a3004ce3235cfeb0b12b407097059500f86ceb9de9692650b0c1984
43,0.007629,0.940046,0.788231,0.836598,0.778994,False,0.011117,False,0.003342,8355cd1b4a3004ce3235cfeb0b12b407097059500f86ceb9de9692650b0c1984,4b903b93a3a47bf2a2cc9e1c6edf2d6ac7c42a0805c6e8978e5f8e433ff4c2ad
44,0.006574,0.943038,0.814908,0.836439,0.774877,False,0.001577,False,0.003463,4b903b93a3a47bf2a2cc9e1c6edf2d6ac7c42a0805c6e8978e5f8e433ff4c2ad,2a909bf12337f11d3fabceeb9a5436e3ebcd2b5f2674a579d7a736b05bde6e17
45,0.007625,0.943162,0.811772,0.836432,0.775335,False,0.002229,False,0.003554,2a909bf12337f11d3fabceeb9a5436e3ebcd2b5f2674a579d7a736b05bde6e17,21f918ca5545bbf04ec06c770bc6e2a650c9464bd124a5fd0937a3b9ecab7b3f
46,0.008185,0.943205,0.811696,0.836429,0.775253,False,0.001915,False,0.003608,21f918ca5545bbf04ec06c770bc6e2a650c9464bd124a5fd0937a3b9ecab7b3f,a56d9c705f6e56fb7330d6eb4cba099a14abf3be669987a68d81bce9522ac8e7
47,0.005981,0.943087,0.809299,0.836436,0.776133,False,0.003609,False,0.003638,a56d9c705f6e56fb7330d6eb4cba099a14abf3be669987a68d81bce9522ac8e7,83e64f642b97233b38d310887f6d55b17f546a618c590d38e2e4fad48c773f1d
48,0.005996,0.944179,0.814252,0.836374,0.775507,False,0.001029,False,0.003664,83e64f642b97233b38d310887f6d55b17f546a618c590d38e2e4fad48c773f1d,bcaa89690eb6f4e211d34d82bbffe87ab29e79e33a1a401e6f09e22cce249826
49,0.005585,0.943747,0.811957,0.836399,0.775903,False,0.00202,False,0.003579,bcaa89690eb6f4e211d34d82bbffe87ab29e79e33a1a401e6f09e22cce249826,4ebda61529f3c42c4e0a0cf459e044235fc735843aeaf45067e88a7fcfd300a7
50,0.003634,0.943009,0.810662,0.83644,0.776304,False,0.003802,False,0.0035,4ebda61529f3c42c4e0a0cf459e044235fc735843aeaf45067e88a7fcfd300a7,3ecb86d9272dc12c3ef598309a6fba0b295c3176368cf93dee476d0829d2c92c
51,0.003629,0.94619,0.810314,0.836252,0.777441,False,0.000178,False,0.00345,3ecb86d9272dc12c3ef598309a6fba0b295c3176368cf93dee476d0829d2c92c,bef7fb0089470320564fcaa0c749b1942f7266bf1983cc336575a9c37c3c36d0
52,0.007898,0.939042,0.79449,0.836647,0.777349,False,0.010575,False,0.003373,bef7fb0089470320564fcaa0c749b1942f7266bf1983cc336575a9c37c3c36d0,bd28a3af6eb458b5f663b117e6c18c960158d2e8124155c73967e8d70f6e500d
53,0.005374,0.942637,0.807257,0.836461,0.776512,False,0.004249,False,0.003417,bd28a3af6eb458b5f663b117e6c18c960158d2e8124155c73967e8d70f6e500d,b530e9b0a6eb2857c4a8ec5900fdd9409156655599c260415e6e9ed654cab2cc
54,0.005804,0.944716,0.808666,0.836342,0.776842,False,0.001095,False,0.003454,b530e9b0a6eb2857c4a8ec5900fdd9409156655599c260415e6e9ed654cab2cc,2b4abc0d362294ddfa681e41b016f870d89e0631d818024a5b2a661950eaf3db
55,0.006149,0.944487,0.809184,0.836356,0.776593,False,0.002105,False,0.003452,2b4abc0d362294ddfa681e41b016f870d89e0631d818024a5b2a661950eaf3db,5103cf3f4fdd509d464181b4f05922bdf77e8125794fe615e3a98b0c4420a49d
