cycle,trust,deviation,alert
1,0.779149,0.00286,False
2,0.776736,0.002547,False
3,0.777462,0.002896,False
4,0.777651,0.002178,False
5,0.778639,0.001805,False
6,0.778977,0.003282,False
7,0.778747,0.000211,False
8,0.77801,0.002598,False
9,0.779083,0.001611,False
10,0.778261,0.001835,False
11,0.777305,0.001904,False
12,0.777438,0.003645,False
13,0.776867,0.003192,False
14,0.777121,0.003639,False
15,0.776694,0.005289,False
16,0.778529,0.007855,False
17,0.775969,0.005303,False
18,0.776101,0.008385,False
19,0.776823,0.008011,False
20,0.776504,0.007408,False
21,0.775695,0.007462,False
22,0.777567,0.005346,False
23,0.776747,0.005155,False
24,0.776787,0.005933,False
25,0.776025,0.004731,False
26,0.777374,0.00293,False
27,0.776459,0.004123,False
28,0.777574,0.002759,False
29,0.776498,0.00522,False
30,0.777566,0.003121,False
31,0.77672,0.004917,False
32,0.778763,0.007816,False
33,0.77594,0.009874,False
34,0.775094,0.008182,False
35,0.77649,0.00659,False
36,0.77652,0.006984,False
37,0.77735,0.005237,False
38,0.777348,0.002868,False
39,0.777579,0.001603,False
40,0.778712,0.000245,False
41,0.778345,0.001785,False
42,0.777637,0.004413,False
43,0.778994,0.007629,False
44,0.774877,0.006574,False
45,0.775335,0.007625,False
46,0.775253,0.008185,False
47,0.776133,0.005981,False
48,0.775507,0.005996,False
49,0.775903,0.005585,False
50,0.776304,0.003634,False
51,0.777441,0.003629,False
52,0.777349,0.007898,False
53,0.776512,0.005374,False
54,0.776842,0.005804,False
55,0.776593,0.006149,False
56,0.778579,0.001819,False
57,0.777692,0.004322,False
58,0.777686,0.004062,False
59,0.776923,0.003858,False
60,0.776328,0.005099,False
61,0.776512,0.003237,False
62,0.777179,0.003627,False
63,0.777747,0.001314,False
64,0.776908,0.002983,False
65,0.778052,0.002216,False
66,0.77946,4.5e-05,False
67,0.778115,0.000812,False
68,0.777335,0.001245,False
69,0.778182,0.00024,False
70,0.778029,0.00025,False
71,0.779179,0.002269,False
72,0.7779,0.003151,False
73,0.778304,0.000411,False
74,0.778036,0.001619,False
75,0.777869,0.00182,False
76,0.778209,0.000273,False
77,0.777285,0.000459,False
78,0.777523,0.002994,False
79,0.777484,0.002306,False
80,0.777403,0.001958,False
81,0.778507,0.000566,False
82,0.777654,6.5e-05,False
83,0.777544,0.001622,False
84,0.777527,5.4e-05,False
85,0.777431,0.000148,False
86,0.777608,0.001227,False
87,0.777834,0.003059,False
88,0.778192,0.001075,False
89,0.77812,0.006176,False
90,0.776453,0.008768,False
91,0.776049,0.007391,False
92,0.776769,0.007692,False
93,0.776079,0.007921,False
94,0.777796,0.005344,False
95,0.77646,0.003781,False
96,0.779195,0.000327,False
97,0.777411,0.0008,False
98,0.778412,0.002004,False
99,0.777756,0.002481,False
100,0.777978,0.004041,False
101,0.776075,0.003954,False
102,0.7767,0.003409,False
103,0.778225,0.001573,False
104,0.777368,0.006628,False
105,0.776121,0.005776,False
106,0.775943,0.004618,False
107,0.777391,0.006721,False
108,0.77823,0.002875,False
109,0.777037,0.003647,False
110,0.777413,0.004672,False
111,0.778656,0.006204,False
112,0.776186,0.005078,False
113,0.778004,0.002228,False
114,0.777991,0.003177,False
115,0.776485,0.006164,False
116,0.776088,0.006289,False
117,0.775908,0.006542,False
118,0.776466,0.007077,False
119,0.776485,0.007873,False
120,0.776339,0.009197,False
121,0.775764,0.006606,False
122,0.777603,0.007368,False
123,0.776166,0.009802,False
124,0.775635,0.007893,False
125,0.778807,0.002352,False
126,0.77794,0.001744,False
127,0.777395,0.002422,False
128,0.7775,0.003736,False
129,0.776537,0.004927,False
130,0.779246,0.001419,False
131,0.778222,0.002661,False
132,0.778728,0.006372,False
133,0.776692,0.00692,False
134,0.777599,0.004957,False
135,0.77845,0.002486,False
136,0.777211,0.003306,False
137,0.777468,0.002311,False
138,0.777413,0.002243,False
139,0.776834,0.001756,False
140,0.778052,0.000283,False
141,0.777778,0.000687,False
142,0.778619,0.001098,False
143,0.778568,0.000638,False
144,0.779335,0.003277,False
145,0.780824,0.001865,False
146,0.780645,0.000908,False
147,0.777642,0.000951,False
148,0.778772,0.00241,False
149,0.777533,0.004089,False
150,0.777087,0.002361,False
151,0.777232,0.00283,False
152,0.777416,0.003687,False
153,0.778339,0.006568,False
154,0.778063,0.004505,False
155,0.7771,0.00612,False
156,0.776231,0.006083,False
157,0.775945,0.00533,False
158,0.776615,0.004594,False
159,0.776548,0.003886,False
160,0.777068,0.003454,False
161,0.777724,0.002345,False
162,0.777562,0.001309,False
163,0.777762,0.001646,False
164,0.778471,0.00116,False
165,0.776575,0.000851,False
166,0.7773,0.001129,False
167,0.778728,0.003208,False
168,0.777658,0.001726,False
169,0.779178,0.004503,False
170,0.776286,0.005437,False
171,0.778684,0.002698,False
172,0.777059,0.003852,False
173,0.776869,0.003498,False
174,0.776135,0.003956,False
175,0.776247,0.003689,False
176,0.777833,0.003481,False
177,0.777495,0.001553,False
178,0.77716,0.002669,False
179,0.777047,0.003709,False
180,0.777197,0.002006,False
181,0.778062,0.00082,False
182,0.777246,0.000154,False
183,0.777596,0.00036,False
184,0.777822,6e-06,False
185,0.77798,0.000101,False
186,0.778459,0.00198,False
187,0.779378,0.000128,False
188,0.778282,0.001166,False
189,0.778087,0.002151,False
190,0.77884,0.002884,False
191,0.779271,0.001976,False
192,0.777735,0.002336,False
193,0.776905,0.002617,False
194,0.777829,0.004428,False
195,0.776958,0.004934,False
196,0.778185,0.002361,False
197,0.780256,0.000533,False
198,0.778267,0.000235,False
199,0.777977,0.000443,False
200,0.77837,0.000347,False
201,0.779784,0.000124,False
202,0.778358,0.001234,False
203,0.778182,0.001002,False
204,0.778868,0.000926,False
205,0.779401,0.001878,False
206,0.777451,0.001928,False
207,0.778239,0.002305,False
208,0.776295,0.001719,False
209,0.777326,0.001522,False
210,0.777502,0.001644,False
211,0.779119,0.004437,False
212,0.778238,0.005863,False
213,0.776339,0.00486,False
214,0.77724,0.003656,False
215,0.777738,0.002889,False
216,0.777622,0.004581,False
217,0.779151,0.00248,False
218,0.776628,0.001657,False
219,0.77745,0.002142,False
220,0.777107,0.003247,False
