cycle,delta,anomaly,alert
1,0,0.007396,False
2,0.000313,0.001232,False
3,0.000349,0.002792,False
4,0.000718,0.001859,False
5,0.003983,0.007222,False
6,0.001477,0.00748,False
7,0.003071,0.007534,False
8,0.002387,0.007895,False
9,0.000987,0.005189,False
10,0.003446,0.00814,False
11,6.9e-05,0.00172,False
12,0.001741,0.004326,False
13,0.000453,0.001706,False
14,0.000447,0.001176,False
15,0.00165,0.003602,False
16,0.002566,0.006761,False
17,0.002552,0.004945,False
18,0.003082,0.006782,False
19,0.000374,0.004943,False
20,0.000603,0.003015,False
21,5.4e-05,0.00053,False
22,0.002116,0.005828,False
23,0.000191,0.000714,False
24,0.000778,0.003119,False
25,0.001202,0.003395,False
26,0.001801,0.004938,False
27,0.001193,0.002397,False
28,0.001364,0.002124,False
29,0.002461,0.003844,False
30,0.002099,0.003098,False
31,0.001796,0.0035,False
32,0.002899,0.010362,False
33,0.002058,0.003033,False
34,0.001692,0.002617,False
35,0.001592,0.003537,False
36,0.000394,0.001069,False
37,0.001747,0.004143,False
38,0.002369,0.003947,False
39,0.001265,0.003332,False
40,0.001358,0.003562,False
41,0.00154,0.005718,False
42,0.002628,0.005182,False
43,0.003216,0.011117,False
44,0.001055,0.001577,False
45,0.001051,0.002229,False
46,0.00056,0.001915,False
47,0.002204,0.003609,False
48,1.5e-05,0.001029,False
49,0.000411,0.00202,False
50,0.001951,0.003802,False
51,5e-06,0.000178,False
52,0.004269,0.010575,False
53,0.002524,0.004249,False
54,0.00043,0.001095,False
55,0.000345,0.002105,False
56,0.00433,0.011035,False
57,0.002503,0.004927,False
58,0.00026,0.001313,False
59,0.000204,0.002154,False
60,0.001241,0.00319,False
61,0.001862,0.004007,False
62,0.00039,0.001481,False
63,0.002313,0.004324,False
64,0.001669,0.002577,False
65,0.000767,0.004269,False
66,0.002171,0.006545,False
67,0.000857,0.002173,False
68,0.000433,0.002893,False
69,0.001005,0.003005,False
70,0.00049,0.001423,False
71,0.002519,0.007954,False
72,0.000882,0.004464,False
73,0.00274,0.006193,False
74,0.001208,0.003903,False
75,0.000201,0.002868,False
76,0.001547,0.004838,False
77,0.000186,0.001146,False
78,0.002535,0.007113,False
79,0.000688,0.003282,False
80,0.000348,0.001682,False
81,0.002524,0.0064,False
82,0.000501,0.002523,False
83,0.001557,0.002996,False
84,0.001676,0.003429,False
85,0.000202,0.001913,False
86,0.001079,0.00252,False
87,0.001832,0.00328,False
88,0.001984,0.005028,False
89,0.005101,0.011801,False
90,0.002592,0.005479,False
91,0.001377,0.002874,False
92,0.000301,0.004096,False
93,0.000229,0.001451,False
94,0.002577,0.009672,False
95,0.001563,0.003377,False
96,0.003454,0.009618,False
97,0.001127,0.003226,False
98,0.002804,0.008052,False
99,0.000477,0.003768,False
100,0.00156,0.006773,False
101,8.7e-05,0.000958,False
102,0.000545,0.001275,False
103,0.001836,0.004813,False
104,0.005055,0.010799,False
105,0.000852,0.002975,False
106,0.001158,0.003376,False
107,0.002103,0.007035,False
108,0.003846,0.007477,False
109,0.000772,0.002239,False
110,0.001025,0.004555,False
111,0.001532,0.00777,False
112,0.001126,0.003515,False
113,0.00285,0.007196,False
114,0.000949,0.002889,False
115,0.002987,0.007156,False
116,0.000125,0.001461,False
117,0.000253,0.000732,False
118,0.000535,0.0015,False
119,0.000796,0.001431,False
120,0.001324,0.003775,False
121,0.002591,0.004676,False
122,0.000762,0.004194,False
123,0.002434,0.007115,False
124,0.001909,0.004769,False
125,0.005541,0.013401,False
126,0.000608,0.001769,False
127,0.000678,0.001309,False
128,0.001314,0.004402,False
129,0.001191,0.002383,False
130,0.003508,0.007815,False
131,0.001242,0.004682,False
132,0.003711,0.011023,False
133,0.000548,0.00197,False
134,0.001963,0.004937,False
135,0.002471,0.007378,False
136,0.00082,0.002233,False
