cycle,bridge_output,weighted_center,low_avg,bridge_state,bridge_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,-0.000725,-0.000809,-0.001014,-0.000131,0.000263,-0.000183,0.0,0.0,-0.000725,11,0.999857,0.999817,0.999817,0.568122,0.934946,0.874839,0.836827,0.025,0.004,1.0,0.0
2,0.01039,0.002122,-0.008029,0.001763,0.019871,0.002482,-2.6e-05,-0.000183,0.010573,10,0.983293,0.997336,0.997518,0.556086,0.927891,0.85857,0.837059,0.025,0.008,1.0,0.0
3,-0.009674,-7e-06,0.006504,-0.000296,0.020019,-0.000582,0.000325,0.002482,-0.012156,9,0.981945,0.996937,0.999418,0.560583,0.92859,0.856215,0.83704,0.025,0.012,1.0,0.0
4,-0.003701,-0.005173,0.008835,-0.000908,0.005951,-0.001368,0.000198,-0.000582,-0.003119,8,0.997723,0.999214,0.998632,0.557489,0.931827,0.874362,0.836942,0.025,0.016,1.0,0.0
5,-0.001587,0.00188,0.002062,-0.001031,0.005888,-0.001423,-2.1e-05,-0.001368,-0.000219,7,0.995283,0.999945,0.998577,0.560041,0.933001,0.871368,0.836901,0.025,0.02,1.0,0.0
6,-0.004092,-0.004282,0.006467,-0.001582,0.006131,-0.002095,-0.000217,-0.001423,-0.002669,6,0.996822,0.999328,0.997905,0.558613,0.931919,0.873192,0.836939,0.025,0.024,1.0,0.0
7,-0.005554,0.000414,-0.004673,-0.002297,0.006893,-0.002967,-0.00048,-0.002095,-0.003458,5,0.991783,0.999129,0.997033,0.558157,0.93134,0.868161,0.836958,0.025,0.028,1.0,0.0
8,0.006394,0.003695,-0.022794,-0.000732,0.020392,-0.000608,-0.000828,-0.002967,0.009361,4,0.987949,0.997641,0.999392,0.556344,0.928681,0.863106,0.837038,0.025,0.032,1.0,0.0
9,-0.00268,0.00187,-0.033784,-0.001083,0.013809,-0.00113,-0.000797,-0.000608,-0.002072,3,0.999524,0.999478,0.99887,0.555947,0.931158,0.875559,0.836964,0.025,0.036,1.0,0.0
10,-0.001743,-0.00092,-0.01082,-0.001202,0.004568,-0.001285,-0.000844,-0.00113,-0.000613,2,0.999448,0.999845,0.998715,0.556326,0.932502,0.876508,0.836919,0.025,0.04,1.0,0.0
