cycle,bridge_output,weighted_center,low_avg,bridge_state,bridge_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,-0.000518,-0.000592,-0.000681,-9.3e-05,0.000177,-0.000131,0.0,0.0,-0.000518,11,0.999904,0.999869,0.999869,0.564853,0.934535,0.875615,0.836843,0.0168,0.0,1.0,0.0
2,0.007764,0.00163,-0.005973,0.001321,0.014784,0.001859,-1.8e-05,-0.000131,0.007894,10,0.987571,0.998011,0.998141,0.556653,0.929379,0.863334,0.837018,0.0186,0.0,1.0,0.0
3,-0.007973,-0.000118,0.005289,-0.000352,0.016335,-0.000619,0.000245,0.001859,-0.009831,9,0.985303,0.997523,0.999381,0.560222,0.929536,0.860094,0.837014,0.0204,0.0,1.0,0.0
4,-0.003378,-0.004692,0.007765,-0.000897,0.005284,-0.001314,0.000124,-0.000619,-0.002759,8,0.997974,0.999305,0.998686,0.557547,0.932015,0.874679,0.836935,0.0222,0.0,1.0,0.0
5,-0.001691,0.001559,0.001952,-0.00104,0.005652,-0.001409,-7.8e-05,-0.001314,-0.000377,7,0.995463,0.999905,0.998591,0.559987,0.932977,0.871588,0.836902,0.024,0.0,1.0,0.0
6,-0.004266,-0.004492,0.006682,-0.00162,0.006327,-0.002129,-0.000264,-0.001409,-0.002857,6,0.99671,0.99928,0.997871,0.558791,0.931866,0.873017,0.836941,0.0258,0.0,1.0,0.0
7,-0.005779,0.000983,-0.005116,-0.002369,0.00761,-0.003049,-0.000525,-0.002129,-0.00365,5,0.990899,0.99908,0.996951,0.558433,0.931236,0.86713,0.836961,0.0276,0.0,1.0,0.0
8,0.007698,0.004557,-0.026685,-0.000557,0.023981,-0.00034,-0.000878,-0.003049,0.010747,4,0.985894,0.997292,0.99966,0.55634,0.928006,0.860621,0.837056,0.0294,0.0,1.0,0.0
9,-0.003017,0.002733,-0.041963,-0.001,0.017234,-0.001015,-0.000803,-0.00034,-0.002676,3,0.999438,0.999326,0.998985,0.555692,0.930639,0.875118,0.83698,0.0312,0.0,1.0,0.0
10,-0.00172,-0.00042,-0.014081,-0.001129,0.006029,-0.001193,-0.000833,-0.001015,-0.000706,2,0.99932,0.999822,0.998807,0.556156,0.932328,0.876243,0.836925,0.033,0.0,1.0,0.0
11,0.013341,-0.003199,0.007585,0.001475,0.021097,0.00247,-0.000883,-0.001193,0.014534,1,0.97554,0.996337,0.99753,0.54893,0.925607,0.852244,0.837112,0.0348,0.0,1.0,0.0
12,-0.007918,-0.001884,-0.012798,-0.000215,0.003509,-0.000148,-0.000414,0.00247,-0.010388,11,0.99076,0.997382,0.999852,0.553209,0.92973,0.868632,0.837008,0.0366,0.0,1.0,0.0
13,-0.00348,-0.002585,0.010376,-0.000803,0.009269,-0.000988,-0.000376,-0.000148,-0.003332,10,0.994929,0.99916,0.999012,0.55174,0.930669,0.872433,0.836979,0.0384,0.0,1.0,0.0
