cycle,bridge_output,weighted_center,low_avg,bridge_state,bridge_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,-0.00061,-0.000693,-0.000811,-0.00011,0.00021,-0.000154,0.0,0.0,-0.00061,11,0.999886,0.999846,0.999846,0.56613,0.934692,0.875312,0.836837,0.02,0.0,1.0,0.0
2,0.008329,0.001725,-0.006424,0.001409,0.015897,0.001984,-2.2e-05,-0.000154,0.008483,10,0.986633,0.997862,0.998016,0.556531,0.929056,0.862289,0.837027,0.02,0.0,1.0,0.0
3,-0.007768,-4.9e-05,0.005201,-0.000243,0.016015,-0.000473,0.000259,0.001984,-0.009752,9,0.985556,0.997543,0.999527,0.560182,0.92962,0.860394,0.837011,0.02,0.0,1.0,0.0
4,-0.002973,-0.004158,0.007066,-0.000734,0.00476,-0.001103,0.000157,-0.000473,-0.0025,8,0.99818,0.99937,0.998897,0.557603,0.9322,0.874936,0.836929,0.02,0.0,1.0,0.0
5,-0.001393,0.001314,0.001646,-0.000853,0.00471,-0.001176,-2e-05,-0.001103,-0.000289,7,0.996228,0.999927,0.998824,0.559704,0.933111,0.872528,0.836897,0.02,0.0,1.0,0.0
6,-0.003339,-0.003524,0.005166,-0.0013,0.004905,-0.001721,-0.000182,-0.001176,-0.002162,6,0.997465,0.999455,0.998279,0.558647,0.93228,0.873974,0.836926,0.02,0.0,1.0,0.0
7,-0.004249,0.000642,-0.003753,-0.001831,0.005515,-0.002358,-0.000397,-0.001721,-0.002528,5,0.993433,0.999363,0.997642,0.55838,0.931919,0.869927,0.836939,0.02,0.0,1.0,0.0
8,0.00513,0.002984,-0.018244,-0.000578,0.016313,-0.000471,-0.000672,-0.002358,0.007488,4,0.990366,0.998113,0.999529,0.556939,0.929728,0.865882,0.837008,0.02,0.0,1.0,0.0
9,-0.002121,0.00153,-0.027025,-0.000856,0.011048,-0.000887,-0.000644,-0.000471,-0.00165,3,0.999622,0.999584,0.999113,0.556607,0.93171,0.875843,0.836946,0.02,0.0,1.0,0.0
10,-0.001217,-0.00046,-0.008653,-0.000921,0.003654,-0.00097,-0.000678,-0.000887,-0.00033,2,0.999561,0.999917,0.99903,0.556937,0.932842,0.876597,0.836907,0.02,0.0,1.0,0.0
11,0.007587,-0.001887,0.004222,0.000611,0.012125,0.001186,-0.000719,-0.00097,0.008557,1,0.985919,0.997844,0.998814,0.553045,0.92909,0.862794,0.837026,0.02,0.0,1.0,0.0
12,-0.004457,-0.001158,-0.007127,-0.000302,0.001918,-0.000236,-0.000452,0.001186,-0.005643,11,0.994946,0.998578,0.999764,0.555471,0.931515,0.872512,0.836952,0.02,0.0,1.0,0.0
13,-0.001975,-0.001546,0.005307,-0.000603,0.004827,-0.000674,-0.000422,-0.000236,-0.001739,10,0.997367,0.999562,0.999326,0.554893,0.932103,0.874711,0.836932,0.02,0.0,1.0,0.0
14,0.000536,-0.003478,0.006327,-0.000398,0.000808,-0.000369,-0.000457,-0.000674,0.001211,9,0.996478,0.999695,0.999631,0.557708,0.933149,0.873686,0.836896,0.02,0.0,1.0,0.0
15,0.006874,0.003141,-0.001684,0.000911,0.009116,0.001456,-0.000445,-0.000369,0.007243,8,0.991451,0.998175,0.998544,0.558435,0.930494,0.867502,0.836985,0.02,0.0,1.0,0.0
16,0.006356,0.000421,0.012299,0.001891,0.002764,0.002691,-0.000179,0.001456,0.0049,7,0.992681,0.998765,0.997309,0.562412,0.932062,0.868618,0.836934,0.02,0.0,1.0,0.0
17,-0.004757,0.002807,-0.006179,0.000694,0.007215,0.000814,0.000223,0.002691,-0.007448,6,0.989624,0.998123,0.999186,0.55757,0.930658,0.866092,0.83698,0.02,0.0,1.0,0.0
18,0.002465,0.003623,0.011359,0.001013,0.006571,0.00123,0.000306,0.000814,0.001652,5,0.997754,0.999584,0.99877,0.554318,0.931728,0.875015,0.836945,0.02,0.0,1.0,0.0
19,-0.006068,-0.003368,0.005916,-0.000262,0.010071,-0.000609,0.000435,0.00123,-0.007298,4,0.991969,0.998161,0.999391,0.561029,0.930984,0.867334,0.83697,0.02,0.0,1.0,0.0
20,0.001157,-0.000316,0.016195,-6e-06,0.007452,-0.000164,0.000289,-0.000609,0.001766,3,0.999168,0.999555,0.999836,0.554446,0.931894,0.876296,0.83694,0.02,0.0,1.0,0.0
21,-0.003814,-0.000317,-0.014679,-0.000692,0.002789,-0.001084,0.000225,-0.000164,-0.003649,2,0.996951,0.99908,0.998916,0.55607,0.931855,0.874281,0.836941,0.02,0.0,1.0,0.0
