cycle,output,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,-0.001681,-0.000386,0.0,0.0,-0.001681,11,0.999054,0.999614,0.999614,0.557102,0.928527,0.859778,0.837042,0.025,0.004,1.0,0.0
2,0.011199,0.002274,-5.4e-05,-0.000386,0.011585,10,0.986066,0.99734,0.997726,0.556563,0.92496,0.846925,0.837126,0.025,0.008,1.0,0.0
3,-0.002372,0.001207,0.000272,0.002274,-0.004646,9,0.995216,0.998933,0.998793,0.563883,0.928499,0.854245,0.837043,0.025,0.012,1.0,0.0
4,0.000682,0.001087,0.000403,0.001207,-0.000525,8,0.997819,0.999879,0.998913,0.554036,0.928185,0.85931,0.837051,0.025,0.016,1.0,0.0
5,0.004473,0.001864,0.000499,0.001087,0.003386,7,0.996309,0.999223,0.998136,0.557622,0.927688,0.856904,0.837064,0.025,0.02,1.0,0.0
6,0.004908,0.002563,0.00069,0.001864,0.003044,6,0.997766,0.999301,0.997437,0.556104,0.927352,0.858741,0.837072,0.025,0.024,1.0,0.0
7,0.001571,0.002335,0.000952,0.002563,-0.000992,5,0.996105,0.999772,0.997665,0.566341,0.929665,0.85452,0.83701,0.025,0.028,1.0,0.0
8,-0.000845,0.001605,0.001146,0.002335,-0.003181,4,0.997878,0.99927,0.998395,0.563234,0.92872,0.85707,0.837037,0.025,0.032,1.0,0.0
9,-0.011345,-0.001368,0.00121,0.001605,-0.01295,3,0.984577,0.997027,0.998632,0.556269,0.92476,0.84551,0.83713,0.025,0.036,1.0,0.0
10,-0.008113,-0.002917,0.000849,-0.001368,-0.006745,2,0.98846,0.998451,0.997083,0.554666,0.925919,0.849794,0.837106,0.025,0.04,1.0,0.0
11,-0.015727,-0.005858,0.000322,-0.002917,-0.01281,1,0.986513,0.997059,0.994142,0.566318,0.925152,0.844934,0.837122,0.025,0.044,1.0,0.0
12,0.000452,-0.004409,-0.000543,-0.005858,0.00631,11,0.995918,0.998551,0.995591,0.554779,0.925649,0.857224,0.837112,0.025,0.048,1.0,0.0
13,-0.011578,-0.006055,-0.001085,-0.004409,-0.007169,10,0.990855,0.998354,0.993945,0.552148,0.924511,0.852818,0.837135,0.025,0.052,1.0,0.0
14,0.016266,-0.00093,-0.001781,-0.006055,0.022321,9,0.981153,0.994875,0.99907,0.553808,0.921695,0.842701,0.83718,0.025,0.056,1.0,0.0
15,0.004366,0.000286,-0.001661,-0.00093,0.005296,8,0.998192,0.998784,0.999714,0.555484,0.927219,0.859321,0.837076,0.025,0.06,1.0,0.0
16,-0.018158,-0.003949,-0.001389,0.000286,-0.018443,7,0.979067,0.995765,0.996051,0.553096,0.921892,0.840793,0.837177,0.025,0.064,1.0,0.0
17,6.5e-05,-0.003027,-0.001747,-0.003949,0.004014,6,0.998232,0.999078,0.996973,0.559393,0.927459,0.858384,0.83707,0.025,0.068,1.0,0.0
18,0.010336,4.1e-05,-0.001926,-0.003027,0.013364,5,0.98882,0.996932,0.999959,0.556396,0.925029,0.849721,0.837124,0.025,0.072,1.0,0.0
19,-0.001288,-0.000264,-0.001651,4.1e-05,-0.001329,4,0.995178,0.999695,0.999736,0.556737,0.928608,0.855994,0.83704,0.025,0.076,1.0,0.0
20,-0.00231,-0.000734,-0.001457,-0.000264,-0.002045,3,0.997509,0.99953,0.999266,0.552238,0.927543,0.85945,0.837068,0.025,0.08,1.0,0.0
21,-0.013228,-0.003602,-0.001356,-0.000734,-0.012494,2,0.986356,0.997131,0.996398,0.556003,0.924228,0.847355,0.83714,0.025,0.084,1.0,0.0
22,0.002645,-0.002168,-0.00167,-0.003602,0.006247,1,0.997423,0.998566,0.997832,0.554611,0.926269,0.85877,0.837098,0.025,0.088,1.0,0.0
23,0.00779,0.000118,-0.00174,-0.002168,0.009958,11,0.990096,0.997714,0.999882,0.565,0.927399,0.848845,0.837071,0.025,0.092,1.0,0.0
24,0.001681,0.000477,-0.00148,0.000118,0.001563,10,0.998879,0.999641,0.999523,0.55723,0.928557,0.859571,0.837041,0.025,0.096,1.0,0.0
25,-0.005341,-0.000859,-0.001206,0.000477,-0.005818,9,0.988125,0.998664,0.999141,0.559668,0.927572,0.848208,0.837067,0.025,0.1,1.0,0.0
26,0.013777,0.002502,-0.001157,-0.000859,0.014635,8,0.988243,0.99664,0.997498,0.555444,0.923808,0.849382,0.837147,0.025,0.104,1.0,0.0
27,0.017689,0.005989,-0.000645,0.002502,0.015187,7,0.980369,0.996513,0.994011,0.559626,0.923337,0.840463,0.837156,0.025,0.108,1.0,0.0
28,-0.005239,0.003411,0.000284,0.005989,-0.011227,6,0.995048,0.997422,0.996589,0.554611,0.924436,0.856396,0.837136,0.025,0.112,1.0,0.0
29,-0.005001,0.001479,0.000722,0.003411,-0.008412,5,0.993125,0.998069,0.998521,0.545886,0.92442,0.856654,0.837136,0.025,0.116,1.0,0.0
