cycle,output,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,-0.000129,-3e-05,0.0,0.0,-0.000129,11,0.997454,0.99997,0.99997,0.55829,0.929279,0.857881,0.837021,0.025,0.0,1.0,0.004
2,0.013856,0.003158,-4e-06,-3e-05,0.013885,10,0.983594,0.996812,0.996842,0.558178,0.924285,0.84405,0.837139,0.025,0.0,1.0,0.008
3,0.000405,0.002526,0.000439,0.003158,-0.002754,9,0.997906,0.999368,0.997474,0.564542,0.928799,0.856771,0.837035,0.025,0.0,1.0,0.012
4,0.001794,0.002358,0.000731,0.002526,-0.000733,8,0.995508,0.999832,0.997642,0.551824,0.927413,0.857552,0.837071,0.025,0.0,1.0,0.016
5,0.004266,0.002796,0.000959,0.002358,0.001908,7,0.994901,0.999562,0.997204,0.552498,0.927048,0.856776,0.83708,0.025,0.0,1.0,0.02
6,0.005396,0.003393,0.001216,0.002796,0.0026,6,0.997866,0.999403,0.996607,0.548577,0.926047,0.860721,0.837103,0.025,0.0,1.0,0.024
7,0.003085,0.003322,0.001521,0.003393,-0.000308,5,0.998437,0.999929,0.996678,0.559109,0.928435,0.85866,0.837044,0.025,0.0,1.0,0.028
8,-0.002606,0.001961,0.001773,0.003322,-0.005929,4,0.992623,0.998639,0.998039,0.559198,0.927155,0.852824,0.837077,0.025,0.0,1.0,0.032
9,-0.018206,-0.002669,0.001799,0.001961,-0.020167,3,0.975975,0.99537,0.997331,0.557587,0.922455,0.836579,0.837169,0.025,0.0,1.0,0.036
10,-0.020308,-0.006719,0.001174,-0.002669,-0.017639,2,0.97606,0.99595,0.993281,0.562322,0.922832,0.83548,0.837164,0.025,0.0,1.0,0.04
11,-0.033009,-0.012755,6.9e-05,-0.006719,-0.02629,1,0.969791,0.993964,0.987245,0.579701,0.921344,0.824866,0.837185,0.025,0.0,1.0,0.044
12,0.015951,-0.006165,-0.001727,-0.012755,0.028706,11,0.975304,0.993409,0.993835,0.569261,0.920799,0.832989,0.837191,0.025,0.0,1.0,0.048
13,0.004735,-0.003662,-0.002348,-0.006165,0.010899,10,0.99267,0.997498,0.996338,0.563278,0.925851,0.851851,0.837107,0.025,0.0,1.0,0.052
14,0.027992,0.003606,-0.002532,-0.003662,0.031654,9,0.968544,0.992732,0.996394,0.556597,0.918611,0.829395,0.837212,0.025,0.0,1.0,0.056
15,0.009225,0.004896,-0.001673,0.003606,0.00562,8,0.98961,0.99871,0.995104,0.548008,0.924635,0.852608,0.837132,0.025,0.0,1.0,0.06
16,-0.019559,-0.000719,-0.000753,0.004896,-0.024454,7,0.983369,0.994385,0.999281,0.536889,0.918412,0.849147,0.837213,0.025,0.0,1.0,0.064
17,0.001508,-0.000207,-0.000748,-0.000719,0.002227,6,0.998645,0.999489,0.999793,0.538625,0.925458,0.863989,0.837116,0.025,0.0,1.0,0.068
