cycle,output,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,-0.001255,-0.000288,0.0,0.0,-0.001255,11,0.999243,0.999712,0.999712,0.557382,0.928726,0.859898,0.837037,0.02,0.0,1.0,0.0
2,0.008933,0.001829,-4e-05,-0.000288,0.009221,10,0.988858,0.997883,0.998171,0.556889,0.925842,0.849635,0.837107,0.02,0.0,1.0,0.0
3,-0.001922,0.000968,0.000221,0.001829,-0.003751,9,0.996172,0.999139,0.999032,0.56286,0.928669,0.855457,0.837038,0.02,0.0,1.0,0.0
4,0.000392,0.000836,0.000326,0.000968,-0.000576,8,0.998255,0.999868,0.999164,0.554891,0.928377,0.859532,0.837046,0.02,0.0,1.0,0.0
5,0.003643,0.00148,0.000397,0.000836,0.002807,7,0.997039,0.999356,0.99852,0.557928,0.928017,0.857557,0.837056,0.02,0.0,1.0,0.0
6,0.003968,0.002051,0.000549,0.00148,0.002488,6,0.998213,0.999429,0.997949,0.556452,0.927716,0.8591,0.837063,0.02,0.0,1.0,0.0
7,0.0012,0.001856,0.000759,0.002051,-0.000851,5,0.996885,0.999805,0.998144,0.564925,0.929615,0.855654,0.837011,0.02,0.0,1.0,0.0
8,-0.000909,0.001221,0.000913,0.001856,-0.002765,4,0.998306,0.999365,0.998779,0.562364,0.928812,0.857715,0.837034,0.02,0.0,1.0,0.0
9,-0.009404,-0.001218,0.000956,0.001221,-0.010625,3,0.987676,0.997561,0.998782,0.556709,0.925565,0.848499,0.837113,0.02,0.0,1.0,0.0
10,-0.006186,-0.002359,0.000651,-0.001218,-0.004968,2,0.990793,0.998859,0.997641,0.55542,0.926726,0.851938,0.837087,0.02,0.0,1.0,0.0
11,-0.012782,-0.004752,0.00023,-0.002359,-0.010423,1,0.989205,0.997607,0.995248,0.565039,0.925969,0.847946,0.837105,0.02,0.0,1.0,0.0
12,0.000317,-0.003588,-0.000467,-0.004752,0.005069,11,0.996723,0.998836,0.996412,0.555531,0.926369,0.85784,0.837096,0.02,0.0,1.0,0.0
13,-0.008732,-0.004769,-0.000904,-0.003588,-0.005143,10,0.992692,0.998819,0.995231,0.553781,0.925736,0.854247,0.83711,0.02,0.0,1.0,0.0
14,0.013509,-0.000573,-0.001445,-0.004769,0.018278,9,0.984948,0.995803,0.999427,0.555247,0.923231,0.846137,0.837157,0.02,0.0,1.0,0.0
15,0.003758,0.000422,-0.001323,-0.000573,0.00433,8,0.998592,0.999006,0.999578,0.556509,0.927633,0.859465,0.837065,0.02,0.0,1.0,0.0
16,-0.014813,-0.003076,-0.001079,0.000422,-0.015235,7,0.983219,0.996502,0.996924,0.554877,0.923378,0.844499,0.837155,0.02,0.0,1.0,0.0
17,0.000103,-0.002346,-0.001359,-0.003076,0.00318,6,0.998589,0.99927,0.997654,0.559906,0.92798,0.858613,0.837057,0.02,0.0,1.0,0.0
18,0.007911,9e-06,-0.001497,-0.002346,0.010258,5,0.991065,0.997645,0.999991,0.557623,0.92616,0.851659,0.8371,0.02,0.0,1.0,0.0
19,-0.001206,-0.00027,-0.001286,9e-06,-0.001215,4,0.996158,0.999721,0.99973,0.557646,0.928786,0.856746,0.837035,0.02,0.0,1.0,0.0
20,-0.001662,-0.00059,-0.001144,-0.00027,-0.001392,3,0.998023,0.99968,0.99941,0.554526,0.928144,0.859392,0.837052,0.02,0.0,1.0,0.0
21,-0.010703,-0.002912,-0.001066,-0.00059,-0.010114,2,0.989083,0.997678,0.997088,0.557549,0.925378,0.849696,0.837117,0.02,0.0,1.0,0.0
22,0.002042,-0.001774,-0.001325,-0.002912,0.004954,1,0.997929,0.998863,0.998226,0.55698,0.927143,0.858684,0.837078,0.02,0.0,1.0,0.0
23,0.006423,0.000108,-0.001388,-0.001774,0.008197,11,0.992068,0.998118,0.999892,0.564897,0.92791,0.850843,0.837058,0.02,0.0,1.0,0.0
24,0.001504,0.000428,-0.001178,0.000108,0.001396,10,0.999109,0.99968,0.999572,0.558418,0.928811,0.859504,0.837034,0.02,0.0,1.0,0.0
25,-0.004382,-0.000676,-0.000953,0.000428,-0.00481,9,0.99049,0.998896,0.999324,0.560928,0.928126,0.850258,0.837053,0.02,0.0,1.0,0.0
26,0.011782,0.002184,-0.000914,-0.000676,0.012458,8,0.990593,0.99714,0.997816,0.558361,0.925013,0.851003,0.837125,0.02,0.0,1.0,0.0
27,0.014837,0.005089,-0.000481,0.002184,0.012653,7,0.984339,0.997095,0.994911,0.561075,0.924576,0.84407,0.837133,0.02,0.0,1.0,0.0
28,-0.003974,0.003008,0.000299,0.005089,-0.009063,6,0.995981,0.997919,0.996992,0.557419,0.925643,0.856626,0.837112,0.02,0.0,1.0,0.0
29,-0.002913,0.001649,0.000678,0.003008,-0.005922,5,0.994459,0.99864,0.998351,0.549561,0.925703,0.857068,0.83711,0.02,0.0,1.0,0.0
30,0.021311,0.006163,0.000814,0.001649,0.019663,4,0.980649,0.995485,0.993837,0.563233,0.922531,0.83984,0.837168,0.02,0.0,1.0,0.0
31,0.013503,0.007848,0.001563,0.006163,0.00734,3,0.986903,0.998315,0.992152,0.559971,0.92521,0.84691,0.837121,0.02,0.0,1.0,0.0
32,0.006932,0.007638,0.002443,0.007848,-0.000917,2,0.994163,0.999789,0.992362,0.556541,0.926635,0.855028,0.83709,0.02,0.0,1.0,0.0
33,0.00221,0.006392,0.00317,0.007638,-0.005428,1,0.998195,0.998754,0.993608,0.562412,0.926579,0.857592,0.837091,0.02,0.0,1.0,0.0
34,-0.003558,0.004107,0.003621,0.006392,-0.00995,11,0.993925,0.997715,0.995893,0.558475,0.92524,0.854306,0.83712,0.02,0.0,1.0,0.0
35,0.000119,0.003192,0.003689,0.004107,-0.003988,10,0.999145,0.999084,0.996808,0.557189,0.927068,0.859847,0.837079,0.02,0.0,1.0,0.0
36,0.001764,0.002864,0.00362,0.003192,-0.001427,9,0.998073,0.999672,0.997136,0.552429,0.927161,0.859965,0.837077,0.02,0.0,1.0,0.0
37,-0.010635,-0.000236,0.003514,0.002864,-0.013499,8,0.98857,0.996901,0.999764,0.558573,0.925282,0.848926,0.837119,0.02,0.0,1.0,0.0
38,-0.007391,-0.001878,0.002989,-0.000236,-0.007156,7,0.991711,0.998357,0.998122,0.56385,0.927557,0.850749,0.837067,0.02,0.0,1.0,0.0
39,-0.001334,-0.001753,0.002308,-0.001878,0.000545,6,0.99912,0.999875,0.998247,0.555418,0.928213,0.860265,0.83705,0.02,0.0,1.0,0.0
40,-0.001335,-0.001657,0.001739,-0.001753,0.000418,5,0.995036,0.999904,0.998343,0.556821,0.928503,0.855831,0.837043,0.02,0.0,1.0,0.0
41,-0.008282,-0.003178,0.001263,-0.001657,-0.006624,4,0.989799,0.998479,0.996822,0.557133,0.926277,0.850515,0.837098,0.02,0.0,1.0,0.0
42,0.003822,-0.001571,0.000642,-0.003178,0.007,3,0.993214,0.998393,0.998429,0.557128,0.926614,0.853932,0.83709,0.02,0.0,1.0,0.0
43,-0.006259,-0.002648,0.000332,-0.001571,-0.004688,2,0.995856,0.998924,0.997352,0.551092,0.926036,0.858083,0.837103,0.02,0.0,1.0,0.0
44,-0.006361,-0.0035,-8.5e-05,-0.002648,-0.003713,1,0.996406,0.999147,0.9965,0.556992,0.927032,0.857158,0.83708,0.02,0.0,1.0,0.0
45,-0.00344,-0.003486,-0.000563,-0.0035,6e-05,11,0.997314,0.999986,0.996514,0.561187,0.928796,0.857018,0.837035,0.02,0.0,1.0,0.0
46,-0.008403,-0.004615,-0.000973,-0.003486,-0.004917,10,0.99565,0.998871,0.995385,0.560496,0.926922,0.855526,0.837083,0.02,0.0,1.0,0.0
47,-0.006473,-0.005042,-0.001482,-0.004615,-0.001858,9,0.995487,0.999573,0.994958,0.559408,0.92754,0.855635,0.837068,0.02,0.0,1.0,0.0
48,0.002902,-0.003218,-0.001981,-0.005042,0.007943,8,0.99144,0.998176,0.996782,0.555152,0.925556,0.852652,0.837114,0.02,0.0,1.0,0.0
49,0.001317,-0.002177,-0.002154,-0.003218,0.004535,7,0.997814,0.998959,0.997823,0.558406,0.927384,0.858212,0.837072,0.02,0.0,1.0,0.0
50,-0.010286,-0.004039,-0.002157,-0.002177,-0.008109,6,0.992245,0.998138,0.995961,0.558284,0.925777,0.852674,0.837109,0.02,0.0,1.0,0.0
51,-0.004135,-0.004061,-0.002421,-0.004039,-9.6e-05,5,0.998602,0.999978,0.995939,0.555296,0.927682,0.859778,0.837064,0.02,0.0,1.0,0.0
52,-0.003044,-0.003827,-0.00265,-0.004061,0.001017,4,0.999143,0.999766,0.996173,0.556701,0.927697,0.859968,0.837064,0.02,0.0,1.0,0.0
53,-6.4e-05,-0.002963,-0.002815,-0.003827,0.003763,3,0.996955,0.999136,0.997037,0.563681,0.928238,0.856035,0.83705,0.02,0.0,1.0,0.0
54,0.012295,0.00054,-0.002836,-0.002963,0.015258,2,0.985063,0.996497,0.99946,0.560414,0.924967,0.84496,0.837126,0.02,0.0,1.0,0.0
55,-0.000606,0.000277,-0.002363,0.00054,-0.001146,1,0.997748,0.999737,0.999723,0.556555,0.92863,0.85861,0.837039,0.02,0.0,1.0,0.0
56,-0.006299,-0.001233,-0.001993,0.000277,-0.006576,11,0.99356,0.99849,0.998767,0.548871,0.925514,0.856342,0.837114,0.02,0.0,1.0,0.0
57,0.003431,-0.000162,-0.001887,-0.001233,0.004664,10,0.998501,0.998929,0.999838,0.563183,0.928674,0.857705,0.837038,0.02,0.0,1.0,0.0
58,-0.00162,-0.000497,-0.001646,-0.000162,-0.001458,9,0.999698,0.999665,0.999503,0.556075,0.928398,0.860679,0.837045,0.02,0.0,1.0,0.0
59,0.015174,0.003101,-0.001485,-0.000497,0.01567,8,0.986187,0.996402,0.996899,0.55218,0.92281,0.848142,0.837164,0.02,0.0,1.0,0.0
60,0.006544,0.003892,-0.000843,0.003101,0.003443,7,0.991996,0.99921,0.996108,0.553343,0.926419,0.85366,0.837095,0.02,0.0,1.0,0.0
61,-0.004528,0.001958,-0.00018,0.003892,-0.00842,6,0.992886,0.998067,0.998042,0.553554,0.925511,0.854497,0.837115,0.02,0.0,1.0,0.0
62,0.009627,0.003719,0.000119,0.001958,0.007669,5,0.990648,0.998239,0.996281,0.562199,0.926625,0.850098,0.83709,0.02,0.0,1.0,0.0
63,-0.016037,-0.000817,0.000623,0.003719,-0.019757,4,0.983041,0.995464,0.999183,0.560898,0.923626,0.842817,0.837151,0.02,0.0,1.0,0.0
64,-0.007918,-0.002447,0.000422,-0.000817,-0.007101,3,0.99529,0.99837,0.997553,0.547482,0.924795,0.858419,0.837129,0.02,0.0,1.0,0.0
65,0.003106,-0.001172,2e-05,-0.002447,0.005554,2,0.999402,0.998725,0.998828,0.556868,0.927115,0.860185,0.837078,0.02,0.0,1.0,0.0
66,-0.017046,-0.004817,-0.000147,-0.001172,-0.015874,1,0.984445,0.996355,0.995183,0.556737,0.922998,0.845261,0.837161,0.02,0.0,1.0,0.0
67,-0.001646,-0.004089,-0.000801,-0.004817,0.003171,11,0.997792,0.999272,0.995911,0.564207,0.928183,0.85674,0.837051,0.02,0.0,1.0,0.0
68,0.006008,-0.001771,-0.001261,-0.004089,0.010097,10,0.991772,0.997682,0.998229,0.555831,0.925428,0.852814,0.837116,0.02,0.0,1.0,0.0
69,0.010222,0.000983,-0.001332,-0.001771,0.011992,9,0.988369,0.997247,0.999017,0.560243,0.925789,0.848308,0.837109,0.02,0.0,1.0,0.0
70,0.006155,0.00217,-0.001008,0.000983,0.005172,8,0.991598,0.998813,0.99783,0.554271,0.926534,0.85303,0.837092,0.02,0.0,1.0,0.0
71,0.001759,0.002076,-0.000563,0.00217,-0.000411,7,0.998238,0.999906,0.997924,0.551315,0.927507,0.860409,0.837069,0.02,0.0,1.0,0.0
72,-0.007636,-0.000154,-0.000194,0.002076,-0.009712,6,0.990835,0.99777,0.999846,0.559035,0.926508,0.851076,0.837093,0.02,0.0,1.0,0.0
73,0.010404,0.00227,-0.000188,-0.000154,0.010558,5,0.993949,0.997576,0.99773,0.551906,0.924522,0.855973,0.837134,0.02,0.0,1.0,0.0
74,-0.016499,-0.002039,0.000156,0.00227,-0.018769,4,0.980807,0.995691,0.997961,0.562549,0.923843,0.840169,0.837147,0.02,0.0,1.0,0.0
75,0.000611,-0.001431,-0.000151,-0.002039,0.00265,3,0.995552,0.999391,0.998569,0.56219,0.92876,0.855004,0.837036,0.02,0.0,1.0,0.0
76,-0.010901,-0.003605,-0.00033,-0.001431,-0.00947,2,0.987409,0.997826,0.996395,0.548312,0.923898,0.850332,0.837146,0.02,0.0,1.0,0.0
77,0.002182,-0.002276,-0.000789,-0.003605,0.005787,1,0.994909,0.998671,0.997724,0.553523,0.926201,0.856528,0.8371,0.02,0.0,1.0,0.0
78,-0.009399,-0.003912,-0.000997,-0.002276,-0.007123,11,0.990188,0.998365,0.996088,0.555049,0.92559,0.851426,0.837113,0.02,0.0,1.0,0.0
79,-0.009794,-0.005262,-0.001405,-0.003912,-0.005882,10,0.99232,0.998649,0.994738,0.562792,0.92682,0.851622,0.837085,0.02,0.0,1.0,0.0
80,-0.01317,-0.007078,-0.001945,-0.005262,-0.007908,9,0.991332,0.998184,0.992922,0.556359,0.924679,0.852242,0.837131,0.02,0.0,1.0,0.0
81,-0.005746,-0.006772,-0.002664,-0.007078,0.001332,8,0.998565,0.999694,0.993228,0.566162,0.928293,0.857024,0.837048,0.02,0.0,1.0,0.0
82,-0.008456,-0.007159,-0.003239,-0.006772,-0.001684,7,0.995609,0.999613,0.992841,0.561695,0.927365,0.855186,0.837072,0.02,0.0,1.0,0.0
83,-0.006467,-0.007,-0.003788,-0.007159,0.000692,6,0.998849,0.999841,0.993,0.553607,0.926411,0.860447,0.837095,0.02,0.0,1.0,0.0
84,-0.0035,-0.006196,-0.004237,-0.007,0.0035,5,0.998412,0.999197,0.993804,0.561129,0.927002,0.85813,0.837081,0.02,0.0,1.0,0.0
85,-0.008252,-0.006668,-0.004512,-0.006196,-0.002056,4,0.998074,0.999528,0.993332,0.564559,0.92785,0.856935,0.83706,0.02,0.0,1.0,0.0
86,-0.000571,-0.005268,-0.004814,-0.006668,0.006097,3,0.993376,0.9986,0.994732,0.561882,0.926608,0.852906,0.83709,0.02,0.0,1.0,0.0
87,0.004499,-0.003026,-0.004877,-0.005268,0.009768,2,0.996026,0.997757,0.996974,0.556652,0.925306,0.856863,0.837119,0.02,0.0,1.0,0.0
