cycle,output,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,-0.001617,-0.000371,0.0,0.0,-0.001617,11,0.999054,0.999629,0.999629,0.557083,0.928548,0.859783,0.837041,0.025,0.0,1.01,0.0
2,0.011145,0.002262,-5.2e-05,-0.000371,0.011515,10,0.98607,0.997368,0.997738,0.55657,0.92499,0.846927,0.837125,0.025,0.0,1.02,0.0
3,-0.002388,0.001201,0.000272,0.002262,-0.00465,9,0.99522,0.998939,0.998799,0.564012,0.928522,0.854217,0.837042,0.025,0.0,1.03,0.0
4,0.000472,0.001035,0.000402,0.001201,-0.000729,8,0.997818,0.999834,0.998965,0.554064,0.928144,0.859302,0.837052,0.025,0.0,1.04,0.0
5,0.004534,0.00183,0.000491,0.001035,0.003499,7,0.996297,0.999205,0.99817,0.557863,0.927706,0.856831,0.837064,0.025,0.0,1.05,0.0
6,0.004965,0.00254,0.000678,0.00183,0.003136,6,0.997762,0.99929,0.99746,0.556013,0.927319,0.858759,0.837073,0.025,0.0,1.06,0.0
7,0.001488,0.002303,0.000939,0.00254,-0.001052,5,0.996103,0.999762,0.997697,0.566595,0.929698,0.854454,0.837009,0.025,0.0,1.07,0.0
8,-0.00115,0.001524,0.00113,0.002303,-0.003452,4,0.997884,0.999221,0.998476,0.563419,0.928696,0.857029,0.837037,0.025,0.0,1.08,0.0
9,-0.011742,-0.001462,0.001185,0.001524,-0.013265,3,0.984594,0.997014,0.998538,0.556292,0.924664,0.845521,0.837132,0.025,0.0,1.09,0.0
10,-0.007651,-0.002852,0.000814,-0.001462,-0.006189,2,0.988475,0.99861,0.997148,0.554682,0.926117,0.849805,0.837101,0.025,0.0,1.1,0.0
11,-0.015959,-0.005788,0.000301,-0.002852,-0.013108,1,0.986487,0.997063,0.994212,0.566721,0.925172,0.844807,0.837122,0.025,0.0,1.11,0.0
12,0.000436,-0.004397,-0.000551,-0.005788,0.006225,11,0.995933,0.998608,0.995603,0.554867,0.925705,0.857216,0.83711,0.025,0.0,1.12,0.0
13,-0.010856,-0.005838,-0.00109,-0.004397,-0.00646,10,0.990856,0.998559,0.994162,0.552683,0.924884,0.852686,0.837127,0.025,0.0,1.13,0.0
14,0.016897,-0.000778,-0.001754,-0.005838,0.022735,9,0.981206,0.994941,0.999222,0.554515,0.921783,0.842578,0.837179,0.025,0.0,1.14,0.0
15,0.004721,0.000443,-0.001618,-0.000778,0.005499,8,0.998211,0.998779,0.999557,0.556084,0.927224,0.85919,0.837076,0.025,0.0,1.15,0.0
16,-0.018493,-0.003752,-0.001329,0.000443,-0.018936,7,0.979043,0.995805,0.996248,0.554051,0.922005,0.84053,0.837176,0.025,0.0,1.16,0.0
17,0.000143,-0.002891,-0.001668,-0.003752,0.003895,6,0.998264,0.999139,0.997109,0.56036,0.927698,0.858174,0.837064,0.025,0.0,1.17,0.0
18,0.009918,-6.7e-05,-0.00184,-0.002891,0.012809,5,0.988832,0.997175,0.999933,0.55746,0.925397,0.849467,0.837117,0.025,0.0,1.18,0.0
19,-0.001523,-0.000387,-0.001591,-6.7e-05,-0.001456,4,0.995222,0.99968,0.999613,0.557515,0.928665,0.855844,0.837038,0.025,0.0,1.19,0.0
20,-0.002111,-0.000765,-0.001423,-0.000387,-0.001724,3,0.997537,0.999622,0.999235,0.55363,0.927858,0.85913,0.83706,0.025,0.0,1.2,0.0
21,-0.013365,-0.003525,-0.001331,-0.000765,-0.012599,2,0.986358,0.997241,0.996475,0.557396,0.924486,0.847009,0.837135,0.025,0.0,1.21,0.0
22,0.002622,-0.002182,-0.001638,-0.003525,0.006147,1,0.997442,0.998657,0.997818,0.55667,0.926647,0.858274,0.837089,0.025,0.0,1.22,0.0
23,0.008026,4.4e-05,-0.001714,-0.002182,0.010207,11,0.990084,0.997775,0.999956,0.566546,0.927633,0.848447,0.837065,0.025,0.0,1.23,0.0
24,0.001848,0.000436,-0.001468,4.4e-05,0.001804,10,0.998859,0.999608,0.999564,0.558448,0.928699,0.859247,0.837037,0.025,0.0,1.24,0.0
