cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,noise,contradiction,pressure,drift
1,-0.00258,0.943229,0.836428,0.803875,0.000302,0.005532,0.001097,0.021,0.003,1.006,0.0025
2,-0.000581,0.944469,0.836357,0.81192,0.000132,0.009826,0.000537,0.022,0.006,1.012,0.005
3,0.001286,0.944954,0.836328,0.808364,0.000192,0.003178,7.1e-05,0.023,0.009,1.018,0.0075
4,0.002784,0.94415,0.836375,0.800683,0.000449,0.016458,6e-06,0.024,0.012,1.024,0.01
5,0.002127,0.943759,0.836398,0.807522,0.000367,0.009287,6.4e-05,0.025,0.015,1.03,0.0125
6,0.000655,0.944145,0.836376,0.809955,0.000263,0.006724,0.000168,0.026,0.018,1.036,0.015
7,0.000898,0.944058,0.836381,0.808975,0.000258,0.017443,0.000205,0.027,0.021,1.042,0.0175
8,-0.002973,0.941029,0.836548,0.798075,0.000151,0.014393,0.000555,0.028,0.024,1.048,0.02
9,-0.005223,0.942473,0.83647,0.799224,9e-05,0.01169,0.000912,0.029,0.027,1.054,0.0225
10,-0.007406,0.941342,0.836531,0.794983,3.2e-05,0.019316,0.001185,0.03,0.03,1.06,0.025
11,-0.01253,0.937425,0.836722,0.786555,0.000272,0.028614,0.00133,0.031,0.033,1.066,0.0275
12,-0.007102,0.939661,0.836617,0.789482,0.000473,0.023782,0.00147,0.032,0.036,1.072,0.03
13,-0.001591,0.940069,0.836597,0.786286,0.000552,0.027175,0.001562,0.033,0.039,1.078,0.0325
14,0.00067,0.944777,0.836338,0.808761,0.00052,0.001535,0.001423,0.034,0.042,1.084,0.035
15,-0.000278,0.944486,0.836356,0.813966,0.000516,0.007862,0.001476,0.035,0.045,1.09,0.0375
16,-0.004552,0.937114,0.836736,0.795994,0.000659,0.029566,0.001266,0.036,0.048,1.096,0.04
17,-0.005707,0.940895,0.836554,0.801119,0.000798,0.022548,0.000926,0.037,0.051,1.102,0.0425
18,-0.007865,0.941253,0.836536,0.800442,0.000985,0.010355,0.000835,0.038,0.054,1.108,0.045
19,-0.008677,0.941527,0.836521,0.80348,0.001201,0.013437,0.000771,0.039,0.057,1.114,0.0475
20,-0.007189,0.941449,0.836525,0.816009,0.001388,0.00301,0.000673,0.04,0.06,1.12,0.05
21,0.004701,0.918351,0.837214,0.778507,0.001468,0.198719,0.001767,0.041,0.063,1.126,0.0525
22,-0.000842,0.94044,0.836578,0.790499,0.001634,0.023666,0.003512,0.042,0.066,1.132,0.055
23,0.006972,0.937734,0.836708,0.779651,0.001694,0.018299,0.005053,0.043,0.069,1.138,0.0575
24,0.006099,0.922852,0.837163,0.734216,0.001483,0.237188,0.00399,0.044,0.072,1.144,0.06
25,0.006235,0.942877,0.836448,0.798128,0.001383,0.022678,0.003006,0.045,0.075,1.15,0.0625
26,0.004655,0.941646,0.836515,0.809163,0.001406,0.003249,0.002527,0.046,0.078,1.156,0.065
27,0.002039,0.942123,0.836489,0.812222,0.001368,0.002523,0.002099,0.047,0.081,1.162,0.0675
28,0.001246,0.941696,0.836512,0.796283,0.000338,0.018702,0.00166,0.048,0.084,1.168,0.07
29,0.005788,0.937291,0.836728,0.800881,0.000723,0.023837,0.001101,0.049,0.087,1.174,0.0725
30,0.005626,0.943989,0.836385,0.814779,0.001673,0.00239,0.000612,0.05,0.09,1.18,0.075
31,-0.003422,0.935619,0.8368,0.786389,0.002314,0.02479,0.000189,0.051,0.093,1.186,0.0775
32,-0.012307,0.934931,0.836828,0.763944,0.002885,0.044761,0.000185,0.052,0.096,1.192,0.08
33,-0.00318,0.921873,0.837178,0.775818,0.002467,0.197146,0.001769,0.053,0.099,1.198,0.0825
34,-0.004568,0.946586,0.836227,0.792938,0.002025,0.031087,0.002714,0.054,0.102,1.204,0.085
35,0.00489,0.933808,0.836871,0.762207,0.001777,0.059308,0.003084,0.055,0.105,1.21,0.0875
36,0.006841,0.940277,0.836586,0.804062,0.001564,0.014676,0.003229,0.056,0.108,1.216,0.09
37,0.009973,0.937562,0.836716,0.776458,0.001363,0.053713,0.002855,0.057,0.111,1.222,0.0925
38,0.008845,0.937088,0.836737,0.80588,0.001197,0.047549,0.003549,0.058,0.114,1.228,0.095
39,0.010196,0.93936,0.836632,0.812176,0.000968,0.008498,0.004346,0.059,0.117,1.234,0.0975
40,0.011396,0.939238,0.836638,0.81689,0.000838,0.001507,0.004743,0.06,0.12,1.24,0.1
41,0.015906,0.935146,0.836819,0.79926,0.001163,0.033336,0.0045,0.061,0.123,1.246,0.1025
42,0.010279,0.935616,0.8368,0.78975,0.001602,0.033732,0.004494,0.062,0.126,1.252,0.105
43,0.014112,0.922009,0.837176,0.737214,0.002101,0.234495,0.006658,0.063,0.129,1.258,0.1075
44,0.01031,0.940231,0.836588,0.791844,0.001465,0.034827,0.008552,0.064,0.132,1.264,0.11
45,0.016967,0.936364,0.836769,0.766296,0.001678,0.049633,0.009438,0.065,0.135,1.27,0.1125
