cycle,observed_self,observed_stability,observed_rigidity,observed_adaptive,deviation,observer_trust,alert
1,-0.00258,0.943229,0.803875,0.836428,0.00258,0.777946,False
2,-0.000581,0.944469,0.81192,0.836357,0.000581,0.777153,False
3,0.001286,0.944954,0.808364,0.836328,0.001286,0.777886,False
4,0.002784,0.94415,0.800683,0.836375,0.002784,0.778853,False
5,0.002127,0.943759,0.807522,0.836398,0.002127,0.777485,False
6,0.000655,0.944145,0.809955,0.836376,0.000655,0.777423,False
7,0.000898,0.944058,0.808975,0.836381,0.000898,0.777541,False
8,-0.002973,0.941029,0.798075,0.836548,0.002973,0.778288,False
9,-0.005223,0.942473,0.799224,0.83647,0.005223,0.778094,False
10,-0.007406,0.941342,0.794983,0.836531,0.007406,0.778125,False
11,-0.01253,0.937425,0.786555,0.836722,0.01253,0.777462,False
12,-0.007102,0.939661,0.789482,0.836617,0.007102,0.778719,False
13,-0.001591,0.940069,0.786286,0.836597,0.001591,0.780598,False
14,0.00067,0.944777,0.808761,0.836338,0.00067,0.77787,False
15,-0.000278,0.944486,0.813966,0.836356,0.000278,0.77681,False
16,-0.004552,0.937114,0.795994,0.836736,0.004552,0.777065,False
17,-0.005707,0.940895,0.801119,0.836554,0.005707,0.777087,False
18,-0.007865,0.941253,0.800442,0.836536,0.007865,0.776911,False
19,-0.008677,0.941527,0.80348,0.836521,0.008677,0.776233,False
20,-0.007189,0.941449,0.816009,0.836525,0.007189,0.773999,False
21,0.004701,0.918351,0.778507,0.837214,0.004701,0.774085,False
22,-0.000842,0.94044,0.790499,0.836578,0.000842,0.78003,False
23,0.006972,0.937734,0.779651,0.836708,0.006972,0.780059,False
24,0.006099,0.922852,0.734216,0.837163,0.006099,0.784226,False
25,0.006235,0.942877,0.798128,0.836448,0.006235,0.778246,False
26,0.004655,0.941646,0.809163,0.836515,0.004655,0.775941,False
27,0.002039,0.942123,0.812222,0.836489,0.002039,0.776013,False
28,0.001246,0.941696,0.796283,0.836512,0.001246,0.779216,False
29,0.005788,0.937291,0.800881,0.836728,0.005788,0.7759,False
30,0.005626,0.943989,0.814779,0.836385,0.005626,0.775411,False
31,-0.003422,0.935619,0.786389,0.8368,0.003422,0.778704,False
32,-0.012307,0.934931,0.763944,0.836828,0.012307,0.781183,False
33,-0.00318,0.921873,0.775818,0.837178,0.00318,0.77615,False
34,-0.004568,0.946586,0.792938,0.836227,0.004568,0.780861,False
35,0.00489,0.933808,0.762207,0.836871,0.00489,0.782631,False
36,0.006841,0.940277,0.804062,0.836586,0.006841,0.776063,False
37,0.009973,0.937562,0.776458,0.836716,0.009973,0.780039,False
38,0.008845,0.937088,0.80588,0.836737,0.008845,0.77422,False
39,0.010196,0.93936,0.812176,0.836632,0.010196,0.77346,False
40,0.011396,0.939238,0.81689,0.836638,0.011396,0.772236,False
41,0.015906,0.935146,0.79926,0.836819,0.015906,0.773473,False
42,0.010279,0.935616,0.78975,0.8368,0.010279,0.77666,False
43,0.014112,0.922009,0.737214,0.837176,0.014112,0.781732,False
44,0.01031,0.940231,0.791844,0.836588,0.01031,0.777797,False
45,0.016967,0.936364,0.766296,0.836769,0.016967,0.780267,False
46,0.020793,0.93639,0.771679,0.836767,0.020793,0.778434,False
47,0.019117,0.937527,0.800951,0.836718,0.019117,0.7733,False
48,0.019658,0.933968,0.795082,0.836865,0.019658,0.773157,False
49,0.027324,0.909157,0.785285,0.837191,0.027324,0.764981,False
50,0.0243,0.932768,0.814658,0.836909,0.0243,0.767904,False
51,0.018865,0.931518,0.814238,0.836952,0.018865,0.768649,False
52,0.017338,0.933468,0.812425,0.836884,0.017338,0.769982,False
53,0.014498,0.931551,0.787927,0.836951,0.014498,0.774796,False
54,0.005702,0.933146,0.756793,0.836896,0.005702,0.783326,False
55,-0.008299,0.929508,0.736372,0.837015,0.008299,0.785647,False
56,-0.00061,0.934216,0.768898,0.836856,0.00061,0.782288,False
57,0.010578,0.935424,0.765275,0.836808,0.010578,0.78143,False
58,0.016256,0.930737,0.77797,0.836977,0.016256,0.776157,False
59,0.001458,0.923267,0.738215,0.837157,0.001458,0.784498,False
60,0.003207,0.936521,0.7892,0.836762,0.003207,0.778491,False
61,0.011684,0.907159,0.788685,0.837164,0.011684,0.766723,False
62,-0.002824,0.906314,0.78648,0.83715,0.002824,0.768637,False
63,-0.006597,0.936979,0.781247,0.836742,0.006597,0.779559,False
64,-0.0175,0.91732,0.791082,0.83722,0.0175,0.768651,False
65,-0.022066,0.933098,0.779621,0.836897,0.022066,0.775471,False
66,-0.029124,0.936832,0.75919,0.836748,0.029124,0.779415,False
67,-0.013319,0.921263,0.716634,0.837186,0.013319,0.785748,False
68,-0.003294,0.930753,0.738588,0.836977,0.003294,0.786631,False
69,0.012937,0.921824,0.747741,0.837178,0.012937,0.779797,False
70,-0.002049,0.912757,0.79658,0.83722,0.002049,0.769044,False
71,0.008675,0.918703,0.743101,0.837211,0.008675,0.780494,False
72,0.003493,0.931725,0.800942,0.836945,0.003493,0.774453,False
73,0.013917,0.924358,0.795893,0.837137,0.013917,0.770848,False
