cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,noise,contradiction,pressure,drift
1,-0.003274,0.942066,0.836492,0.800971,0.000417,0.007896,0.001287,0.025,0.004,1.0,0.0
2,-0.001227,0.943841,0.836393,0.810185,0.000275,0.013666,0.000594,0.025,0.008,1.0,0.0
3,0.000594,0.94526,0.836309,0.809743,6.5e-05,0.00166,4.9e-05,0.025,0.012,1.0,0.0
4,0.002049,0.944475,0.836356,0.801205,0.000377,0.017144,2.4e-05,0.025,0.016,1.0,0.0
5,0.001608,0.944464,0.836357,0.80767,0.000407,0.009287,4.3e-05,0.025,0.02,1.0,0.0
6,0.000243,0.94493,0.836329,0.809294,0.000384,0.006466,1.2e-05,0.025,0.024,1.0,0.0
7,0.000409,0.944906,0.836331,0.807411,0.000365,0.016151,0.000304,0.025,0.028,1.0,0.0
8,-0.002672,0.942293,0.83648,0.801799,0.000216,0.012851,0.000502,0.025,0.032,1.0,0.0
9,-0.00392,0.944135,0.836376,0.805842,0.000108,0.00581,0.000731,0.025,0.036,1.0,0.0
10,-0.004831,0.943703,0.836401,0.805553,2.7e-05,0.00693,0.000991,0.025,0.04,1.0,0.0
11,-0.007731,0.940986,0.83655,0.801569,0.000204,0.013318,0.001162,0.025,0.044,1.0,0.0
12,-0.005389,0.943098,0.836436,0.805597,0.000392,0.008267,0.001284,0.025,0.048,1.0,0.0
13,-0.00239,0.942904,0.836446,0.801829,0.000492,0.009754,0.00128,0.025,0.052,1.0,0.0
14,-0.001505,0.945146,0.836316,0.811356,0.000497,0.006791,0.00113,0.025,0.056,1.0,0.0
15,-0.002499,0.944768,0.836339,0.810222,0.000489,0.005616,0.001234,0.025,0.06,1.0,0.0
16,-0.004883,0.941146,0.836541,0.798476,0.000535,0.020532,0.001189,0.025,0.064,1.0,0.0
17,-0.005373,0.943827,0.836394,0.803743,0.000574,0.015235,0.001026,0.025,0.068,1.0,0.0
18,-0.006786,0.943744,0.836399,0.805784,0.000722,0.006813,0.000941,0.025,0.072,1.0,0.0
19,-0.006355,0.943759,0.836398,0.810917,0.000939,0.008613,0.000755,0.025,0.076,1.0,0.0
20,-0.004059,0.941873,0.836503,0.810437,0.001154,0.004596,0.000569,0.025,0.08,1.0,0.0
21,0.009924,0.916247,0.837223,0.792926,0.001269,0.176343,0.00178,0.025,0.084,1.0,0.0
22,0.007423,0.942278,0.836481,0.81257,0.001376,0.000318,0.003399,0.025,0.088,1.0,0.0
23,0.008513,0.94289,0.836447,0.808789,0.001437,0.005348,0.004756,0.025,0.092,1.0,0.0
24,-4.9e-05,0.920194,0.837198,0.772812,0.001311,0.196378,0.003631,0.025,0.096,1.0,0.0
25,-0.000283,0.945802,0.836276,0.813414,0.001237,0.000735,0.002769,0.025,0.1,1.0,0.0
26,-0.001597,0.944306,0.836366,0.815007,0.001207,0.00055,0.002054,0.025,0.104,1.0,0.0
27,-0.002083,0.945963,0.836266,0.80953,0.001069,0.001342,0.001414,0.025,0.108,1.0,0.0
28,-0.005152,0.942091,0.836491,0.803149,0.001035,0.00974,0.00088,0.025,0.112,1.0,0.0
29,-0.002031,0.942494,0.836469,0.802489,0.001005,0.012162,0.000443,0.025,0.116,1.0,0.0
30,-0.000836,0.944801,0.836337,0.808575,0.001039,0.005466,0.000131,0.025,0.12,1.0,0.0
31,-0.003563,0.943053,0.836438,0.81042,0.001199,0.002095,0.000149,0.025,0.124,1.0,0.0
32,-0.005923,0.943279,0.836425,0.804273,0.001344,0.004597,0.000495,0.025,0.128,1.0,0.0
33,-0.002262,0.942374,0.836476,0.808129,0.001377,0.000146,0.000569,0.025,0.132,1.0,0.0
34,-0.005522,0.943104,0.836435,0.803778,0.001429,0.002923,0.000786,0.025,0.136,1.0,0.0
35,-0.00251,0.942501,0.836469,0.804765,0.001397,0.009458,0.000934,0.025,0.14,1.0,0.0
36,-0.002444,0.944343,0.836364,0.812886,0.001358,0.005119,0.000988,0.025,0.144,1.0,0.0
37,-0.000585,0.944046,0.836381,0.802987,0.001309,0.016203,0.001178,0.025,0.148,1.0,0.0
38,-0.004965,0.939874,0.836606,0.806814,0.002219,0.020495,0.000947,0.025,0.152,1.0,0.0
39,-0.002861,0.943812,0.836395,0.810369,0.00303,0.003841,0.000593,0.025,0.156,1.0,0.0
40,-0.00187,0.944803,0.836337,0.812438,0.003825,0.000508,0.000288,0.025,0.16,1.0,0.0
41,-0.003055,0.94348,0.836414,0.801477,0.005376,0.014508,0.000103,0.025,0.164,1.0,0.0
42,-0.002758,0.944547,0.836352,0.814102,0.006724,0.002227,9.5e-05,0.025,0.168,1.0,0.0
43,-0.007869,0.939047,0.836647,0.808,0.008883,0.010013,0.000289,0.025,0.172,1.0,0.0
44,-0.004732,0.941035,0.836547,0.803846,0.010669,0.005302,0.000579,0.025,0.176,1.0,0.0
45,-0.001088,0.942354,0.836477,0.813147,0.011321,5.1e-05,0.00062,0.025,0.18,1.0,0.0
46,-0.001787,0.944465,0.836357,0.813603,0.011926,0.002125,0.000578,0.025,0.184,1.0,0.0
47,-0.003255,0.942486,0.83647,0.811762,0.012355,0.004543,0.000507,0.025,0.188,1.0,0.0
48,-0.003462,0.942559,0.836465,0.812597,0.01265,0.013101,0.000278,0.025,0.192,1.0,0.0
49,-0.008729,0.937549,0.836717,0.808938,0.013924,0.009631,0.000124,0.025,0.196,1.0,0.0
50,-0.007545,0.942658,0.83646,0.814178,0.014918,2.4e-05,1.3e-05,0.025,0.2,1.0,0.0
51,-0.006136,0.942251,0.836482,0.812664,0.015801,0.002709,0.000128,0.025,0.204,1.0,0.0
52,-0.000179,0.938217,0.836686,0.811586,0.015616,0.006153,5.8e-05,0.025,0.208,1.0,0.0
53,0.000282,0.942834,0.83645,0.816199,0.015468,0.004268,0.000319,0.025,0.212,1.0,0.0
54,-0.000967,0.943561,0.836409,0.812247,0.014391,3.7e-05,0.000403,0.025,0.216,1.0,0.0
55,-0.002589,0.94286,0.836449,0.808225,0.01345,0.004824,0.000345,0.025,0.22,1.0,0.0
56,-0.004044,0.941667,0.836514,0.813255,0.012676,0.001906,0.000217,0.025,0.224,1.0,0.0
57,-0.003268,0.943004,0.836441,0.812633,0.011155,0.013136,0.000403,0.025,0.228,1.0,0.0
58,-0.003148,0.943237,0.836428,0.814826,0.009818,0.002163,0.000534,0.025,0.232,1.0,0.0
59,-0.008885,0.936416,0.836766,0.785808,0.007785,0.028545,0.000544,0.025,0.236,1.0,0.0
60,-0.006721,0.941488,0.836523,0.808031,0.006009,0.00669,0.000538,0.025,0.24,1.0,0.0
61,-0.00764,0.941549,0.83652,0.812901,0.005489,0.005748,0.000519,0.025,0.244,1.0,0.0
62,-0.007247,0.943042,0.836439,0.815862,0.005039,0.000829,0.000422,0.025,0.248,1.0,0.0
63,-0.007278,0.943339,0.836422,0.812533,0.004639,0.005943,8.2e-05,0.025,0.252,1.0,0.0
64,-0.005007,0.94056,0.836572,0.806566,0.004278,0.015186,0.000321,0.025,0.256,1.0,0.0
65,-0.004381,0.942311,0.836479,0.812984,0.003076,0.006227,0.000661,0.025,0.26,1.0,0.0
66,-0.003961,0.943424,0.836417,0.810754,0.00206,0.011218,0.001079,0.025,0.264,1.0,0.0
67,-0.002871,0.942024,0.836495,0.810114,0.001173,0.01527,0.001613,0.025,0.268,1.0,0.0
68,-0.001844,0.943083,0.836436,0.809856,0.001355,0.00771,0.002008,0.025,0.272,1.0,0.0
69,0.000905,0.941686,0.836513,0.809489,0.001478,0.004209,0.002154,0.025,0.276,1.0,0.0
70,-0.000881,0.942693,0.836458,0.80872,0.001581,0.005756,0.00227,0.025,0.28,1.0,0.0
71,0.002121,0.93935,0.836632,0.798122,0.001639,0.023989,0.002434,0.025,0.284,1.0,0.0
72,0.000638,0.943142,0.836433,0.810032,0.001723,0.007502,0.002448,0.025,0.288,1.0,0.0
73,0.003246,0.941267,0.836535,0.806026,0.001752,0.004869,0.002223,0.025,0.292,1.0,0.0
74,0.006132,0.939655,0.836617,0.801149,0.001689,0.009961,0.001802,0.025,0.296,1.0,0.0
75,0.007263,0.941229,0.836537,0.809069,0.001469,0.007575,0.001403,0.025,0.3,1.0,0.0
76,0.008715,0.940168,0.836592,0.810254,0.00121,0.006889,0.001025,0.025,0.304,1.0,0.0
77,0.005151,0.939277,0.836636,0.811635,0.000975,0.007975,0.000671,0.025,0.308,1.0,0.0
78,0.004111,0.943303,0.836424,0.814615,0.00069,0.001753,0.000472,0.025,0.312,1.0,0.0
79,0.006096,0.941537,0.836521,0.810674,0.000353,0.006249,0.000298,0.025,0.316,1.0,0.0
80,0.007478,0.9408,0.836559,0.808852,1.1e-05,0.013367,0.000272,0.025,0.32,1.0,0.0
81,0.008083,0.941415,0.836527,0.816088,0.00037,0.000819,0.000126,0.025,0.324,1.0,0.0
82,0.006635,0.94024,0.836588,0.814064,0.000709,0.012879,0.000233,0.025,0.328,1.0,0.0
83,0.006404,0.942395,0.836475,0.811849,0.000988,0.01014,0.00041,0.025,0.332,1.0,0.0
84,0.00282,0.939549,0.836622,0.808369,0.001165,0.01082,0.000479,0.025,0.336,1.0,0.0
85,0.004799,0.939604,0.83662,0.811391,0.001301,0.004529,0.000362,0.025,0.34,1.0,0.0
86,0.002992,0.941247,0.836536,0.813184,0.001372,0.009585,0.000116,0.025,0.344,1.0,0.0
87,0.003606,0.941809,0.836506,0.817817,0.001451,0.000827,6e-06,0.025,0.348,1.0,0.0
88,0.001624,0.940873,0.836556,0.812461,0.001569,0.005334,6.2e-05,0.025,0.352,1.0,0.0
89,-0.000469,0.94115,0.836541,0.810458,0.00167,0.005418,7e-06,0.025,0.356,1.0,0.0
90,0.000739,0.940605,0.836569,0.811465,0.001687,0.012363,0.000122,0.025,0.36,1.0,0.0
91,-0.0019,0.939973,0.836601,0.81454,0.001579,0.003995,0.000243,0.025,0.364,1.0,0.0
92,-0.004643,0.939265,0.836636,0.813027,0.001333,0.001144,0.000581,0.025,0.368,1.0,0.0
93,-0.003876,0.940654,0.836567,0.811637,0.001153,0.011796,0.000936,0.025,0.372,1.0,0.0
94,-0.003838,0.941713,0.836511,0.818484,0.000879,0.004217,0.001034,0.025,0.376,1.0,0.0
95,-0.004025,0.940767,0.836561,0.807892,0.000557,0.018478,0.000887,0.025,0.38,1.0,0.0
96,-0.003224,0.941364,0.83653,0.815051,0.000201,0.007424,0.000865,0.025,0.384,1.0,0.0
97,-0.004131,0.940429,0.836578,0.812478,0.000173,0.011766,0.000725,0.025,0.388,1.0,0.0
98,-0.001752,0.939332,0.836633,0.809247,0.000498,0.005669,0.000423,0.025,0.392,1.0,0.0
99,-0.003607,0.939491,0.836625,0.816589,0.000876,0.005786,0.000172,0.025,0.396,1.0,0.0
100,-0.00489,0.93956,0.836622,0.813967,0.001245,0.01215,0.00016,0.025,0.4,1.0,0.0
101,-0.004881,0.94063,0.836568,0.816919,0.001665,0.007179,0.000291,0.025,0.404,1.0,0.0
102,-0.002683,0.939313,0.836634,0.812393,0.00193,0.008695,0.000359,0.025,0.408,1.0,0.0
103,-0.003627,0.940698,0.836565,0.815538,0.002326,0.007683,0.000293,0.025,0.412,1.0,0.0
104,-0.003826,0.940421,0.836579,0.814991,0.002645,0.006332,0.000208,0.025,0.416,1.0,0.0
105,0.000182,0.936991,0.836741,0.808426,0.002838,0.013414,0.000131,0.025,0.42,1.0,0.0
106,-0.001126,0.940309,0.836584,0.812595,0.003007,0.007064,2.5e-05,0.025,0.424,1.0,0.0
107,-0.001187,0.94057,0.836571,0.815886,0.003119,0.01331,0.000175,0.025,0.428,1.0,0.0
108,0.002049,0.938056,0.836693,0.805526,0.003123,0.00925,0.000483,0.025,0.432,1.0,0.0
109,0.002473,0.941116,0.836543,0.817798,0.003078,0.00036,0.00081,0.025,0.436,1.0,0.0
110,0.000399,0.938741,0.836661,0.812085,0.002961,0.01008,0.00101,0.025,0.44,1.0,0.0
111,0.001285,0.939729,0.836613,0.821981,0.002814,0.003949,0.001234,0.025,0.444,1.0,0.0
112,0.002194,0.939875,0.836606,0.821366,0.002667,0.003496,0.001482,0.025,0.448,1.0,0.0
113,0.000584,0.939537,0.836623,0.814225,0.002492,0.005537,0.001558,0.025,0.452,1.0,0.0
114,0.001962,0.93911,0.836644,0.812551,0.002297,0.014324,0.00143,0.025,0.456,1.0,0.0
115,0.002901,0.93979,0.83661,0.814757,0.002071,0.00846,0.001719,0.025,0.46,1.0,0.0
116,0.003591,0.938235,0.836685,0.812418,0.001771,0.011812,0.001899,0.025,0.464,1.0,0.0
117,0.004086,0.939043,0.836647,0.821705,0.001418,0.005714,0.002185,0.025,0.468,1.0,0.0
118,0.001329,0.938051,0.836694,0.819839,0.001218,0.007551,0.002511,0.025,0.472,1.0,0.0
119,-0.000228,0.93794,0.836699,0.818015,0.001004,0.01334,0.00293,0.025,0.476,1.0,0.0
120,-0.006737,0.931153,0.836964,0.798004,0.000966,0.020778,0.002964,0.025,0.48,1.0,0.0
121,-0.005097,0.936733,0.836753,0.823444,0.000982,0.004448,0.002986,0.025,0.484,1.0,0.0
