cycle,observed_self,observed_stability,observed_rigidity,observed_adaptive,deviation,observer_trust,alert
1,-0.003274,0.942066,0.800971,0.836492,0.003274,0.777997,False
2,-0.001227,0.943841,0.810185,0.836393,0.001227,0.77716,False
3,0.000594,0.94526,0.809743,0.836309,0.000594,0.777851,False
4,0.002049,0.944475,0.801205,0.836356,0.002049,0.779004,False
5,0.001608,0.944464,0.80767,0.836357,0.001608,0.777796,False
6,0.000243,0.94493,0.809294,0.836329,0.000243,0.7779,False
7,0.000409,0.944906,0.807411,0.836331,0.000409,0.778236,False
8,-0.002672,0.942293,0.801799,0.83648,0.002672,0.778028,False
9,-0.00392,0.944135,0.805842,0.836376,0.00392,0.777589,False
10,-0.004831,0.943703,0.805553,0.836401,0.004831,0.777319,False
11,-0.007731,0.940986,0.801569,0.83655,0.007731,0.776623,False
12,-0.005389,0.943098,0.805597,0.836436,0.005389,0.776996,False
13,-0.00239,0.942904,0.801829,0.836446,0.00239,0.778284,False
14,-0.001505,0.945146,0.811356,0.836316,0.001505,0.777308,False
15,-0.002499,0.944768,0.810222,0.836339,0.002499,0.777209,False
16,-0.004883,0.941146,0.798476,0.836541,0.004883,0.777865,False
17,-0.005373,0.943827,0.803743,0.836394,0.005373,0.777615,False
18,-0.006786,0.943744,0.805784,0.836399,0.006786,0.776896,False
19,-0.006355,0.943759,0.810917,0.836398,0.006355,0.775961,False
20,-0.004059,0.941873,0.810437,0.836503,0.004059,0.775882,False
21,0.009924,0.916247,0.792926,0.837223,0.009924,0.769422,False
22,0.007423,0.942278,0.81257,0.836481,0.007423,0.774919,False
23,0.008513,0.94289,0.808789,0.836447,0.008513,0.775663,False
24,-4.9e-05,0.920194,0.772812,0.837198,4.9e-05,0.776795,False
25,-0.000283,0.945802,0.813414,0.836276,0.000283,0.77736,False
26,-0.001597,0.944306,0.815007,0.836366,0.001597,0.776278,False
27,-0.002083,0.945963,0.80953,0.836266,0.002083,0.777831,False
28,-0.005152,0.942091,0.803149,0.836491,0.005152,0.777194,False
29,-0.002031,0.942494,0.802489,0.836469,0.002031,0.778086,False
30,-0.000836,0.944801,0.808575,0.836337,0.000836,0.777882,False
31,-0.003563,0.943053,0.81042,0.836438,0.003563,0.776381,False
32,-0.005923,0.943279,0.804273,0.836425,0.005923,0.777215,False
