cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,noise,contradiction,pressure,drift
1,-0.002997,0.942679,0.836459,0.802294,0.000337,0.006136,0.001315,0.025,0.0,1.0,0.004
2,-0.000581,0.944161,0.836375,0.811592,0.000131,0.010146,0.000725,0.025,0.0,1.0,0.008
3,0.001579,0.944567,0.836351,0.80696,0.000227,0.0043,0.000215,0.025,0.0,1.0,0.012
4,0.003206,0.943822,0.836394,0.799537,0.000485,0.017144,6.9e-05,0.025,0.0,1.0,0.016
5,0.002379,0.943333,0.836422,0.807422,0.000357,0.009287,6e-05,0.025,0.0,1.0,0.02
6,0.000925,0.943809,0.836395,0.810635,0.000222,0.006466,0.00021,0.025,0.0,1.0,0.024
7,0.001207,0.943791,0.836396,0.810745,0.000239,0.016151,0.000145,0.025,0.0,1.0,0.028
8,-0.002539,0.94121,0.836538,0.798172,0.000192,0.012851,0.000552,0.025,0.0,1.0,0.032
9,-0.004932,0.942343,0.836477,0.797345,0.000187,0.01373,0.000942,0.025,0.0,1.0,0.036
10,-0.007513,0.941006,0.836549,0.791354,0.00016,0.02453,0.001154,0.025,0.0,1.0,0.04
11,-0.01287,0.937543,0.836717,0.78231,0.000111,0.032678,0.001234,0.025,0.0,1.0,0.044
12,-0.006361,0.93905,0.836647,0.783357,0.000261,0.029387,0.001337,0.025,0.0,1.0,0.048
13,-0.000687,0.940133,0.836593,0.78312,0.000308,0.032634,0.00149,0.025,0.0,1.0,0.052
14,0.001929,0.943942,0.836387,0.803372,0.000287,0.005529,0.001422,0.025,0.0,1.0,0.056
15,0.00153,0.944626,0.836347,0.810492,0.000323,0.005616,0.001339,0.025,0.0,1.0,0.06
16,-0.00225,0.938506,0.836672,0.805462,0.00052,0.020532,0.001024,0.025,0.0,1.0,0.064
17,-0.003226,0.941364,0.83653,0.807534,0.000694,0.015235,0.000662,0.025,0.0,1.0,0.068
18,-0.00433,0.942373,0.836476,0.804189,0.000828,0.006813,0.00059,0.025,0.0,1.0,0.072
19,-0.005701,0.941887,0.836502,0.802159,0.000945,0.008613,0.000723,0.025,0.0,1.0,0.076
20,-0.006169,0.942771,0.836454,0.80388,0.001028,0.012459,0.000815,0.025,0.0,1.0,0.08
21,-0.007992,0.941692,0.836513,0.785096,0.001028,0.043318,0.000464,0.025,0.0,1.0,0.084
22,-0.013079,0.93883,0.836657,0.777171,0.001155,0.038402,0.000114,0.025,0.0,1.0,0.088
23,-0.003005,0.936233,0.836774,0.765449,0.001195,0.045642,0.000107,0.025,0.0,1.0,0.092
24,0.006976,0.931623,0.836949,0.756553,0.001068,0.068616,2.1e-05,0.025,0.0,1.0,0.096
25,0.008385,0.941885,0.836502,0.791488,0.001041,0.023151,8.8e-05,0.025,0.0,1.0,0.1
26,0.007802,0.941905,0.836501,0.804449,0.001144,0.004175,0.000344,0.025,0.0,1.0,0.104
27,0.004668,0.939609,0.836619,0.816222,0.001257,0.003853,0.000821,0.025,0.0,1.0,0.108
28,0.000312,0.938398,0.836678,0.809243,0.001486,0.005099,0.000998,0.025,0.0,1.0,0.112
29,0.003809,0.938341,0.83668,0.8164,0.001485,0.011632,0.000865,0.025,0.0,1.0,0.116
30,0.001926,0.942276,0.836481,0.805016,0.001398,0.005315,0.000305,0.025,0.0,1.0,0.12
31,-0.00526,0.936811,0.836749,0.780641,0.00135,0.031074,0.000188,0.025,0.0,1.0,0.124
32,-0.002039,0.92764,0.837065,0.741141,0.001246,0.215944,0.001346,0.025,0.0,1.0,0.128
33,-0.007905,0.939162,0.836641,0.761902,0.001219,0.05587,0.00264,0.025,0.0,1.0,0.132
34,-0.000963,0.941266,0.836535,0.759786,0.001196,0.053736,0.003313,0.025,0.0,1.0,0.136
35,0.007236,0.934718,0.836836,0.754837,0.001128,0.071276,0.003346,0.025,0.0,1.0,0.14
36,0.010131,0.93875,0.836661,0.785938,0.001119,0.029393,0.003337,0.025,0.0,1.0,0.144
37,0.011977,0.939211,0.836639,0.786823,0.001212,0.019478,0.003572,0.025,0.0,1.0,0.148
38,0.021682,0.910637,0.837206,0.794165,0.001442,0.20137,0.006526,0.025,0.0,1.0,0.152
39,0.018711,0.93393,0.836867,0.817889,0.001717,0.0021,0.008526,0.025,0.0,1.0,0.156
40,0.004436,0.909997,0.8372,0.790411,0.001732,0.192192,0.007055,0.025,0.0,1.0,0.16
41,0.005203,0.940436,0.836578,0.80497,0.001343,0.018941,0.005081,0.025,0.0,1.0,0.164
42,-0.00103,0.938046,0.836694,0.776457,0.000801,0.031815,0.003374,0.025,0.0,1.0,0.168
43,0.002239,0.926151,0.837101,0.728788,0.000176,0.236283,0.004182,0.025,0.0,1.0,0.172
44,-0.00719,0.935968,0.836785,0.745944,0.000284,0.073565,0.004988,0.025,0.0,1.0,0.176
45,0.004414,0.934556,0.836843,0.732223,0.000602,0.081817,0.005228,0.025,0.0,1.0,0.18
46,0.001725,0.927741,0.837063,0.731869,0.000868,0.229025,0.003275,0.025,0.0,1.0,0.184
47,0.006549,0.937712,0.836709,0.775703,0.001129,0.035494,0.001956,0.025,0.0,1.0,0.188
48,0.009225,0.938113,0.836691,0.792932,0.001333,0.00098,0.001775,0.025,0.0,1.0,0.192
49,0.004611,0.933888,0.836868,0.818245,0.001259,0.010655,0.002063,0.025,0.0,1.0,0.196
