cycle,observed_self,observed_stability,observed_rigidity,observed_adaptive,deviation,observer_trust,alert
1,-0.002997,0.942679,0.802294,0.836459,0.002997,0.777994,False
2,-0.000581,0.944161,0.811592,0.836375,0.000581,0.777116,False
3,0.001579,0.944567,0.80696,0.836351,0.001579,0.777978,False
4,0.003206,0.943822,0.799537,0.836394,0.003206,0.778888,False
5,0.002379,0.943333,0.807422,0.836422,0.002379,0.777312,False
6,0.000925,0.943809,0.810635,0.836395,0.000925,0.77712,False
7,0.001207,0.943791,0.810745,0.836396,0.001207,0.777035,False
8,-0.002539,0.94121,0.798172,0.836538,0.002539,0.778416,False
9,-0.004932,0.942343,0.797345,0.836477,0.004932,0.778484,False
10,-0.007513,0.941006,0.791354,0.836549,0.007513,0.778716,False
11,-0.01287,0.937543,0.78231,0.836717,0.01287,0.778283,False
12,-0.006361,0.93905,0.783357,0.836647,0.006361,0.779886,False
13,-0.000687,0.940133,0.78312,0.836593,0.000687,0.781433,False
14,0.001929,0.943942,0.803372,0.836387,0.001929,0.778416,False
15,0.00153,0.944626,0.810492,0.836347,0.00153,0.777301,False
16,-0.00225,0.938506,0.805462,0.836672,0.00225,0.776103,False
17,-0.003226,0.941364,0.807534,0.83653,0.003226,0.776458,False
18,-0.00433,0.942373,0.804189,0.836476,0.00433,0.777246,False
19,-0.005701,0.941887,0.802159,0.836502,0.005701,0.777214,False
20,-0.006169,0.942771,0.80388,0.836454,0.006169,0.777074,False
21,-0.007992,0.941692,0.785096,0.836513,0.007992,0.780103,False
22,-0.013079,0.93883,0.777171,0.836657,0.013079,0.779705,False
23,-0.003005,0.936233,0.765449,0.836774,0.003005,0.783184,False
24,0.006976,0.931623,0.756553,0.836949,0.006976,0.7826,False
25,0.008385,0.941885,0.791488,0.836502,0.008385,0.778811,False
26,0.007802,0.941905,0.804449,0.836501,0.007802,0.776342,False
27,0.004668,0.939609,0.816222,0.836619,0.004668,0.77384,False
28,0.000312,0.938398,0.809243,0.836678,0.000312,0.775698,False
29,0.003809,0.938341,0.8164,0.83668,0.003809,0.773548,False
30,0.001926,0.942276,0.805016,0.836481,0.001926,0.777528,False
31,-0.00526,0.936811,0.780641,0.836749,0.00526,0.779891,False
32,-0.002039,0.92764,0.741141,0.837065,0.002039,0.785304,False
33,-0.007905,0.939162,0.761902,0.836641,0.007905,0.783906,False
34,-0.000963,0.941266,0.759786,0.836535,0.000963,0.786427,False
35,0.007236,0.934718,0.754837,0.836836,0.007236,0.783946,False
36,0.010131,0.93875,0.785938,0.836661,0.010131,0.778514,False
37,0.011977,0.939211,0.786823,0.836639,0.011977,0.778124,False
38,0.021682,0.910637,0.794165,0.837206,0.021682,0.764855,False
39,0.018711,0.93393,0.817889,0.836867,0.018711,0.768772,False
40,0.004436,0.909997,0.790411,0.8372,0.004436,0.76883,False
41,0.005203,0.940436,0.80497,0.836578,0.005203,0.776263,False
42,-0.00103,0.938046,0.776457,0.836694,0.00103,0.781992,False
43,0.002239,0.926151,0.728788,0.837101,0.002239,0.787223,False
44,-0.00719,0.935968,0.745944,0.836785,0.00719,0.786158,False
45,0.004414,0.934556,0.732223,0.836843,0.004414,0.788978,False
46,0.001725,0.927741,0.731869,0.837063,0.001725,0.787256,False
47,0.006549,0.937712,0.775703,0.836709,0.006549,0.780926,False
48,0.009225,0.938113,0.792932,0.836691,0.009225,0.777081,False
49,0.004611,0.933888,0.818245,0.836868,0.004611,0.771507,False
50,0.004683,0.937238,0.823278,0.83673,0.004683,0.771624,False
51,0.007621,0.935616,0.812233,0.8368,0.007621,0.772695,False
52,0.004547,0.937833,0.79638,0.836704,0.004547,0.777232,False
53,0.010596,0.919587,0.750149,0.837204,0.010596,0.779007,False
54,0.000191,0.934112,0.740443,0.83686,0.000191,0.788027,False
55,-0.004198,0.927136,0.691835,0.837078,0.004198,0.794561,False
