cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,noise,contradiction,pressure,drift
1,-0.002206,0.943669,0.836403,0.805232,0.000282,0.005306,0.000864,0.0168,0.0,1.0,0.0
2,-0.00073,0.944734,0.836341,0.811123,0.000164,0.010167,0.00032,0.0186,0.0,1.0,0.0
3,0.000709,0.945575,0.83629,0.810517,0.000114,0.001355,0.000106,0.0204,0.0,1.0,0.0
4,0.001967,0.944762,0.836339,0.802613,0.000375,0.015224,8.3e-05,0.0222,0.0,1.0,0.0
5,0.001524,0.944582,0.83635,0.80786,0.000374,0.008916,2.8e-05,0.024,0.0,1.0,0.0
6,0.000168,0.944942,0.836328,0.809143,0.000327,0.006673,6.2e-05,0.0258,0.0,1.0,0.0
7,0.000342,0.944762,0.836339,0.806666,0.000291,0.017831,0.000313,0.0276,0.0,1.0,0.0
8,-0.003225,0.941541,0.836521,0.799641,0.000107,0.015113,0.000548,0.0294,0.0,1.0,0.0
9,-0.0047,0.943613,0.836406,0.803726,2.3e-05,0.007251,0.000834,0.0312,0.0,1.0,0.0
10,-0.0059,0.942777,0.836453,0.802804,0.000114,0.009148,0.001169,0.033,0.0,1.0,0.0
11,-0.010053,0.938676,0.836664,0.796678,0.000417,0.018539,0.001397,0.0348,0.0,1.0,0.0
12,-0.006843,0.941862,0.836503,0.801673,0.000662,0.012103,0.001568,0.0366,0.0,1.0,0.0
13,-0.002429,0.94127,0.836535,0.795345,0.000777,0.014982,0.001555,0.0384,0.0,1.0,0.0
14,-0.001084,0.944519,0.836354,0.809573,0.000742,0.010919,0.00132,0.0402,0.0,1.0,0.0
15,-0.002916,0.943587,0.836408,0.807392,0.000691,0.009435,0.001528,0.042,0.0,1.0,0.0
16,-0.00726,0.937133,0.836735,0.786482,0.000737,0.035972,0.001479,0.0438,0.0,1.0,0.0
17,-0.008415,0.941413,0.836527,0.795172,0.000797,0.027789,0.001209,0.0456,0.0,1.0,0.0
18,-0.011332,0.941245,0.836536,0.798061,0.00102,0.012917,0.001089,0.0474,0.0,1.0,0.0
19,-0.010959,0.941657,0.836514,0.807602,0.001332,0.016951,0.000773,0.0492,0.0,1.0,0.0
20,-0.00675,0.93754,0.836717,0.806426,0.001628,0.010487,0.000483,0.051,0.0,1.0,0.0
21,-0.003287,0.942091,0.836491,0.808877,0.001789,0.013427,0.000112,0.0528,0.0,1.0,0.0
22,-0.003932,0.944328,0.836365,0.813792,0.001973,0.000694,0.000555,0.0546,0.0,1.0,0.0
23,0.000934,0.941438,0.836526,0.800956,0.002078,0.004837,0.001113,0.0564,0.0,1.0,0.0
24,0.012932,0.925681,0.837111,0.759742,0.001855,0.061403,0.001446,0.0582,0.0,1.0,0.0
25,-0.002783,0.916359,0.837223,0.794215,0.001742,0.168772,0.000254,0.06,0.0,1.0,0.0
26,-0.004138,0.942182,0.836486,0.814506,0.001722,0.010321,0.001236,0.0618,0.0,1.0,0.0
27,-0.004994,0.945116,0.836318,0.800725,0.001548,0.009803,0.001983,0.0636,0.0,1.0,0.0
28,-0.025497,0.910417,0.837204,0.770007,0.001624,0.148143,0.00466,0.0654,0.0,1.0,0.0
29,-0.014611,0.931578,0.83695,0.779331,0.001649,0.031268,0.006516,0.0672,0.0,1.0,0.0
30,-0.009718,0.93878,0.836659,0.795722,0.001784,0.01467,0.00767,0.069,0.0,1.0,0.0
31,-0.016325,0.935555,0.836802,0.801652,0.002288,0.010744,0.008404,0.0708,0.0,1.0,0.0
32,-0.021247,0.937073,0.836738,0.78194,0.002814,0.024529,0.00893,0.0726,0.0,1.0,0.0
33,0.002961,0.908327,0.83718,0.775403,0.003028,0.166876,0.006722,0.0744,0.0,1.0,0.0
34,-0.008712,0.935666,0.836798,0.777362,0.003381,0.018606,0.005319,0.0762,0.0,1.0,0.0
35,-0.000874,0.937349,0.836726,0.78359,0.003488,0.030188,0.004233,0.078,0.0,1.0,0.0
36,-0.002077,0.941226,0.836537,0.808294,0.003536,0.007301,0.003454,0.0798,0.0,1.0,0.0
37,0.002949,0.940293,0.836585,0.776791,0.003513,0.047789,0.00321,0.0816,0.0,1.0,0.0
38,0.014472,0.915487,0.837225,0.769142,0.003491,0.221888,0.000221,0.0834,0.0,1.0,0.0
39,0.015248,0.943714,0.836401,0.803845,0.00341,0.007156,0.002009,0.0852,0.0,1.0,0.0
40,0.013914,0.93948,0.836626,0.80421,0.003421,0.031433,0.003066,0.087,0.0,1.0,0.0
41,0.013139,0.943088,0.836436,0.7739,0.002837,0.018825,0.003306,0.0888,0.0,1.0,0.0
42,0.010238,0.939298,0.836635,0.811671,0.002259,0.015642,0.003118,0.0906,0.0,1.0,0.0
43,0.008588,0.940356,0.836582,0.782685,0.001672,0.050021,0.003461,0.0924,0.0,1.0,0.0
44,0.017093,0.933147,0.836896,0.775836,0.000766,0.014603,0.004326,0.0942,0.0,1.0,0.0
45,0.009174,0.938461,0.836675,0.802677,0.000184,0.01005,0.004482,0.096,0.0,1.0,0.0
