cycle,observed_self,observed_stability,observed_rigidity,observed_adaptive,deviation,observer_trust,alert
1,-0.002206,0.943669,0.805232,0.836403,0.002206,0.777897,False
2,-0.00073,0.944734,0.811123,0.836341,0.00073,0.777372,False
3,0.000709,0.945575,0.810517,0.83629,0.000709,0.777779,False
4,0.001967,0.944762,0.802613,0.836339,0.001967,0.778835,False
5,0.001524,0.944582,0.80786,0.83635,0.001524,0.777814,False
6,0.000168,0.944942,0.809143,0.836328,0.000168,0.777949,False
7,0.000342,0.944762,0.806666,0.836339,0.000342,0.77835,False
8,-0.003225,0.941541,0.799641,0.836521,0.003225,0.778096,False
9,-0.0047,0.943613,0.803726,0.836406,0.0047,0.777681,False
10,-0.0059,0.942777,0.802804,0.836453,0.0059,0.777344,False
11,-0.010053,0.938676,0.796678,0.836664,0.010053,0.776356,False
12,-0.006843,0.941862,0.801673,0.836503,0.006843,0.777074,False
13,-0.002429,0.94127,0.795345,0.836535,0.002429,0.779023,False
14,-0.001084,0.944519,0.809573,0.836354,0.001084,0.777539,False
15,-0.002916,0.943587,0.807392,0.836408,0.002916,0.777296,False
16,-0.00726,0.937133,0.786482,0.836735,0.00726,0.778432,False
17,-0.008415,0.941413,0.795172,0.836527,0.008415,0.777909,False
18,-0.011332,0.941245,0.798061,0.836536,0.011332,0.776691,False
19,-0.010959,0.941657,0.807602,0.836514,0.010959,0.774996,False
20,-0.00675,0.93754,0.806426,0.836717,0.00675,0.774683,False
21,-0.003287,0.942091,0.808877,0.836491,0.003287,0.776422,False
22,-0.003932,0.944328,0.813792,0.836365,0.003932,0.776061,False
23,0.000934,0.941438,0.800956,0.836526,0.000934,0.778257,False
24,0.012932,0.925681,0.759742,0.837111,0.012932,0.778731,False
25,-0.002783,0.916359,0.794215,0.837223,0.002783,0.770632,False
26,-0.004138,0.942182,0.814506,0.836486,0.004138,0.775156,False
27,-0.004994,0.945116,0.800725,0.836318,0.004994,0.778726,False
28,-0.025497,0.910417,0.770007,0.837204,0.025497,0.768846,False
29,-0.014611,0.931578,0.779331,0.83695,0.014611,0.776501,False
30,-0.009718,0.93878,0.795722,0.836659,0.009718,0.77665,False
31,-0.016325,0.935555,0.801652,0.836802,0.016325,0.773049,False
