cycle,observed_self,observed_stability,observed_rigidity,observed_adaptive,deviation,observer_trust,alert
1,-0.002622,0.943044,0.803569,0.836439,0.002622,0.777937,False
2,-0.000985,0.944467,0.810942,0.836357,0.000985,0.777267,False
3,0.000466,0.945623,0.810566,0.836287,0.000466,0.777833,False
4,0.001621,0.945002,0.80373,0.836325,0.001621,0.778762,False
5,0.00125,0.944986,0.808879,0.836326,0.00125,0.777801,False
6,0.000184,0.945375,0.810217,0.836302,0.000184,0.777877,False
7,0.000303,0.945363,0.80868,0.836303,0.000303,0.778156,False
8,-0.002135,0.943275,0.8042,0.836426,0.002135,0.777986,False
9,-0.003049,0.944841,0.807392,0.836335,0.003049,0.77769,False
10,-0.003762,0.944409,0.807191,0.83636,0.003762,0.777443,False
11,-0.006094,0.942195,0.804026,0.836485,0.006094,0.776865,False
12,-0.004231,0.943974,0.807156,0.836386,0.004231,0.77721,False
13,-0.001804,0.943768,0.804176,0.836397,0.001804,0.778222,False
14,-0.00103,0.94555,0.811766,0.836292,0.00103,0.777456,False
15,-0.001827,0.94532,0.810825,0.836306,0.001827,0.777408,False
16,-0.003765,0.94242,0.801385,0.836473,0.003765,0.777935,False
17,-0.00421,0.944471,0.805707,0.836356,0.00421,0.77767,False
18,-0.005376,0.944484,0.807232,0.836356,0.005376,0.777137,False
19,-0.005103,0.944541,0.811399,0.836352,0.005103,0.776377,False
20,-0.003307,0.942983,0.810915,0.836442,0.003307,0.77631,False
21,-0.001919,0.944897,0.811968,0.836331,0.001919,0.777019,False
22,-0.002053,0.945978,0.81386,0.836265,0.002053,0.776976,False
23,-0.000433,0.944902,0.809027,0.836331,0.000433,0.777906,False
24,0.003811,0.939709,0.795266,0.836614,0.003811,0.778236,False
25,0.002629,0.944992,0.813487,0.836325,0.002629,0.776605,False
26,0.001502,0.944777,0.813754,0.836338,0.001502,0.776705,False
27,0.000729,0.946126,0.8095,0.836256,0.000729,0.778162,False
28,-0.002418,0.943504,0.80492,0.836413,0.002418,0.777862,False
29,-0.000144,0.944249,0.804528,0.836369,0.000144,0.778645,False
