cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,noise,contradiction,pressure,drift
1,-0.003263,0.942073,0.836492,0.800972,0.000416,0.007896,0.001288,0.025,0.0,1.01,0.0
2,-0.001223,0.943842,0.836393,0.810185,0.000272,0.013666,0.000593,0.025,0.0,1.02,0.0
3,0.000583,0.945284,0.836308,0.809722,7e-05,0.00166,4.5e-05,0.025,0.0,1.03,0.0
4,0.002018,0.944505,0.836354,0.801182,0.000382,0.017144,2.4e-05,0.025,0.0,1.04,0.0
5,0.001561,0.944485,0.836356,0.807618,0.000409,0.009287,4.9e-05,0.025,0.0,1.05,0.0
6,0.000248,0.944979,0.836326,0.809283,0.000384,0.006466,5e-06,0.025,0.0,1.06,0.0
7,0.000392,0.944956,0.836328,0.807367,0.000363,0.016151,0.000318,0.025,0.0,1.07,0.0
8,-0.002607,0.942374,0.836476,0.801762,0.000212,0.012851,0.000519,0.025,0.0,1.08,0.0
9,-0.003747,0.944305,0.836366,0.805749,0.000104,0.00581,0.000754,0.025,0.0,1.09,0.0
10,-0.004621,0.943786,0.836396,0.805498,2.6e-05,0.00693,0.001015,0.025,0.0,1.1,0.0
11,-0.007483,0.941031,0.836547,0.801541,0.000205,0.013318,0.001188,0.025,0.0,1.11,0.0
12,-0.005234,0.943272,0.836426,0.805472,0.000392,0.008267,0.00131,0.025,0.0,1.12,0.0
13,-0.00229,0.942989,0.836442,0.801733,0.000491,0.009754,0.001302,0.025,0.0,1.13,0.0
14,-0.001343,0.945181,0.836314,0.811233,0.000493,0.006791,0.001148,0.025,0.0,1.14,0.0
15,-0.002299,0.944921,0.83633,0.810051,0.000482,0.005616,0.001254,0.025,0.0,1.15,0.0
16,-0.004639,0.941318,0.836532,0.798249,0.000524,0.020532,0.001209,0.025,0.0,1.16,0.0
17,-0.005186,0.943855,0.836392,0.803638,0.000558,0.015235,0.001041,0.025,0.0,1.17,0.0
18,-0.006602,0.943888,0.83639,0.80555,0.000702,0.006813,0.000951,0.025,0.0,1.18,0.0
19,-0.006297,0.943977,0.836385,0.810746,0.000916,0.008613,0.000762,0.025,0.0,1.19,0.0
20,-0.004159,0.94202,0.836495,0.810162,0.001129,0.005141,0.00059,0.025,0.0,1.2,0.0
21,-0.002483,0.944367,0.836363,0.811462,0.001239,0.006358,0.000274,0.025,0.0,1.21,0.0
22,-0.00263,0.945728,0.836281,0.813826,0.001351,0.000318,3.8e-05,0.025,0.0,1.22,0.0
23,-0.000688,0.944365,0.836363,0.807797,0.001427,0.005162,0.000173,0.025,0.0,1.23,0.0
24,0.004396,0.938007,0.836696,0.79058,0.001327,0.026376,0.000302,0.025,0.0,1.24,0.0
25,0.003061,0.944628,0.836347,0.813426,0.00128,0.001151,0.000386,0.025,0.0,1.25,0.0
26,0.00175,0.944294,0.836367,0.813744,0.001272,0.004175,0.000513,0.025,0.0,1.26,0.0
27,0.000851,0.945952,0.836267,0.808393,0.001149,0.003853,0.000564,0.025,0.0,1.27,0.0
28,-0.002864,0.942732,0.836456,0.802661,0.001125,0.005099,0.000446,0.025,0.0,1.28,0.0
29,-0.000218,0.943638,0.836405,0.802204,0.001101,0.011632,0.000336,0.025,0.0,1.29,0.0
30,0.000626,0.945567,0.836291,0.80807,0.001142,0.005315,0.000265,0.025,0.0,1.3,0.0
31,-0.002222,0.94331,0.836424,0.809526,0.001311,0.003794,0.000191,0.025,0.0,1.31,0.0
32,-0.004362,0.943829,0.836394,0.80285,0.001463,0.009331,9.2e-05,0.025,0.0,1.32,0.0
33,-0.001188,0.943232,0.836428,0.80733,0.0015,0.00221,0.000137,0.025,0.0,1.33,0.0
34,-0.004328,0.943545,0.83641,0.802705,0.001556,0.006104,6.3e-05,0.025,0.0,1.34,0.0
35,-0.001781,0.943508,0.836412,0.804127,0.001527,0.009676,4e-06,0.025,0.0,1.35,0.0
36,-0.001926,0.945177,0.836314,0.812492,0.001486,0.002287,8.1e-05,0.025,0.0,1.36,0.0
37,-0.000555,0.944776,0.836338,0.801774,0.001437,0.019478,0.000368,0.025,0.0,1.37,0.0
38,-0.000531,0.945893,0.836271,0.806011,0.001385,0.017134,0.000309,0.025,0.0,1.38,0.0
39,0.000451,0.946167,0.836254,0.810277,0.001332,0.0021,0.000229,0.025,0.0,1.39,0.0
40,0.000543,0.945762,0.836279,0.810585,0.001347,0.010362,0.000342,0.025,0.0,1.4,0.0
41,0.003657,0.941983,0.836497,0.799896,0.001187,0.018941,0.000551,0.025,0.0,1.41,0.0
42,0.002752,0.9447,0.836343,0.813193,0.001022,0.005145,0.000789,0.025,0.0,1.42,0.0
43,0.002277,0.945167,0.836315,0.805429,0.000859,0.013534,0.000803,0.025,0.0,1.43,0.0
44,0.004336,0.943474,0.836414,0.803853,0.000587,0.003875,0.00061,0.025,0.0,1.44,0.0
45,0.002446,0.944838,0.836335,0.811047,0.000419,0.002617,0.000562,0.025,0.0,1.45,0.0
46,0.002599,0.946552,0.836229,0.812759,0.000226,0.001146,0.00053,0.025,0.0,1.46,0.0
47,0.001618,0.94468,0.836344,0.809651,8e-05,0.005866,0.00047,0.025,0.0,1.47,0.0
48,0.002629,0.944746,0.83634,0.812673,0.000488,0.000832,0.000381,0.025,0.0,1.48,0.0
49,0.001948,0.944619,0.836348,0.805766,0.0008,0.010655,0.000253,0.025,0.0,1.49,0.0
50,0.002244,0.945464,0.836297,0.811206,0.001155,0.010872,6.2e-05,0.025,0.0,1.5,0.0
51,0.002836,0.945645,0.836286,0.812006,0.001439,0.000915,0.000368,0.025,0.0,1.51,0.0
52,0.003145,0.944734,0.836341,0.810761,0.001684,0.003733,0.000639,0.025,0.0,1.52,0.0
53,0.004178,0.943891,0.83639,0.814153,0.001932,0.001186,0.0009,0.025,0.0,1.53,0.0
54,0.004073,0.94539,0.836301,0.810084,0.002217,0.005146,0.001108,0.025,0.0,1.54,0.0
55,0.002499,0.944206,0.836372,0.803991,0.002411,0.010381,0.001264,0.025,0.0,1.55,0.0
56,0.001637,0.943764,0.836398,0.809497,0.00252,0.010557,0.001483,0.025,0.0,1.56,0.0
57,0.002164,0.946295,0.836246,0.812268,0.002511,0.001113,0.00163,0.025,0.0,1.57,0.0
58,0.002519,0.944768,0.836339,0.813023,0.002511,0.002747,0.001829,0.025,0.0,1.58,0.0
59,-0.002094,0.939315,0.836634,0.781797,0.002433,0.03563,0.002035,0.025,0.0,1.59,0.0
60,-0.000932,0.944805,0.836337,0.806621,0.00231,0.007202,0.002139,0.025,0.0,1.6,0.0
61,-0.001569,0.944601,0.836349,0.81004,0.002238,0.003958,0.002142,0.025,0.0,1.61,0.0
62,-0.001204,0.945494,0.836295,0.813549,0.002145,0.001866,0.002106,0.025,0.0,1.62,0.0
63,-0.00058,0.945267,0.836309,0.808253,0.002094,0.012063,0.002209,0.025,0.0,1.63,0.0
