cycle,observed_self,observed_stability,observed_rigidity,observed_adaptive,deviation,observer_trust,alert
1,-0.003263,0.942073,0.800972,0.836492,0.003263,0.778002,False
2,-0.001223,0.943842,0.810185,0.836393,0.001223,0.777161,False
3,0.000583,0.945284,0.809722,0.836308,0.000583,0.777865,False
4,0.002018,0.944505,0.801182,0.836354,0.002018,0.779025,False
5,0.001561,0.944485,0.807618,0.836356,0.001561,0.777823,False
6,0.000248,0.944979,0.809283,0.836326,0.000248,0.777918,False
7,0.000392,0.944956,0.807367,0.836328,0.000392,0.778265,False
8,-0.002607,0.942374,0.801762,0.836476,0.002607,0.778076,False
9,-0.003747,0.944305,0.805749,0.836366,0.003747,0.777699,False
10,-0.004621,0.943786,0.805498,0.836396,0.004621,0.7774,False
11,-0.007483,0.941031,0.801541,0.836547,0.007483,0.776693,False
12,-0.005234,0.943272,0.805472,0.836426,0.005234,0.777111,False
13,-0.00229,0.942989,0.801733,0.836442,0.00229,0.778352,False
14,-0.001343,0.945181,0.811233,0.836314,0.001343,0.777377,False
15,-0.002299,0.944921,0.810051,0.83633,0.002299,0.777335,False
16,-0.004639,0.941318,0.798249,0.836532,0.004639,0.778017,False
17,-0.005186,0.943855,0.803638,0.836392,0.005186,0.777682,False
18,-0.006602,0.943888,0.80555,0.83639,0.006602,0.777028,False
19,-0.006297,0.943977,0.810746,0.836385,0.006297,0.77608,False
20,-0.004159,0.94202,0.810162,0.836495,0.004159,0.775967,False
21,-0.002483,0.944367,0.811462,0.836363,0.002483,0.77683,False
22,-0.00263,0.945728,0.813826,0.836281,0.00263,0.776784,False
23,-0.000688,0.944365,0.807797,0.836363,0.000688,0.777922,False
24,0.004396,0.938007,0.79058,0.836696,0.004396,0.778481,False
25,0.003061,0.944628,0.813426,0.836347,0.003061,0.776409,False
26,0.00175,0.944294,0.813744,0.836367,0.00175,0.776496,False
27,0.000851,0.945952,0.808393,0.836267,0.000851,0.778301,False
28,-0.002864,0.942732,0.802661,0.836456,0.002864,0.777965,False
29,-0.000218,0.943638,0.802204,0.836405,0.000218,0.77889,False
30,0.000626,0.945567,0.80807,0.836291,0.000626,0.778282,False
31,-0.002222,0.94331,0.809526,0.836424,0.002222,0.776915,False
32,-0.004362,0.943829,0.80285,0.836394,0.004362,0.777996,False
33,-0.001188,0.943232,0.80733,0.836428,0.001188,0.777535,False
34,-0.004328,0.943545,0.802705,0.83641,0.004328,0.777937,False
35,-0.001781,0.943508,0.804127,0.836412,0.001781,0.778149,False
36,-0.001926,0.945177,0.812492,0.836314,0.001926,0.777007,False
37,-0.000555,0.944776,0.801774,0.836338,0.000555,0.77929,False
38,-0.000531,0.945893,0.806011,0.836271,0.000531,0.778822,False
39,0.000451,0.946167,0.810277,0.836254,0.000451,0.778076,False
40,0.000543,0.945762,0.810585,0.836279,0.000543,0.777861,False
41,0.003657,0.941983,0.799896,0.836497,0.003657,0.778108,False
42,0.002752,0.9447,0.813193,0.836343,0.002752,0.776542,False
43,0.002277,0.945167,0.805429,0.836315,0.002277,0.778346,False
44,0.004336,0.943474,0.803853,0.836414,0.004336,0.777682,False
45,0.002446,0.944838,0.811047,0.836335,0.002446,0.777078,False
46,0.002599,0.946552,0.812759,0.836229,0.002599,0.777279,False
47,0.001618,0.94468,0.809651,0.836344,0.001618,0.77747,False
48,0.002629,0.944746,0.812673,0.83634,0.002629,0.776686,False
49,0.001948,0.944619,0.805766,0.836348,0.001948,0.778161,False
50,0.002244,0.945464,0.811206,0.836297,0.002244,0.777297,False
51,0.002836,0.945645,0.812006,0.836286,0.002836,0.777079,False
52,0.003145,0.944734,0.810761,0.836341,0.003145,0.776961,False
53,0.004178,0.943891,0.814153,0.83639,0.004178,0.775793,False
54,0.004073,0.94539,0.810084,0.836301,0.004073,0.77713,False
55,0.002499,0.944206,0.803991,0.836372,0.002499,0.778267,False
56,0.001637,0.943764,0.809497,0.836398,0.001637,0.77719,False
57,0.002164,0.946295,0.812268,0.836246,0.002164,0.777378,False
58,0.002519,0.944768,0.813023,0.836339,0.002519,0.776645,False
59,-0.002094,0.939315,0.781797,0.836634,0.002094,0.781141,False
60,-0.000932,0.944805,0.806621,0.836337,0.000932,0.778255,False
61,-0.001569,0.944601,0.81004,0.836349,0.001569,0.777376,False
62,-0.001204,0.945494,0.813549,0.836295,0.001204,0.777046,False
63,-0.00058,0.945267,0.808253,0.836309,0.00058,0.778154,False
64,0.000859,0.943704,0.804948,0.836401,0.000859,0.778235,False
65,0.00204,0.944065,0.810182,0.83638,0.00204,0.777073,False
66,0.002197,0.946288,0.8088,0.836246,0.002197,0.778063,False
67,0.002594,0.944655,0.808026,0.836346,0.002594,0.777592,False
68,0.002614,0.945103,0.807268,0.836319,0.002614,0.777889,False
69,0.004392,0.943997,0.806741,0.836384,0.004392,0.777268,False
70,0.002794,0.94417,0.805625,0.836374,0.002794,0.777869,False
71,0.005008,0.941431,0.795461,0.836526,0.005008,0.778539,False
72,0.004259,0.945713,0.806953,0.836282,0.004259,0.777828,False
73,0.006762,0.941842,0.801885,0.836505,0.006762,0.777042,False
74,0.008186,0.942087,0.797564,0.836491,0.008186,0.777703,False
75,0.009246,0.943243,0.805969,0.836427,0.009246,0.776199,False
76,0.010185,0.942356,0.806775,0.836477,0.010185,0.775552,False
77,0.00784,0.942451,0.807475,0.836471,0.00784,0.775913,False
78,0.006457,0.944715,0.810417,0.836342,0.006457,0.776361,False
79,0.008362,0.943272,0.806776,0.836426,0.008362,0.776224,False
80,0.009522,0.942718,0.805272,0.836457,0.009522,0.776107,False
81,0.010775,0.942002,0.81195,0.836496,0.010775,0.77428,False
82,0.009678,0.942224,0.810742,0.836484,0.009678,0.774815,False
83,0.009949,0.9442,0.8082,0.836372,0.009949,0.775933,False
84,0.006611,0.942149,0.80455,0.836488,0.006611,0.776642,False
