cycle,truth_sample,truth_state,truth_load,bridge_output,bridge_state,bridge_load,shadow_pressure,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,0.010276,0.001233,0.000685,0.008182,0.001636,0.009201,0.022146,0.003986,0.002215,0.002059,0.0,0.0,0.008182,11,0.917616,0.997941,0.997941,0.55308,0.943066,0.811331,0.836437,0.021,0.003,1.006,0.0025
2,0.004426,0.001967,0.001093,0.006559,0.002621,0.000697,0.00805,0.005905,0.003281,0.00319,0.000288,0.002059,0.0045,10,0.915782,0.998869,0.99681,0.557103,0.944807,0.809582,0.836337,0.022,0.006,1.012,0.005
3,0.003194,0.002447,0.001359,0.006221,0.003341,0.002451,0.007596,0.007001,0.003889,0.003951,0.000694,0.00319,0.003031,9,0.914642,0.999239,0.996049,0.555988,0.944628,0.808414,0.836347,0.023,0.009,1.018,0.0075
4,-0.004851,0.002545,0.001414,-0.006811,0.001311,0.004116,-0.007258,0.00686,0.003811,0.001252,0.00115,0.003951,-0.010762,8,0.912702,0.997302,0.998748,0.553107,0.94296,0.806848,0.836443,0.024,0.012,1.024,0.01
5,-0.008759,0.002342,0.001301,0.001502,0.001349,0.001399,0.008226,0.006837,0.003798,0.001315,0.001165,0.001252,0.00025,7,0.91722,0.999938,0.998685,0.552346,0.945475,0.811805,0.836296,0.025,0.015,1.03,0.0125
6,-0.009734,0.001952,0.001085,-0.00251,0.000577,0.010237,0.012155,0.007037,0.003909,0.000358,0.001186,0.001315,-0.003825,6,0.916436,0.999043,0.999642,0.549196,0.943704,0.810626,0.836401,0.026,0.018,1.036,0.015
7,-0.014243,0.00138,0.000767,-0.010065,-0.001551,0.006917,-0.001151,0.006868,0.003816,-0.002246,0.00107,0.000358,-0.010423,5,0.913273,0.997396,0.997754,0.560765,0.943537,0.805624,0.836411,0.027,0.021,1.042,0.0175
8,-0.000456,0.000913,0.000507,-0.002723,-0.001786,0.004321,-0.001295,0.00648,0.0036,-0.002365,0.000606,-0.002246,-0.000477,4,0.916548,0.999881,0.997635,0.564072,0.946412,0.808564,0.836238,0.028,0.024,1.048,0.02
9,0.01848,0.000781,0.000434,0.009004,0.000372,0.007827,0.002092,0.00608,0.003378,0.000469,0.00019,-0.002365,0.01137,3,0.911728,0.997166,0.999531,0.560296,0.943613,0.804094,0.836406,0.029,0.027,1.054,0.0225
10,-0.008488,0.000565,0.000314,-0.016918,-0.003086,0.034288,0.014534,0.006059,0.003366,-0.003861,0.000229,0.000469,-0.017387,2,0.897965,0.99567,0.996139,0.560053,0.939147,0.787463,0.836642,0.03,0.03,1.06,0.025
11,0.01585,0.00056,0.000311,0.001914,-0.002086,0.000438,-0.002042,0.005813,0.003229,-0.002424,-0.000344,-0.003861,0.005774,1,0.919604,0.998564,0.997576,0.572318,0.946587,0.810508,0.836227,0.031,0.033,1.066,0.0275
12,0.036767,0.000917,0.000509,0.020608,0.002453,0.030651,-0.00377,0.005378,0.002988,0.003298,-0.000635,-0.002424,0.023032,11,0.89591,0.994278,0.996702,0.570193,0.939558,0.783929,0.836622,0.032,0.036,1.072,0.03
13,0.011669,0.001307,0.000726,0.002881,0.002538,0.008471,-0.017057,0.004476,0.002487,0.003194,-8.4e-05,0.003298,-0.000417,10,0.919033,0.999897,0.996806,0.571609,0.946846,0.809283,0.836211,0.033,0.039,1.078,0.0325
14,0.016659,0.001757,0.000976,0.017082,0.005447,0.02653,-0.007309,0.003537,0.001965,0.006637,0.000375,0.003194,0.013888,9,0.900874,0.996557,0.993363,0.558421,0.939913,0.791708,0.836604,0.034,0.042,1.084,0.035
15,0.007058,0.002169,0.001205,0.017077,0.007773,0.01508,0.009923,0.003037,0.001687,0.009222,0.001251,0.006637,0.01044,8,0.903283,0.997415,0.990778,0.561876,0.941595,0.79476,0.836518,0.035,0.045,1.09,0.0375
16,-0.024012,0.002312,0.001285,-0.00147,0.005925,0.021653,0.025362,0.003238,0.001799,0.006578,0.002367,0.009222,-0.010692,7,0.911579,0.997355,0.993422,0.543546,0.93929,0.805808,0.836635,0.036,0.048,1.096,0.04
