cycle,truth_sample,truth_state,truth_load,bridge_output,bridge_state,bridge_load,shadow_pressure,shadow_state,shadow_load,self_state,memory,prediction,correction,strongest_channel,strongest_confidence,continuity,anchor_fit,spread_score,stability,rigidity,adaptive_score,noise,contradiction,pressure,drift
1,0.011384,0.001366,0.000759,0.008946,0.001789,0.012263,0.026643,0.004796,0.002664,0.002254,0.0,0.0,0.008946,11,0.918177,0.997746,0.997746,0.551153,0.94231,0.811881,0.836479,0.025,0.004,1.0,0.0
2,0.004346,0.002146,0.001192,0.006259,0.002683,0.001709,0.010406,0.007174,0.003985,0.003262,0.000316,0.002254,0.004005,10,0.916744,0.998991,0.996738,0.555795,0.944599,0.810616,0.836349,0.025,0.008,1.0,0.0
3,0.003943,0.002675,0.001486,0.005483,0.003243,0.000871,0.008063,0.008449,0.004694,0.003822,0.000728,0.003262,0.002221,9,0.915815,0.999441,0.996178,0.555477,0.944853,0.809784,0.836334,0.025,0.012,1.0,0.0
4,-0.002552,0.002868,0.001593,-0.008126,0.000969,0.004288,-0.010579,0.008155,0.00453,0.000813,0.001161,0.003822,-0.011947,8,0.911013,0.996991,0.999187,0.554196,0.942836,0.804871,0.83645,0.025,0.016,1.0,0.0
5,-0.003532,0.00285,0.001583,0.001684,0.001112,0.001399,0.006325,0.007891,0.004384,0.001032,0.001112,0.000813,0.000872,7,0.918125,0.99978,0.998968,0.555645,0.945731,0.812039,0.836281,0.025,0.02,1.0,0.0
6,-0.009544,0.002589,0.001438,-0.002546,0.000381,0.009843,0.01155,0.007871,0.004373,0.000131,0.001101,0.001032,-0.003578,6,0.916573,0.999099,0.999869,0.554071,0.944372,0.809851,0.836362,0.025,0.024,1.0,0.0
7,-0.020466,0.001997,0.001109,-0.009952,-0.001686,0.006405,0.001276,0.007617,0.004232,-0.002408,0.000965,0.000131,-0.010083,5,0.914879,0.99746,0.997592,0.564824,0.944057,0.80649,0.836381,0.025,0.028,1.0,0.0
8,-0.005092,0.001434,0.000797,-0.001134,-0.001575,0.003858,0.003856,0.007321,0.004067,-0.002087,0.000493,-0.002408,0.001274,4,0.91939,0.999679,0.997913,0.56574,0.946481,0.811108,0.836234,0.025,0.032,1.0,0.0
9,0.014468,0.001168,0.000649,0.010747,0.000889,0.011014,0.001807,0.006946,0.003859,0.001145,0.000132,-0.002087,0.012834,3,0.908934,0.996767,0.998855,0.558781,0.942617,0.8012,0.836462,0.025,0.036,1.0,0.0
10,-0.004711,0.000887,0.000493,-0.009675,-0.001224,0.019406,0.007534,0.006708,0.003727,-0.00158,0.000274,0.001145,-0.01082,2,0.907178,0.997275,0.99842,0.555429,0.941841,0.799164,0.836505,0.025,0.04,1.0,0.0
